LGA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA32330,0,4,0,4,8,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,0,4,13,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,4,4,0,0,0,4,4,0,4,7,0,0,6,0,0,0,0,0,3,0,3,3,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,9,11,15,0,22,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
LGA32450,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,4,46,0,0,0,48,8,0,56,11,0,0,0,11,0,0,0,11,0,0,16,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,22,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,22,0,0,27,8,0,0,3,9,0,0,0,7,4,0,13,0,0,0,0,0,0,0,0,0,3,0,3,29,0,0,3,28,0,0,0,31,6,0,40,17,0,0,0,18,3,0,3,16,3,0,19,5,0,0,0,3,0,0,0,3,0,0,3
LGA32500,11,4,0,4,18,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,53,19,0,0,78,4,0,4,80,4,0,82,10,0,0,0,10,3,0,3,12,3,0,11,8,3,0,0,14,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,0,26,3,0,3,29,5,0,29,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,3,24,3,3,0,25,3,0,4,32,5,0,32,0,3,0,0,3,3,0,3,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,24,7,3,0,28,3,0,6,35,9,0,38,9,0,0,0,16,0,0,0,16,0,0,16,12,0,0,0,13,0,0,0,13,3,0,13
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32770,21,0,0,0,23,21,0,45,0,0,0,0,0,0,0,0,0,0,0,0,23,17,0,0,44,0,0,0,43,32,0,72,3,0,0,0,3,0,0,0,3,3,0,4,0,3,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,4,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,4,6,0,10,0,12,0,0,12,0,0,3,10,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,13,0,0,3,16,15,0,31,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0
LGA32810,21,4,0,4,23,6,0,34,4,0,0,0,4,0,0,0,4,0,0,4,155,28,11,4,203,8,3,12,213,11,0,226,36,7,0,0,49,0,0,0,48,3,0,54,39,3,0,0,41,3,0,3,44,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,4,78,14,3,0,90,3,0,3,94,8,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,4,0,0,4,75,14,3,0,92,3,0,3,97,8,0,112,3,0,0,0,7,0,0,0,7,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,83,18,3,0,105,3,0,3,104,15,0,123,48,6,0,0,57,3,0,3,59,3,0,65,55,7,0,4,63,0,0,0,64,3,0,69
LGA33100,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA33200,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,26,0,0,0,29,0,0,29,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,0,0,0,16,0,0,16,0,3,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,4,0,0,4
LGA33220,342,34,0,40,374,221,0,599,0,0,0,4,4,0,0,0,5,0,8,9,1327,275,49,39,1698,106,19,120,1819,395,14,2228,317,57,6,3,377,19,4,17,401,32,0,434,344,64,13,5,423,15,3,22,442,55,0,500,12,6,0,0,11,0,0,0,11,0,0,18,6,0,0,4,11,0,0,0,16,0,0,17,675,118,21,14,832,34,7,43,873,87,0,959,16,3,0,0,16,8,0,8,28,3,0,32,13,0,4,0,17,4,0,3,23,5,0,27,28,8,3,0,32,17,0,12,47,14,0,65,705,126,21,17,864,47,6,56,920,101,0,1026,148,44,8,5,199,15,4,20,218,132,0,356,0,0,0,0,4,0,0,0,6,0,3,13,848,164,26,20,1066,69,9,81,1144,234,5,1386,439,78,9,11,524,18,3,22,551,41,0,592,443,76,16,4,541,28,6,29,573,73,0,652
LGA33360,367,40,0,40,404,55,0,462,0,0,0,0,0,0,0,0,0,0,10,8,1471,107,61,36,1675,99,3,107,1781,99,12,1887,313,15,11,0,338,7,0,7,348,10,0,349,397,32,17,0,445,10,0,10,461,10,0,474,5,0,3,0,16,0,0,0,16,0,0,16,0,0,0,4,3,0,0,0,6,0,0,7,717,48,25,7,796,26,0,26,820,18,0,841,20,0,3,0,24,8,0,8,29,0,0,29,31,7,3,0,35,6,0,6,41,0,0,44,51,3,6,0,61,12,0,12,73,0,0,69,762,56,30,7,856,37,0,37,892,24,0,916,169,7,4,15,196,15,5,20,214,36,0,256,0,0,0,0,0,0,0,0,0,0,7,7,940,67,39,16,1058,52,5,57,1112,59,7,1178,399,21,5,3,428,17,0,16,444,16,0,462,438,30,5,3,480,22,0,21,501,14,3,517
LGA33430,2285,95,20,111,2395,404,3,2801,21,7,0,12,33,3,0,3,32,5,30,71,10204,1505,191,173,12077,320,56,382,12456,861,50,13367,2311,337,32,21,2700,47,15,64,2767,134,5,2903,2605,377,34,16,3037,46,3,53,3083,111,3,3201,73,21,24,0,116,0,0,0,116,8,0,123,31,7,3,44,84,3,0,3,86,7,4,96,5020,739,91,88,5937,98,20,119,6052,263,9,6324,74,17,0,6,99,26,0,25,120,9,0,135,122,31,0,0,148,8,3,14,163,9,0,174,195,45,3,8,244,39,3,42,284,20,0,310,5215,783,98,92,6183,135,23,157,6341,282,9,6631,1104,167,26,38,1340,47,4,49,1393,257,3,1647,8,0,0,7,13,0,0,0,14,0,14,32,6325,954,127,131,7537,183,27,214,7751,533,32,8311,3438,418,51,23,3933,71,19,89,4020,203,3,4225,3171,521,58,25,3774,81,9,94,3864,166,0,4035
LGA33610,52,0,0,0,56,10,0,71,0,0,0,0,0,0,0,0,0,0,0,0,240,23,4,6,277,3,3,6,287,14,0,303,54,4,0,0,57,0,0,0,57,3,0,60,43,6,6,3,61,0,0,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,97,9,4,3,121,0,0,0,117,4,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,10,4,3,120,0,0,4,120,4,0,124,12,0,0,4,20,0,0,0,20,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,116,10,4,7,137,0,0,3,142,7,0,150,56,0,0,0,53,0,0,0,53,0,0,53,60,6,7,0,69,0,0,0,73,0,0,74
LGA33620,245,24,6,30,278,110,0,392,0,0,0,0,3,0,0,0,3,0,3,4,835,142,32,23,1029,45,15,65,1094,187,4,1283,156,24,0,0,179,10,3,6,186,10,0,199,214,48,5,3,266,6,0,6,274,29,0,305,4,3,0,0,8,0,0,0,13,0,0,9,0,4,0,5,10,0,0,0,10,0,0,14,366,76,14,12,467,15,3,14,479,43,0,524,4,4,0,0,8,3,3,7,12,5,0,19,14,0,0,0,11,0,0,3,17,0,0,17,17,8,0,0,24,6,3,6,29,9,0,35,382,81,14,12,489,13,3,22,512,50,0,560,92,31,11,0,137,13,3,14,148,74,0,222,3,0,0,0,3,0,0,0,3,0,0,3,479,116,19,12,623,26,6,38,657,124,0,783,213,21,7,3,238,12,0,11,250,27,0,271,247,55,3,3,311,8,0,8,322,31,0,358
LGA33800,33,4,0,4,34,8,0,41,3,0,0,0,3,0,0,0,3,0,0,4,207,25,0,5,242,8,0,7,249,15,0,266,37,0,0,0,33,0,0,0,38,0,0,39,60,9,0,3,70,0,0,0,75,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,10,0,3,113,3,0,4,116,8,0,122,5,0,0,0,5,0,0,0,4,0,0,5,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,6,0,0,0,6,0,0,8,107,10,0,3,120,5,0,3,123,6,0,129,18,0,0,0,20,0,0,0,25,6,0,35,0,0,0,0,3,0,0,0,3,0,4,6,128,13,3,3,138,6,0,5,148,12,4,169,64,3,0,0,66,0,0,0,72,0,0,72,106,10,0,3,119,0,0,3,124,3,0,128
LGA33830,3,5,0,5,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,12,5,0,6,22,0,0,24,3,0,0,0,3,0,0,0,3,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,3,3,0,3,5,0,0,5,9,0,0,0,12,3,0,3,11,0,0,18,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,4,0,4,18,0,0,15,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
LGA33960,1120,58,13,66,1185,275,3,1465,9,0,0,0,9,0,0,0,9,0,30,39,3842,547,83,101,4578,186,35,223,4794,495,42,5334,940,92,13,9,1049,34,3,38,1089,71,0,1154,788,109,11,3,916,31,6,36,952,53,6,1009,40,5,11,3,57,0,0,0,57,3,0,62,6,0,0,15,20,4,0,7,30,0,0,28,1775,203,35,27,2044,70,5,75,2128,128,9,2257,67,6,0,0,75,11,0,11,95,11,0,103,41,11,0,0,61,11,3,16,71,3,0,75,112,22,0,5,133,25,3,26,163,14,0,179,1886,221,39,36,2184,93,14,108,2292,141,9,2436,487,90,17,18,611,35,8,45,652,180,3,831,10,0,0,0,9,0,0,0,9,3,15,29,2378,309,59,57,2801,131,21,151,2948,320,29,3296,1325,93,21,13,1450,29,8,36,1490,106,0,1595,1029,138,24,9,1193,23,0,28,1220,80,7,1301
LGA33980,142,0,0,0,143,3,0,149,3,0,0,0,5,0,0,0,5,0,0,5,547,42,24,12,623,7,0,7,630,8,0,641,71,4,4,0,84,0,0,0,84,5,0,86,110,12,0,0,132,0,0,0,132,3,0,132,3,3,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,191,21,8,5,222,0,0,0,222,7,0,230,3,0,0,0,6,0,0,0,8,0,0,8,3,0,0,0,7,3,0,3,8,0,0,8,10,0,0,0,8,3,0,3,16,0,0,16,202,23,5,5,233,3,0,3,236,7,0,246,48,3,0,3,52,0,0,0,52,6,0,59,0,0,0,0,0,0,0,0,0,0,0,0,249,24,6,7,284,3,0,3,289,13,0,301,94,6,0,3,106,0,0,0,109,3,0,110,116,22,4,4,143,3,0,3,148,0,0,148
LGA34420,4,0,0,0,6,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,10,6,0,6,18,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,4,0,0,4,0,0,4,7,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,4,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34530,131,9,0,4,138,23,0,162,0,0,0,0,0,0,0,0,0,0,0,0,687,74,23,17,797,28,3,35,832,57,0,890,173,17,5,0,188,6,0,6,200,8,0,210,189,15,4,0,207,3,0,3,208,14,0,222,10,0,3,0,8,0,0,0,10,0,0,11,0,0,0,0,3,0,0,0,3,0,0,6,365,32,17,5,417,5,0,12,426,25,0,448,10,0,0,0,12,6,0,6,18,0,0,18,11,3,0,0,12,4,3,3,12,0,0,15,15,3,0,0,22,9,3,12,27,0,0,30,379,33,19,5,436,13,4,17,452,27,0,481,72,5,0,0,79,3,0,3,86,19,0,101,0,0,0,0,3,0,0,0,3,0,0,6,458,38,19,10,516,15,3,21,539,52,0,587,232,10,10,3,256,4,0,5,266,16,0,275,236,29,8,0,270,9,0,13,282,20,0,301
LGA34570,3,0,0,0,3,7,0,12,0,0,0,3,3,0,0,0,3,0,0,3,10,0,0,5,22,3,0,3,20,9,0,32,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34580,233,16,4,14,245,68,0,317,4,0,0,0,4,0,0,0,4,0,7,6,747,105,33,27,906,26,4,32,930,107,12,1049,159,9,4,3,177,3,0,3,178,11,0,196,187,30,8,0,226,0,0,3,232,10,0,242,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,9,7,0,0,0,7,0,0,11,358,40,8,14,419,10,0,5,430,26,3,455,3,0,0,0,4,0,0,0,7,0,0,9,13,0,0,0,16,0,0,0,17,0,0,17,16,0,0,0,24,3,0,3,26,0,0,21,372,40,15,14,441,10,0,9,450,24,3,480,95,12,5,0,117,10,3,8,127,50,0,174,3,0,0,5,3,0,0,0,3,0,0,10,475,54,16,21,560,19,4,19,583,71,10,661,211,14,6,3,236,8,0,8,240,20,0,257,220,36,11,6,271,8,0,7,279,21,0,298
LGA34590,1865,107,20,129,2000,537,11,2547,7,0,0,7,16,0,0,0,16,9,37,58,6238,851,124,168,7379,255,50,307,7686,928,59,8677,1523,140,13,14,1695,51,6,56,1751,103,4,1860,1232,191,19,10,1451,44,3,50,1500,100,3,1602,43,9,16,0,70,0,0,0,72,9,0,77,21,11,0,32,58,0,0,0,58,9,3,68,2817,352,53,54,3279,91,10,101,3379,217,7,3612,74,13,0,3,94,12,0,15,103,8,0,113,99,19,3,4,117,7,3,12,130,15,0,144,174,32,3,5,209,17,4,27,235,20,0,259,2986,384,55,63,3490,111,14,127,3614,245,7,3870,830,179,31,32,1077,59,13,73,1148,370,4,1520,3,0,0,7,12,3,0,3,9,0,15,29,3824,563,83,108,4571,176,27,196,4772,617,29,5421,2014,201,33,13,2270,61,7,65,2336,147,3,2484,1534,257,25,16,1842,36,11,47,1885,113,0,2002
LGA34710,10,0,0,0,10,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,3,77,3,0,3,85,7,0,94,16,3,0,0,22,0,0,0,22,0,0,22,13,0,0,0,12,0,0,0,12,0,0,12,3,0,0,0,4,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,43,0,0,0,42,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,43,0,0,0,42,3,0,48,4,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,42,0,0,0,48,7,0,50,25,0,3,0,22,3,0,3,25,0,0,26,9,0,0,0,12,0,0,0,13,0,0,13
LGA34770,526,30,0,30,562,62,0,625,0,0,0,3,3,0,0,0,3,0,3,10,2426,210,60,57,2752,110,10,115,2866,144,7,3017,507,39,8,3,555,17,3,22,581,22,0,600,656,58,17,8,742,23,0,20,768,17,0,781,17,0,5,0,23,3,0,3,25,0,0,30,8,0,0,14,23,0,0,0,23,0,0,23,1184,98,34,27,1347,41,3,45,1394,37,0,1431,27,8,0,0,40,6,0,6,40,8,0,47,30,0,0,4,35,7,3,10,50,0,0,48,60,8,0,4,76,13,3,21,94,7,0,100,1250,109,40,29,1423,58,5,66,1487,46,0,1532,243,20,3,7,275,13,0,17,293,44,0,337,0,0,0,0,0,0,0,0,0,0,3,4,1486,129,42,39,1698,69,10,78,1774,91,8,1873,718,53,10,4,787,20,3,23,811,21,0,835,791,54,22,12,885,31,0,32,912,23,0,937
