LGA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
LGA36660,13,15,34,41,44,55,17,8,3,230,507,479,978,1318,1657,1354,317,54,7,6684,75,108,265,340,384,405,252,91,13,1941,0,14,38,33,30,31,3,0,0,143,72,141,245,257,253,198,65,6,0,1232,3,6,22,27,26,19,4,0,0,115,66,101,191,195,225,202,32,3,0,1009,9,15,41,66,62,44,13,0,0,251,257,197,244,258,316,236,62,14,0,1586,319,127,154,124,165,135,41,7,0,1070,16,39,98,148,236,205,63,4,0,799,3,18,18,15,26,21,3,0,0,104,8,3,45,36,40,31,3,0,0,157,3,13,12,29,40,35,19,6,0,159,23,34,76,97,89,98,37,5,0,454,14,17,27,67,102,62,13,6,0,314,0,23,76,154,200,152,31,3,0,638,20,43,164,289,391,297,63,3,0,1275,45,87,220,269,452,427,71,3,0,1573,13,9,19,15,31,25,14,0,0,124
LGA36720,138,151,381,494,532,350,122,45,11,2227,4592,5309,11113,13938,16086,10666,2091,182,26,64007,76,186,369,392,462,490,247,68,8,2299,4,49,484,584,500,224,36,3,0,1884,384,520,1125,1351,1589,1037,234,17,6,6267,16,47,211,328,362,256,30,0,0,1241,614,1371,3656,3951,3519,2252,380,18,4,15766,95,190,412,643,759,501,122,13,0,2731,2274,1947,2368,2368,2712,1978,501,24,6,14176,3043,1710,1907,1491,1447,1030,266,19,4,10923,59,181,559,825,1291,1119,340,29,0,4402,92,131,257,305,339,224,55,0,0,1399,51,278,806,927,895,483,104,10,0,3568,78,186,426,598,748,614,250,34,4,2932,150,441,1333,1952,1799,1168,397,46,4,7280,146,366,855,1097,1330,951,236,16,0,4998,43,206,821,1442,1747,1059,145,12,0,5477,216,429,1656,3013,3522,2350,417,25,0,11634,292,1157,3433,4238,5385,4139,711,46,5,19408,293,290,425,512,468,278,116,21,3,2405
LGA36820,4,12,22,24,39,26,21,8,0,154,324,279,658,891,1222,1056,264,36,3,4738,53,107,184,199,272,263,159,42,4,1281,0,8,50,66,74,48,17,0,0,257,30,33,54,80,88,95,21,0,0,411,0,3,16,20,30,21,4,0,0,103,47,67,136,147,179,171,36,3,0,783,8,10,24,23,42,37,10,0,0,155,202,96,135,155,208,208,45,9,3,1058,155,62,82,73,110,93,26,7,0,608,3,11,28,53,96,99,34,7,0,324,5,7,12,11,16,8,8,0,0,67,0,9,25,35,24,22,8,0,0,121,4,3,12,22,18,41,26,4,0,130,13,17,50,61,102,82,36,4,0,374,12,23,28,51,63,64,28,0,0,269,4,13,81,135,195,127,5,0,0,573,12,27,121,230,265,248,50,7,0,965,32,59,164,238,368,338,71,0,0,1263,7,6,17,18,37,27,15,3,0,127
LGA36910,64,63,150,194,176,153,60,37,3,901,2452,3295,6639,6870,7748,5621,1279,154,22,34072,161,318,668,731,897,889,655,190,32,4533,9,71,326,343,366,144,22,0,3,1285,249,488,1059,1143,1056,706,125,14,0,4840,11,27,205,182,247,144,18,0,0,835,359,768,1560,1198,1131,853,175,14,0,6056,84,200,399,496,535,339,68,13,3,2137,1117,1009,1272,1098,1163,855,226,20,3,6756,1525,709,714,434,417,334,87,10,3,4226,62,146,499,578,760,731,215,14,4,3002,33,71,110,79,82,106,20,0,0,494,38,178,541,471,383,217,41,9,3,1876,50,121,187,212,214,174,65,14,0,1033,103,319,768,730,610,469,155,9,0,3165,49,139,336,334,442,323,97,11,3,1734,74,378,991,1109,1234,821,122,8,0,4734,185,372,1267,1778,2190,1643,346,29,3,7806,227,870,2157,2144,2584,2111,398,15,3,10501,103,86,127,113,118,93,27,4,0,667
LGA36950,0,6,3,10,3,8,0,0,0,32,27,61,183,186,122,103,23,4,0,713,0,3,9,5,3,5,4,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8,0,0,3,4,0,3,0,0,0,9,7,13,33,23,22,14,3,0,0,112,0,0,3,0,0,0,0,0,0,3,22,9,28,16,13,8,3,0,0,97,4,10,16,12,14,10,3,0,0,71,7,8,28,18,27,14,4,0,0,105,0,0,0,0,3,4,0,0,0,9,0,0,0,0,0,3,0,0,0,5,0,0,3,3,3,0,0,0,0,5,0,0,3,4,5,8,0,0,0,16,0,0,6,10,8,4,3,0,0,35,3,16,58,87,57,32,6,0,0,259,4,13,48,43,35,35,4,0,0,185,6,18,82,68,71,53,5,0,0,298,0,0,5,3,0,3,0,0,0,9
LGA36960,0,0,6,7,0,0,0,0,0,11,14,46,112,103,91,70,7,0,0,438,0,0,6,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,10,11,9,8,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,6,16,17,18,4,12,3,0,0,73,0,0,3,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,7,27,83,91,85,45,3,0,0,339,4,19,48,35,34,31,3,0,0,176,3,4,30,24,38,24,4,0,0,131,0,3,0,8,4,6,0,0,0,16
LGA37010,83,95,187,260,221,168,41,11,5,1064,2948,4794,9384,9033,9010,5809,1011,85,13,42090,36,68,88,112,128,123,52,9,4,612,8,87,525,623,513,278,30,0,0,2069,173,298,914,1019,890,610,118,9,0,4037,13,64,306,369,351,197,26,0,0,1325,258,720,1720,1680,1476,1020,186,14,3,7066,47,164,416,438,449,306,52,6,0,1877,1538,1610,1674,1323,1317,862,190,16,0,8538,1975,1394,1201,783,693,419,111,8,3,6581,62,207,751,839,1139,903,199,22,0,4122,82,145,276,213,190,126,24,3,0,1049,24,94,351,298,311,187,34,3,0,1305,58,127,295,292,300,225,63,4,0,1377,87,360,971,910,770,533,145,17,0,3785,84,261,562,561,645,480,69,10,0,2673,304,1955,3360,2513,2323,1186,160,11,0,11810,191,585,1703,2018,2083,1396,280,25,0,8277,216,1178,2992,2797,2931,2143,363,22,4,12659,163,165,266,216,199,111,28,4,0,1146
LGA37300,3,4,7,5,4,0,0,0,0,23,47,62,265,222,221,76,9,0,0,901,0,0,4,0,0,0,0,0,0,10,13,49,244,267,226,106,5,0,0,906,8,16,52,33,21,12,3,0,0,143,0,0,0,4,3,0,0,0,0,13,10,10,30,21,16,15,0,0,0,105,3,3,7,3,7,0,0,0,0,18,36,8,12,16,18,14,0,0,0,103,8,12,26,16,30,15,4,0,0,108,0,3,17,18,14,10,4,0,0,67,0,0,3,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,11,0,3,7,11,4,3,0,0,0,25,0,0,6,3,5,0,0,0,0,19,4,4,13,16,15,6,0,0,0,61,0,0,19,15,23,9,0,0,0,63,0,10,53,63,43,14,0,0,0,191,3,9,51,37,55,15,4,0,0,174,0,3,4,0,3,0,0,0,0,6
LGA37310,15,9,31,32,51,33,18,3,0,198,467,551,1200,1388,1419,1002,303,60,3,6400,80,145,396,480,570,566,404,126,18,2788,3,29,172,185,137,63,3,0,0,595,53,99,171,154,138,86,14,0,0,727,3,23,109,101,122,46,4,0,0,410,73,159,348,261,254,164,46,3,3,1309,30,37,70,94,78,71,21,4,0,410,234,147,227,238,251,180,50,4,0,1332,218,110,141,153,118,88,17,3,0,844,12,31,73,127,142,126,45,10,0,569,3,8,11,14,10,3,0,0,0,57,11,23,51,40,31,17,6,0,0,174,11,18,24,29,37,22,18,7,0,164,21,57,119,112,88,49,24,0,0,464,13,26,69,62,72,63,17,3,0,324,12,53,167,188,203,152,25,8,0,801,22,88,254,324,297,172,26,0,0,1176,40,78,188,210,291,216,42,3,0,1075,8,5,8,11,13,13,4,3,0,72
LGA37340,12,23,65,49,55,46,15,6,0,274,387,713,1650,1557,1540,1129,240,34,4,7258,43,155,337,230,260,270,124,35,5,1463,7,28,273,306,250,134,15,3,0,1021,27,44,118,142,151,113,25,3,0,626,0,12,12,28,25,38,6,0,0,112,46,101,265,261,282,193,39,0,0,1183,14,8,52,55,63,48,12,0,0,253,235,146,261,244,308,248,60,7,0,1500,228,424,751,379,349,285,63,7,0,2483,24,88,264,280,267,230,61,7,0,1217,4,13,18,11,14,17,0,0,0,85,3,8,27,43,35,19,3,0,0,140,7,33,48,61,64,42,11,0,3,259,12,25,107,116,108,76,30,3,0,482,19,71,203,184,169,116,19,6,0,790,8,41,111,118,131,101,10,3,0,533,11,41,199,267,265,143,34,0,0,971,29,61,192,249,264,262,46,3,0,1115,3,20,35,42,26,29,5,0,0,156
LGA37400,0,0,0,0,3,0,0,0,0,8,14,32,51,43,70,51,11,0,0,271,3,10,26,18,37,41,19,4,3,150,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,0,10,0,0,5,12,4,9,0,0,0,38,0,0,3,0,0,3,0,0,0,12,4,6,8,3,14,3,0,3,0,48,4,4,7,8,12,7,4,0,0,39,0,0,8,7,8,12,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,9,14,13,24,18,6,0,0,87,0,7,10,7,3,3,0,0,0,32,0,8,7,0,14,16,0,0,0,41,0,3,3,4,0,6,0,0,0,13
LGA37550,0,0,0,0,0,0,0,0,0,0,5,9,15,17,25,8,6,0,0,95,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,5,12,14,9,3,0,0,0,45,0,9,3,7,10,7,0,0,0,38,4,0,5,5,7,8,3,0,0,42,0,0,0,0,0,0,0,0,0,0
LGA37570,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,9,11,3,0,0,0,25,0,0,3,3,0,0,0,0,0,3,0,0,3,3,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA37600,0,0,0,0,0,0,0,0,0,8,4,26,36,48,55,17,0,0,0,184,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,11,30,22,15,11,0,0,0,92,0,12,15,13,24,8,0,0,0,68,0,3,9,22,30,11,0,0,0,79,0,0,0,0,0,0,0,0,0,0
LGA39499,3,9,20,10,14,7,0,0,0,74,50,252,444,147,202,217,24,0,0,1336,14,150,177,13,18,40,8,0,0,420,0,0,28,24,24,13,0,0,0,92,3,13,60,31,24,17,3,0,0,153,0,0,6,3,8,3,0,0,0,29,11,25,91,64,63,35,7,0,0,298,0,5,12,14,12,5,0,0,0,55,11,37,37,24,38,27,8,0,0,177,36,86,146,31,33,43,4,0,0,381,0,13,34,32,37,30,4,0,0,154,3,4,6,7,5,3,0,0,0,26,0,3,7,10,3,3,3,0,0,28,0,0,8,4,12,10,0,0,0,42,0,15,53,23,19,29,0,0,0,129,3,20,59,24,32,21,4,0,0,162,10,15,29,20,26,23,3,0,0,131,0,11,44,28,29,24,3,0,0,140,0,19,86,38,47,44,15,0,0,244,0,8,28,11,13,9,0,0,0,72
LGA39799,0,0,0,0,0,0,0,0,0,5,4,0,6,4,4,6,0,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
