LGA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
LGA35790,0,0,0,0,0,0,0,0,0,4,11,17,55,47,63,47,3,0,0,252,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,11,0,0,3,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,3,5,0,0,0,0,9,5,8,17,30,44,23,0,0,0,123,10,13,28,23,27,7,3,0,0,112,4,9,29,22,35,39,4,0,0,135,0,0,0,0,0,0,0,0,0,0
LGA35800,0,0,0,0,0,3,3,0,0,11,12,28,64,51,86,76,32,3,0,358,4,15,38,28,46,53,27,3,0,214,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,5,0,0,12,0,0,4,0,0,0,0,0,0,7,3,4,11,7,5,7,0,0,0,34,0,0,3,3,3,3,0,0,0,13,0,3,13,13,6,8,4,0,0,53,0,0,8,5,12,13,0,0,0,41,0,3,3,3,3,9,9,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,7,0,0,0,0,13,0,3,19,18,21,20,0,0,0,90,0,7,15,9,14,12,0,0,0,67,0,3,13,11,17,22,3,0,0,68,0,0,0,0,3,3,0,0,0,11
LGA36070,0,0,0,0,3,0,0,0,0,3,4,14,20,27,22,12,0,0,0,95,0,0,0,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,13,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,8,13,13,13,18,6,5,0,0,69,0,9,7,10,3,0,0,0,0,25,3,0,3,14,9,8,0,0,0,32,0,0,3,0,6,0,0,0,0,9
LGA36150,0,0,0,3,0,0,3,0,0,5,3,21,55,35,55,32,14,3,0,204,11,10,21,18,27,19,10,3,3,130,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,16,3,0,6,0,0,0,29,0,0,3,0,0,0,0,0,0,3,0,0,5,10,6,9,0,0,0,29,0,0,9,8,4,7,0,0,0,29,0,0,4,5,8,7,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,5,7,15,12,24,8,3,0,0,63,0,5,12,8,14,7,0,0,0,39,0,9,5,4,7,7,0,0,0,30,0,0,0,0,0,3,0,0,0,6
LGA36250,71,91,186,270,279,186,54,12,3,1157,2525,2995,5866,7239,8589,5730,1055,75,9,34082,35,52,67,97,144,119,43,11,0,565,8,21,149,243,238,122,22,3,5,807,185,368,905,1238,1446,1043,168,10,0,5360,11,33,132,176,237,171,21,3,0,795,374,875,1996,1926,1828,1141,202,8,0,8345,69,148,428,557,699,444,104,10,0,2457,1269,1079,1207,1157,1316,1002,196,16,3,7241,1599,698,451,415,371,275,80,6,0,3893,74,235,567,880,1204,944,216,17,0,4130,67,81,172,200,218,152,20,0,0,909,17,101,395,507,502,308,44,3,4,1887,46,104,229,253,339,262,92,21,3,1342,109,320,742,992,1038,678,196,20,0,4097,79,208,450,560,633,457,118,8,0,2513,35,144,712,1045,1215,806,126,6,0,4089,148,367,899,1351,1627,1172,227,6,3,5802,223,666,1553,1796,2378,1875,355,18,3,8872,131,131,145,168,186,123,36,6,0,930
LGA36300,0,0,3,0,4,0,0,0,0,11,7,23,57,23,43,32,6,4,0,197,6,22,39,18,17,32,11,3,0,143,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,3,3,4,3,3,0,0,0,21,0,0,3,0,0,0,0,0,0,8,3,0,8,6,0,3,0,0,0,17,0,0,3,0,6,3,0,0,0,19,0,0,8,3,4,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,4,0,3,3,0,3,0,0,0,0,12,11,10,14,8,19,14,3,0,0,76,0,0,7,3,3,5,0,0,0,22,0,3,0,4,11,8,0,0,0,26,0,0,0,0,0,0,0,0,0,0
LGA36370,34,33,83,99,116,60,18,10,0,450,1286,1751,3640,3339,3641,2428,431,54,3,16582,37,45,79,100,130,143,109,57,11,698,14,85,508,463,446,208,24,0,0,1750,77,210,590,551,391,194,31,0,0,2043,11,71,279,217,228,145,7,0,0,951,104,317,633,488,500,374,52,7,0,2476,48,105,277,211,197,144,19,4,0,1012,705,588,687,565,599,388,95,7,0,3642,847,433,414,273,274,185,42,3,0,2469,22,112,450,389,564,473,107,3,0,2121,20,48,55,41,40,34,11,0,0,252,3,35,125,120,99,64,19,3,0,466,29,47,116,74,111,72,22,3,0,480,50,141,323,276,236,162,40,3,0,1228,29,76,173,185,244,161,33,3,0,908,18,155,538,520,598,413,59,4,0,2303,95,205,653,804,850,635,106,5,0,3352,96,493,1219,1046,1214,957,156,4,0,5192,44,38,46,46,49,47,16,5,0,288
LGA36510,18,18,30,79,68,55,26,13,0,307,559,545,1117,1745,2116,1523,409,64,3,8090,52,88,198,205,308,312,236,80,8,1488,0,7,40,54,39,25,0,0,0,174,52,72,159,277,316,217,54,3,0,1150,0,8,35,56,64,36,4,3,0,207,85,172,319,436,437,301,66,0,0,1817,25,36,48,99,133,94,23,5,0,448,247,138,200,238,327,228,62,14,0,1457,327,158,164,156,167,141,50,0,0,1164,12,34,91,160,237,165,81,4,0,779,6,7,12,31,51,29,13,0,0,154,4,19,43,61,67,40,9,0,0,237,8,13,28,45,72,78,31,0,0,280,24,26,108,197,202,150,55,4,0,774,16,33,67,124,142,128,34,3,0,555,4,41,140,272,321,211,39,0,0,1031,30,58,180,369,480,382,85,4,0,1586,33,93,226,363,517,433,101,7,0,1778,28,31,45,64,75,53,20,3,0,325
LGA36580,9,12,26,28,37,19,14,3,3,153,277,325,714,906,1056,803,186,17,8,4282,29,34,99,138,169,210,131,34,5,850,0,3,33,37,40,22,3,0,0,141,57,111,307,255,219,171,29,3,0,1145,0,7,28,32,47,41,11,0,0,169,53,68,175,186,191,145,39,0,0,853,15,18,52,62,65,29,8,3,0,254,131,125,122,160,158,107,32,3,0,836,104,51,63,48,81,46,12,0,0,401,14,26,74,103,153,145,59,3,0,580,4,0,3,4,12,9,8,0,0,50,0,4,17,28,33,15,5,0,0,100,4,7,19,19,34,35,9,3,0,127,3,14,57,55,62,65,15,0,0,278,5,13,42,56,59,63,18,3,0,261,13,20,95,145,205,147,18,0,0,638,16,29,110,181,221,156,19,3,0,733,18,64,145,211,234,233,37,0,0,939,17,14,14,17,39,24,5,0,0,122
LGA36630,19,10,13,36,38,28,22,8,0,171,395,424,863,1130,1352,1032,278,53,0,5535,48,55,131,202,276,307,246,79,8,1356,3,20,97,132,120,58,4,0,0,440,93,141,238,185,224,159,23,3,0,1075,11,20,70,86,115,68,5,0,0,376,37,76,142,134,180,132,24,3,0,734,14,27,36,33,56,29,19,7,0,206,242,156,208,183,251,158,34,3,0,1241,146,80,99,93,129,81,24,6,0,654,8,11,37,62,98,97,48,13,0,373,3,11,17,11,9,16,7,0,0,74,0,6,29,17,26,19,0,0,0,111,3,10,7,24,28,37,9,0,0,122,13,23,68,70,71,61,22,4,0,325,8,14,39,53,61,47,21,0,0,248,14,42,85,171,159,126,8,0,0,607,14,61,205,258,332,250,42,9,0,1169,36,96,235,314,399,387,60,7,0,1534,3,7,13,11,19,12,0,0,0,66
