LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA30250,553,574,1132,4,8,8,0,0,0,0,0,0,37,21,62,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,39,27,65,0,3,3,4,5,12,50,41,86,17,15,31,627,630,1249
LGA30300,1744,1635,3378,105,131,237,22,11,37,4,7,13,106,101,206,3,4,3,3,7,11,0,0,0,3,0,3,0,0,0,0,0,0,148,128,276,14,6,24,8,0,4,269,273,537,203,194,393,2220,2098,4314
LGA30370,5710,5338,11050,397,413,811,23,22,38,12,3,14,411,388,800,13,3,14,4,4,8,3,3,4,7,0,9,0,0,3,0,0,0,463,428,890,41,45,89,16,13,33,920,902,1821,658,589,1251,7290,6831,14122
LGA30410,1135,1136,2269,54,64,118,10,11,21,3,0,3,94,87,179,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,112,97,210,6,3,8,0,0,5,169,168,337,125,100,227,1434,1403,2833
LGA30450,114,89,203,9,6,18,0,0,0,0,0,3,6,12,18,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,18,15,32,0,0,0,0,0,0,21,27,49,12,10,19,151,118,271
LGA30760,756,768,1526,43,45,87,3,0,5,6,3,7,52,54,107,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,66,54,122,0,3,3,5,0,4,111,106,219,69,70,141,939,939,1884
LGA30900,138,121,253,11,15,28,0,0,0,0,0,3,25,18,40,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,28,21,57,0,0,0,0,0,0,45,36,82,47,44,90,227,200,422
LGA31000,398593,415918,814508,12938,13439,26372,3837,3891,7734,2036,1989,4027,68263,70067,138322,653,633,1282,989,896,1888,231,230,456,491,418,908,455,444,897,6,6,17,76959,78574,155533,14547,16354,30904,1497,1310,2807,105942,109683,215621,45307,42535,87841,549843,568134,1117972
LGA31750,148,115,259,3,3,9,5,3,3,0,0,0,12,11,23,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,15,20,33,0,0,0,0,4,4,24,23,47,23,17,39,191,154,345
LGA31820,34462,35563,70028,1310,1480,2788,232,260,498,107,146,251,4317,4567,8879,38,30,65,51,54,108,25,26,52,41,36,73,16,16,34,0,0,3,4830,5125,9957,365,374,744,149,121,270,6657,7104,13760,4183,4116,8295,45298,46784,92083
LGA31900,6883,6679,13564,398,398,790,27,14,43,9,3,11,415,410,830,0,0,8,14,13,21,4,0,3,6,9,14,0,4,4,0,0,0,476,456,938,68,66,136,23,16,39,968,935,1906,741,712,1453,8591,8324,16918
LGA31950,112,84,196,10,0,10,0,0,4,0,0,0,21,18,37,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,23,26,46,0,4,4,0,0,0,30,27,58,39,30,68,182,142,327
LGA32080,54194,55424,109621,2398,2607,5002,505,550,1058,443,427,874,8073,8752,16827,150,192,345,255,261,517,62,70,128,244,242,489,38,41,76,0,0,0,9775,10536,20308,1044,1211,2251,263,230,490,13477,14585,28060,8746,8629,17380,76422,78633,155050
LGA32250,705,664,1369,77,96,175,9,6,20,0,3,5,74,58,136,4,0,4,7,3,8,0,0,0,8,3,10,0,0,0,0,0,0,97,84,184,3,3,6,7,9,14,189,190,377,111,96,199,1003,947,1945
LGA32260,10982,10363,21350,807,807,1617,80,66,144,42,53,88,832,815,1642,23,15,39,30,41,71,12,7,17,25,30,54,0,0,3,0,0,0,1040,1030,2062,140,166,300,50,43,92,2034,2042,4080,1595,1393,2992,14612,13807,28422
LGA32270,10147,9146,19292,999,1009,2013,76,97,172,27,25,51,1022,990,2011,7,14,21,30,20,44,4,15,16,10,15,28,0,3,3,0,0,0,1183,1171,2357,59,81,136,37,31,66,2275,2299,4566,2089,1561,3654,14514,13005,27516
LGA32310,4413,4503,8917,304,316,616,14,15,30,5,9,13,398,412,816,4,11,12,3,0,3,3,3,6,10,9,24,0,0,0,0,0,0,447,466,904,21,21,37,14,8,23,781,810,1587,628,624,1254,5817,5944,11763
LGA32330,540,569,1115,15,12,29,0,0,0,0,0,0,19,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,48,0,0,0,8,7,15,49,41,95,17,18,33,608,631,1235
LGA32450,1089,855,1942,90,95,187,22,4,26,8,3,17,171,135,305,4,0,5,9,0,6,3,0,3,4,3,6,0,0,0,0,0,0,220,145,368,0,6,6,0,0,0,310,253,566,276,204,482,1674,1310,2990
LGA32500,1504,1279,2777,122,135,258,10,9,16,4,6,11,127,128,251,5,3,15,21,11,35,0,0,0,10,5,15,4,0,4,0,0,0,185,170,349,35,37,69,17,8,26,351,347,692,397,309,701,2248,1928,4175
LGA32600,81,84,161,3,7,10,0,0,5,0,0,0,14,7,20,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,17,30,0,0,0,0,0,0,17,22,42,49,34,84,147,144,284
LGA32750,99,91,190,0,0,3,4,3,10,3,0,3,16,12,27,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,26,21,49,0,3,3,0,0,0,24,25,56,21,26,45,150,139,288
LGA32770,621,611,1233,11,9,20,3,3,8,0,0,0,34,30,61,4,6,7,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,47,44,83,0,4,3,3,0,5,57,53,108,12,14,23,690,680,1366
LGA32810,4031,3781,7816,398,391,790,52,55,108,63,69,131,296,316,610,35,30,61,31,40,73,7,12,13,16,17,36,6,3,9,0,0,0,499,553,1050,95,108,206,16,12,33,1013,1065,2080,847,854,1701,5889,5705,11597
LGA33100,336,282,619,12,11,17,3,3,4,0,0,0,26,29,51,0,0,0,0,6,3,0,0,0,3,0,3,0,0,0,0,0,0,35,35,71,0,0,0,0,0,0,48,40,87,48,41,84,429,359,791
LGA33200,588,570,1159,36,42,82,0,3,6,0,0,0,61,56,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,59,119,0,0,0,3,0,4,104,104,211,75,74,146,770,749,1519
LGA33220,36520,38286,74806,1529,1812,3343,422,427,850,230,237,471,4642,5191,9833,67,63,133,94,75,170,37,54,92,67,67,132,23,26,48,3,0,3,5586,6148,11729,200,222,424,142,127,267,7459,8311,15767,5391,4709,10104,49371,51304,100675
LGA33360,22924,21347,44274,1462,1524,2984,162,152,314,83,78,158,3250,3355,6606,38,31,75,65,87,150,28,16,43,46,43,84,3,7,9,0,0,0,3677,3764,7440,204,278,482,97,93,192,5431,5658,11093,2852,2584,5435,31211,29592,60805
LGA33430,190720,200906,391626,8123,8748,16870,4174,4639,8813,1386,1429,2817,29375,32192,61564,354,353,707,558,574,1130,199,253,447,225,217,447,203,232,439,4,13,18,36483,39901,76379,4800,5434,10236,901,723,1620,50308,54804,105110,26063,26869,52935,267086,282578,549669
LGA33610,3950,3904,7855,292,298,586,95,92,186,13,14,24,289,290,577,6,8,12,5,5,7,0,0,0,3,4,7,0,0,0,0,0,0,409,411,820,14,28,40,9,16,28,724,755,1480,601,563,1166,5272,5226,10499
LGA33620,18443,18637,37076,795,956,1751,139,139,278,55,59,111,2237,2328,4565,9,17,26,43,37,82,17,21,35,20,27,45,9,9,15,0,0,0,2536,2630,5160,69,86,150,85,67,150,3482,3736,7219,2415,2404,4818,24332,24778,49109
