LGA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
LGA36580,547,10,0,0,0,0,0,116,677,365,93,58,23,3,3,0,66,607,195,100,135,61,27,9,0,54,573,142,100,201,116,55,20,12,55,694,91,77,214,119,61,12,19,54,654,116,80,243,175,76,30,17,70,823,111,105,251,169,75,23,17,68,822,93,83,277,190,96,37,19,70,866,119,101,291,223,98,26,23,84,965,82,73,263,216,119,26,24,83,874,60,68,255,190,119,29,24,68,811,48,41,175,150,94,33,27,54,624,27,20,68,91,50,32,27,37,362,12,16,31,37,33,25,24,17,198,10,9,42,52,22,15,29,24,197,2015,979,2508,1813,928,321,262,911,9739
LGA36630,719,22,5,0,0,0,0,108,854,452,124,74,18,6,0,0,64,737,285,149,156,72,26,3,6,62,763,156,125,206,141,53,24,13,52,768,135,69,225,181,77,38,40,49,806,117,122,271,218,109,47,38,79,991,138,97,291,234,120,57,29,68,1034,121,97,354,267,125,47,26,97,1131,136,82,355,313,144,36,34,100,1197,133,113,352,284,156,64,43,93,1226,103,98,356,306,195,74,41,101,1284,71,69,232,198,145,59,47,70,904,35,28,126,134,110,58,40,76,609,24,22,71,65,77,27,50,48,390,24,22,74,58,66,49,56,65,407,2653,1248,3139,2481,1400,588,471,1130,13109
LGA36660,842,33,0,0,0,0,0,112,993,535,125,63,23,9,0,0,58,807,300,147,154,73,31,4,0,55,767,187,147,239,131,66,20,11,38,851,112,106,276,182,98,31,25,56,883,110,134,336,232,124,50,35,62,1084,135,108,370,245,115,38,37,76,1125,187,118,380,289,141,39,34,58,1248,151,103,424,347,150,50,30,92,1349,134,119,390,346,156,57,35,102,1339,127,94,410,305,185,55,40,88,1301,101,73,250,261,151,63,43,104,1034,62,41,142,203,132,59,54,78,773,40,23,79,105,86,50,50,77,517,37,35,97,100,79,48,53,112,574,3065,1419,3612,2842,1512,568,453,1161,14637
LGA36720,7866,60,10,3,0,0,3,851,8786,6189,536,229,43,7,3,4,689,7683,4426,1339,961,254,59,7,8,542,7596,2575,1835,2422,882,251,66,28,538,8594,1493,1412,3300,1449,473,128,59,490,8807,1378,1420,4193,2047,699,176,87,524,10521,1505,1432,4261,2147,707,203,90,590,10927,1533,1393,3942,2299,839,205,106,615,10925,1357,1098,3829,2360,868,230,131,631,10502,1163,989,3648,2347,915,223,107,583,9969,982,886,3730,2397,865,244,100,600,9804,691,631,2630,2067,849,280,144,543,7832,492,387,1518,1479,835,320,201,418,5653,284,252,912,986,676,271,200,451,4033,347,371,1008,990,639,320,275,795,4749,32276,14046,36581,21741,8683,2680,1544,8848,126390
LGA36820,565,14,3,0,0,0,0,103,682,312,76,39,7,3,0,0,57,501,210,93,106,38,16,0,0,56,520,129,103,176,87,26,16,3,41,583,93,66,181,111,48,22,21,54,591,91,89,246,152,74,21,27,60,757,106,98,278,176,69,33,26,77,856,159,99,271,204,73,38,19,81,948,146,97,278,264,112,46,22,90,1048,129,97,276,250,106,31,26,81,994,89,90,306,215,122,35,16,84,963,59,47,184,208,95,46,20,88,750,34,33,111,133,81,43,29,62,524,26,21,55,73,61,41,25,53,355,17,20,62,65,58,27,43,75,366,2153,1043,2568,1983,949,388,283,1066,10442
LGA36910,4548,72,7,0,0,0,0,599,5225,3637,537,273,75,14,6,0,405,4947,2489,914,747,352,102,23,14,374,5020,1296,940,1342,760,244,83,43,322,5026,740,578,1495,957,395,121,96,290,4677,661,583,1678,1127,485,168,161,307,5168,681,594,1821,1216,497,161,143,348,5454,635,481,1711,1212,506,181,122,308,5159,589,478,1728,1299,622,169,94,349,5332,496,401,1483,1242,556,173,108,323,4786,413,315,1456,1173,555,190,107,379,4579,291,234,1031,968,557,179,147,339,3733,218,137,580,636,486,200,193,290,2746,170,109,313,454,368,210,222,291,2134,185,132,344,393,346,189,215,643,2456,17047,6514,16003,11855,5737,2055,1663,5566,66435
LGA36950,82,6,0,0,0,0,0,44,135,70,17,13,3,0,0,0,38,142,52,18,23,17,4,0,0,59,167,43,23,25,18,16,5,3,27,153,37,14,22,18,13,14,9,22,151,33,9,16,17,9,8,12,15,128,13,13,9,12,10,3,16,19,96,9,8,12,12,13,6,11,26,101,16,14,13,16,9,8,14,18,106,3,12,12,10,13,3,14,11,69,8,3,3,3,7,0,9,6,47,9,0,0,4,3,3,3,0,17,3,0,3,6,0,0,0,3,13,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,4,12,378,129,151,136,102,59,96,300,1348
LGA36960,60,15,3,0,0,0,0,74,153,59,62,25,13,4,0,0,61,226,44,31,47,24,8,5,4,35,195,19,21,26,22,22,19,10,9,146,26,9,18,20,16,20,24,15,138,6,8,14,10,22,12,31,8,105,7,7,8,7,16,11,34,11,98,10,0,10,7,14,11,27,6,88,17,13,10,8,15,12,19,10,99,12,5,8,9,12,5,26,6,83,6,5,4,5,5,3,18,11,52,0,4,0,3,5,4,10,4,31,0,4,5,3,8,0,7,0,20,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,7,265,176,182,137,140,98,206,238,1450
LGA37010,5587,108,15,7,0,0,3,704,6414,5717,659,331,70,16,5,3,744,7538,3730,1279,926,349,109,26,12,574,7002,2090,1371,1714,790,282,83,60,519,6910,1081,978,2029,1040,412,132,109,458,6238,920,879,2244,1208,479,165,135,432,6465,856,813,2114,1336,508,183,150,478,6426,718,677,2059,1341,529,150,114,441,6026,616,605,1934,1274,559,160,85,400,5635,433,439,1566,1146,482,156,83,358,4669,327,353,1338,950,443,172,81,361,4011,254,207,828,680,358,132,104,240,2806,155,132,447,492,357,175,128,206,2092,82,83,239,327,239,133,115,167,1386,114,100,252,292,206,108,146,205,1417,22665,8687,18016,11304,4972,1782,1331,6286,75042
LGA37300,93,0,0,0,0,0,0,22,118,60,13,6,0,0,0,0,12,93,93,26,19,12,0,0,0,15,158,44,34,60,16,9,3,0,20,196,20,15,56,23,14,3,3,14,153,22,20,62,26,10,3,12,18,164,17,19,47,25,8,4,4,17,146,7,14,39,33,13,3,0,14,128,3,3,26,16,10,8,0,8,66,0,6,10,3,10,3,0,8,47,0,0,5,11,0,0,0,4,21,0,0,3,7,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,153,345,171,75,26,21,159,1317
