LGA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA35600,3,3,14,9,12,11,5,0,0,60,7,12,17,19,9,13,10,0,0,94,112,187,403,391,435,398,99,16,0,2046
LGA35670,0,3,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,23,40,38,38,12,3,0,0,153
LGA35740,46,75,175,203,236,135,28,0,0,906,65,84,114,220,288,202,71,19,0,1053,1381,1288,2842,4611,5924,4579,1247,126,10,22007
LGA35760,16,9,22,28,22,19,8,0,0,129,18,17,42,38,31,32,20,4,0,208,238,282,706,765,1012,857,367,91,11,4334
LGA35780,14,17,22,16,6,9,0,0,0,75,3,3,9,3,4,7,0,0,0,20,59,88,200,171,157,111,13,0,0,804
LGA35790,3,4,7,10,11,4,3,0,0,47,3,0,0,0,3,0,0,0,0,8,27,34,98,100,131,77,9,0,0,487
LGA35800,0,3,4,3,6,3,5,0,0,22,0,3,6,5,5,9,5,5,0,34,22,51,136,115,160,172,60,16,0,720
LGA36070,0,0,4,7,11,0,0,0,0,21,0,0,0,0,3,0,0,0,0,4,13,22,37,55,50,20,4,0,0,212
LGA36150,0,3,5,0,0,0,0,0,0,11,0,0,0,3,0,3,7,0,0,19,19,44,104,70,108,80,27,7,3,452
LGA36250,144,334,633,578,703,499,123,15,0,3019,172,257,532,690,730,539,143,33,5,3110,4798,6212,12359,14820,17051,12136,2530,220,33,70168
LGA36300,0,0,7,0,0,3,0,0,0,6,0,0,9,0,6,0,5,0,0,23,21,43,108,57,81,89,25,7,0,434
LGA36370,89,210,359,265,285,239,56,6,0,1505,73,147,278,220,237,152,39,21,3,1168,2409,3569,7812,6867,7296,5170,1039,139,19,34314
LGA36510,46,62,122,153,147,127,33,5,0,682,50,59,100,188,204,151,49,27,0,838,1064,1165,2329,3540,4312,3289,1035,182,18,16926
LGA36580,30,33,55,70,76,68,20,0,0,343,27,32,72,78,103,76,34,14,3,441,538,671,1589,1896,2192,1797,498,66,11,9270
LGA36630,36,40,72,97,93,60,33,6,0,438,40,29,67,105,102,98,55,16,0,519,774,934,1893,2246,2742,2206,703,152,11,11656
LGA36660,45,61,99,113,101,98,31,3,0,559,41,49,99,100,111,119,49,11,12,595,1024,1109,2140,2633,3276,2841,877,165,29,14094
LGA36720,248,540,1051,1103,1220,762,193,21,0,5132,347,455,976,1269,1306,961,315,82,24,5735,8514,10681,23125,28396,31378,21866,5097,502,72,129641
LGA36820,35,31,56,74,74,61,21,0,0,358,26,30,59,62,92,77,43,24,0,415,647,609,1358,1768,2349,2137,666,113,11,9654
LGA36910,214,402,691,505,555,402,128,16,3,2911,181,227,520,493,507,426,162,62,9,2593,4830,6892,14394,14166,15479,11769,3167,430,58,71188
LGA36950,5,7,10,9,3,11,3,0,0,48,3,10,15,19,9,12,0,0,0,67,52,116,353,322,262,217,44,7,0,1379
LGA36960,3,16,28,31,21,14,3,0,0,121,3,7,12,10,4,0,0,0,0,33,25,99,242,236,208,137,14,0,0,974
LGA37010,188,438,845,644,601,419,121,9,0,3263,186,307,578,632,588,435,119,27,9,2882,5693,10222,19779,18282,17905,11951,2358,223,32,86449
LGA37300,3,4,16,7,10,3,0,0,0,47,4,18,10,10,9,6,0,0,0,58,94,157,579,548,504,237,31,3,0,2152
LGA37310,44,70,94,101,96,70,33,3,0,521,46,48,118,103,119,98,46,17,5,612,934,1256,2812,2990,3074,2285,850,184,28,14418
LGA37340,32,51,133,125,120,80,31,3,0,573,36,74,155,141,143,111,42,14,3,719,800,1441,3571,3280,3287,2553,640,93,13,15681
LGA37400,0,0,7,0,3,4,0,0,0,15,3,0,3,4,3,3,3,0,0,24,23,47,109,88,127,123,41,5,3,572
LGA37550,4,0,13,3,9,3,0,0,0,35,0,0,0,0,0,0,0,0,0,4,12,17,39,38,46,30,4,0,0,193
LGA37570,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,8,14,14,15,7,0,0,0,64
LGA37600,3,4,16,9,10,0,0,0,0,44,3,8,4,5,0,0,0,0,0,19,13,43,87,75,86,39,5,0,0,343
LGA39499,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
