LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA32810,..,3,119,252,345,380,312,141,13,1565,..,39,170,135,137,121,35,14,0,650,..,0,9,25,32,18,12,8,0,99,880,..,..,..,..,..,..,..,..,880,..,122,..,..,..,..,..,..,..,122,..,142,61,31,21,7,0,0,0,258,..,28,11,15,9,18,4,4,3,91,..,16,26,10,9,6,0,0,3,75,..,47,69,46,47,53,29,6,0,298,..,14,46,91,119,173,132,54,21,651,16,15,20,25,13,24,17,5,0,141,893,425,532,622,732,798,553,234,48,4839,..,4,170,330,368,377,264,80,9,1602,..,69,198,130,137,87,35,3,0,652,..,11,48,123,91,34,14,9,3,334,750,..,..,..,..,..,..,..,..,750,..,128,..,..,..,..,..,..,..,128,..,89,24,11,3,4,0,0,0,139,..,20,16,6,9,17,13,16,3,98,..,11,22,8,8,4,3,0,0,54
LGA33100,..,0,11,14,30,26,25,10,0,121,..,3,13,7,7,6,3,0,0,39,..,0,0,0,0,0,0,0,0,3,62,..,..,..,..,..,..,..,..,62,..,4,..,..,..,..,..,..,..,4,..,10,11,0,4,0,0,0,0,26,..,0,0,0,0,0,0,0,0,3,..,3,0,0,0,0,0,0,0,8,..,5,3,0,0,3,0,0,0,16,..,0,3,5,11,26,27,9,0,93,0,6,0,4,4,7,4,0,0,21,64,33,43,31,64,67,65,21,0,381,..,0,22,22,28,29,13,7,0,113,..,3,14,10,5,5,4,0,0,42,..,0,6,3,0,0,0,3,0,9,60,..,..,..,..,..,..,..,..,60,..,0,..,..,..,..,..,..,..,0,..,10,7,0,0,0,0,0,0,12,..,3,0,0,0,0,0,0,0,3,..,0,5,0,0,0,0,0,0,6
LGA33200,..,3,25,37,64,56,56,20,4,266,..,19,21,10,4,4,3,0,0,61,..,0,0,0,0,0,0,0,0,6,119,..,..,..,..,..,..,..,..,119,..,20,..,..,..,..,..,..,..,20,..,16,5,0,4,0,0,0,0,31,..,8,0,0,0,0,0,0,0,13,..,4,4,0,0,0,0,0,0,15,..,8,0,0,0,0,3,3,0,14,..,7,7,10,18,33,20,10,3,98,0,0,6,3,6,8,3,0,0,32,116,79,76,71,105,105,88,36,8,674,..,4,39,47,64,54,60,12,0,275,..,23,19,9,7,8,7,0,0,64,..,3,6,11,13,6,4,3,4,46,122,..,..,..,..,..,..,..,..,122,..,5,..,..,..,..,..,..,..,5,..,6,4,0,0,3,0,0,0,12,..,3,0,0,0,4,3,3,0,17,..,4,0,0,0,0,0,0,0,7
LGA33220,..,66,1130,2186,2883,3975,4914,2434,450,18037,..,375,765,665,660,533,376,129,25,3533,..,15,99,218,223,150,72,55,27,865,8038,..,..,..,..,..,..,..,..,8038,..,1555,..,..,..,..,..,..,..,1555,..,1620,691,405,282,134,12,0,0,3138,..,200,95,66,96,123,98,71,45,796,..,181,118,79,80,57,31,3,3,551,..,207,219,160,228,295,260,119,14,1497,..,109,285,428,741,1036,1203,676,241,4721,172,223,181,163,154,180,207,86,18,1388,8217,4540,3582,4374,5352,6480,7173,3573,830,44115,..,138,1576,2674,3405,4414,4413,1644,203,18468,..,540,880,724,670,543,290,85,9,3744,..,260,721,1092,971,383,212,218,107,3967,7668,..,..,..,..,..,..,..,..,7668,..,1558,..,..,..,..,..,..,..,1558,..,1028,332,157,150,81,17,3,0,1781,..,161,48,27,106,213,213,163,117,1054,..,180,70,42,48,35,20,0,4,395
LGA33360,..,74,1340,2321,2357,2081,1238,494,70,9980,..,444,935,559,527,280,95,16,3,2861,..,10,45,119,188,86,40,13,7,514,6452,..,..,..,..,..,..,..,..,6452,..,1054,..,..,..,..,..,..,..,1054,..,1087,304,156,86,36,5,0,0,1680,..,153,82,36,52,57,44,18,10,449,..,90,81,45,46,21,13,7,3,307,..,240,180,88,104,116,43,13,0,798,..,199,427,421,612,621,394,158,38,2872,143,216,182,118,132,109,72,27,3,1006,6597,3580,3574,3854,4112,3424,1938,746,134,27967,..,146,1877,2583,2497,1936,1069,305,39,10453,..,631,986,561,499,232,86,14,0,3008,..,161,425,513,379,106,61,58,31,1732,6282,..,..,..,..,..,..,..,..,6282,..,956,..,..,..,..,..,..,..,956,..,589,145,53,47,24,0,0,0,861,..,89,31,17,48,68,75,62,18,408,..,85,46,20,22,8,7,3,0,188
LGA33430,..,406,9802,18852,19473,17050,15553,7646,1794,90570,..,2389,8147,5154,3792,2301,1300,339,60,23486,..,68,288,932,1450,876,399,213,139,4359,47800,..,..,..,..,..,..,..,..,47800,..,11595,..,..,..,..,..,..,..,11595,..,9676,4452,1872,1159,548,83,0,0,17800,..,1472,1118,455,458,467,444,268,158,4834,..,1420,1438,679,529,321,188,74,18,4665,..,3270,4281,1648,1396,1331,977,378,78,13357,..,898,2526,3069,3562,3560,3446,1960,930,19956,683,1095,1124,750,630,477,413,187,59,5419,48479,32295,33165,33410,32447,26936,22805,11071,3234,243837,..,851,13338,21138,20266,17045,13678,5145,899,92367,..,3765,8589,4777,3632,2104,856,185,18,23923,..,623,2934,5801,5873,2652,1248,907,631,20670,45451,..,..,..,..,..,..,..,..,45451,..,11812,..,..,..,..,..,..,..,11812,..,7011,2743,889,667,492,125,9,0,11931,..,1327,793,295,545,1146,1165,894,571,6739,..,1449,1067,348,280,207,97,25,15,3509
LGA33610,..,7,194,328,382,419,301,155,21,1810,..,59,137,63,75,38,15,5,3,399,..,4,4,16,25,16,5,3,5,73,1023,..,..,..,..,..,..,..,..,1023,..,114,..,..,..,..,..,..,..,114,..,138,41,20,26,10,0,0,0,228,..,28,8,6,10,20,7,7,3,87,..,19,21,9,4,4,0,0,0,49,..,50,32,12,16,13,11,3,0,131,..,32,57,61,89,126,99,66,20,555,20,30,24,14,17,20,12,4,4,145,1042,478,509,527,639,656,448,255,60,4620,..,6,271,375,412,373,280,104,13,1839,..,90,137,84,49,35,16,5,0,409,..,18,76,71,68,28,11,12,11,289,952,..,..,..,..,..,..,..,..,952,..,136,..,..,..,..,..,..,..,136,..,83,23,7,7,4,0,0,0,131,..,27,12,3,3,8,11,15,5,89,..,26,9,0,4,4,0,0,0,47
LGA33620,..,45,579,1135,1570,2014,2071,911,197,8517,..,180,429,348,351,274,189,41,3,1814,..,12,46,93,140,94,37,27,13,458,4332,..,..,..,..,..,..,..,..,4332,..,810,..,..,..,..,..,..,..,810,..,825,356,190,137,58,11,0,0,1577,..,114,45,32,37,40,45,23,11,348,..,100,78,34,55,43,20,5,6,326,..,95,105,74,152,121,106,45,0,696,..,64,162,221,437,599,600,298,103,2485,70,134,86,70,93,105,116,33,3,703,4404,2365,1885,2193,2975,3346,3182,1386,332,22067,..,81,850,1363,1849,2081,1869,594,86,8775,..,282,477,373,345,260,127,20,0,1878,..,115,369,495,470,204,106,103,52,1905,4005,..,..,..,..,..,..,..,..,4005,..,788,..,..,..,..,..,..,..,788,..,564,163,90,68,35,16,0,0,929,..,68,23,12,46,79,71,58,49,401,..,86,39,25,29,15,8,4,4,211
LGA33800,..,8,135,272,398,493,474,286,83,2158,..,34,74,50,56,66,30,10,0,326,..,0,5,21,26,25,8,4,3,91,748,..,..,..,..,..,..,..,..,748,..,173,..,..,..,..,..,..,..,173,..,221,84,43,40,28,6,0,0,422,..,14,13,9,8,7,4,10,3,69,..,8,3,6,3,3,0,0,0,29,..,17,13,9,16,15,19,5,0,91,..,13,47,51,99,163,147,97,34,652,15,17,19,10,15,16,17,3,0,124,760,502,391,468,662,813,715,433,130,4873,..,15,199,311,486,516,435,203,32,2190,..,51,69,65,75,48,21,6,0,333,..,19,36,60,54,31,21,38,26,283,761,..,..,..,..,..,..,..,..,761,..,166,..,..,..,..,..,..,..,166,..,114,23,16,14,9,7,0,0,177,..,15,5,4,10,11,10,14,9,76,..,10,0,0,0,0,0,0,0,12
LGA33830,..,0,3,3,8,9,8,4,0,36,..,11,31,33,12,5,0,0,0,99,..,0,0,0,4,0,0,0,0,4,133,..,..,..,..,..,..,..,..,133,..,5,..,..,..,..,..,..,..,5,..,19,10,7,0,0,0,0,0,37,..,14,6,5,5,9,0,0,0,44,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,7,..,0,3,9,5,7,4,0,0,32,7,3,3,3,0,3,0,0,0,14,140,55,64,66,45,31,13,4,0,418,..,0,0,4,6,9,8,4,0,37,..,22,33,33,15,7,0,0,0,101,..,7,16,10,6,4,0,0,0,47,95,..,..,..,..,..,..,..,..,95,..,6,..,..,..,..,..,..,..,6,..,15,6,3,0,0,0,0,0,30,..,17,4,0,13,6,3,3,0,41,..,3,0,0,0,0,0,0,0,4
LGA33960,..,269,4823,6535,6378,5448,3731,1605,333,29121,..,1245,3100,1787,1196,553,199,45,10,8146,..,43,201,463,590,303,146,70,37,1860,21883,..,..,..,..,..,..,..,..,21883,..,4279,..,..,..,..,..,..,..,4279,..,4142,1753,763,409,133,18,0,0,7218,..,787,498,250,254,245,165,101,45,2356,..,564,458,266,181,123,36,14,0,1647,..,586,744,396,414,357,185,59,9,2752,..,265,935,1069,1314,1217,828,501,191,6319,388,477,512,312,198,147,106,25,8,2177,22272,12668,13019,11845,10939,8543,5408,2427,638,87754,..,529,6304,6898,6443,5131,3176,1140,155,29779,..,1865,3178,1721,1078,490,126,33,0,8502,..,621,2030,2365,1966,773,395,307,156,8612,20732,..,..,..,..,..,..,..,..,20732,..,4230,..,..,..,..,..,..,..,4230,..,2921,1041,343,224,118,22,0,0,4677,..,648,295,120,288,465,385,238,129,2560,..,458,254,108,95,42,19,9,3,988
LGA33980,..,24,635,867,659,485,210,69,14,2957,..,144,366,198,145,76,12,3,0,938,..,0,8,52,44,22,8,6,0,141,2378,..,..,..,..,..,..,..,..,2378,..,236,..,..,..,..,..,..,..,236,..,240,79,22,15,3,0,0,0,365,..,40,15,5,7,15,9,4,0,91,..,21,12,6,7,5,0,5,0,52,..,63,54,22,28,15,9,0,0,196,..,79,155,178,178,207,120,24,11,950,38,45,61,53,43,35,22,5,0,311,2418,886,1378,1408,1132,860,386,114,27,8610,..,60,876,870,592,415,163,42,0,3021,..,230,375,177,135,51,14,0,0,976,..,33,94,109,56,26,14,14,3,351,2263,..,..,..,..,..,..,..,..,2263,..,254,..,..,..,..,..,..,..,254,..,132,33,9,4,0,0,0,0,181,..,24,6,3,11,10,21,7,5,86,..,29,6,0,3,0,3,0,0,44
LGA34420,..,0,0,0,6,4,3,0,0,17,..,17,20,36,29,17,4,0,0,115,..,0,4,0,0,0,0,0,0,7,112,..,..,..,..,..,..,..,..,112,..,10,..,..,..,..,..,..,..,10,..,25,12,0,0,0,0,0,0,34,..,17,15,13,10,4,4,0,0,62,..,0,0,0,0,0,0,0,0,0,..,0,5,0,0,0,0,0,0,7,..,0,0,4,3,13,6,0,0,25,3,0,0,0,0,0,0,0,0,8,118,66,56,60,51,40,18,0,0,403,..,0,0,0,7,12,0,0,0,22,..,15,27,38,27,13,0,0,0,121,..,9,22,16,12,9,3,0,0,71,116,..,..,..,..,..,..,..,..,116,..,4,..,..,..,..,..,..,..,4,..,17,10,0,0,0,0,0,0,32,..,14,17,10,10,16,5,0,3,74,..,0,0,0,0,0,0,0,0,4
LGA34530,..,31,499,1009,1270,1460,1191,530,113,6109,..,150,329,270,237,194,71,17,0,1267,..,9,23,70,80,40,14,15,5,262,3283,..,..,..,..,..,..,..,..,3283,..,669,..,..,..,..,..,..,..,669,..,660,247,115,77,32,0,0,0,1130,..,73,37,14,28,50,27,18,7,253,..,65,42,27,18,16,11,4,0,183,..,58,61,31,66,69,49,16,4,351,..,51,106,150,295,331,306,152,89,1479,62,100,86,51,67,53,53,22,6,499,3349,1859,1428,1734,2148,2250,1724,774,228,15489,..,43,741,1256,1518,1533,1029,406,56,6577,..,217,385,295,291,162,66,15,0,1439,..,65,194,283,270,104,50,43,24,1035,2931,..,..,..,..,..,..,..,..,2931,..,656,..,..,..,..,..,..,..,656,..,433,99,34,30,25,6,0,0,626,..,58,17,9,23,54,52,53,20,289,..,65,23,9,12,10,3,3,0,127
LGA34570,..,0,0,0,3,3,0,0,0,9,..,5,22,17,16,3,0,0,0,74,..,0,0,0,0,3,0,0,0,9,106,..,..,..,..,..,..,..,..,106,..,4,..,..,..,..,..,..,..,4,..,22,10,5,3,0,0,0,0,35,..,15,7,9,0,0,3,0,0,36,..,6,0,0,0,0,0,0,0,7,..,0,3,0,0,0,0,0,0,11,..,0,0,3,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,3,104,54,45,42,35,18,6,3,0,311,..,0,0,3,0,3,3,0,0,10,..,7,23,12,18,9,3,0,0,75,..,10,9,4,10,5,3,3,0,40,93,..,..,..,..,..,..,..,..,93,..,3,..,..,..,..,..,..,..,3,..,16,8,0,3,0,0,0,0,26,..,18,3,3,7,3,7,0,0,34,..,0,3,3,0,0,0,0,0,7
LGA34580,..,47,672,1137,1369,1400,1246,522,81,6467,..,141,349,285,278,185,79,25,6,1347,..,3,25,69,96,43,30,23,12,302,3645,..,..,..,..,..,..,..,..,3645,..,725,..,..,..,..,..,..,..,725,..,781,264,127,124,47,4,0,0,1343,..,89,77,31,45,69,54,33,15,402,..,108,107,38,47,24,20,3,3,347,..,200,260,70,103,79,60,30,0,803,..,67,133,159,250,278,268,131,51,1340,72,96,77,64,55,54,38,17,0,471,3716,2257,1967,1975,2369,2172,1790,782,173,17201,..,96,898,1291,1518,1369,1078,334,26,6613,..,239,374,282,313,146,53,12,0,1412,..,77,257,343,325,110,86,56,36,1296,3284,..,..,..,..,..,..,..,..,3284,..,688,..,..,..,..,..,..,..,688,..,529,144,64,62,22,3,0,0,829,..,72,41,7,31,72,86,70,33,406,..,110,82,15,19,14,9,0,0,254
LGA34590,..,422,6882,10494,10480,9792,7426,2712,525,48733,..,1496,3967,2677,1966,1045,417,96,13,11682,..,66,281,659,799,538,261,118,60,2784,32587,..,..,..,..,..,..,..,..,32587,..,6761,..,..,..,..,..,..,..,6761,..,7348,3483,1402,669,195,21,0,0,13116,..,1389,812,384,395,397,358,173,75,3984,..,956,844,519,391,202,119,27,8,3061,..,950,1251,752,675,561,307,111,15,4622,..,350,1122,1451,1705,1685,1444,660,256,8672,568,679,683,480,346,255,172,70,13,3273,33157,20420,19327,18824,17424,14670,10518,3958,969,139270,..,913,8884,11317,10793,9491,6117,1750,238,49496,..,2174,4240,2561,1895,873,313,58,11,12125,..,886,2824,3556,2996,1428,797,421,175,13082,31096,..,..,..,..,..,..,..,..,31096,..,7057,..,..,..,..,..,..,..,7057,..,4943,1891,570,377,182,43,0,0,8016,..,962,472,227,522,817,787,519,277,4574,..,864,405,187,184,131,57,19,5,1847
LGA34710,..,5,55,97,128,144,84,41,10,562,..,33,43,22,28,11,5,3,0,142,..,0,0,3,4,7,0,0,0,19,326,..,..,..,..,..,..,..,..,326,..,30,..,..,..,..,..,..,..,30,..,63,16,12,0,3,0,0,0,91,..,16,0,0,8,6,0,3,0,29,..,3,0,3,0,0,0,0,0,12,..,18,7,3,0,0,0,3,0,36,..,10,26,27,28,56,31,24,5,205,10,15,14,10,8,11,12,0,0,68,329,184,163,171,205,248,136,72,19,1518,..,5,69,128,130,133,66,30,3,569,..,42,48,22,28,12,3,3,0,157,..,6,22,27,33,3,6,0,3,103,293,..,..,..,..,..,..,..,..,293,..,48,..,..,..,..,..,..,..,48,..,35,12,8,3,0,0,0,0,57,..,19,6,0,0,3,3,3,0,35,..,3,5,0,0,0,0,0,0,6
LGA34770,..,99,2289,3589,4151,3974,2722,1233,252,18312,..,670,1580,885,811,475,162,47,6,4636,..,28,91,216,304,167,62,50,24,931,11264,..,..,..,..,..,..,..,..,11264,..,2026,..,..,..,..,..,..,..,2026,..,2196,718,333,242,90,9,0,0,3586,..,270,176,85,109,120,88,49,14,923,..,204,163,93,70,37,22,5,3,599,..,351,388,187,198,171,98,49,8,1451,..,238,672,719,991,1048,743,397,156,4967,220,321,278,167,193,184,116,47,9,1537,11487,6409,6355,6279,7065,6263,4029,1874,476,50228,..,271,3271,4271,4708,4006,2356,845,119,19851,..,1075,1671,927,834,431,143,36,3,5119,..,229,832,1085,792,307,157,151,84,3639,10766,..,..,..,..,..,..,..,..,10766,..,2077,..,..,..,..,..,..,..,2077,..,1388,338,121,103,62,9,0,0,2023,..,223,63,40,93,171,156,121,63,937,..,169,82,33,35,20,7,4,0,353
LGA34800,..,0,12,26,24,24,18,8,0,117,..,3,8,5,6,0,0,0,0,31,..,0,0,0,0,0,0,0,0,0,53,..,..,..,..,..,..,..,..,53,..,3,..,..,..,..,..,..,..,3,..,13,3,4,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,4,..,0,8,0,0,0,0,0,0,13,..,3,3,0,0,5,0,0,0,8,..,3,3,3,13,17,16,3,0,60,3,3,7,4,3,5,0,0,0,20,58,29,42,48,50,54,32,10,0,326,..,3,15,28,21,28,12,3,0,109,..,3,9,4,4,0,3,0,0,30,..,0,3,6,5,0,3,0,0,19,66,..,..,..,..,..,..,..,..,66,..,0,..,..,..,..,..,..,..,0,..,8,7,3,3,0,0,0,0,16,..,0,0,0,0,0,0,0,0,0,..,8,5,3,0,0,0,0,0,17
LGA34830,..,0,0,0,3,3,0,3,0,15,..,3,9,5,0,3,0,0,0,21,..,0,0,0,0,4,0,0,0,5,35,..,..,..,..,..,..,..,..,35,..,3,..,..,..,..,..,..,..,3,..,9,7,3,0,0,0,0,0,17,..,6,6,4,0,4,0,0,0,26,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,3,3,3,0,0,0,12,0,0,6,0,0,0,0,0,0,9,37,26,23,16,14,21,7,7,0,146,..,0,0,0,3,3,3,0,0,13,..,6,3,3,0,3,0,0,0,23,..,0,3,0,11,3,0,0,0,15,43,..,..,..,..,..,..,..,..,43,..,3,..,..,..,..,..,..,..,3,..,5,3,0,0,0,0,0,0,11,..,8,0,0,0,0,3,0,0,14,..,0,0,0,0,0,0,0,0,3
LGA34860,..,12,302,419,423,397,309,136,22,2021,..,89,175,94,90,65,14,11,0,534,..,0,3,13,20,14,9,3,0,64,1293,..,..,..,..,..,..,..,..,1293,..,161,..,..,..,..,..,..,..,161,..,184,61,24,27,12,0,0,0,316,..,16,18,3,10,8,6,4,3,64,..,21,24,12,12,6,4,0,0,79,..,35,47,10,16,16,14,3,3,144,..,57,90,60,104,124,119,67,23,640,30,45,43,19,26,20,16,4,9,215,1328,618,766,651,725,661,490,226,58,5533,..,30,378,482,446,406,232,98,18,2084,..,136,178,94,84,46,20,3,3,565,..,25,65,87,75,30,13,15,9,326,1136,..,..,..,..,..,..,..,..,1136,..,128,..,..,..,..,..,..,..,128,..,96,29,20,9,4,0,0,0,160,..,20,7,0,3,7,8,11,3,57,..,18,8,3,3,0,0,0,0,38
LGA34880,..,12,211,456,673,712,648,378,86,3179,..,72,194,213,182,160,70,11,0,911,..,5,19,48,42,40,21,10,8,205,1781,..,..,..,..,..,..,..,..,1781,..,315,..,..,..,..,..,..,..,315,..,326,148,80,80,22,3,0,0,659,..,65,43,21,24,33,30,19,4,242,..,40,35,18,27,18,10,3,0,154,..,43,69,41,44,62,39,14,0,308,..,38,80,103,149,265,259,138,37,1074,43,42,53,35,44,36,32,12,3,307,1827,955,860,1020,1280,1353,1111,586,148,9134,..,22,336,586,736,723,624,241,25,3293,..,110,239,215,196,138,42,6,0,957,..,47,104,185,158,79,46,52,19,692,1680,..,..,..,..,..,..,..,..,1680,..,330,..,..,..,..,..,..,..,330,..,221,71,21,35,18,4,0,0,375,..,50,16,20,12,56,43,39,17,257,..,47,18,11,5,4,4,3,0,94
LGA35010,..,453,8317,15240,16249,14681,12801,5476,1151,74377,..,2005,5217,3722,2911,1571,809,183,25,16442,..,63,330,862,1166,654,287,144,98,3604,42974,..,..,..,..,..,..,..,..,42974,..,9485,..,..,..,..,..,..,..,9485,..,8916,3819,1617,906,336,48,0,0,15642,..,1172,759,379,416,469,406,211,113,3927,..,1043,819,480,397,243,107,29,10,3136,..,1007,1374,719,822,713,479,165,41,5315,..,487,1468,1925,2523,2556,2447,1409,660,13475,771,848,795,578,432,351,319,140,28,4255,43747,25470,22906,25526,25819,21571,17696,7767,2124,192635,..,897,11057,16905,16927,14704,11320,3783,513,76106,..,3030,5477,3741,2801,1430,615,120,14,17230,..,902,3104,4612,4219,1799,911,619,325,16489,40738,..,..,..,..,..,..,..,..,40738,..,9788,..,..,..,..,..,..,..,9788,..,6135,2215,788,457,280,63,3,0,9939,..,910,437,222,485,856,994,630,408,4936,..,947,455,157,209,147,53,23,6,2003
LGA35250,..,0,9,6,9,11,3,0,0,38,..,6,29,34,24,8,3,0,0,104,..,0,3,0,7,3,0,0,0,12,180,..,..,..,..,..,..,..,..,180,..,9,..,..,..,..,..,..,..,9,..,47,8,3,0,0,0,0,0,62,..,14,9,7,4,6,3,4,0,59,..,0,0,0,4,0,0,0,0,4,..,0,3,0,0,0,0,0,0,6,..,3,10,6,7,4,5,3,0,37,4,9,3,0,3,0,0,0,0,21,187,90,73,59,61,34,23,6,0,531,..,3,0,6,8,14,4,0,0,38,..,15,35,32,27,6,0,0,0,105,..,17,27,15,16,6,0,0,0,80,146,..,..,..,..,..,..,..,..,146,..,11,..,..,..,..,..,..,..,11,..,24,3,0,0,0,0,0,0,33,..,19,5,10,8,9,6,0,0,64,..,0,0,0,0,0,0,0,0,0
LGA35300,..,20,482,580,578,418,233,84,9,2400,..,163,428,226,124,79,15,5,0,1033,..,6,11,41,71,32,15,4,8,184,1964,..,..,..,..,..,..,..,..,1964,..,247,..,..,..,..,..,..,..,247,..,348,126,49,33,14,0,0,0,565,..,69,34,25,17,30,11,8,0,193,..,36,40,20,10,8,3,0,0,115,..,96,113,59,35,17,7,11,0,344,..,74,212,137,188,168,123,43,11,944,52,55,70,39,44,42,19,8,0,336,2015,1103,1520,1168,1110,799,431,153,20,8328,..,54,597,634,567,355,165,54,4,2431,..,244,426,184,139,61,16,0,4,1066,..,65,143,157,132,55,25,23,8,605,1901,..,..,..,..,..,..,..,..,1901,..,227,..,..,..,..,..,..,..,227,..,199,50,19,20,6,0,0,0,293,..,59,26,14,21,30,22,7,5,184,..,31,16,3,4,3,0,0,0,59
