LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA32250,..,0,29,25,48,47,34,14,0,212,..,10,32,22,19,18,15,0,0,118,..,0,3,3,7,0,0,0,0,18,177,..,..,..,..,..,..,..,..,177,..,3,..,..,..,..,..,..,..,3,..,33,12,5,6,0,0,0,0,49,..,16,3,14,10,3,3,0,0,49,..,13,5,0,4,3,0,0,0,23,..,4,8,3,5,6,6,0,0,30,..,3,9,17,12,21,42,16,4,120,13,15,3,5,4,8,0,0,3,50,186,89,100,89,117,113,100,35,9,855,..,3,32,37,54,43,31,5,0,217,..,13,37,25,25,19,10,4,0,132,..,9,24,25,14,11,3,3,0,89,178,..,..,..,..,..,..,..,..,178,..,6,..,..,..,..,..,..,..,6,..,26,3,4,10,0,0,0,0,39,..,9,7,8,3,8,5,0,0,48,..,3,4,0,3,0,0,0,0,5
LGA32260,..,31,395,672,933,1144,906,509,100,4693,..,140,317,222,237,180,76,12,0,1191,..,0,27,41,83,58,23,15,6,262,2490,..,..,..,..,..,..,..,..,2490,..,389,..,..,..,..,..,..,..,389,..,521,188,116,66,38,3,0,0,932,..,87,53,21,36,45,40,24,7,318,..,40,41,16,19,15,11,7,0,158,..,70,87,51,74,91,50,18,3,436,..,41,140,152,312,421,357,193,53,1670,52,60,44,28,47,53,39,12,0,330,2538,1384,1288,1316,1811,2047,1506,795,183,12874,..,64,556,788,1026,1145,834,300,43,4753,..,200,358,235,214,181,54,3,0,1250,..,53,168,262,205,94,52,49,33,914,2220,..,..,..,..,..,..,..,..,2220,..,388,..,..,..,..,..,..,..,388,..,292,83,39,29,13,3,0,0,460,..,58,25,15,24,54,42,28,20,264,..,31,20,11,12,10,3,3,0,87
LGA32270,..,38,824,1107,985,794,375,139,25,4277,..,186,407,237,163,91,30,8,0,1126,..,3,22,43,56,25,9,14,3,173,3106,..,..,..,..,..,..,..,..,3106,..,405,..,..,..,..,..,..,..,405,..,404,127,45,32,6,0,0,0,619,..,70,28,10,16,24,12,10,0,181,..,49,22,12,17,3,4,3,0,120,..,93,91,31,35,35,14,3,0,305,..,105,237,182,283,270,210,71,18,1373,57,66,77,45,59,53,23,3,0,383,3165,1422,1836,1717,1643,1302,682,251,45,12067,..,74,1100,1167,1014,714,323,72,7,4472,..,287,437,223,157,97,23,3,0,1219,..,51,129,162,130,51,22,10,4,564,2975,..,..,..,..,..,..,..,..,2975,..,343,..,..,..,..,..,..,..,343,..,247,52,16,6,4,0,0,0,328,..,36,12,3,27,28,15,18,3,145,..,35,14,3,4,3,4,0,0,75
LGA32310,..,11,158,283,327,404,353,175,25,1722,..,41,100,80,63,51,26,8,0,377,..,4,4,16,38,11,4,10,3,99,1093,..,..,..,..,..,..,..,..,1093,..,166,..,..,..,..,..,..,..,166,..,184,78,48,14,10,3,0,0,337,..,27,16,9,8,19,16,9,0,103,..,27,8,5,6,8,3,3,0,59,..,32,28,16,13,20,16,5,0,120,..,36,57,65,81,132,150,65,23,608,26,34,19,25,16,16,13,6,0,155,1113,562,471,544,559,665,588,283,55,4842,..,26,229,365,393,392,322,115,8,1852,..,72,105,94,73,45,15,5,0,409,..,28,75,116,108,40,17,20,11,416,1019,..,..,..,..,..,..,..,..,1019,..,158,..,..,..,..,..,..,..,158,..,126,33,20,7,11,0,0,0,202,..,18,15,8,16,13,26,16,5,112,..,23,6,4,0,3,0,0,0,43
LGA32330,..,0,7,4,3,10,3,0,0,26,..,12,26,24,19,18,0,0,0,92,..,3,5,4,8,0,0,0,0,24,249,..,..,..,..,..,..,..,..,249,..,24,..,..,..,..,..,..,..,24,..,31,11,11,0,0,0,0,0,48,..,37,9,8,11,8,0,0,0,79,..,0,3,3,3,3,0,0,0,13,..,0,0,0,4,3,0,0,0,12,..,0,3,13,8,6,0,0,0,29,0,3,3,0,0,0,0,0,0,5,250,115,64,67,59,42,4,0,0,598,..,0,4,6,8,9,3,0,0,25,..,13,28,23,18,11,0,0,0,89,..,25,27,31,16,12,8,0,0,114,204,..,..,..,..,..,..,..,..,204,..,13,..,..,..,..,..,..,..,13,..,28,7,7,3,0,0,0,0,50,..,26,13,7,10,10,10,0,0,79,..,5,0,0,4,0,0,0,0,9
LGA32450,..,5,51,75,76,74,43,7,0,333,..,22,55,26,19,20,4,0,0,145,..,0,0,3,6,3,5,0,0,16,264,..,..,..,..,..,..,..,..,264,..,27,..,..,..,..,..,..,..,27,..,38,18,7,6,0,0,0,0,72,..,11,9,3,5,10,4,0,3,45,..,7,0,3,3,0,0,0,0,15,..,13,11,5,8,12,7,0,0,53,..,18,24,18,39,41,37,13,4,182,11,7,17,5,3,3,0,0,0,41,272,144,178,139,165,156,107,23,7,1190,..,9,69,66,76,69,34,3,0,326,..,29,62,23,18,15,0,0,0,159,..,9,15,21,12,6,7,5,0,66,251,..,..,..,..,..,..,..,..,251,..,23,..,..,..,..,..,..,..,23,..,10,12,0,3,0,0,0,0,29,..,11,0,4,0,4,3,0,0,29,..,3,0,0,0,0,0,0,0,9
LGA32500,..,3,33,69,95,96,103,29,0,425,..,21,43,66,39,32,24,4,0,227,..,4,3,5,14,8,7,3,0,42,299,..,..,..,..,..,..,..,..,299,..,21,..,..,..,..,..,..,..,21,..,73,28,16,4,0,0,0,0,126,..,28,11,10,17,18,3,3,0,87,..,3,5,5,5,6,0,0,0,21,..,13,26,16,15,16,15,3,0,104,..,4,19,22,50,83,88,32,5,313,9,8,7,11,12,10,6,3,0,67,308,187,175,211,243,263,261,79,7,1733,..,0,60,72,94,119,83,6,0,436,..,26,65,57,39,38,13,0,3,233,..,10,17,35,20,19,3,4,0,115,326,..,..,..,..,..,..,..,..,326,..,29,..,..,..,..,..,..,..,29,..,26,15,3,3,0,0,0,0,45,..,17,4,6,8,10,8,4,0,59,..,3,0,0,0,0,0,0,0,10
LGA32600,..,0,3,7,13,5,4,3,0,39,..,4,0,5,3,3,0,0,0,9,..,0,0,0,0,0,0,0,0,0,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,6,0,0,0,0,0,0,0,9,..,0,0,0,0,3,0,0,0,4,..,0,3,0,0,3,7,0,0,11,0,0,0,0,0,3,0,0,0,10,16,9,10,15,12,21,8,3,3,102,..,0,6,8,9,13,4,3,0,42,..,0,4,3,4,0,0,0,0,15,..,0,4,3,0,0,0,0,0,8,25,..,..,..,..,..,..,..,..,25,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA32750,..,0,5,9,11,6,3,0,0,29,..,3,0,8,0,3,0,0,0,12,..,0,0,0,0,0,0,0,0,0,23,..,..,..,..,..,..,..,..,23,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,7,..,3,0,0,3,3,5,0,0,16,3,4,3,0,0,0,0,0,0,13,20,19,18,19,16,16,12,0,0,111,..,0,11,10,7,6,0,0,0,31,..,3,3,3,3,0,0,0,0,14,..,0,0,0,0,0,0,0,0,3,21,..,..,..,..,..,..,..,..,21,..,0,..,..,..,..,..,..,..,0,..,3,3,0,0,0,0,0,0,3,..,0,3,0,0,0,0,0,0,3,..,3,0,0,0,0,0,0,0,3
LGA32770,..,0,9,21,11,16,3,0,0,60,..,25,44,39,14,6,0,0,0,139,..,0,0,3,0,0,0,0,0,5,295,..,..,..,..,..,..,..,..,295,..,10,..,..,..,..,..,..,..,10,..,48,9,3,0,0,0,0,0,62,..,24,14,5,7,10,0,0,0,57,..,0,0,4,0,0,0,0,0,4,..,3,4,0,0,0,0,0,0,6,..,0,3,9,3,5,4,0,0,20,0,0,11,0,0,0,0,0,0,11,296,113,90,81,42,39,9,0,0,669,..,0,8,19,19,12,0,0,0,62,..,26,57,37,13,3,0,0,0,139,..,21,27,14,3,12,6,0,0,79,216,..,..,..,..,..,..,..,..,216,..,11,..,..,..,..,..,..,..,11,..,27,8,3,0,0,0,0,0,40,..,36,10,9,12,6,9,4,0,75,..,0,0,0,0,0,0,0,0,6
