LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA34570,0,0,0,0,0,0,0,0,20,0,0,3,19,0,0,0,22,0,0,22,9,6,0,11,26,0,0,0,26,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,30,3,0,14,47,0,0,0,48,6,0,56,3,0,0,0,3,15,0,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,0,15,15,0,0,15,33,3,0,14,47,13,0,13,64,6,0,73,11,9,0,10,27,0,0,0,27,23,0,54,0,0,0,7,8,0,0,0,8,0,3,8,50,12,0,26,87,13,0,13,96,32,3,135
LGA34580,31,0,0,0,29,9,0,41,1161,80,29,17,1290,36,0,36,1319,93,4,1420,1668,240,30,24,1962,28,12,39,2005,105,3,2115,132,13,21,0,171,0,0,0,171,0,0,178,16,0,0,34,47,0,0,0,47,6,3,62,2981,334,83,77,3475,65,12,72,3550,207,6,3766,45,13,0,4,62,9,4,16,77,9,0,92,118,11,0,8,146,12,0,12,156,4,0,159,167,32,4,10,207,24,4,22,232,17,0,248,3148,362,86,89,3684,87,12,99,3781,229,6,4016,1173,202,54,33,1466,88,20,113,1578,377,4,1953,22,3,0,7,28,0,0,0,28,0,17,47,4334,566,143,126,5172,175,35,213,5383,605,29,6024
LGA34590,696,37,9,44,744,150,0,890,12182,1214,181,94,13673,347,72,418,14093,927,24,15047,13202,1920,189,155,15469,337,72,411,15879,701,13,16591,1430,195,199,14,1847,29,7,33,1882,75,0,1957,246,51,3,297,593,8,0,15,605,54,21,678,27069,3383,569,555,31580,729,153,880,32458,1762,50,34268,715,132,7,20,878,206,13,213,1097,86,3,1186,956,194,19,24,1183,116,31,142,1333,103,0,1435,1674,326,26,41,2064,315,39,356,2423,192,3,2620,28738,3710,594,597,33647,1049,187,1237,34883,1951,56,36893,11500,2136,296,428,14362,889,157,1053,15409,3309,57,18780,37,3,0,58,99,7,4,10,111,25,197,327,40284,5851,888,1079,48105,1945,353,2296,50403,5280,313,55994
LGA34710,0,0,0,0,0,0,0,0,167,13,3,0,184,4,0,4,188,17,5,214,114,3,9,4,125,0,0,0,128,0,0,128,33,3,0,4,41,0,0,0,41,5,0,42,4,0,0,0,7,0,0,0,7,0,0,7,320,19,13,7,363,6,0,8,365,25,5,395,4,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,7,3,0,6,328,19,13,7,365,6,3,11,376,27,5,400,81,3,4,0,91,0,0,0,91,9,0,97,0,0,0,0,0,0,0,0,0,0,0,0,406,25,12,7,453,6,3,11,463,36,5,501
LGA34770,93,4,0,6,96,3,0,98,3619,261,61,28,3966,146,18,162,4132,180,0,4316,6072,503,125,85,6784,139,4,145,6930,154,5,7091,481,14,101,7,609,23,0,23,630,8,0,642,62,8,4,92,174,6,0,6,176,4,3,184,10238,790,299,209,11538,310,24,333,11871,353,11,12231,218,31,3,6,257,45,0,45,302,48,0,345,433,30,0,12,477,40,13,51,530,20,3,548,645,62,3,20,733,88,13,100,834,67,3,895,10884,856,299,235,12270,398,38,429,12700,417,12,13127,3570,332,127,113,4143,251,13,271,4405,364,18,4795,28,4,0,5,37,6,0,6,45,0,42,83,14483,1187,424,352,16452,653,53,704,17152,784,70,18002
LGA34800,0,0,0,0,0,0,0,0,42,0,0,0,48,0,0,0,48,0,0,49,28,0,0,0,28,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,72,0,0,0,72,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,72,0,0,0,72,0,0,79,11,0,0,7,17,0,0,0,22,0,0,22,3,0,0,0,3,0,0,0,3,0,0,3,86,0,0,7,99,0,0,0,98,0,0,102
LGA34830,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,15,0,0,15,15,0,0,3,15,4,0,8,28,18,0,41,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,30,4,0,8,40,18,0,58
LGA34860,3,0,0,0,3,0,0,3,657,62,7,0,727,14,0,14,735,19,0,755,638,59,10,13,717,17,0,17,736,25,0,754,49,7,9,0,65,0,0,0,65,3,0,68,9,0,0,3,15,0,0,0,15,0,0,15,1348,129,27,20,1526,25,0,25,1550,43,0,1597,0,0,0,3,3,8,0,8,16,0,0,17,20,3,0,0,21,0,0,0,21,3,0,29,26,5,0,3,29,8,0,8,36,3,0,42,1372,138,27,20,1557,39,0,39,1591,47,0,1639,317,19,15,13,367,6,0,6,370,45,0,419,0,0,0,0,0,0,0,0,0,0,4,9,1693,154,36,35,1918,45,0,45,1961,100,5,2068
LGA34880,15,0,0,0,15,0,0,18,708,81,12,9,819,3,3,8,828,43,0,870,786,144,13,14,967,13,3,13,982,45,5,1031,46,10,12,0,70,0,0,0,75,4,0,83,10,0,0,11,19,0,4,4,21,3,0,29,1546,244,42,43,1872,17,8,30,1907,100,4,2009,11,3,0,0,15,15,0,16,31,3,0,30,17,5,0,0,20,11,0,11,32,6,0,39,34,3,0,0,38,22,0,24,66,9,0,72,1578,246,42,43,1912,44,13,56,1966,113,4,2087,379,103,16,9,508,56,11,59,568,211,0,781,3,0,0,0,4,0,0,0,4,0,16,22,1965,348,58,53,2428,95,22,118,2542,319,20,2886
LGA35010,962,35,4,32,994,132,3,1130,16919,1717,276,118,19037,434,123,559,19599,1164,11,20775,23377,2456,391,174,26404,458,82,540,26938,973,31,27938,2057,268,316,30,2668,39,8,46,2718,98,3,2817,255,47,3,287,586,28,7,30,615,50,21,682,42609,4492,989,610,48688,961,217,1176,49863,2292,66,52219,780,95,30,26,936,194,14,202,1137,95,0,1231,1353,187,31,40,1612,123,23,137,1751,122,0,1871,2132,288,57,67,2544,308,36,341,2891,210,0,3104,44741,4778,1042,676,51236,1268,249,1519,52754,2501,66,55324,14391,1851,487,427,17152,729,132,864,18017,2315,42,20376,76,13,0,50,138,0,0,0,138,11,142,296,59207,6639,1529,1149,68527,2002,383,2383,70915,4830,255,75996
