LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA35250,0,0,0,0,0,0,0,0,32,0,0,0,34,8,0,8,39,9,0,46,12,5,0,0,14,3,3,4,20,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,42,4,0,0,46,6,3,12,56,13,0,72,3,0,0,0,3,4,0,4,3,6,0,14,0,0,0,0,0,3,0,3,3,0,0,3,3,0,0,0,3,8,0,8,8,6,0,16,42,4,0,0,47,17,3,19,64,26,0,89,36,20,0,4,56,24,0,24,77,18,0,97,6,0,0,0,6,0,0,0,6,0,8,15,79,27,0,3,104,41,3,43,148,46,8,202
LGA35300,5,0,0,0,5,0,0,5,881,33,14,13,945,16,3,17,962,34,0,992,882,49,4,16,955,9,0,9,968,21,0,991,105,10,14,0,129,0,0,0,129,0,0,129,11,0,0,10,27,0,0,0,27,0,0,26,1882,87,41,43,2060,27,3,25,2085,54,0,2141,25,3,4,0,33,16,0,16,48,3,0,50,47,3,3,3,59,7,0,7,60,0,0,60,70,9,6,3,93,20,0,20,108,3,0,113,1952,101,50,49,2146,44,3,44,2197,60,0,2256,707,26,33,23,792,37,6,45,837,66,3,904,3,0,0,0,3,4,0,4,7,3,10,20,2663,127,80,71,2942,85,7,94,3036,126,10,3172
LGA35600,0,0,0,0,0,0,0,0,197,16,0,0,214,5,0,5,221,4,0,226,153,23,0,12,186,6,0,9,196,13,0,211,19,0,6,0,27,0,0,0,27,0,0,27,0,0,0,11,14,0,0,0,14,0,0,16,370,36,11,16,441,10,0,17,456,22,0,476,8,0,0,0,8,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,4,5,0,6,13,0,0,0,13,0,0,0,13,5,0,12,380,36,11,16,452,10,0,17,465,25,0,483,77,3,0,0,78,19,0,19,103,23,3,134,3,0,0,0,3,0,0,0,3,0,5,11,465,42,11,23,531,34,0,34,568,46,7,625
LGA35670,0,0,0,0,0,0,0,0,15,3,0,0,17,0,0,0,19,5,0,29,3,3,0,0,13,0,0,0,12,7,0,14,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,30,7,0,7,32,15,0,45,6,0,0,0,6,3,0,3,14,4,0,18,0,0,0,0,0,7,0,7,7,0,0,7,6,0,0,0,6,5,0,5,14,4,0,23,31,7,0,0,32,15,0,15,51,15,0,65,35,15,0,0,47,31,8,40,84,49,0,136,0,0,0,0,0,0,0,0,0,0,0,0,58,18,0,0,82,42,8,51,132,71,0,204
LGA35740,49,0,0,3,52,16,0,72,1392,258,25,7,1686,18,3,22,1708,114,0,1823,2286,486,39,23,2837,55,11,71,2905,148,7,3060,118,27,14,0,161,5,0,5,166,11,0,173,26,0,0,23,52,3,0,3,56,4,3,61,3823,771,85,61,4741,80,15,96,4836,281,6,5120,44,9,0,0,49,15,0,15,63,10,0,76,94,21,0,0,120,9,5,20,135,14,0,148,141,25,0,0,173,26,5,27,197,21,0,221,3964,801,87,61,4911,106,22,124,5034,299,9,5342,977,213,49,40,1271,56,4,65,1334,251,0,1587,8,0,3,10,19,0,0,0,19,0,15,34,4940,1014,136,108,6197,160,30,190,6390,550,26,6961
LGA35760,3,0,0,0,3,0,0,3,408,45,6,0,458,8,0,12,470,19,0,488,404,49,0,13,467,0,3,5,471,19,0,492,30,0,7,0,39,0,0,0,37,4,0,41,13,0,0,8,19,0,0,0,19,0,0,14,850,96,10,19,976,12,6,21,994,40,0,1037,9,0,0,0,12,0,0,0,10,3,0,17,6,0,0,0,6,3,0,5,13,0,0,13,18,0,0,0,18,6,0,9,28,3,0,28,869,98,10,19,996,16,3,26,1019,47,0,1063,190,27,7,9,233,23,3,29,261,74,4,345,0,3,0,0,3,0,0,0,3,0,7,12,1057,125,16,25,1232,44,13,52,1285,121,15,1417
LGA35780,0,0,0,0,0,0,0,0,147,16,0,13,171,37,3,40,209,34,5,243,39,13,0,3,54,0,0,0,54,30,0,83,5,0,12,0,23,0,0,0,23,0,0,25,0,0,3,0,10,0,0,0,10,4,0,7,194,33,16,15,258,37,3,40,298,62,5,361,7,10,0,0,16,32,0,32,48,6,0,52,5,0,0,0,5,3,3,10,12,0,0,12,15,10,0,0,20,32,3,36,59,6,0,64,205,45,16,15,278,70,5,73,355,67,5,428,75,24,0,5,106,20,4,21,126,132,0,259,0,0,0,0,0,0,0,0,0,0,4,3,288,69,22,20,392,83,13,95,485,197,7,692
LGA35790,0,0,0,0,0,0,0,0,30,7,0,0,38,0,0,0,38,16,0,50,5,32,0,0,45,15,3,20,58,31,0,90,8,0,0,0,3,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,43,45,0,0,86,15,3,20,106,52,0,153,0,0,0,0,0,10,0,10,10,3,0,11,6,0,0,0,4,0,7,7,17,4,0,20,6,0,0,0,5,10,7,17,19,9,0,31,52,46,0,0,93,17,13,33,125,53,0,179,41,38,0,7,85,20,29,54,133,151,0,290,0,0,0,0,0,0,0,0,0,0,6,6,89,80,0,7,180,46,36,84,259,207,6,476
LGA35800,0,0,0,0,0,0,0,0,42,0,0,0,48,0,0,0,48,3,0,50,32,0,0,0,32,0,0,0,32,5,0,38,10,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,88,7,0,0,94,0,0,0,94,8,0,104,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,88,7,0,0,94,3,0,3,95,8,0,104,12,0,0,0,16,3,0,3,15,19,0,35,0,0,0,0,0,0,0,0,0,0,0,0,101,6,0,0,111,5,0,5,114,28,0,145
LGA36070,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,3,0,11,8,14,0,0,18,0,0,0,17,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,30,0,0,0,28,3,0,34,3,0,0,0,3,3,0,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,7,8,0,0,8,16,14,0,0,36,3,0,4,43,9,0,50,19,14,0,0,33,0,3,3,35,21,0,58,0,0,0,0,0,0,0,0,0,0,0,4,34,27,0,0,64,9,3,13,74,31,0,110
LGA36150,0,0,0,0,0,0,0,0,53,0,0,0,52,0,0,0,52,0,0,52,15,0,3,0,24,3,0,3,23,0,0,23,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,74,3,3,0,76,3,0,3,82,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,3,3,0,76,3,0,3,82,0,0,82,13,5,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,86,7,3,0,99,3,0,3,101,0,0,100
LGA36250,474,17,7,19,501,60,3,563,6598,682,113,31,7420,141,24,166,7585,352,12,7949,8993,807,129,68,9999,150,25,172,10175,250,17,10436,705,71,81,10,862,3,0,5,867,33,0,903,83,4,0,99,186,0,0,0,187,5,7,201,16380,1554,318,214,18469,299,51,346,18817,639,32,19487,227,29,0,3,255,25,0,25,283,17,0,298,393,52,4,18,472,15,4,13,488,17,0,506,615,78,11,18,728,37,4,41,769,38,0,803,16997,1638,332,234,19196,332,54,387,19587,676,32,20291,4117,452,99,82,4749,132,22,161,4906,501,14,5421,22,0,0,12,37,3,0,3,38,0,36,68,21140,2093,423,323,23975,468,78,551,24524,1173,77,25779
LGA36300,0,0,0,0,0,0,0,0,27,3,0,0,29,0,0,0,29,0,0,29,19,0,0,0,23,0,0,0,23,0,0,23,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,54,0,0,0,54,0,0,54,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,3,0,0,56,0,0,0,56,0,0,58,28,3,0,0,33,0,0,0,33,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,78,11,0,3,86,0,0,0,86,3,0,91
LGA36370,66,3,0,4,67,13,0,80,2781,255,57,14,3111,114,15,128,3232,211,5,3454,3522,366,70,28,3993,108,23,131,4121,132,0,4262,359,34,40,0,423,12,0,14,440,22,0,458,30,13,3,49,93,0,0,0,95,7,0,102,6692,663,161,102,7622,232,37,272,7893,373,5,8277,107,16,4,0,129,46,3,50,176,33,0,206,197,16,8,5,222,36,6,43,261,13,0,277,299,35,9,5,349,81,8,88,437,49,0,488,6991,696,175,104,7972,316,48,359,8333,424,5,8759,2010,301,85,57,2459,186,26,211,2668,495,4,3168,8,7,3,4,19,0,0,0,19,0,21,40,9012,1010,265,166,10452,502,71,574,11025,917,35,11970
LGA36510,56,0,0,0,55,3,0,57,1357,141,38,11,1551,30,9,36,1584,94,9,1688,2021,282,23,25,2350,48,13,57,2404,91,4,2501,151,26,26,0,200,0,0,0,200,16,0,214,21,4,5,35,64,0,0,0,66,4,0,70,3548,452,86,67,4161,72,16,90,4254,210,10,4473,40,10,0,0,46,18,0,18,63,4,0,67,65,13,3,3,86,3,3,7,86,11,0,98,104,17,3,4,134,20,3,18,151,16,0,164,3652,474,91,77,4296,95,21,114,4405,224,10,4644,1154,185,37,35,1415,48,8,52,1461,301,3,1767,25,4,0,3,31,0,0,0,31,0,25,58,4836,661,133,112,5741,137,26,165,5902,528,37,6469
LGA36580,18,0,0,0,16,5,0,20,687,67,4,3,757,9,8,20,776,96,0,871,985,157,10,16,1177,13,3,15,1191,68,0,1257,63,5,25,3,97,3,0,3,94,8,0,101,18,0,0,19,36,0,0,0,36,11,0,47,1750,235,40,41,2066,27,7,35,2102,176,0,2275,51,3,0,0,51,27,0,27,74,10,0,88,33,0,11,0,48,5,0,5,50,4,0,51,82,5,11,0,99,29,0,29,128,16,0,137,1829,238,46,41,2163,59,7,62,2224,193,0,2420,783,128,40,37,983,74,12,81,1062,297,4,1361,0,0,0,4,4,3,0,3,6,0,9,22,2611,365,87,83,3147,129,16,147,3295,488,14,3803
LGA36630,3,0,0,0,3,0,0,6,841,84,7,11,949,11,3,11,967,55,0,1024,1205,199,34,11,1444,26,3,29,1475,105,5,1581,105,14,3,0,120,4,0,9,125,4,0,129,9,0,0,21,30,0,0,0,30,4,0,30,2162,295,46,45,2550,37,12,46,2592,168,5,2771,26,7,0,0,34,17,3,22,59,17,0,71,49,3,0,0,51,0,0,0,58,15,0,70,75,13,0,0,88,21,3,23,111,34,0,150,2233,309,46,45,2636,56,14,73,2707,203,5,2916,845,196,24,33,1095,78,33,108,1209,410,3,1623,3,0,0,0,6,3,0,3,9,0,12,22,3082,507,69,84,3738,141,44,184,3923,616,18,4556
LGA36660,19,0,0,0,19,3,0,25,926,146,14,10,1094,26,5,29,1118,89,0,1208,1555,243,24,13,1839,26,3,28,1862,103,3,1965,141,10,30,0,186,0,0,0,186,11,0,192,26,0,3,25,50,0,0,0,50,3,3,52,2651,396,73,45,3163,49,3,52,3215,205,3,3424,37,0,0,0,35,3,0,3,40,11,0,53,46,10,0,0,57,4,0,5,65,10,0,73,85,8,0,0,96,7,0,9,107,24,0,130,2735,409,73,45,3263,59,4,62,3323,223,3,3551,983,188,35,37,1243,53,9,69,1315,370,0,1683,4,4,0,0,12,0,0,0,12,3,25,40,3722,598,103,87,4515,116,18,128,4646,604,36,5278
LGA36720,481,14,0,14,488,57,0,548,9018,1362,137,66,10575,198,60,261,10843,575,8,11422,15879,2484,257,152,18762,321,31,359,19119,685,28,19841,1041,139,176,10,1371,27,0,26,1399,55,0,1450,183,28,3,174,381,6,3,10,393,24,4,425,26121,4002,573,400,31099,552,104,654,31752,1342,37,33132,311,85,9,10,416,68,11,73,490,61,0,555,795,123,13,20,947,61,17,77,1026,49,5,1081,1104,213,24,25,1361,126,26,153,1516,109,5,1636,27218,4216,599,426,32463,679,132,807,33269,1446,45,34767,7419,1239,255,215,9129,341,68,404,9531,1168,26,10721,43,3,0,31,79,0,0,0,79,9,66,153,34685,5461,852,669,41660,1014,200,1214,42873,2625,139,45639
LGA36820,5,0,0,0,5,3,0,9,621,91,23,4,730,18,3,22,754,64,0,812,1048,181,20,13,1255,25,3,27,1286,71,0,1359,75,13,15,3,99,3,0,3,100,11,0,111,12,3,0,21,30,0,0,0,30,8,0,40,1746,282,54,37,2118,44,7,49,2165,151,0,2318,17,0,0,3,19,15,0,11,30,5,0,38,19,18,0,0,39,0,0,0,38,0,0,38,37,18,0,3,53,14,0,12,67,5,0,74,1781,298,54,36,2173,57,6,63,2238,157,0,2395,435,105,34,23,597,53,4,53,649,143,15,808,3,0,4,3,9,0,0,0,9,0,13,30,2218,402,90,61,2780,109,15,120,2897,305,36,3237
LGA36910,201,13,0,14,214,29,0,244,5777,599,68,53,6493,129,37,167,6660,342,0,7002,8685,921,130,86,9827,118,18,134,9956,332,6,10298,708,81,113,4,901,9,4,17,920,33,0,952,86,9,3,89,183,11,0,11,197,12,7,215,15261,1606,312,225,17408,271,59,327,17732,716,16,18463,205,42,6,8,262,35,0,35,297,50,0,347,375,45,15,13,442,30,33,59,505,29,0,533,582,82,16,23,701,67,33,100,803,84,0,884,15841,1688,328,254,18112,339,85,422,18538,792,16,19346,5083,757,146,105,6091,297,77,379,6462,1066,11,7545,22,4,3,5,38,0,0,0,38,0,47,82,20948,2448,476,358,24232,633,167,800,25036,1861,78,26975
LGA36950,0,0,0,0,0,0,0,0,172,30,8,4,211,3,3,7,215,25,0,241,61,38,3,10,110,0,0,0,110,3,0,113,6,0,4,0,10,0,0,0,10,0,0,10,9,3,0,16,22,4,0,4,31,0,0,31,244,72,16,24,352,9,3,9,366,27,0,395,5,0,0,0,4,6,0,6,12,0,0,12,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,6,0,6,13,0,0,13,246,72,16,24,360,14,3,16,380,27,0,403,88,7,9,8,114,6,7,12,129,43,0,170,0,0,0,0,0,0,0,0,0,4,19,24,336,81,23,33,480,18,8,29,510,72,19,600
LGA36960,4,0,0,0,4,4,0,4,71,20,0,3,92,11,3,11,103,33,3,143,60,37,3,3,101,3,4,7,110,40,0,145,3,12,0,0,17,0,0,0,17,0,0,14,0,3,0,0,6,0,0,0,6,4,0,6,138,61,9,3,215,13,4,21,231,75,3,313,10,3,0,0,9,0,0,3,12,0,0,16,0,0,0,0,0,3,3,10,12,9,0,21,10,5,0,0,15,4,6,12,24,8,0,38,149,70,9,3,228,18,8,29,259,83,3,349,152,105,0,3,257,38,20,51,312,268,3,586,0,0,0,3,3,0,0,0,5,10,5,19,299,174,9,14,491,56,30,86,575,358,12,951
LGA37010,365,12,0,12,379,51,0,427,7573,837,161,57,8631,274,46,325,8952,542,12,9503,8084,896,176,66,9224,233,32,266,9488,386,5,9884,896,154,126,0,1170,11,4,16,1191,62,3,1254,98,9,4,103,213,11,6,15,225,11,10,247,16654,1894,460,228,19235,528,89,621,19856,1002,24,20887,316,47,10,7,385,145,7,150,540,48,0,584,454,62,7,10,528,73,19,95,627,49,0,671,770,112,11,20,910,222,31,247,1163,94,0,1260,17417,2005,477,250,20151,749,122,867,21018,1099,24,22147,4336,632,170,128,5268,393,69,464,5729,1132,19,6878,25,0,0,9,35,0,0,0,35,6,68,108,21784,2634,641,384,25449,1144,193,1336,26784,2241,112,29136
LGA37300,0,0,0,0,0,0,0,0,297,13,0,4,318,0,0,0,318,7,3,329,227,16,3,6,247,0,0,0,247,0,0,247,56,3,9,0,72,0,0,0,72,0,0,72,0,0,0,5,5,0,0,0,5,0,0,5,579,33,15,13,637,0,0,0,637,7,3,649,13,0,0,0,13,3,0,3,12,0,0,12,12,4,0,3,14,0,6,6,18,0,0,18,18,4,0,3,30,3,6,4,36,0,0,36,604,33,15,13,668,3,6,4,671,7,3,684,160,9,14,0,183,0,0,0,180,5,9,192,0,0,0,0,0,0,0,0,0,0,0,0,766,43,32,13,851,3,6,5,856,12,10,877
LGA37310,11,0,0,0,11,0,0,7,1113,88,17,3,1226,20,6,28,1253,42,0,1299,1774,163,38,19,1986,16,3,15,2008,58,0,2063,148,15,25,0,185,0,0,0,193,12,0,197,34,0,0,24,56,3,0,3,62,3,0,59,3061,273,80,47,3455,39,10,56,3507,114,0,3625,59,3,3,0,69,20,0,20,92,9,0,101,47,16,0,4,64,6,0,6,67,3,0,71,106,20,3,4,132,31,0,31,160,9,0,174,3170,292,79,47,3590,68,10,82,3668,130,0,3794,1198,109,42,39,1383,69,4,72,1457,240,10,1714,11,4,0,0,12,0,0,0,12,0,4,22,4377,407,127,85,4989,135,17,154,5144,368,16,5529
LGA37340,3,0,0,0,3,4,0,6,1066,133,24,15,1224,32,0,33,1257,30,3,1292,1299,170,29,11,1506,30,0,30,1537,44,3,1589,102,7,41,0,150,3,0,3,153,3,0,157,15,0,3,29,46,0,0,0,50,0,4,54,2474,309,94,52,2933,63,0,70,3000,83,8,3085,46,10,3,3,54,23,0,22,76,6,3,85,64,13,3,0,79,4,3,5,83,0,0,86,110,21,4,3,132,26,7,32,163,3,5,170,2578,324,96,58,3064,94,7,97,3156,85,14,3256,650,120,17,30,818,59,9,60,884,113,0,990,12,0,0,0,16,0,0,0,16,0,13,23,3242,447,117,89,3891,145,11,163,4053,199,23,4273
LGA37400,3,0,0,0,3,0,0,3,56,3,0,0,52,0,0,0,52,0,0,52,27,8,0,0,34,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,11,0,3,94,0,0,0,94,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,11,0,3,94,0,0,0,94,0,0,95,28,3,0,0,28,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,108,9,0,7,123,0,0,0,123,0,0,126
LGA37550,0,0,0,0,0,0,0,0,7,3,0,0,9,0,0,0,9,3,0,16,10,3,0,0,11,0,0,0,11,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,25,0,0,0,25,13,0,36,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,17,6,0,0,25,0,0,0,26,18,0,43,35,10,0,4,49,3,0,3,49,53,0,97,0,0,0,0,0,0,0,0,0,0,3,3,45,17,0,4,65,3,0,3,71,69,3,146
LGA37570,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,9,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,10,0,0,0,11,0,0,11,7,0,0,0,7,4,0,4,7,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,17,3,0,3,21,10,0,33
LGA37600,0,0,0,0,0,0,0,0,64,9,0,0,65,8,3,7,76,18,0,93,7,11,0,9,29,6,3,10,35,9,0,49,0,0,3,0,4,0,4,4,9,0,0,9,0,0,0,0,0,3,0,3,7,3,0,10,68,16,3,7,101,14,9,26,119,33,0,155,9,0,0,0,9,26,0,26,37,0,0,35,0,0,0,0,0,0,6,6,6,3,0,5,9,0,0,0,9,26,6,26,38,5,0,43,79,16,3,7,109,36,15,51,164,40,0,202,24,9,0,0,30,46,0,46,80,218,0,299,0,0,0,0,0,0,0,0,0,0,3,3,104,25,3,14,141,87,15,104,242,256,3,510
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
