LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA36580,60,233,82,155,14,581,34,30,194,161,279,27,730,3,3,13,13,31,7,60,0,3,18,47,163,16,246,0,0,18,29,112,52,206,129,140,861,853,2984,361,5331
LGA36630,87,457,125,224,13,979,51,38,294,326,441,57,1201,0,0,5,5,22,3,36,6,0,12,37,224,9,303,3,4,13,29,131,52,236,183,188,1283,1106,3648,393,6807
LGA36660,122,457,152,211,32,1055,66,40,327,283,474,39,1226,0,5,7,15,31,0,63,0,3,32,35,301,12,389,3,0,34,28,136,75,287,263,229,1506,1227,4117,485,7834
LGA36720,1188,4372,1402,1674,194,10145,1395,822,5849,3450,4233,460,16216,51,20,360,323,636,55,1447,74,42,358,711,2539,148,3868,153,55,593,552,1565,485,3399,4646,3216,21108,15846,38364,3392,86574
LGA36820,79,342,104,174,26,806,48,37,330,227,310,51,1000,9,6,14,16,28,4,76,7,5,17,29,193,7,266,6,3,14,29,116,52,220,253,184,1239,977,2973,357,5983
LGA36910,674,2656,846,1109,122,6540,700,378,3053,1580,2414,273,8397,17,10,75,64,189,16,375,53,21,197,270,1497,44,2090,43,18,205,171,709,219,1368,2947,1661,11217,7192,20504,1728,45253
LGA36950,14,60,18,32,4,150,21,17,67,41,62,21,230,0,0,0,0,4,0,3,0,0,0,5,23,3,30,0,0,0,7,17,21,49,59,39,203,150,401,114,962
LGA36960,8,43,18,43,10,131,0,7,7,28,56,6,111,0,0,0,0,10,0,10,0,0,4,4,61,17,83,0,0,0,0,15,8,18,9,18,61,86,428,94,694
LGA37010,546,3004,803,1250,119,6763,889,585,4113,1821,2527,313,10241,33,22,167,103,261,25,616,42,30,228,384,1637,62,2385,46,21,205,155,851,274,1553,3240,1848,13838,8491,25021,1909,54344
LGA37300,16,77,15,30,3,153,16,10,49,31,23,8,136,0,0,0,0,4,0,5,0,0,6,3,28,3,36,3,0,6,3,20,12,41,57,43,261,173,836,64,1442
LGA37310,78,501,134,165,19,948,32,25,257,182,285,48,828,0,0,3,12,20,0,38,3,3,29,48,262,15,358,0,4,19,34,206,69,330,170,178,1663,1293,4402,529,8235
LGA37340,78,352,114,180,30,800,41,38,260,198,325,34,889,0,0,21,23,47,7,106,3,3,20,60,331,16,432,3,4,56,58,204,79,401,220,199,1669,1611,5199,616,9511
LGA37400,3,11,0,4,0,24,4,3,13,7,3,4,22,0,0,3,3,3,0,9,0,0,0,0,9,0,14,0,0,3,0,7,0,12,9,7,54,38,158,20,279
LGA37550,0,7,0,3,8,23,0,0,6,3,5,3,23,0,0,0,0,0,0,0,0,0,0,3,12,3,17,0,0,0,0,0,0,0,4,3,13,15,41,26,102
LGA37570,0,0,0,3,0,3,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,4,35
LGA37600,3,18,7,20,3,45,0,0,5,22,23,6,67,0,0,0,0,0,0,0,0,0,4,3,17,3,34,0,0,0,0,7,0,6,3,10,34,37,120,26,228
LGA39499,10,40,10,24,0,117,24,10,96,36,35,13,211,3,0,19,5,19,3,53,9,0,14,5,46,0,76,3,3,24,15,54,35,126,115,48,613,267,773,144,1957
LGA39799,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,19,0,33
