LGA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
LGA32600,0,5,3,4,5,0,0,3,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
LGA32750,3,0,8,9,6,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,4,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
LGA32770,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,9,0,0,0,0,40,0,4,7,13,6,3,0,0,0,31,0,0,4,3,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0
LGA32810,7,3,15,24,27,38,15,10,0,149,0,0,7,14,15,11,0,0,0,46,12,20,35,36,42,30,4,0,0,175,0,0,3,8,13,3,0,0,0,30,14,19,53,90,86,61,5,0,0,333,3,0,0,3,10,5,0,0,0,21,29,7,30,18,30,23,18,0,0,164,29,51,192,127,118,100,26,7,0,650,3,12,43,39,63,63,25,9,0,262,0,0,9,5,5,7,3,0,0,22,0,0,3,3,3,0,0,0,0,11,0,0,5,6,17,12,6,0,0,46,0,3,6,15,19,20,10,0,0,68,5,19,43,39,51,41,14,3,0,215,4,0,16,40,34,45,3,0,0,139,0,3,12,15,19,16,10,0,0,83,0,0,9,14,16,17,9,0,0,66,3,0,5,9,14,8,3,0,0,53,3,8,25,20,19,21,4,0,0,98,9,11,35,39,42,25,11,5,0,178
LGA33100,12,7,17,9,25,18,11,7,0,103,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,7,8,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,6,0,3,8,0,0,0,16,0,0,0,0,4,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,5,0,5,3,7,5,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
LGA33200,7,11,16,32,37,30,25,12,0,169,0,0,0,0,0,0,0,0,0,7,0,3,0,0,3,0,0,0,0,9,0,0,3,3,0,0,0,0,0,12,0,3,3,8,4,7,0,0,0,22,0,0,0,0,0,0,0,0,0,6,3,0,3,3,3,0,3,0,0,21,0,3,0,0,3,3,0,0,0,15,0,0,6,12,15,14,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,4,3,10,10,6,23,13,3,0,0,66,0,0,0,0,3,0,0,0,0,6,0,0,4,0,0,3,0,0,0,12,0,0,0,0,0,3,0,0,0,4,0,3,0,6,3,3,0,0,0,13,0,3,8,0,3,6,0,0,0,20
LGA33220,25,43,77,94,125,146,80,40,5,634,0,23,107,155,157,86,13,0,0,536,56,126,282,306,311,271,43,0,0,1404,7,22,61,87,121,84,3,0,0,390,98,231,451,529,613,461,81,0,0,2451,12,24,67,80,75,64,9,0,4,338,299,194,300,308,264,205,69,7,0,1653,264,176,188,175,161,142,56,4,4,1180,10,26,109,179,292,299,97,7,0,1024,9,15,34,32,34,38,6,0,0,162,3,3,10,23,37,37,11,0,0,124,3,13,26,35,66,71,27,3,0,251,11,33,59,98,116,132,25,4,3,482,28,23,73,105,117,131,21,3,0,517,11,45,179,295,312,258,28,0,0,1130,8,23,111,204,223,191,39,9,0,812,10,66,234,271,329,286,57,4,0,1260,12,7,31,24,38,33,11,5,0,157,38,66,150,129,164,115,31,3,0,699,51,94,143,169,194,157,53,19,0,881
LGA33360,11,13,34,35,66,89,60,23,0,334,11,29,192,274,216,108,7,0,0,840,66,212,653,795,815,470,48,0,0,3068,27,64,105,136,172,134,15,0,0,651,62,200,671,706,533,345,39,0,0,2553,12,34,65,87,99,53,5,0,0,350,229,149,149,108,125,74,20,0,0,860,247,103,104,61,65,58,15,7,0,653,37,96,239,348,487,370,72,3,0,1653,6,4,15,8,9,8,0,0,0,52,0,4,12,11,11,9,6,0,0,53,3,16,33,35,51,37,8,0,0,191,3,50,294,266,251,143,16,3,0,1033,20,41,77,85,81,48,14,0,0,364,7,44,124,122,160,120,24,3,0,612,6,30,84,74,88,65,18,0,0,370,10,27,52,74,50,53,9,0,0,279,12,8,12,12,11,10,3,0,0,73,28,80,94,96,91,74,12,0,0,484,34,81,186,179,188,89,19,7,0,784
LGA33430,25,61,150,186,170,131,90,20,5,836,3,39,413,492,390,209,49,7,0,1604,412,855,2113,2510,2359,1506,408,49,0,10216,15,62,213,327,397,202,32,0,0,1248,923,2461,6637,6354,5486,3291,764,46,5,25951,96,256,736,999,1060,675,217,26,0,4060,1518,1977,2736,2197,1998,1355,479,43,3,12299,2293,1726,2698,1815,1417,978,344,45,3,11318,77,308,1200,1525,1914,1641,617,51,3,7327,79,227,563,545,553,279,62,3,0,2308,30,199,648,760,687,465,192,23,9,3014,58,214,583,749,807,743,456,81,8,3705,103,548,1835,2143,1685,1316,545,69,7,8244,127,442,990,1159,1151,868,264,39,0,5039,46,280,1130,1621,1738,1167,196,22,0,6201,159,381,1141,1409,1331,1155,347,44,3,5954,90,423,1589,1632,1686,1256,406,46,3,7126,369,593,929,801,724,448,157,23,0,4041,202,487,1176,1199,1096,779,268,26,0,5233,339,762,1697,1709,1636,1119,396,80,12,7757
LGA33610,33,65,178,169,202,193,91,28,11,985,0,0,12,11,4,3,0,0,0,33,11,12,19,20,31,23,3,0,0,119,0,3,9,8,16,8,0,0,0,44,17,35,66,60,61,48,13,3,0,299,0,7,13,21,25,14,4,0,0,91,27,20,26,34,42,33,7,4,0,198,17,9,19,15,8,19,0,0,0,93,0,10,17,22,37,50,15,3,0,144,0,3,0,0,6,3,0,0,0,8,0,3,3,6,0,3,0,0,0,16,0,0,3,4,3,7,3,0,0,18,0,0,3,10,10,14,0,0,0,38,0,4,9,4,11,7,3,0,0,33,0,4,24,21,35,23,6,0,0,107,3,3,16,15,15,12,5,0,0,66,0,0,3,11,13,18,5,0,0,52,0,0,0,3,0,5,0,0,0,14,7,18,29,16,28,16,3,0,0,113,5,5,20,33,25,27,11,0,3,127
