LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA36960,27,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,720,42,3,0,0,764,9,0,0,0,0,9,56,0,0,0,0,57,48,8,4,0,0,65,17,0,0,0,0,17,851,51,6,0,0,907,11,0,0,0,0,18,31,0,0,0,0,33,922,51,8,4,0,988
LGA37010,13296,757,527,365,38,14991,21837,630,520,53,49,23085,9761,3299,2505,20,46,15627,1491,753,389,7,3,2635,3476,688,474,29,27,4694,99,78,93,0,0,266,1476,114,112,53,14,1772,213,51,36,3,7,310,16512,4979,3609,109,94,25313,375,145,26,4,7,562,1146,260,176,23,61,1661,53162,6771,4858,560,253,65599
LGA37300,70,14,3,16,0,98,271,53,5,4,0,334,139,118,15,0,0,270,13,10,0,0,0,24,31,7,0,3,0,39,0,0,0,0,0,0,167,134,22,3,3,334,3,4,0,3,0,10,365,276,34,6,0,683,3,0,0,0,0,3,14,13,0,3,0,30,722,354,38,30,0,1148
LGA37310,3589,58,17,37,15,3718,3019,16,5,14,18,3069,1619,218,225,3,8,2070,133,44,48,0,0,225,985,28,12,6,7,1043,26,42,13,0,0,81,441,19,22,22,26,522,177,5,3,3,3,188,3372,355,318,43,40,4129,102,0,0,3,0,111,248,28,17,12,9,325,10334,467,363,111,81,11350
LGA37340,2869,62,74,163,56,3225,3123,98,106,28,27,3386,1439,416,453,0,30,2340,158,72,61,0,0,298,661,107,107,10,14,894,42,64,29,0,0,133,181,30,65,31,21,317,72,15,7,3,0,99,2561,699,721,44,63,4094,49,3,7,4,3,63,297,48,74,34,41,491,8900,919,976,271,195,11255
LGA37400,168,0,0,31,3,200,88,0,0,3,3,88,3,0,0,0,0,3,18,0,17,0,0,36,53,0,0,0,0,50,3,0,0,0,0,10,27,3,3,3,0,41,14,0,0,0,0,19,116,4,22,3,4,152,6,0,0,0,0,10,17,0,0,4,0,24,395,4,22,42,10,469
LGA37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,27,3,0,0,210,0,0,0,0,0,0,3,0,0,0,0,9,11,0,0,0,0,18,3,0,0,0,0,3,204,27,0,0,0,236,0,0,0,0,0,0,6,0,0,0,0,11,209,32,0,0,0,245
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,12,0,0,51,0,0,0,0,0,0,10,0,3,0,0,16,9,0,0,0,0,9,0,0,0,0,0,0,63,0,11,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,66,0,15,0,0,78
LGA37600,11,0,0,41,0,51,3,0,0,0,0,3,0,0,0,0,0,0,264,38,34,0,0,336,3,0,0,0,0,3,27,3,0,0,0,32,10,5,0,0,0,18,3,0,0,3,0,3,300,51,34,3,0,390,4,3,0,4,0,7,4,0,0,4,0,11,327,54,35,52,0,465
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
