LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA34590,20696,1132,314,226,42,22404,37458,1376,284,51,55,39220,15083,5124,1106,45,61,21420,2714,741,335,13,0,3811,4398,882,211,24,31,5546,87,134,71,0,14,312,472,189,61,203,14,938,295,67,39,3,4,413,23054,7141,1822,285,133,32434,363,143,117,0,9,633,1971,330,134,46,48,2533,83533,10127,2664,604,295,97224
LGA34710,388,0,0,26,0,415,336,0,0,5,4,344,141,9,18,0,0,171,53,14,11,0,0,72,109,5,8,0,3,123,9,7,3,0,0,19,87,7,13,4,3,108,30,0,0,4,0,32,429,41,52,11,8,536,11,0,5,3,0,16,42,0,4,5,0,54,1207,41,61,42,12,1366
LGA34770,10435,382,262,241,45,11364,14167,390,151,66,40,14809,5063,1507,793,11,47,7422,612,419,241,0,5,1279,2512,339,170,29,12,3063,91,102,40,0,0,234,336,93,30,64,15,537,215,35,13,3,5,271,8826,2496,1282,113,84,12809,320,22,65,8,7,428,840,131,114,122,63,1268,34580,3428,1871,545,242,40669
LGA34800,103,0,0,5,6,114,45,0,0,3,0,43,0,0,0,0,0,0,5,3,0,0,0,11,37,0,0,0,0,36,0,0,0,0,0,0,36,3,0,0,0,40,7,0,0,0,0,13,85,10,0,0,3,99,3,0,0,0,0,3,5,0,0,0,3,11,242,10,0,9,15,270
LGA34830,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,73,0,4,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,74,0,4,3,0,84
LGA34860,1409,6,3,23,8,1451,1235,5,3,9,8,1263,540,61,25,0,0,626,114,28,7,0,3,151,352,9,3,3,7,372,15,21,0,0,0,35,247,3,10,7,4,270,66,3,0,0,0,76,1329,127,51,13,15,1529,42,0,0,0,0,46,133,6,0,7,4,155,4148,141,58,57,33,4439
LGA34880,2746,15,31,107,17,2908,2060,3,0,18,8,2085,525,44,95,3,4,674,219,34,56,0,0,305,624,8,30,19,9,698,44,0,11,0,0,53,141,3,4,64,3,216,116,3,0,7,0,129,1671,90,206,90,17,2072,57,0,0,9,0,60,217,4,9,22,18,278,6748,115,252,242,58,7408
LGA35010,35245,2720,1641,751,68,40415,53176,1699,725,66,65,55732,21778,7422,2429,17,106,31756,2096,1122,967,0,3,4182,5789,1310,647,38,43,7837,141,301,167,5,0,621,1073,287,115,232,21,1730,391,100,73,14,8,584,31275,10550,4404,304,187,46719,472,696,327,18,8,1519,2336,512,316,76,42,3281,122497,16179,7409,1220,362,147666
LGA35250,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,185,4,0,0,0,196,0,0,0,0,0,0,8,0,0,0,0,8,23,11,4,0,0,38,4,3,0,0,0,6,215,19,4,5,0,245,0,0,0,0,0,3,3,0,0,0,0,3,224,22,4,6,0,261
LGA35300,894,34,3,34,11,986,1915,51,16,22,13,2014,653,390,140,3,7,1189,343,121,54,0,3,528,376,125,55,3,5,568,5,5,0,0,3,17,280,133,47,9,4,474,29,17,11,0,6,61,1695,784,307,18,25,2829,24,3,3,0,3,38,142,29,20,12,13,220,4668,907,349,82,68,6078
