LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA36950,3,9,6,0,0,0,0,15,3,6,7,0,4,0,0,23,16,13,0,3,3,0,0,34,155,189,90,58,46,3,0,549,3,6,0,0,4,0,0,13,187,218,102,68,49,3,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,4,71,78,41,23,33,3,0,250,3,3,0,0,0,0,0,6,74,87,38,26,30,3,0,265,264,299,144,95,83,7,4,887
LGA36960,3,4,3,3,0,0,0,17,9,17,3,0,0,0,0,30,17,14,9,3,0,0,0,43,286,334,158,37,27,0,7,847,4,5,0,0,0,0,0,11,322,377,175,43,28,0,4,951,0,6,3,0,0,0,0,12,17,6,3,0,0,0,0,24,6,4,0,0,0,0,0,13,160,162,81,18,5,0,0,434,10,11,7,4,0,0,0,35,189,198,92,26,6,0,0,518,514,570,268,71,42,0,4,1467
LGA37010,982,998,633,424,537,213,93,3888,620,558,347,207,281,77,30,2117,724,617,356,199,267,85,33,2279,7012,6761,3658,2345,2947,757,308,23790,33,43,28,14,4,0,0,126,9372,8978,5018,3195,4027,1138,470,32197,120,175,120,91,131,74,29,735,152,240,109,114,134,32,16,790,95,168,107,75,110,18,17,595,1796,2370,1387,968,1091,251,96,7959,61,70,42,30,25,0,0,235,2227,3020,1758,1275,1492,384,160,10316,11595,12006,6777,4466,5520,1521,627,42511
LGA37300,7,16,11,11,10,0,0,54,19,14,0,0,3,0,0,35,15,18,6,4,3,0,0,56,253,239,132,72,61,3,0,757,3,3,0,0,0,0,0,9,294,287,153,93,76,6,0,904,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,10,0,3,0,0,0,0,0,8,16,27,10,8,6,0,0,70,0,5,0,0,0,0,0,6,16,34,20,8,11,0,0,93,315,320,166,102,87,6,0,998
LGA37310,107,111,57,44,49,12,4,389,46,57,37,25,21,0,0,186,69,65,27,10,28,3,0,207,1465,1648,868,520,600,35,4,5144,7,9,10,7,5,0,0,38,1699,1887,997,611,706,46,10,5965,7,10,6,7,9,0,0,43,11,17,13,8,9,0,0,59,8,10,4,6,7,0,0,39,374,421,261,153,155,14,3,1374,20,14,9,3,3,0,0,59,419,470,296,179,182,12,8,1571,2118,2362,1296,785,894,64,14,7538
LGA37340,115,137,76,33,52,7,0,416,85,93,42,24,30,0,0,274,175,128,53,37,30,0,0,427,1056,1129,633,377,446,17,3,3662,7,12,8,0,7,0,0,30,1438,1504,815,476,556,21,9,4818,11,31,16,3,21,0,0,81,19,22,16,7,13,0,0,78,19,34,15,14,20,0,0,103,223,333,192,135,135,0,0,1022,13,19,9,5,12,0,0,55,285,440,242,168,196,3,0,1338,1726,1948,1058,644,752,23,6,6159
LGA37400,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,43,31,26,15,7,0,3,129,3,0,0,0,0,0,0,3,55,31,31,12,7,0,3,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,6,3,0,0,30,0,0,0,0,0,0,0,0,5,10,9,6,3,0,0,30,54,46,39,19,9,0,3,168
LGA37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,52,28,12,11,0,0,148,0,0,0,0,0,0,0,0,46,52,28,12,11,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,59,38,16,10,0,0,181,3,0,0,0,0,0,0,5,57,59,44,20,10,0,0,192,105,110,70,37,23,0,0,339
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,3,3,0,0,0,37,0,0,0,0,0,0,0,0,12,18,3,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,24,24,27,3,4,0,0,0,56
LGA37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,162,110,67,41,5,0,508,0,0,0,0,0,0,0,0,120,164,110,67,41,5,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,117,77,47,38,5,0,390,0,0,0,0,0,0,0,0,105,117,77,50,38,5,0,389,222,279,189,111,81,10,0,895
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
