LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA34710,0,12,14,3,58,28,119,0,12,0,0,9,0,26,12,18,9,6,9,0,54,30,12,19,3,6,0,66,21,5,19,3,3,0,56,49,6,21,0,7,0,80,37,0,19,0,0,0,62,14,0,11,0,5,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,8,4,4,12,3,34,171,72,123,19,108,32,536
LGA34770,14,100,254,6,81,177,631,5,96,22,12,21,0,165,104,404,153,39,37,17,744,531,305,278,64,61,4,1241,590,104,374,17,63,7,1152,1429,101,488,31,72,13,2141,2483,71,732,15,81,19,3398,1771,12,517,29,62,13,2412,284,0,92,0,8,0,389,62,0,19,0,4,0,89,15,0,14,0,0,0,33,4,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,7,118,81,126,7,42,16,401,7422,1279,3063,234,537,271,12809
LGA34800,0,3,7,0,23,9,48,0,4,0,0,0,0,4,0,7,3,0,4,0,19,0,0,6,0,3,0,11,0,0,7,0,0,0,7,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,14,0,11,36,0,40,13,99
LGA34830,0,4,0,0,4,0,7,0,0,0,0,0,0,0,0,29,0,0,3,0,34,0,27,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,70,0,0,7,0,76
LGA34860,3,25,63,3,135,64,294,0,13,3,3,20,0,35,18,16,46,3,22,3,108,65,54,47,13,22,3,210,66,7,59,5,13,0,158,125,21,52,4,12,0,207,229,3,33,0,4,0,276,94,0,28,0,4,0,121,13,0,8,0,0,0,20,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,7,19,0,46,0,87,626,151,372,35,270,76,1529
LGA34880,4,13,82,3,60,109,285,0,17,12,3,9,0,47,10,94,71,9,29,0,221,39,101,90,19,44,5,306,60,15,78,8,13,0,176,127,20,125,3,18,0,293,240,20,138,0,15,3,409,161,3,56,0,5,0,226,20,3,12,0,0,0,33,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,27,0,14,0,65,674,305,698,53,216,129,2072
LGA35010,48,192,346,27,57,277,948,11,294,22,28,6,6,369,109,1370,216,86,84,25,1886,283,817,385,138,181,21,1824,478,334,514,52,111,22,1510,2626,434,1026,63,706,33,4885,10197,390,2424,95,298,87,13495,13879,75,2023,68,146,55,16252,2590,8,428,10,35,10,3078,704,0,124,0,11,3,838,255,3,43,0,7,0,308,82,3,13,0,0,0,102,26,0,7,0,3,0,34,35,0,9,0,7,0,56,443,258,252,52,81,54,1137,31756,4182,7837,621,1730,584,46719
LGA35250,0,27,0,0,32,8,66,0,24,0,0,0,0,24,0,84,0,0,3,0,87,0,33,0,0,0,0,33,0,4,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,15,0,196,0,8,38,6,245
LGA35300,7,73,9,3,220,46,354,0,35,0,0,20,0,62,24,128,12,3,37,0,202,79,124,34,4,29,3,276,106,44,47,3,13,0,215,151,41,81,0,18,0,283,239,31,119,0,26,0,410,327,18,118,0,33,3,501,183,3,76,0,19,0,284,38,0,23,0,3,0,75,18,0,6,0,0,0,25,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,21,26,20,0,49,6,130,1189,528,568,17,474,61,2829
LGA35600,0,14,17,3,64,25,120,0,12,0,0,3,0,17,14,12,24,7,9,0,61,53,19,30,0,3,3,108,32,4,27,0,3,0,73,43,0,17,0,0,0,59,9,0,4,0,0,0,22,3,0,4,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,0,16,0,28,164,68,130,15,98,32,498
LGA35670,0,17,0,3,0,0,24,0,26,0,0,0,0,23,0,102,0,3,0,0,108,0,48,0,7,0,0,58,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,214,0,12,5,0,232
LGA35740,3,12,69,3,21,88,190,0,23,5,0,0,3,37,4,134,33,3,11,3,189,28,55,82,5,10,0,180,54,21,99,0,13,0,180,114,21,146,0,10,0,298,503,27,277,0,16,9,831,1111,13,372,0,25,8,1524,722,0,168,0,5,0,896,283,0,58,0,4,0,346,133,0,19,0,0,0,149,54,0,8,0,3,0,59,28,0,0,0,0,0,32,30,0,4,0,3,0,39,45,19,42,3,12,6,127,3101,326,1395,24,133,116,5087
LGA35760,3,20,64,0,65,53,204,0,6,13,0,13,0,36,19,39,57,28,50,5,197,84,17,90,4,34,6,236,66,0,59,3,12,3,137,91,0,31,0,13,0,145,22,0,21,0,0,0,48,4,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,26,5,61,294,89,365,37,219,67,1082
LGA35780,0,53,3,9,43,5,112,0,57,0,7,10,0,71,0,237,3,17,13,0,262,0,126,0,6,0,0,132,0,9,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,19,0,488,7,39,68,8,617
LGA35790,0,47,0,0,17,4,71,0,59,0,5,0,0,66,0,182,0,6,0,0,185,0,104,0,3,0,0,107,0,9,0,0,0,0,7,0,4,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,11,0,411,0,13,27,5,455
LGA35800,0,12,13,0,18,20,65,0,19,0,0,0,0,23,0,28,17,3,9,0,65,3,0,21,0,5,0,32,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,8,0,16,4,71,66,9,41,20,211
LGA36070,0,61,0,3,11,0,73,0,32,0,4,0,0,35,0,55,0,11,6,0,67,0,13,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,14,0,161,5,21,16,0,202
LGA36150,0,0,3,0,16,9,34,0,0,4,0,0,0,3,0,10,15,4,7,0,37,0,0,7,0,3,0,17,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,9,39,4,43,11,109
LGA36250,11,84,156,10,19,97,372,3,113,9,16,7,0,144,16,551,63,34,12,3,676,73,299,152,113,34,6,681,168,95,149,13,7,6,429,392,90,233,77,33,3,824,789,69,462,29,21,7,1371,3122,57,933,13,39,11,4179,2429,4,379,9,11,12,2847,492,0,96,0,3,0,597,147,0,24,0,0,0,179,56,0,20,0,0,0,70,29,0,9,0,0,0,40,35,0,4,0,0,0,45,129,83,110,19,25,28,385,7889,1433,2800,329,212,184,12852
LGA36300,0,4,6,0,25,9,49,0,0,0,0,0,0,7,0,6,3,0,10,0,15,9,3,10,0,3,0,21,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,20,17,16,0,44,9,110
LGA36370,10,95,160,30,50,110,452,10,115,22,17,3,3,170,54,337,149,37,17,4,592,309,219,210,46,42,8,826,472,97,273,64,36,13,957,1190,87,516,32,64,14,1905,2179,53,572,8,53,14,2885,962,14,255,9,25,10,1270,120,5,36,0,3,0,168,29,0,7,0,0,0,46,10,0,6,3,0,0,20,3,3,3,0,0,0,13,0,0,3,0,0,0,4,8,0,3,0,0,0,7,84,72,78,16,39,18,305,5435,1091,2299,269,329,190,9614
LGA36510,3,6,99,0,59,103,280,0,11,11,0,3,0,29,17,45,44,5,29,0,145,72,22,110,0,15,3,229,106,10,128,8,3,3,260,253,28,183,20,11,3,503,628,7,218,3,30,4,893,525,0,142,0,8,3,679,141,0,52,0,4,0,196,51,0,10,0,0,0,66,20,0,4,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,4,7,0,6,0,0,0,10,27,13,49,0,28,3,117,1852,144,1059,40,193,126,3422
LGA36580,5,0,57,0,24,65,154,0,0,3,0,9,0,18,7,3,46,0,15,0,71,52,3,101,5,18,0,181,76,3,90,4,29,5,200,278,0,129,4,29,5,447,670,0,138,0,23,4,836,145,0,45,0,5,0,197,16,0,11,0,3,0,33,6,0,3,0,0,0,11,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,26,6,20,0,12,3,68,1285,16,641,19,165,79,2212
LGA36630,4,23,114,3,68,99,312,6,21,14,11,14,0,76,59,71,90,24,29,3,274,347,47,179,14,26,8,620,369,21,163,9,13,4,569,666,8,143,11,25,5,868,440,0,87,3,10,3,542,96,0,12,0,3,0,113,8,0,3,0,0,0,6,3,0,3,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,26,16,35,3,20,3,101,2023,202,859,76,208,134,3502
LGA36660,7,14,94,0,53,98,274,0,23,6,3,13,3,48,52,79,106,25,37,3,295,259,53,199,25,41,12,592,268,15,190,4,19,3,501,807,3,248,3,27,6,1094,557,0,113,0,17,0,690,105,0,36,0,5,0,143,11,0,0,0,0,0,13,3,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,23,8,40,5,35,3,115,2094,189,1047,73,247,124,3771
LGA36720,30,109,365,25,77,323,921,7,228,29,41,28,3,332,57,831,215,72,49,14,1244,157,416,351,83,132,15,1151,242,136,383,19,97,13,888,897,166,710,33,181,22,2009,4354,162,1598,41,182,31,6366,8078,67,2125,26,145,40,10483,4689,3,812,5,49,19,5574,1273,4,222,0,15,3,1522,412,0,74,0,0,3,493,137,0,34,0,0,0,171,55,3,15,0,3,0,81,61,0,31,0,4,0,102,245,132,244,27,90,56,801,20688,2262,7220,370,1054,537,32125
LGA36820,5,18,76,3,47,77,223,3,22,10,3,10,0,41,12,60,66,31,21,11,196,59,73,139,21,30,12,332,100,25,153,9,24,3,316,283,10,193,6,18,3,512,350,9,207,3,27,9,601,157,0,50,0,6,0,212,9,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,16,17,42,6,18,5,101,988,226,958,82,201,120,2574
LGA36910,23,67,264,27,143,214,740,12,120,38,24,22,4,222,112,470,274,34,64,11,969,614,257,418,74,91,21,1470,842,117,502,28,57,12,1554,2403,124,762,26,167,6,3478,4552,62,952,24,161,26,5779,2530,8,431,3,24,13,3012,394,0,67,0,12,0,478,69,3,14,0,3,0,93,15,4,8,0,0,0,29,0,0,4,0,0,0,9,3,0,0,0,0,0,6,8,0,5,0,3,0,12,128,96,145,25,78,26,492,11705,1324,3888,262,830,339,18345
LGA36950,0,39,10,3,126,20,197,0,14,0,0,3,0,19,0,27,3,10,22,0,64,0,24,3,3,15,0,51,0,17,3,3,3,0,27,0,34,8,24,4,0,68,0,81,3,3,3,4,97,0,16,6,3,6,0,29,0,6,7,0,0,0,16,0,0,3,0,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,29,4,3,21,0,61,8,282,59,56,219,30,646
LGA36960,0,131,3,11,46,10,214,0,88,0,4,5,0,95,0,273,0,17,3,0,292,0,222,0,14,0,5,237,0,5,0,0,0,0,5,0,5,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,3,8,0,54,0,764,9,57,65,17,907
LGA37010,25,159,197,10,38,163,590,11,235,26,10,4,0,278,91,812,202,45,36,15,1192,478,549,355,83,56,20,1544,880,232,416,13,87,10,1643,2594,282,796,26,987,24,4704,5623,178,1413,24,323,20,7584,4696,30,851,22,109,23,5729,764,0,190,0,40,3,994,209,6,59,0,12,0,281,43,0,23,0,7,0,75,14,3,11,3,3,0,32,5,0,8,0,0,0,10,22,3,17,0,4,0,45,182,143,133,31,67,42,601,15627,2635,4694,266,1772,310,25313
LGA37300,6,22,3,0,138,9,175,0,0,0,0,3,0,8,0,0,3,0,10,0,12,5,0,0,0,13,0,14,3,0,0,0,7,0,10,0,0,0,0,16,0,20,11,0,3,0,27,0,40,16,0,3,0,15,0,31,43,0,4,0,21,0,70,48,0,4,0,32,3,86,56,0,8,0,21,0,80,40,0,4,0,7,0,56,25,0,0,0,7,0,25,0,0,0,0,0,0,3,14,0,3,0,26,0,50,270,24,39,0,334,10,683
LGA37310,11,10,172,5,202,155,548,0,16,15,0,36,3,76,70,96,116,23,67,3,368,376,60,166,27,45,8,678,342,19,181,13,43,9,608,597,14,179,4,38,3,836,505,0,114,0,16,4,638,105,0,47,0,5,4,161,10,0,4,0,0,0,15,4,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,12,46,5,47,7,68,8,174,2070,225,1043,81,522,188,4129
LGA37340,6,21,57,3,91,64,241,3,29,5,3,19,0,62,31,102,69,19,23,3,253,132,80,108,58,27,6,411,192,15,87,10,26,5,335,447,29,154,23,41,5,698,699,10,184,6,32,3,937,584,0,137,0,17,6,744,147,0,43,0,4,0,202,30,0,11,0,5,0,50,10,0,6,0,0,0,13,9,0,0,0,0,0,14,3,0,0,0,0,0,4,3,0,3,0,0,0,5,40,12,32,8,32,3,126,2340,298,894,133,317,99,4094
LGA37400,0,13,12,0,18,16,57,0,5,0,0,0,0,10,0,6,6,0,8,0,29,0,0,18,5,3,0,31,0,0,4,0,0,0,12,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,3,36,50,10,41,19,152
LGA37550,0,31,0,0,11,0,49,0,19,0,0,0,0,21,0,104,0,0,3,3,113,0,45,0,0,0,0,46,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,210,0,9,18,3,236
LGA37570,0,7,0,3,9,0,17,0,12,0,3,0,0,13,0,29,0,10,0,0,35,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,16,9,0,77
LGA37600,0,10,0,0,14,3,22,0,26,0,4,0,0,29,0,135,0,6,0,0,143,0,159,0,17,3,0,178,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,336,3,32,18,3,390
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
