LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA32600,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,3,0,11,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,5,0,12,3,30
LGA32750,0,3,0,0,11,5,22,0,4,0,0,0,0,4,0,3,0,0,5,0,9,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,16,9,0,28,5,59
LGA32770,0,29,0,0,3,0,34,0,33,0,0,0,0,34,0,100,0,0,0,0,105,0,52,0,0,0,0,52,0,6,0,0,0,0,6,0,4,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,234,0,4,4,0,241
LGA32810,3,11,28,7,20,40,104,0,9,3,7,4,0,26,4,35,19,5,6,0,67,29,39,43,20,7,8,145,70,8,51,4,9,3,149,126,9,57,0,13,3,202,248,9,79,0,5,7,350,200,5,67,0,4,0,274,70,0,9,0,0,0,80,15,0,0,0,3,0,18,3,0,3,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,3,0,3,0,9,11,4,20,3,7,6,54,789,128,380,42,83,65,1486
LGA33100,0,3,3,0,12,8,31,0,0,0,0,0,0,3,0,0,5,0,11,0,18,0,0,8,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,6,0,7,20,0,27,8,67
LGA33200,0,3,9,0,36,12,59,0,6,3,0,0,0,11,4,3,16,0,12,0,34,11,10,12,0,4,0,36,6,0,8,0,0,0,19,0,0,3,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,14,19,26,59,4,62,12,181
LGA33220,19,70,142,5,32,141,416,3,84,15,11,4,0,117,45,310,111,57,45,11,577,301,260,312,59,143,17,1088,395,79,352,15,78,8,929,1598,117,726,22,99,28,2592,2659,47,689,9,63,9,3473,1131,7,203,4,12,10,1364,119,0,29,0,0,3,149,21,0,3,0,0,0,30,4,0,3,0,0,0,7,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,10,0,3,0,17,110,58,92,12,46,22,340,6417,1027,2680,194,522,248,11100
LGA33360,20,65,88,3,83,84,337,22,68,4,4,26,0,138,196,219,70,8,54,0,548,607,172,137,43,38,14,1017,708,54,201,19,34,6,1015,1274,68,247,22,31,4,1650,1257,17,227,10,30,13,1558,580,11,132,0,25,0,749,132,0,32,0,6,0,171,37,0,10,0,0,0,48,9,0,5,0,0,0,17,4,0,6,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,9,83,27,46,6,62,13,233,4930,710,1219,116,391,137,7497
LGA33430,98,198,693,28,132,484,1635,17,318,27,20,11,6,401,111,1316,275,58,77,15,1841,301,725,521,162,190,17,1913,330,253,531,33,82,12,1238,1660,279,995,73,201,31,3239,8487,311,2910,100,448,92,12345,20893,147,5364,128,608,137,27278,10530,25,2088,35,184,52,12916,3601,5,823,9,45,11,4503,1546,7,320,3,18,3,1897,662,3,150,0,9,3,833,335,0,74,0,6,0,412,390,0,112,0,11,3,514,697,209,475,53,119,106,1653,49657,3791,15359,694,2142,971,72621
LGA33610,0,3,55,0,122,77,256,4,5,4,0,12,0,28,22,35,41,0,19,0,126,85,22,63,3,29,3,205,61,3,61,4,16,3,154,81,7,58,0,6,0,159,159,0,58,0,3,3,222,54,0,23,0,0,0,80,17,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,5,18,0,52,0,90,500,97,389,12,259,82,1338
