LGA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30300,17,13,6,0,4,0,33,0,0,0,0,0,0,4,3,5,5,4,0,0,10,0,3,0,0,0,0,5,5,8,4,6,3,0,28,12,9,5,5,0,0,34,13,16,3,3,3,0,36,14,21,0,0,0,0,37,4,4,3,0,0,0,17,0,13,3,0,0,0,15,0,8,3,0,0,0,16,4,4,4,0,0,0,19,0,4,0,0,0,0,9,4,0,0,0,0,0,7,0,8,3,0,0,0,8,9,4,0,0,0,0,12,0,3,0,0,0,0,3,3,3,3,0,0,0,10,13,12,3,0,0,0,29,107,138,48,19,15,4,330
LGA30370,49,31,16,6,3,0,91,5,0,3,0,0,0,9,5,5,4,0,3,0,25,5,8,5,3,0,0,23,12,17,13,3,3,0,43,33,27,16,0,3,3,88,26,40,16,5,3,0,88,32,70,16,4,3,6,132,31,61,11,3,3,0,112,37,71,6,6,0,0,126,9,31,3,0,3,0,53,25,54,19,5,4,0,115,5,23,3,0,0,0,38,3,22,4,0,0,0,31,13,40,9,0,0,0,67,24,40,14,0,0,0,80,8,12,3,0,0,0,27,8,13,0,0,0,0,24,23,30,9,0,3,0,71,359,616,173,41,41,7,1240
LGA30410,7,10,5,0,0,0,27,3,0,0,0,0,0,4,0,0,4,0,0,0,9,3,3,0,0,0,0,5,8,4,3,0,0,3,23,6,6,0,0,0,0,15,4,6,0,0,0,0,11,9,3,3,3,0,0,18,8,5,4,0,0,0,11,0,7,0,0,0,0,4,0,3,0,0,0,0,5,3,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,4,9,3,0,0,0,15,69,75,25,15,5,3,189
LGA30450,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,0,0,9
LGA30760,12,0,3,0,3,0,17,0,0,0,0,0,0,0,3,3,0,4,0,0,5,7,3,0,0,3,0,12,5,12,4,0,3,0,18,4,10,0,3,3,0,18,5,11,3,0,0,0,13,3,12,0,0,0,0,16,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,6,0,0,0,0,6,46,61,13,5,7,0,137
LGA30900,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,12
LGA31000,1508,1420,888,192,307,106,4419,338,301,192,46,77,10,960,613,583,408,71,177,26,1882,485,486,381,79,149,22,1593,714,829,577,185,271,54,2626,1037,1210,736,230,350,47,3605,1394,1879,1074,353,398,66,5168,1694,2458,1124,428,497,86,6284,1906,2968,1005,444,495,81,6906,2439,3789,1178,536,504,104,8545,2065,3325,777,400,303,101,6968,3839,6634,1899,637,593,156,13762,1773,3352,660,247,198,57,6277,1602,2987,659,207,148,48,5659,2955,5890,1340,377,305,115,10991,3856,8607,2035,438,384,109,15430,1385,3310,845,149,130,32,5850,992,2605,771,133,90,30,4623,1021,1790,778,192,224,93,4096,31617,54416,17323,5341,5595,1344,115651
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,3,0,0,19
LGA31820,178,48,50,8,22,4,310,66,11,18,9,13,3,115,162,57,45,11,23,3,312,136,37,39,22,23,0,258,249,123,87,45,42,3,555,270,189,108,65,51,9,691,286,297,115,66,60,9,834,340,444,149,74,53,15,1075,301,436,135,65,41,3,985,270,429,117,59,36,9,925,142,276,57,27,7,0,512,217,297,103,24,9,0,654,83,132,26,8,0,0,255,46,65,21,10,4,3,147,103,138,51,5,8,0,320,90,134,56,3,5,0,290,27,30,17,0,0,0,74,29,29,10,3,3,0,73,149,122,66,35,22,3,390,3140,3318,1280,542,424,71,8772
LGA31900,36,13,18,3,8,0,71,5,0,3,0,3,0,15,16,9,10,6,4,0,45,22,12,9,3,4,0,44,38,30,23,3,8,0,98,55,54,35,4,8,0,158,38,70,28,8,7,0,157,45,90,34,13,6,0,191,36,78,18,3,3,0,136,34,78,17,7,13,0,148,21,39,13,0,0,0,76,29,59,19,4,3,0,116,9,20,3,0,0,0,32,9,12,3,0,0,0,22,19,35,10,0,0,0,66,16,27,5,3,0,0,47,12,8,4,0,0,0,21,6,15,0,0,0,0,20,34,29,11,4,6,0,90,471,675,264,68,68,3,1545
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32080,194,99,55,16,33,12,415,56,23,18,7,16,0,119,106,64,45,16,21,0,255,98,69,38,18,14,3,242,230,162,88,52,49,11,589,255,253,109,68,75,12,771,367,338,138,103,89,13,1042,489,578,174,120,100,10,1461,455,643,165,127,92,7,1496,528,831,203,148,85,8,1808,393,685,143,81,47,11,1354,617,881,235,109,86,6,1928,205,354,80,41,15,6,692,104,208,47,13,10,3,392,307,521,121,49,27,7,1030,293,450,139,42,30,3,967,102,137,47,12,8,0,310,76,78,37,13,4,3,207,171,193,87,42,45,8,543,5052,6572,1985,1072,843,112,15638
LGA32250,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,3,0,0,5,3,3,0,0,0,0,11,0,0,3,0,0,0,7,5,5,0,0,0,0,10,3,3,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,25,14,3,8,0,0,56
LGA32260,40,24,18,3,3,0,88,9,11,6,0,0,0,30,36,8,16,3,7,0,67,22,13,8,3,3,0,48,58,41,20,14,15,0,140,88,62,33,17,16,3,211,81,111,30,14,14,3,251,109,123,31,12,17,0,292,66,90,31,8,9,0,205,58,130,28,13,6,0,235,39,54,13,0,5,0,115,61,80,20,11,6,0,176,19,24,10,0,0,0,51,18,16,13,0,0,0,55,31,43,3,7,3,0,85,36,28,15,3,0,0,87,5,11,6,0,0,0,24,7,7,3,0,0,0,15,55,29,18,13,5,0,107,835,891,319,122,112,12,2295
LGA32270,30,34,14,4,4,0,84,5,3,0,0,0,0,11,14,5,3,0,3,0,22,16,10,0,5,0,0,38,30,17,12,3,3,0,70,35,41,15,10,0,0,103,43,54,19,6,4,4,132,50,77,24,5,4,0,155,48,66,24,12,8,0,152,65,100,17,3,8,0,187,47,91,21,6,4,0,169,58,163,21,8,9,3,264,28,83,17,3,4,0,138,12,62,3,0,3,0,82,50,130,14,9,0,0,210,51,119,35,6,3,4,213,20,30,9,0,0,0,66,12,22,3,5,0,0,40,39,40,15,6,6,0,106,647,1157,259,96,59,21,2244
LGA32310,31,10,8,3,3,0,51,4,7,0,0,3,0,8,16,3,0,0,3,0,27,13,9,10,0,0,0,32,21,21,9,10,3,0,66,27,28,11,6,8,0,77,33,37,10,7,7,0,101,40,40,24,9,0,0,121,23,48,12,12,3,0,97,26,48,15,4,3,0,93,17,22,11,0,0,0,49,23,38,5,3,0,0,72,8,17,5,3,0,0,34,4,13,0,0,0,0,16,10,17,7,5,0,0,41,13,23,11,4,0,0,49,0,8,4,0,0,0,12,0,8,3,0,0,0,18,25,12,14,0,3,0,56,328,421,154,74,46,4,1024
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32450,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,4,0,0,3,0,10,5,0,0,0,0,0,8,4,5,3,0,0,0,14,5,4,3,0,0,0,11,4,0,3,0,0,0,12,0,5,0,0,0,0,11,9,6,0,0,0,0,14,0,6,0,0,0,0,3,3,5,0,0,0,0,4,3,3,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,49,54,11,8,8,0,121
LGA32500,10,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,9,6,4,0,0,0,0,12,4,5,3,0,6,0,19,13,9,3,0,0,0,18,14,8,6,3,0,0,25,8,8,0,0,0,0,21,3,9,3,0,0,0,17,3,7,0,0,0,0,10,4,3,3,0,0,0,13,0,0,0,0,0,0,0,4,3,0,0,0,0,8,3,0,0,0,0,0,3,0,3,0,0,0,0,6,0,3,0,0,0,0,7,0,0,0,0,0,0,7,6,8,3,0,0,0,16,86,72,22,7,12,0,208
LGA32600,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,6
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32810,18,4,3,0,0,0,26,5,3,3,0,0,0,16,13,0,3,3,0,0,19,16,3,3,4,3,0,29,9,7,6,0,3,0,31,28,15,3,3,5,0,59,25,16,11,3,4,0,60,43,34,14,10,5,4,105,30,38,14,3,6,0,98,29,55,10,3,0,0,98,24,35,4,7,3,0,75,45,41,17,9,0,0,112,11,11,3,0,0,0,28,15,11,0,3,0,0,30,20,24,4,0,3,0,49,34,18,8,11,0,0,65,15,6,0,0,0,0,25,11,3,0,0,0,0,17,23,19,6,3,3,0,51,407,356,108,58,45,3,986
LGA33100,3,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,14,19,3,0,0,0,35
LGA33200,17,4,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,4,0,0,6,0,3,4,0,0,0,6,3,4,0,0,0,0,13,3,4,0,0,0,0,11,3,10,0,0,0,0,9,3,0,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,6,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9,45,38,9,3,4,0,102
LGA33220,165,40,40,17,22,5,295,83,17,22,7,7,5,137,151,43,38,19,23,4,268,159,45,49,21,34,3,310,242,99,105,28,54,11,546,266,181,109,46,52,7,658,323,308,128,77,54,3,901,350,399,128,100,61,10,1049,322,407,98,65,40,8,930,304,435,119,65,34,8,959,176,280,74,24,17,0,567,211,368,97,29,23,0,719,75,135,27,13,4,0,257,42,66,15,8,6,0,140,88,149,50,5,9,0,307,93,130,53,9,3,0,297,28,30,7,3,4,0,77,17,14,11,3,5,0,49,143,84,48,23,28,4,336,3239,3238,1213,561,490,56,8800
LGA33360,83,39,39,6,15,0,178,25,3,5,0,4,0,42,52,30,16,4,10,0,109,42,26,13,0,10,0,87,85,41,36,7,11,0,179,96,84,52,21,25,3,287,113,107,57,21,23,0,320,182,172,59,25,20,4,464,156,236,74,21,28,0,512,197,307,81,32,18,0,649,118,282,55,16,16,5,491,253,447,99,35,25,0,858,106,262,43,20,8,0,451,99,195,38,11,10,3,349,185,424,87,27,9,5,741,222,450,91,29,16,4,810,56,107,21,3,6,0,195,32,56,16,3,0,0,111,89,103,57,17,7,7,277,2198,3377,946,303,266,30,7114
LGA33430,791,367,348,104,149,23,1781,231,101,106,27,45,0,506,382,172,214,61,91,12,936,329,179,128,50,77,7,759,561,282,298,104,161,18,1414,729,536,401,157,242,21,2082,950,778,541,214,256,30,2761,1285,1261,649,328,348,27,3901,1183,1449,604,311,292,35,3878,1517,2082,763,384,328,51,5125,1205,1915,538,263,206,31,4159,2110,3449,1145,364,328,42,7441,941,1881,453,135,124,15,3547,674,1318,368,84,76,15,2531,1499,2781,848,217,163,30,5540,1593,2875,978,203,176,29,5857,572,901,351,61,56,14,1954,379,672,256,63,42,17,1416,779,866,520,146,200,28,2543,17692,23868,9510,3264,3352,447,58128
LGA33610,40,27,0,0,0,0,62,3,3,0,0,0,0,8,14,9,0,0,0,0,26,8,8,4,0,4,0,22,20,13,10,5,3,0,52,28,19,13,4,5,3,70,23,30,15,4,0,4,79,27,45,3,7,9,3,87,25,33,9,3,0,0,76,14,41,11,4,3,0,74,8,31,0,0,0,0,44,27,38,18,0,0,0,85,5,10,3,0,0,0,19,0,9,4,0,0,0,12,7,15,0,0,0,0,31,6,20,3,0,0,0,37,3,6,0,0,0,0,10,6,6,0,0,0,0,12,15,16,4,0,0,0,37,292,373,107,34,29,16,851
LGA33620,90,21,20,8,8,0,158,46,10,13,3,7,0,84,103,24,24,8,18,0,180,73,39,26,13,5,0,152,126,57,44,22,35,3,293,148,116,70,47,39,7,425,199,181,56,47,41,0,517,196,235,67,36,40,3,573,137,249,61,37,25,0,508,147,226,62,29,24,3,486,87,145,38,15,14,3,300,125,179,54,18,10,4,384,35,66,5,3,3,0,117,19,28,8,0,10,0,66,52,72,19,8,10,0,167,44,56,19,3,3,0,128,22,20,9,0,0,0,53,9,20,10,3,0,0,43,75,55,31,8,17,0,192,1739,1808,635,321,298,26,4835
LGA33800,27,16,6,0,5,0,46,3,3,0,0,0,0,5,10,9,6,0,0,0,29,12,13,5,0,4,0,28,31,24,16,4,4,0,74,21,22,9,6,7,0,64,29,32,10,8,6,0,81,41,31,21,8,5,0,100,17,30,13,4,3,0,68,13,38,13,3,0,0,69,8,21,5,0,0,0,34,15,35,11,3,3,0,64,8,14,0,0,0,0,19,0,8,0,0,0,0,10,6,13,5,0,0,0,28,15,12,3,0,0,0,23,3,7,0,0,0,0,11,4,0,0,0,0,0,12,28,14,6,0,3,0,49,283,340,136,36,35,4,830
LGA33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9
LGA33960,176,107,105,30,49,3,468,89,30,44,10,20,0,185,131,64,86,24,52,4,358,121,70,70,22,43,9,340,194,177,128,40,59,8,603,297,323,211,65,89,10,1005,439,542,262,121,124,19,1509,621,901,328,184,159,21,2212,588,1057,291,176,140,24,2271,704,1233,340,176,122,19,2593,433,858,216,106,59,8,1680,600,1118,300,97,55,20,2181,230,489,134,40,23,4,917,115,270,83,14,10,3,495,275,616,165,40,21,10,1126,269,499,187,45,31,5,1039,72,113,48,3,8,0,257,43,86,20,5,9,0,159,187,310,168,47,48,11,765,5572,8862,3188,1260,1116,177,20171
LGA33980,30,11,7,3,3,0,51,4,3,3,0,0,0,11,5,7,0,3,0,0,22,7,6,0,0,0,0,22,17,20,3,0,0,0,37,22,18,10,4,0,0,48,21,26,0,6,0,0,57,23,26,3,4,4,0,53,12,24,8,3,5,0,53,23,35,5,6,3,0,68,12,21,4,0,0,0,41,22,40,18,5,0,0,78,10,22,5,0,0,0,35,5,16,0,0,0,0,26,17,29,10,4,0,0,55,11,23,7,5,0,0,53,3,8,0,0,0,0,13,3,3,0,0,0,0,5,18,21,15,4,3,0,54,255,354,93,44,27,4,778
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34530,69,22,25,5,9,0,129,18,3,9,0,5,0,33,27,13,9,3,3,0,58,33,8,16,5,8,0,68,54,30,20,5,14,0,123,71,43,37,16,10,0,176,87,68,37,13,14,0,213,117,107,39,27,23,0,320,83,111,42,22,6,3,272,99,154,64,24,15,7,364,86,149,47,18,9,0,315,160,214,83,38,12,0,503,67,132,30,13,0,0,244,51,64,18,0,4,0,139,114,224,60,21,16,0,425,84,189,63,11,5,0,359,36,39,15,0,0,0,95,19,19,13,3,3,0,51,74,43,37,5,13,0,172,1351,1625,664,225,171,23,4058
LGA34570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34580,50,19,12,5,10,3,95,23,8,7,3,0,0,41,45,29,17,10,13,3,113,53,14,26,3,10,0,108,79,47,47,14,20,0,200,89,75,38,23,22,3,255,138,134,46,33,26,0,378,170,201,74,31,35,9,521,130,166,60,28,9,3,404,156,256,73,26,12,4,532,107,182,50,22,13,3,377,153,233,67,19,17,0,484,51,89,21,7,6,0,176,13,50,16,3,4,0,82,59,107,30,10,3,0,211,65,76,28,3,4,0,170,17,19,5,3,0,0,45,10,12,0,0,0,0,30,63,48,33,16,12,4,179,1487,1761,651,264,210,38,4410
LGA34590,359,209,188,84,66,10,911,121,64,66,12,35,7,295,231,113,129,46,75,10,602,211,109,123,28,65,5,543,382,247,219,75,111,15,1052,474,404,350,102,153,21,1502,616,658,461,181,206,26,2138,896,1170,581,243,233,37,3160,891,1439,548,267,250,36,3423,1083,1932,621,290,250,36,4220,820,1626,420,188,148,28,3232,1211,2060,741,234,161,33,4433,521,1007,272,66,60,10,1938,321,632,202,50,30,10,1253,686,1273,414,107,97,16,2589,557,1011,371,88,75,12,2113,173,250,117,23,17,4,584,83,146,52,19,22,3,318,425,547,326,101,100,18,1515,10070,14891,6208,2194,2122,338,35825
LGA34710,24,0,0,3,0,0,27,0,0,0,0,0,0,3,3,0,3,0,0,0,9,3,3,3,0,0,0,7,7,5,4,3,0,0,16,11,11,3,0,3,0,25,7,17,3,0,0,0,36,11,10,5,3,0,0,27,5,15,3,0,0,0,23,13,13,5,0,0,0,29,7,7,0,3,0,0,17,7,10,3,0,0,0,25,5,3,0,0,0,0,10,0,0,0,0,0,0,4,3,3,3,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,5,3,4,0,0,0,0,4,6,3,0,0,0,0,12,112,110,37,15,3,0,285
