LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA34420,0,0,0,0,0,0,7,19,26,3,7,10,12,0,13,17,3,24,19,3,18,32,3,34,19,0,19,24,3,24,18,8,21,8,0,5,17,0,18,7,0,8,3,0,3,3,3,3,0,0,0,10,0,10,0,0,0,197,42,241
LGA34530,94,79,173,52,49,103,79,192,274,70,301,370,279,667,941,287,292,582,770,265,1035,551,255,804,726,251,975,680,155,837,509,168,684,581,88,667,1050,136,1189,730,22,748,497,5,504,317,57,374,572,12,586,1325,78,1399,152,259,411,9311,3342,12654
LGA34570,0,0,0,4,0,0,0,8,14,0,0,0,7,4,11,4,3,11,3,0,6,3,3,5,7,0,8,5,0,5,7,0,7,3,0,5,3,0,5,5,3,8,4,0,3,0,0,3,0,0,0,39,0,35,15,15,23,113,41,155
LGA34580,63,95,162,42,50,92,75,174,249,67,278,344,320,709,1033,305,325,628,957,243,1196,735,331,1063,911,267,1179,892,182,1071,683,113,795,663,77,738,1086,88,1174,734,17,749,378,12,397,192,22,208,318,22,339,970,113,1083,195,184,379,9577,3298,12872
LGA34590,648,514,1167,282,222,502,549,972,1516,572,1597,2169,1948,3741,5686,2341,1946,4284,5449,1817,7269,4857,2169,7031,6479,2229,8703,6791,1464,8258,5627,1065,6685,5595,730,6322,10582,813,11396,6598,202,6801,3806,101,3908,2249,224,2474,3412,74,3490,6891,577,7468,1100,990,2088,75792,21425,97224
LGA34710,18,17,35,8,7,16,4,22,28,12,44,58,23,67,93,24,33,55,54,36,94,42,50,97,66,48,113,71,37,106,63,19,81,59,26,81,113,32,145,73,5,72,51,0,50,18,10,28,36,0,34,124,14,132,19,21,41,878,487,1366
LGA34770,263,300,562,151,157,302,224,640,865,208,909,1119,816,1699,2516,850,851,1699,1857,758,2619,1538,938,2474,2078,935,3008,2096,692,2786,1760,569,2326,1833,400,2235,3765,693,4459,2675,108,2784,1764,46,1806,1063,218,1284,2048,56,2106,4279,273,4553,582,581,1167,29853,10818,40669
LGA34800,4,10,11,3,0,3,3,5,6,0,9,6,0,24,28,3,7,4,4,10,11,6,13,24,16,14,27,12,8,18,7,3,14,8,3,10,14,5,21,12,0,12,13,0,13,4,0,4,14,0,14,30,3,31,3,8,13,161,109,270
LGA34830,0,0,0,0,0,0,0,6,4,0,3,3,4,0,7,0,3,5,7,0,12,10,0,10,8,0,8,9,3,10,0,0,5,8,3,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,59,25,84
LGA34860,50,30,79,18,18,39,26,79,106,24,123,144,73,183,257,75,114,186,199,89,295,164,133,301,223,140,360,241,95,336,211,76,285,202,54,257,383,76,458,261,12,268,173,4,175,91,23,115,174,11,187,419,19,439,65,80,152,3071,1371,4439
