LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA36720,33,52,3,2561,474,125,23,552,63,283,37,115,40,232,2238,4170,39,5,12,57,15,24,11,7,12,31,76,292,6152,1674,238,10149,918,5284,397,1785,385,2306,2375,31668
LGA36820,0,3,0,128,40,14,3,44,9,14,3,8,7,21,192,350,3,0,0,0,0,6,0,0,3,8,14,33,419,110,21,621,58,304,26,141,45,221,216,2192
LGA36910,9,16,0,1327,293,48,16,309,27,137,14,58,19,95,1019,2043,27,3,10,10,3,10,0,6,10,15,40,132,3863,584,128,5189,556,3154,193,774,207,1260,1092,16993
LGA36950,0,0,0,25,9,3,0,0,0,8,3,0,3,9,18,52,4,0,3,3,0,0,0,0,0,0,19,25,82,19,5,57,11,52,5,6,12,31,35,325
LGA36960,0,0,0,7,7,0,0,3,3,4,3,7,0,21,7,58,0,0,0,0,0,0,0,0,0,3,0,5,43,21,3,39,7,98,7,65,8,163,8,450
LGA37010,11,15,3,1647,318,42,7,240,34,152,11,60,33,138,1873,2908,38,3,19,18,9,19,3,7,9,27,53,196,4983,590,159,5229,737,3373,224,889,277,1480,1953,19900
LGA37300,3,0,0,87,19,3,3,7,0,12,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,5,7,192,10,12,125,26,95,6,3,5,12,32,518
LGA37310,0,0,0,216,90,7,3,64,4,44,3,13,6,13,263,516,9,3,3,4,0,4,0,0,0,0,11,41,751,91,30,1009,128,685,45,122,50,241,286,3429
LGA37340,3,0,0,191,71,5,6,55,8,22,3,10,3,12,338,534,14,0,4,3,0,0,0,3,0,4,5,31,721,109,45,824,97,461,30,140,40,186,358,3016
LGA37400,0,0,0,3,10,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0,0,0,44,6,3,16,0,11,3,3,0,4,9,94
LGA37550,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,7,0,14,0,4,0,25,0,57
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,12,3,29
LGA37600,0,0,0,3,5,0,0,0,0,3,0,0,3,11,0,22,0,0,0,0,0,0,0,0,0,0,0,0,26,4,4,9,0,28,0,20,3,131,4,223
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
