LGA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
LGA36950,468,32,60,14,0,576,137,18,26,6,0,190,116,11,11,8,0,142,722,61,100,21,0,908
LGA36960,612,49,9,0,0,666,285,7,0,0,0,294,31,0,0,0,0,31,922,51,8,4,0,988
LGA37010,45918,4531,3731,371,154,54707,6111,1974,945,165,37,9232,1136,259,174,24,60,1660,53162,6771,4858,560,253,65599
LGA37300,650,300,29,18,0,998,55,43,6,10,0,107,20,14,0,3,0,37,722,354,38,30,0,1148
LGA37310,7898,267,221,57,45,8497,2186,166,119,38,24,2528,242,32,28,12,7,323,10334,467,363,111,81,11350
LGA37340,7115,600,644,170,127,8659,1497,261,250,66,26,2097,288,58,79,34,43,501,8900,919,976,271,195,11255
LGA37400,275,3,9,27,6,316,105,0,17,14,0,132,15,0,0,7,0,19,395,4,22,42,10,469
LGA37550,80,3,0,0,0,85,122,26,3,0,0,146,12,0,0,0,0,13,209,32,0,0,0,245
LGA37570,46,0,4,0,0,49,16,0,8,0,0,25,0,0,0,0,0,0,66,0,15,0,0,78
LGA37600,164,41,13,8,0,224,157,15,23,42,0,233,3,0,0,0,0,8,327,54,35,52,0,465
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
