LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA35790,397,2144,13,22,21,52,34,78,27,73,0,0,0,0,0,0,27,73,0,5,0,7,19,48,0,0,19,57,0,0,483,2346,18,..,499,2346
LGA35800,598,1360,15,16,0,0,15,16,4,3,0,0,0,0,0,0,4,3,7,23,0,0,0,0,7,13,16,36,15,27,647,1446,111,..,751,1446
LGA36070,175,615,0,0,0,3,0,3,36,84,0,0,0,0,0,0,36,84,0,0,0,3,4,10,0,0,6,16,0,0,218,711,39,..,257,711
LGA36150,288,675,0,0,0,0,0,0,25,24,0,0,0,0,0,0,25,24,0,4,3,3,3,3,0,0,8,10,0,12,319,723,39,..,360,723
LGA36250,44559,125246,2457,3956,2468,4945,4931,8901,1882,2928,251,451,225,365,3,0,2362,3742,119,167,221,324,8,24,20,36,370,555,223,424,52446,138873,5317,..,57762,138873
LGA36300,271,684,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,6,0,7,4,19,10,24,295,732,92,..,394,732
LGA36370,24867,65403,1446,2392,522,825,1968,3216,1041,1734,35,60,81,139,11,29,1177,1958,119,195,32,56,33,74,39,107,228,433,131,292,28375,71294,4096,..,32470,71294
LGA36510,13100,34894,410,637,90,157,500,792,156,227,46,56,3,5,3,7,202,286,115,177,25,48,19,38,42,85,196,357,47,107,14043,36443,1493,..,15533,36443
LGA36580,8279,21750,73,153,12,25,81,182,36,65,0,0,0,4,0,3,39,67,68,115,9,26,11,20,13,28,99,190,86,172,8579,22361,1064,..,9644,22361
LGA36630,11275,27578,312,466,12,18,321,484,403,586,0,0,0,0,3,3,409,590,120,208,13,26,43,82,28,63,204,375,49,120,12265,29154,1927,..,14188,29154
LGA36660,12046,30009,657,979,43,96,703,1077,330,484,0,0,0,0,3,7,334,495,90,143,36,55,25,53,32,66,184,322,89,196,13355,32098,2044,..,15401,32098
LGA36720,79971,220195,7919,13250,5609,11655,13524,24902,4956,8703,2492,4594,5418,10147,56,88,12917,23527,810,1288,666,950,41,82,76,201,1586,2519,590,1186,108589,272331,13560,..,122145,272331
LGA36820,8462,20819,220,328,37,58,258,380,407,640,0,0,0,0,0,3,412,642,146,221,32,39,19,36,30,65,221,361,46,126,9397,22327,1573,..,10974,22327
LGA36910,48398,129293,5096,8262,1368,2401,6466,10666,2490,4187,59,77,73,119,4,11,2638,4390,146,233,25,85,27,58,112,317,322,696,385,802,58204,145838,6351,..,64557,145838
LGA36950,722,2598,26,82,35,99,61,180,84,247,10,28,0,0,0,0,100,274,0,0,5,13,12,29,7,16,21,53,0,0,908,3113,81,..,988,3113
LGA36960,922,3930,48,152,4,11,51,154,8,20,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,11,4,7,0,0,988,4119,135,..,1120,4119
LGA37010,53162,146453,4072,6554,2701,4876,6771,11432,2016,3315,1366,2305,1465,2656,8,20,4858,8291,377,652,112,196,33,80,38,97,560,1020,253,507,65599,167707,8700,..,74301,167707
LGA37300,722,2363,158,411,194,434,354,838,38,55,0,0,0,0,0,0,38,55,15,26,3,3,7,16,0,0,30,49,0,9,1148,3315,229,..,1379,3315
LGA37310,10334,26874,441,806,24,58,467,865,353,586,0,0,3,7,4,0,363,586,52,84,12,17,11,24,38,87,111,215,81,193,11350,28729,2546,..,13899,28729
LGA37340,8900,22995,425,767,490,984,919,1748,771,1430,157,276,41,74,3,5,976,1780,184,359,44,83,13,31,25,43,271,519,195,441,11255,27493,2220,..,13474,27493
LGA37400,395,875,4,11,0,0,4,11,22,24,0,0,0,0,0,0,22,24,39,69,0,3,0,0,6,11,42,83,10,17,469,1007,128,..,603,1007
LGA37550,209,814,32,75,0,0,32,75,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,245,900,21,..,269,900
LGA37570,66,247,0,10,0,0,0,10,15,21,0,0,0,0,0,0,15,21,0,0,0,0,0,0,0,0,0,0,0,0,78,274,5,..,86,274
LGA37600,327,1915,50,259,6,12,54,266,35,110,0,0,0,0,0,0,35,110,3,4,0,0,51,176,0,0,52,178,0,0,465,2476,10,..,479,2476
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
