LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA31900,2979,1823,1556,1853,2195,2357,1920,1098,449,16227,0,0,6,3,3,3,0,3,3,26,5,7,11,3,12,20,53,20,3,133,15,0,7,5,9,26,76,16,0,153,71,119,91,66,93,144,119,55,3,763,0,0,3,0,0,7,14,6,0,32,0,0,4,0,3,6,4,3,0,23,0,0,4,4,3,12,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,90,127,123,75,126,220,276,104,10,1145,94,125,122,83,130,221,275,104,10,1166,3069,1948,1681,1937,2324,2580,2196,1206,463,17393
LGA31950,55,40,44,41,42,57,22,3,0,306,0,0,0,0,0,0,0,0,0,0,14,7,4,9,3,36,36,12,0,112,0,0,5,3,3,23,52,7,0,90,14,15,27,7,28,43,28,5,0,158,0,0,0,0,3,8,20,3,0,39,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,3,5,3,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,29,23,37,130,143,29,0,438,22,21,29,23,37,130,143,29,0,438,72,58,80,66,83,184,165,32,0,742
LGA32080,31224,17625,19802,21447,21462,17773,11908,5092,1902,148232,52,30,33,26,36,15,13,19,9,234,124,159,280,243,332,565,798,323,66,2889,274,144,328,358,352,777,1142,542,109,4033,870,1237,1356,1010,1172,1236,1022,374,108,8389,46,33,86,62,130,245,403,190,24,1225,52,44,72,52,94,149,157,49,11,686,17,11,18,29,57,141,173,50,9,504,26,46,50,36,19,19,15,4,0,215,13,20,58,31,25,50,77,39,9,322,0,0,0,0,0,0,0,0,0,0,1423,1690,2248,1827,2183,3187,3794,1579,331,18267,1478,1726,2280,1852,2222,3200,3806,1595,335,18500,32704,19350,22079,23294,23685,20975,15715,6689,2235,166728
LGA32250,369,197,225,209,267,229,187,64,7,1761,4,3,0,4,0,0,0,0,0,15,9,8,7,3,19,64,145,52,3,311,4,0,12,7,9,71,187,47,4,330,33,59,42,33,51,119,167,46,0,547,0,0,0,0,3,16,45,13,0,85,8,0,0,3,0,17,16,3,0,47,0,0,0,0,6,8,4,0,0,17,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,55,61,56,50,88,297,576,159,10,1353,65,67,56,51,88,298,576,159,10,1373,431,266,285,259,359,529,760,226,17,3130
LGA32260,5104,2773,2946,2997,3821,4159,3043,1638,615,27100,13,6,10,6,8,7,3,9,0,66,16,10,28,21,31,139,281,66,19,605,19,10,29,26,37,176,371,102,9,785,129,284,277,113,199,351,413,121,35,1932,0,3,4,5,11,63,110,40,0,240,9,13,3,9,8,13,33,7,4,102,0,0,7,3,0,22,37,13,0,74,0,3,0,5,0,0,8,0,0,24,5,0,0,3,3,7,6,0,0,23,0,0,0,0,0,0,0,0,0,0,176,324,350,189,297,774,1257,348,61,3778,185,332,363,197,305,774,1263,359,66,3843,5288,3112,3311,3197,4123,4941,4309,1990,682,30948
LGA32270,6697,2992,4280,3828,3574,2638,1328,523,123,25980,6,3,4,5,5,3,3,5,0,35,17,20,43,32,64,153,212,57,3,610,4,0,8,21,22,103,215,66,3,438,138,412,951,983,1014,886,366,90,9,4858,3,0,12,3,11,47,78,19,0,172,0,3,5,0,4,14,19,0,0,50,4,0,0,0,10,31,36,3,0,82,0,0,0,0,0,5,0,0,0,8,0,0,0,0,3,3,15,0,0,21,0,0,0,0,0,0,0,0,0,0,164,441,1023,1046,1129,1247,938,227,17,6226,167,438,1031,1051,1134,1247,942,229,18,6268,6863,3431,5309,4878,4709,3886,2273,753,143,32241
LGA32310,2491,1325,1097,1300,1374,1408,1242,648,191,11079,3,0,0,0,5,11,3,0,0,23,5,3,6,3,17,57,137,34,4,272,7,0,7,4,15,54,109,37,6,230,74,131,108,114,124,173,198,50,9,975,6,0,0,0,3,28,34,16,0,87,0,0,0,3,7,13,13,0,0,34,0,0,0,0,0,12,18,10,0,39,0,3,0,0,0,0,0,0,0,3,4,0,0,0,4,0,10,0,0,23,0,0,0,0,0,0,0,0,0,0,94,139,117,133,164,334,515,146,23,1663,94,137,121,130,164,342,520,146,20,1686,2586,1466,1222,1430,1542,1755,1765,797,216,12771
LGA32330,457,243,144,137,120,82,36,6,5,1235,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,4,5,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,7,3,6,3,0,0,0,0,41,10,12,3,9,5,0,0,0,0,43,469,250,154,148,124,82,39,6,5,1277
LGA32450,584,317,512,394,396,361,200,64,20,2847,0,8,7,0,0,3,0,0,0,15,5,9,26,22,20,39,87,9,0,222,3,3,5,3,8,34,60,9,0,129,29,76,186,262,227,183,116,32,3,1116,0,3,3,5,0,16,23,0,0,57,3,0,9,16,13,6,11,4,0,67,0,0,4,0,3,0,20,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,47,89,233,301,273,291,323,59,4,1631,51,100,241,301,275,294,323,59,4,1649,630,410,755,697,675,663,524,116,25,4498
LGA32500,745,443,487,450,513,632,453,123,30,3883,3,3,0,0,4,8,0,0,0,17,51,22,80,44,50,133,114,13,0,516,10,12,20,21,26,96,86,24,0,294,83,87,233,185,181,266,177,25,3,1245,3,8,3,4,12,34,55,10,0,118,9,6,9,10,13,23,24,9,0,109,0,0,3,0,0,13,9,0,0,28,3,5,8,5,8,0,0,0,0,29,0,4,0,6,0,11,0,0,0,23,0,0,0,0,0,0,0,0,0,0,150,132,360,278,294,572,480,86,11,2362,154,136,360,274,298,580,483,86,11,2376,905,578,847,725,812,1211,930,213,39,6253
LGA32600,59,25,33,41,44,39,15,4,4,267,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,7,3,0,18,0,0,0,0,0,0,4,0,0,7,0,10,13,6,18,21,14,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,6,16,30,35,0,0,112,0,9,16,6,20,31,35,0,0,109,59,31,48,43,62,64,50,11,4,381
LGA32750,44,41,40,24,38,32,17,0,0,235,3,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,16,10,0,41,0,0,0,0,0,19,8,6,0,29,0,10,13,4,27,22,31,9,0,110,0,0,0,0,7,5,12,5,0,33,0,0,0,0,0,5,4,0,0,13,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,17,5,41,57,70,23,0,227,3,10,17,6,41,57,70,23,0,233,48,52,52,35,78,91,85,23,0,471
LGA32770,513,232,205,176,93,75,24,12,0,1331,0,3,3,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,15,22,13,18,16,3,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,22,16,27,17,4,0,0,125,29,19,24,16,27,18,4,0,0,136,544,246,231,188,120,92,31,10,0,1468
LGA32810,1884,974,1424,1502,1707,1759,1196,513,148,11100,3,3,0,0,0,5,0,0,0,18,100,44,118,183,150,239,316,107,8,1276,245,66,267,311,256,622,860,353,35,3025,62,78,183,119,149,181,175,64,15,1028,44,20,56,51,91,125,94,46,0,536,3,21,40,25,39,59,35,4,5,231,9,0,27,16,25,75,55,20,0,227,9,0,5,9,0,3,7,0,0,34,16,0,10,10,9,27,31,9,7,118,0,0,0,0,0,0,0,0,0,0,491,228,707,740,715,1330,1581,605,68,6470,496,232,706,741,717,1332,1582,605,68,6490,2381,1205,2129,2245,2425,3092,2776,1116,218,17591
LGA33100,131,49,106,66,105,119,101,38,3,724,0,0,0,0,0,0,0,0,0,3,0,3,5,3,3,28,78,14,0,128,4,0,0,0,13,22,41,3,0,91,7,14,19,11,35,55,81,6,0,221,0,0,0,0,4,0,11,0,0,14,0,0,4,0,0,3,8,4,0,24,0,0,0,0,0,0,17,0,0,22,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,22,24,13,55,117,235,25,0,510,16,17,24,13,56,117,235,25,0,511,148,70,128,80,167,235,332,66,5,1231
LGA33200,260,156,158,141,204,197,187,71,28,1393,0,0,0,0,0,3,0,0,0,5,0,0,3,0,3,3,13,0,0,27,0,0,0,0,3,19,30,0,0,54,9,15,23,11,29,39,40,5,0,181,0,0,0,0,0,3,10,0,0,14,0,0,0,0,0,3,9,0,0,13,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,9,19,29,14,37,73,106,15,3,301,9,19,28,14,37,80,106,15,3,300,267,172,186,157,241,269,290,88,30,1701
LGA33220,16634,9215,8088,10062,12117,14368,14922,7562,2429,95402,25,23,8,20,5,20,21,17,5,149,53,45,81,75,88,296,544,233,28,1439,39,22,50,48,95,328,773,328,63,1744,450,637,574,529,614,927,822,332,99,4993,8,8,3,11,12,54,173,79,9,358,10,11,16,8,9,27,29,7,0,113,3,5,6,3,21,63,149,39,0,295,4,0,0,3,0,3,7,0,0,21,0,0,13,6,6,31,52,20,3,130,0,0,0,0,0,0,0,0,0,0,576,727,747,685,853,1733,2541,1039,196,9096,600,754,756,705,857,1754,2563,1054,204,9244,17233,9971,8843,10769,12972,16119,17489,8612,2632,104649
LGA33360,13488,6814,7878,8289,8514,6586,3791,1604,485,57449,25,14,18,4,3,3,3,4,0,81,22,24,73,67,102,230,268,76,13,875,10,18,33,22,63,172,279,83,5,689,305,470,554,428,547,591,397,108,31,3438,3,4,4,7,12,44,68,9,0,160,0,0,15,14,17,29,20,0,0,94,3,0,10,4,17,27,44,8,0,119,0,0,6,3,3,0,0,0,0,25,0,0,3,0,7,6,11,0,0,28,0,0,0,0,0,0,0,0,0,0,341,519,701,554,769,1098,1092,293,58,5423,368,535,716,556,775,1097,1094,301,58,5504,13855,7348,8592,8843,9287,7687,4885,1902,541,62950
LGA33430,98707,68023,72422,73394,71673,60611,49947,25634,11111,531511,52,116,83,63,60,63,78,54,32,594,706,583,914,880,860,1301,1612,748,220,7820,1061,337,760,945,798,1274,2538,2041,470,10229,2023,2702,2881,2079,1970,2103,1783,835,448,16820,285,99,171,191,187,265,364,233,60,1849,109,95,127,126,110,157,144,38,10,926,112,65,91,89,105,238,481,275,39,1500,25,17,42,17,22,22,14,0,0,161,38,22,47,32,45,123,117,75,22,522,0,0,0,0,0,0,0,0,0,4,4355,3914,5030,4363,4097,5488,7048,4257,1267,39820,4415,4030,5114,4420,4163,5553,7120,4305,1300,40419,103117,72049,77532,77815,75837,66157,57072,29943,12410,571926
LGA33610,2173,970,1203,1178,1322,1316,967,558,199,9880,3,0,5,0,8,0,3,5,0,24,26,6,16,15,32,38,64,13,0,215,10,3,0,7,13,38,67,35,0,161,39,57,70,45,65,86,54,13,3,433,0,3,0,0,3,5,27,9,0,46,0,0,0,0,3,6,5,9,0,22,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,74,74,91,71,117,173,220,78,5,897,78,77,91,71,122,175,228,84,5,924,2243,1046,1295,1250,1440,1487,1192,637,207,10805
LGA33620,8836,4635,4141,4925,6516,7070,6489,2932,981,46526,15,11,3,3,9,19,19,14,4,86,22,16,23,20,29,74,139,40,5,371,15,15,9,20,29,80,150,41,4,365,214,324,256,235,306,427,330,107,38,2238,4,0,3,0,6,26,34,9,0,85,6,3,7,3,3,17,15,0,0,58,0,0,0,0,3,17,26,0,0,46,8,5,0,0,3,3,3,0,0,20,0,0,0,3,0,15,9,0,3,39,0,0,0,0,0,0,0,0,0,0,264,362,307,280,379,666,704,200,51,3219,283,370,307,277,389,680,727,212,55,3303,9115,5003,4448,5203,6913,7750,7215,3147,1034,49827
LGA33800,1668,1007,793,1001,1432,1637,1418,958,397,10313,9,8,3,0,6,0,0,0,0,23,12,0,6,3,8,44,135,31,3,239,3,0,0,4,3,37,61,30,0,141,56,107,54,54,69,125,157,55,11,683,0,0,0,0,4,0,21,8,0,32,0,0,0,4,0,0,5,0,0,8,0,0,0,0,0,3,14,3,0,18,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,68,108,63,67,84,215,388,123,17,1136,75,113,65,66,88,215,394,127,17,1162,1738,1127,855,1068,1521,1852,1812,1083,422,11473
LGA33830,239,150,131,113,93,64,26,17,3,840,7,3,0,6,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,6,7,15,8,10,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,15,8,13,3,0,0,61,12,10,13,17,8,13,3,0,0,77,253,163,142,134,96,75,27,17,3,914
LGA33960,44875,25945,28422,25232,23390,18139,11677,5903,2117,185696,55,53,32,26,22,28,21,7,3,246,25,51,56,38,60,77,48,19,3,383,7,13,20,20,19,42,32,7,6,173,804,998,1009,602,522,477,361,190,107,5076,6,9,11,8,16,4,12,3,0,69,3,3,3,3,12,6,5,4,0,35,0,3,3,0,6,20,9,4,0,46,5,4,13,8,9,8,0,0,0,46,0,0,0,10,3,10,11,0,0,32,0,0,0,0,0,0,0,0,0,0,857,1084,1118,683,651,644,484,233,118,5869,909,1139,1154,711,666,668,506,238,127,6122,45787,27087,29575,25943,24062,18812,12185,6137,2239,191816
LGA33980,5115,2075,3744,3260,2545,1747,723,238,68,19508,0,9,9,7,3,8,4,0,0,36,14,29,113,86,95,136,128,30,7,635,4,14,27,32,30,55,98,29,3,295,113,444,2189,2272,2303,1391,281,41,19,9050,0,3,13,9,15,24,36,4,0,94,0,0,4,10,15,16,12,0,0,59,0,0,3,9,9,18,20,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,129,489,2357,2406,2478,1634,578,109,25,10209,134,501,2361,2415,2481,1640,578,109,26,10244,5243,2571,6103,5671,5021,3390,1309,348,98,29758
LGA34420,238,137,151,125,116,95,34,5,7,903,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,9,5,13,9,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,7,18,10,0,0,0,54,3,10,14,9,18,10,0,0,0,56,241,146,162,133,133,102,31,5,7,964
LGA34530,6649,3829,3318,4027,4795,4743,3498,1748,662,33274,6,9,12,9,3,7,5,8,0,60,4,4,12,0,19,115,176,41,8,380,9,5,8,10,18,141,311,124,18,649,175,278,196,142,193,272,252,87,24,1618,3,0,3,3,4,25,54,26,5,123,3,3,3,4,3,14,9,3,0,44,0,0,0,3,9,20,28,20,0,75,3,5,0,3,0,0,0,0,0,9,0,0,0,0,3,6,19,4,0,31,0,0,0,0,0,0,0,0,0,0,195,296,219,161,249,586,854,313,57,2934,207,314,236,162,251,595,860,317,59,2998,6854,4137,3549,4190,5053,5337,4352,2066,727,36273
LGA34570,219,117,105,75,76,46,25,8,0,662,0,0,0,3,4,0,0,0,0,9,0,0,0,0,5,3,8,0,0,12,0,0,0,0,3,0,9,0,0,12,0,4,7,9,15,16,7,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,25,18,24,0,0,83,3,3,7,13,26,19,24,0,0,94,219,122,114,90,96,68,44,8,0,759
LGA34580,7331,5010,4382,4375,5213,4531,3695,1656,557,36746,18,19,6,9,5,10,14,5,3,84,0,11,6,3,8,12,18,10,3,74,3,7,5,0,3,7,16,5,8,59,149,345,166,90,116,100,77,48,23,1114,0,0,3,0,0,0,8,0,0,8,5,0,5,5,0,0,3,0,0,25,0,3,0,0,0,0,3,0,0,7,0,6,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,155,372,188,104,134,129,132,62,29,1300,170,393,192,115,135,138,139,70,26,1381,7502,5400,4569,4492,5347,4668,3832,1729,586,38134
LGA34590,66945,40483,40786,39768,37454,31397,22353,9131,3211,291533,72,44,57,34,37,43,31,28,8,351,47,52,65,57,75,88,105,59,21,568,16,34,46,28,33,57,70,42,7,332,1246,1505,1352,851,657,621,428,228,81,6972,8,3,3,4,16,19,24,0,4,78,12,3,19,18,14,11,6,4,0,83,8,3,5,8,8,16,27,5,0,74,3,5,9,5,4,4,0,0,0,27,3,3,3,7,4,4,10,3,0,37,0,0,0,0,0,0,0,0,0,3,1337,1607,1499,970,816,819,666,341,110,8170,1414,1656,1552,1009,857,863,699,366,117,8527,68357,42143,42338,40776,38310,32258,23053,9496,3334,300064
LGA34710,670,418,387,393,467,476,281,174,76,3333,0,0,0,0,0,3,0,0,0,4,15,6,5,7,23,73,143,35,5,315,0,3,5,6,6,80,101,35,0,242,32,32,34,36,66,150,143,31,5,537,0,0,0,0,0,17,48,4,0,81,0,3,0,0,3,18,16,5,0,42,0,0,0,0,3,12,4,0,0,15,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,4,8,0,0,11,0,0,0,0,0,0,0,0,0,0,54,47,50,58,104,349,465,114,12,1244,54,51,50,58,104,354,465,114,12,1249,721,464,442,445,577,827,742,285,79,4583
LGA34770,23187,12810,13717,13756,15086,12841,8227,4251,1557,105426,18,20,19,14,22,19,11,16,0,145,18,15,53,35,69,150,277,91,14,725,26,14,35,31,56,147,261,102,10,680,479,783,718,571,609,781,615,234,90,4871,0,5,5,5,9,39,74,21,3,165,3,3,6,11,13,30,29,5,0,94,0,0,0,7,3,20,36,13,3,85,0,4,0,0,3,3,4,0,0,15,4,0,3,3,4,3,10,0,0,29,0,0,0,0,0,0,0,0,0,0,530,820,826,659,766,1175,1300,472,127,6675,548,848,843,676,783,1196,1308,484,125,6819,23738,13652,14555,14433,15868,14037,9535,4742,1681,112241
LGA34800,129,61,110,124,106,106,65,20,5,729,0,0,5,0,0,3,3,0,0,12,0,3,4,4,3,14,23,5,0,58,0,0,3,3,5,8,12,3,0,35,8,37,145,146,115,105,40,3,0,591,0,0,0,0,0,3,6,0,0,16,0,0,5,4,6,7,0,0,0,16,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,8,38,157,162,134,136,80,15,0,725,5,42,163,162,137,137,86,15,0,741,135,102,276,286,239,242,147,41,4,1470
LGA34830,85,49,40,27,29,44,11,5,0,287,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,4,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,12,7,0,0,42,0,0,4,4,14,12,7,0,0,43,86,54,44,30,43,52,17,9,3,337
LGA34860,2647,1232,1716,1503,1530,1369,949,552,212,11706,3,7,3,0,3,0,3,6,3,33,6,8,10,23,25,74,63,21,3,239,7,3,6,4,18,27,90,16,0,183,66,161,308,276,360,232,120,32,9,1567,0,0,3,7,22,13,27,9,3,85,0,3,5,4,7,0,12,0,0,31,0,0,0,0,3,7,7,0,0,24,0,0,3,0,0,3,0,0,0,6,3,0,0,0,3,3,3,6,0,14,0,0,0,0,0,0,0,0,0,0,81,180,345,316,431,363,330,95,18,2149,87,187,347,314,434,363,334,97,20,2179,2729,1416,2062,1819,1962,1736,1279,652,229,13885
LGA34880,3752,2192,2181,2502,2899,2908,2352,1208,371,20352,15,16,14,8,12,5,8,5,0,76,11,6,7,13,18,59,61,14,4,199,9,12,7,13,22,53,59,29,7,206,98,120,132,101,134,170,158,40,11,959,3,4,0,4,4,17,37,6,0,79,0,0,0,0,9,39,29,6,0,90,0,3,9,0,0,19,16,8,0,50,0,3,3,0,0,0,0,0,0,6,7,0,3,0,0,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0,135,146,156,133,183,354,367,106,19,1601,147,155,171,141,192,360,367,117,19,1674,3898,2346,2349,2641,3095,3263,2721,1322,390,22022
LGA35010,86984,50732,49371,55240,55229,46375,38075,17698,7031,406732,65,72,50,47,37,55,32,32,7,398,42,70,86,65,119,223,321,116,25,1062,40,35,61,66,45,153,273,135,25,839,1574,1955,1663,1128,1046,1144,1005,447,262,10211,6,6,14,7,14,37,89,19,14,202,15,10,23,22,21,38,29,4,6,164,3,4,5,10,11,37,71,25,5,180,7,19,10,6,6,4,8,0,0,66,8,5,11,7,5,17,35,8,0,93,0,3,0,0,3,0,0,0,0,11,1691,2107,1869,1312,1277,1658,1826,759,331,12829,1760,2177,1917,1354,1316,1711,1854,796,336,13224,88744,52907,51287,56595,56548,48089,39931,18494,7365,419959
