LGA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
LGA35300,8,29,19,8,4,3,0,0,63,7,25,10,0,0,0,0,0,39,192,611,484,419,285,100,23,3,2129,30,113,78,56,45,23,13,0,352,10,18,14,19,8,3,0,0,69,7,30,39,31,13,7,4,0,128,10,27,27,34,15,8,3,0,124,20,66,56,50,35,6,3,0,243,14,44,24,31,16,7,3,0,144,3,4,3,5,0,0,0,0,21,17,37,30,26,18,5,0,0,142,0,3,0,0,0,4,3,0,10,8,15,6,13,8,3,0,0,62,198,273,159,199,153,79,26,7,1094,523,1305,956,897,604,253,76,9,4622,5,32,11,4,5,0,0,0,57,16,8,11,4,0,4,0,0,36,19,56,33,18,8,0,0,0,138,0,0,3,0,0,0,0,0,5,8,18,14,7,3,0,0,0,48,62,157,111,108,63,17,6,0,522,68,161,105,96,40,20,3,0,492,84,250
LGA35600,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,12,54,32,41,35,8,10,0,192,3,22,23,10,14,5,8,0,86,8,17,11,19,13,3,0,0,70,0,0,9,5,4,4,0,0,24,3,8,4,3,0,0,0,0,18,4,12,13,12,18,4,0,0,56,3,8,11,9,10,0,0,0,30,0,0,0,0,3,0,0,0,12,9,8,15,5,8,4,0,0,41,0,0,0,0,3,0,0,0,0,0,5,7,0,0,0,0,0,9,39,25,30,31,29,23,15,8,198,91,153,144,134,135,58,39,9,749,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,11,0,0,3,0,0,0,0,0,0,3,12,9,6,6,0,0,0,40,14,34,20,36,54,11,3,3,177,14,37,23,38,20,4,3,0,139,16,29
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0,4,0,0,30,0,6,9,8,3,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,5,0,0,0,25,19,18,20,22,13,10,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,8,0,0,7,4,0,0,0,0,11,3,4
LGA35740,3,18,40,43,88,83,33,6,314,30,37,49,41,42,30,3,0,227,115,302,443,658,797,805,377,107,3603,82,261,348,425,452,310,159,28,2061,22,44,124,129,113,63,36,3,542,16,69,129,154,163,124,40,17,698,10,36,86,146,171,127,55,15,636,71,133,262,346,337,381,131,32,1693,69,64,135,155,141,188,69,12,821,44,39,68,70,83,64,28,0,391,51,132,183,156,92,58,27,7,710,3,3,3,0,3,3,3,4,17,8,11,23,36,40,27,19,4,170,179,163,287,313,320,355,201,106,1934,696,1299,2180,2687,2843,2607,1167,345,13823,8,26,55,49,39,29,10,0,212,5,3,16,16,15,13,0,0,71,3,25,33,59,29,34,18,4,205,7,29,28,37,26,23,6,4,155,7,29,49,55,38,5,4,3,192,62,238,393,510,502,361,146,39,2252,27,141,304,412,457,360,116,32,1853,129,344
LGA35760,3,8,3,3,6,4,0,0,23,0,7,3,0,0,0,0,0,15,53,85,87,106,114,81,45,6,569,17,26,29,38,39,35,10,4,201,18,30,30,41,33,15,9,0,177,0,9,15,16,15,7,6,0,63,0,13,12,12,14,11,6,0,69,12,21,26,19,11,10,5,0,87,3,15,10,11,12,10,0,0,61,3,3,0,0,3,3,0,0,14,13,16,13,15,9,9,3,0,85,0,4,0,0,0,0,0,0,8,0,3,3,8,7,4,0,0,28,79,100,74,125,111,117,99,25,735,202,340,299,397,371,297,179,45,2135,0,3,5,8,3,0,0,0,15,4,3,3,0,0,0,0,0,5,6,6,3,6,4,6,0,0,27,0,4,0,0,0,0,0,0,4,13,22,21,15,3,5,0,0,81,15,43,51,44,72,42,24,3,296,6,35,46,63,52,41,6,4,257,40,75
LGA35780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,26,17,17,8,7,0,0,87,17,28,15,10,12,0,0,0,85,0,3,8,6,4,0,0,0,19,0,0,6,9,3,4,0,0,22,0,5,0,5,4,0,0,0,21,3,6,3,11,9,0,0,0,33,7,9,3,3,9,0,0,0,30,3,0,3,0,0,0,0,0,5,3,0,8,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,23,23,21,10,3,5,0,103,66,103,80,83,62,16,5,0,431,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,9,7,4,4,10,16,4,0,0,52,11,23,14,12,12,3,0,0,70,20,25
LGA35790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,13,6,0,0,0,40,10,12,7,8,6,0,0,0,47,0,0,3,4,3,0,0,0,14,0,3,3,8,3,0,0,0,20,0,3,0,10,6,0,0,0,18,0,0,3,3,0,0,0,0,6,6,3,10,6,0,0,0,0,25,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,22,12,9,13,3,0,0,0,65,45,49,48,73,26,10,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,15,13,0,0,0,46,0,18,9,16,6,0,0,0,46,9,6
LGA35800,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,18,12,6,25,12,5,0,84,0,3,5,3,7,3,5,0,29,3,9,6,13,11,3,3,0,46,0,0,3,4,3,0,0,0,4,0,0,0,0,3,0,0,0,3,0,4,0,3,0,0,0,0,17,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,3,0,3,0,0,7,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,8,5,17,6,22,18,5,3,79,21,46,53,48,66,40,20,3,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,8,0,3,0,0,0,0,19,3,6,3,8,17,4,5,0,42,7,10,6,7,12,3,0,0,43,3,11
LGA36070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,16,0,0,3,7,0,3,0,0,13,5,0,0,3,0,0,0,0,10,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,4,0,4,0,0,26,16,17,22,25,6,5,0,0,97,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,13,3,3,0,0,0,0,0,0,10,3,3
LGA36150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,6,5,3,0,0,35,0,10,6,0,0,3,0,0,19,5,6,3,9,3,0,0,0,23,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,14,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,5,9,0,0,34,10,37,19,25,18,19,4,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,8,5,3,4,3,7,6,3,0,31,0,4,3,7,4,3,0,0,23,3,8
LGA36250,36,86,117,157,154,146,39,12,740,147,231,287,265,143,44,6,3,1131,635,1684,1998,2534,2514,1916,865,249,12392,358,1037,921,910,864,613,296,78,5082,57,124,169,172,147,88,42,6,813,65,167,208,305,255,140,68,35,1246,26,133,200,228,276,248,90,17,1223,375,680,1028,1106,968,519,175,53,4903,300,329,379,355,302,260,92,32,2037,211,160,138,100,82,52,28,16,789,170,223,286,244,165,120,42,11,1262,18,8,0,4,8,7,9,8,61,22,62,98,108,74,62,24,13,468,435,455,546,618,625,530,406,267,3879,2863,5374,6371,7103,6579,4746,2193,793,36014,43,132,171,142,96,59,16,3,662,20,45,72,79,52,28,0,0,294,33,96,124,158,84,97,58,39,687,28,76,59,51,37,18,3,0,274,31,52,83,66,43,24,0,4,307,349,839,974,1206,1023,608,277,75,5355,175,613,917,932,914,524,200,42,4316,687,1551
LGA36300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,7,7,11,3,0,0,51,4,3,0,0,0,0,0,0,9,0,6,3,3,0,3,0,0,13,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,6,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,12,3,4,3,3,3,0,38,22,36,25,28,21,12,0,3,151,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,14,3,3,6,3,4,0,0,0,21,0,4,5,3,6,0,0,0,21,6,10
LGA36370,11,45,52,48,37,33,6,0,238,54,117,117,59,32,12,3,0,391,536,1408,1045,1107,1028,564,301,65,6058,149,378,305,320,348,178,82,18,1776,50,81,103,107,75,32,10,0,463,40,198,174,167,116,68,23,6,787,12,103,128,123,134,92,28,4,619,129,321,311,295,240,105,30,15,1440,145,156,160,151,132,66,24,0,838,21,59,37,29,15,22,3,3,195,102,180,151,107,86,58,28,7,729,18,6,4,4,8,3,8,3,60,24,49,57,54,34,26,12,0,252,502,579,496,611,535,365,295,166,3546,1792,3679,3146,3194,2826,1617,844,285,17393,29,75,61,43,19,8,7,0,246,17,32,26,29,16,5,0,0,118,37,82,64,42,27,15,19,3,292,9,12,14,10,3,3,4,0,54,39,62,51,21,16,10,0,0,187,235,615,437,505,458,192,89,29,2560,98,379,473,415,345,166,61,22,1959,419,944
LGA36510,3,8,23,29,42,43,15,4,176,14,28,41,27,19,15,0,0,142,119,350,479,567,554,449,181,37,2740,66,159,211,264,244,175,69,6,1197,21,51,90,91,77,44,24,5,396,6,29,56,88,58,46,31,9,321,14,33,61,86,108,62,24,3,391,57,84,162,175,165,113,47,9,820,41,50,86,95,96,78,31,12,499,25,27,32,34,30,22,11,3,180,42,63,68,80,52,48,10,3,369,3,8,0,0,3,4,3,0,19,9,15,29,39,24,21,7,0,131,286,247,270,311,315,293,164,60,1943,702,1149,1608,1886,1788,1410,606,149,9311,9,12,45,44,23,14,3,0,155,7,7,13,17,11,5,0,0,61,4,19,20,37,23,32,6,3,142,3,11,25,26,7,6,3,0,75,34,48,49,52,25,3,4,0,213,60,159,227,274,303,192,76,17,1319,21,129,235,243,294,208,71,14,1217,141,267
LGA36580,3,10,9,17,13,11,7,0,70,13,20,21,11,5,3,0,0,80,92,277,273,341,364,320,96,19,1779,29,91,89,116,139,95,38,8,622,23,46,51,56,37,20,12,3,251,3,14,20,28,39,23,7,0,145,3,8,39,21,44,30,4,0,150,39,50,73,97,66,52,19,0,394,29,49,42,47,43,40,10,0,259,4,6,6,10,12,8,3,0,57,29,44,44,35,38,26,9,0,223,0,3,3,0,5,0,0,0,17,0,3,9,15,20,16,3,0,74,182,103,171,206,235,184,96,25,1202,460,729,863,1004,1066,833,320,56,5318,6,13,13,11,8,9,0,0,65,3,6,6,12,4,0,0,0,33,0,26,18,21,19,13,7,0,105,3,9,7,4,3,3,0,0,26,27,28,33,25,15,6,4,0,137,39,106,122,118,161,101,32,3,682,17,78,116,135,124,65,24,3,568,101,176
LGA36630,5,4,9,21,18,13,3,0,79,18,32,25,16,10,8,3,0,105,134,262,358,348,434,399,159,29,2118,36,81,98,128,166,155,73,9,741,34,65,86,85,56,37,22,5,384,7,35,28,45,47,35,6,0,205,4,29,42,53,71,46,14,0,267,42,58,86,78,87,65,18,4,431,19,57,58,54,51,53,20,0,313,7,7,8,5,16,10,0,0,61,36,45,42,53,37,42,14,3,284,5,0,0,3,3,8,3,0,24,7,5,13,16,18,10,10,0,89,236,169,221,260,232,277,209,64,1668,591,869,1070,1167,1252,1152,556,119,6773,0,14,14,20,14,11,0,0,74,4,0,6,11,13,3,0,0,40,9,17,30,33,18,12,8,0,125,4,8,3,5,6,6,0,0,29,24,29,40,35,9,3,3,0,147,48,153,141,171,247,159,65,13,1002,37,155,157,192,207,123,33,18,918,129,202
LGA36660,9,8,13,25,22,25,14,0,126,7,16,15,13,17,10,0,0,88,163,301,303,347,396,361,164,35,2074,66,126,117,117,179,152,54,9,827,37,49,94,107,78,59,24,12,457,5,34,41,46,60,41,15,5,256,4,31,37,72,99,63,28,4,336,58,105,125,137,112,92,27,4,667,38,39,56,52,62,66,26,3,342,3,14,13,14,26,15,3,0,87,53,57,55,56,59,48,13,3,347,3,0,3,0,5,8,7,5,36,5,17,21,23,15,27,9,4,120,238,168,149,205,218,256,153,76,1458,696,963,1055,1219,1360,1227,548,162,7222,4,17,17,20,21,19,3,4,102,0,3,8,15,8,3,0,0,42,12,18,16,28,27,13,3,3,128,0,4,4,6,3,4,0,0,19,32,30,35,29,23,13,4,0,170,57,135,157,251,258,195,94,17,1161,31,126,177,233,220,159,52,20,1018,126,248
LGA36720,50,175,261,241,262,293,122,29,1436,249,355,411,276,199,111,18,3,1616,963,2608,3235,3944,3718,3579,1881,535,20463,598,2044,2391,2210,1997,1311,684,193,11439,148,384,559,505,411,299,147,48,2501,174,662,827,927,738,371,199,71,3970,48,299,501,684,823,645,257,48,3310,551,1168,1667,1687,1531,1229,497,121,8450,504,664,805,808,775,613,260,64,4498,280,362,343,246,222,173,72,25,1728,381,630,723,621,380,289,107,31,3154,32,6,10,13,24,23,21,9,144,52,125,179,195,161,115,83,21,933,1306,1274,1449,1504,1389,1358,927,546,9771,5344,10756,13371,13874,12633,10406,5278,1746,73415,98,237,306,266,196,123,32,9,1272,46,78,145,103,71,46,10,0,494,59,141,198,183,174,134,124,63,1075,38,144,158,146,91,39,12,0,636,69,185,222,168,121,46,14,4,824,726,2127,2391,2812,2467,1540,721,236,13025,241,1240,2048,2147,2070,1392,586,158,9890,1240,2718
LGA36820,0,6,18,29,29,36,8,0,135,11,3,6,9,13,3,4,0,50,103,209,268,347,420,378,175,36,1933,48,98,114,114,176,126,50,9,740,11,45,57,65,65,51,26,0,328,9,37,36,55,49,29,15,0,225,3,18,52,45,71,66,17,8,273,26,36,56,53,54,66,13,7,314,17,24,40,53,49,42,16,0,243,3,12,0,9,12,10,5,0,60,22,36,36,43,43,32,8,0,223,4,0,3,0,0,4,3,0,18,4,3,14,25,16,8,6,0,79,174,117,130,197,231,215,138,54,1254,438,642,828,1044,1241,1073,491,127,5874,0,8,24,28,24,11,8,0,102,3,0,0,4,9,5,0,0,20,9,14,10,16,15,12,3,0,79,3,5,4,5,0,0,0,0,27,14,30,26,31,24,11,3,0,134,38,117,116,179,220,157,69,29,934,20,91,133,177,216,132,49,12,826,75,156
LGA36910,36,123,140,122,131,81,27,9,671,168,282,199,116,66,26,8,0,854,968,2309,1984,1998,1755,1212,559,143,10930,415,837,699,627,663,431,198,46,3914,147,243,373,392,334,181,93,21,1795,56,357,347,361,360,187,73,26,1775,35,191,263,340,380,271,123,23,1619,384,805,892,843,640,360,114,30,4063,242,408,420,362,320,255,102,24,2136,91,149,97,83,80,47,24,4,576,258,335,266,203,161,86,22,13,1357,31,21,3,16,13,11,12,5,109,31,80,91,102,82,50,10,10,456,1030,830,796,844,850,793,627,319,6089,3885,6974,6565,6414,5826,4002,2007,671,36345,40,148,185,139,89,38,16,0,664,37,64,61,31,32,12,0,0,241,77,144,124,93,81,46,35,13,608,29,46,42,43,18,8,3,0,189,115,161,171,112,86,31,3,0,678,409,1254,1062,1246,1206,723,345,100,6342,170,804,1040,1113,1026,623,255,61,5080,934,1783
LGA36950,0,3,11,3,0,0,0,0,13,0,0,0,0,0,0,0,0,5,19,30,23,36,25,12,0,0,151,16,27,22,14,19,7,0,0,114,3,3,3,7,4,0,0,0,18,0,10,8,20,4,0,0,0,43,0,12,6,4,8,0,0,0,29,3,12,12,7,8,0,0,0,44,4,9,9,11,5,5,0,0,39,0,3,3,6,0,0,0,0,15,0,4,0,3,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,81,107,53,45,39,15,5,3,334,140,221,156,152,117,35,9,4,832,0,4,3,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,3,4,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,5,24,36,22,32,7,0,0,123,7,20,23,22,18,5,0,0,98,17,52
LGA36960,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,42,29,18,9,5,0,0,122,33,40,44,31,17,3,0,0,165,6,5,7,9,3,0,0,0,30,3,7,6,14,6,0,0,0,34,0,3,0,5,7,3,0,0,25,4,8,17,19,6,0,0,0,56,12,9,10,12,14,0,0,0,54,5,8,6,3,0,0,0,0,21,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,4,4,0,0,0,17,102,98,42,26,24,14,4,0,308,188,225,167,140,88,26,6,0,834,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,8,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,7,12,18,15,19,7,3,0,74,12,28,30,22,25,0,0,0,127,31,47
LGA37010,92,329,267,220,180,146,34,9,1272,204,312,239,143,82,20,4,0,1002,1205,3103,2715,2744,2366,1521,599,167,14426,373,1054,948,914,887,565,226,52,5020,76,181,231,178,137,66,25,4,903,182,546,502,470,338,130,56,11,2235,46,250,294,291,299,193,70,10,1445,396,850,990,979,722,290,84,26,4340,426,663,537,487,344,230,64,12,2772,96,163,118,106,75,59,27,3,643,257,379,388,304,223,148,41,7,1742,20,22,9,8,18,3,11,7,99,80,171,145,172,100,50,18,7,743,1745,1733,1322,1273,1038,758,431,156,8456,5187,9753,8708,8295,6802,4176,1685,475,45097,148,389,305,197,111,66,15,3,1227,37,73,72,71,31,14,0,0,294,80,242,183,141,71,52,24,19,813,27,85,69,40,26,3,5,0,253,80,138,129,78,36,11,3,0,478,732,1910,1503,1347,1119,486,186,42,7323,234,975,1094,1065,873,438,162,35,4872,984,2195
LGA37300,0,3,4,3,0,0,0,0,9,0,3,0,0,0,0,0,0,4,53,147,136,121,52,14,3,0,520,11,36,46,19,26,8,0,0,146,0,14,8,4,7,0,0,0,38,0,10,13,8,8,0,0,0,30,3,14,14,15,3,0,0,0,51,3,9,19,14,10,3,0,0,55,0,4,0,3,7,0,0,0,15,0,0,0,0,0,0,0,0,3,0,10,12,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,35,36,48,41,25,8,0,0,198,107,285,311,235,135,28,3,0,1107,0,7,4,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,12,3,9,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,13,12,33,30,29,15,0,0,0,112,3,43,43,23,5,0,0,0,126,13,54
LGA37310,8,13,13,6,7,4,5,0,50,12,19,9,11,6,0,0,0,57,237,557,545,450,342,193,63,11,2394,56,179,119,106,81,57,27,5,643,60,145,143,144,79,32,21,3,624,0,27,48,41,19,17,5,3,160,12,40,44,48,39,25,6,0,209,48,100,129,87,75,25,10,0,474,35,44,36,39,27,18,11,0,211,5,5,3,4,4,7,0,0,37,39,72,55,39,19,21,10,0,252,4,3,4,0,3,4,3,0,18,9,11,19,21,14,8,3,0,84,320,303,316,349,300,272,145,54,2059,834,1519,1489,1354,1026,665,312,87,7285,3,18,20,14,10,4,3,0,69,10,8,11,6,4,3,0,0,40,13,24,27,21,15,3,3,0,110,4,9,8,6,0,0,0,0,37,34,76,67,30,20,3,0,0,229,61,188,155,181,145,92,37,5,854,65,187,200,181,143,82,25,4,882,132,330
LGA37340,6,20,16,15,16,15,6,0,93,23,24,24,6,5,8,0,0,88,189,598,555,595,579,380,139,26,3065,67,219,204,194,215,125,41,4,1074,22,83,51,54,33,20,6,0,280,15,38,40,40,38,23,10,0,197,7,40,36,42,41,35,6,0,207,51,146,102,108,103,66,9,7,598,46,66,62,52,40,28,3,3,303,8,28,17,11,17,7,0,0,91,63,162,110,75,43,29,10,0,497,3,5,3,3,3,3,4,5,28,3,10,15,26,17,15,3,3,95,391,540,383,372,320,277,119,38,2433,900,1982,1628,1599,1472,1024,362,84,9058,9,33,28,19,10,10,3,0,114,3,7,15,11,7,0,0,0,35,17,44,41,22,16,9,9,4,165,3,17,10,4,6,3,0,0,44,10,33,36,21,3,6,0,0,111,49,152,137,151,199,79,24,6,807,43,164,167,140,145,77,33,3,777,157,409
