LGA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
LGA36820,0,17,622,638,16,80,308,399,274,204,316,801,548,171,271,989,717,221,422,1362,938,163,541,1638,1026,120,406,1553,491,33,233,757,113,4,74,196,4115,1017,3202,8332,0,19,555,570,30,115,261,413,396,232,352,972,678,192,335,1209,858,236,493,1581,1025,163,587,1775,869,80,492,1447,337,18,381,731,53,0,189,241,4239,1060,3649,8950,0,31,1176,1210,47,195,570,810,667,432,665,1771,1227,363,605,2195,1575,456,918,2945,1962,327,1129,3413,1895,203,902,2998,829,49,617,1494,163,11,266,435,8354,2077,6846,17278
LGA36910,6,74,4672,4756,214,820,3163,4197,3395,1778,3101,8279,5126,906,2024,8061,5558,840,2271,8678,5654,521,1988,8164,4688,277,1433,6399,2499,76,880,3449,592,11,398,1006,27736,5311,19938,52987,14,170,4210,4388,417,1114,2695,4225,4366,1747,2925,9045,5628,923,2523,9073,5969,797,2869,9638,5680,506,2783,8963,4353,217,2617,7183,1798,33,2273,4109,264,7,1311,1578,28481,5519,24204,58209,24,248,8880,9146,625,1935,5858,8426,7764,3532,6030,17319,10749,1833,4551,17132,11529,1642,5148,18312,11335,1026,4771,17127,9043,497,4050,13585,4298,106,3153,7556,859,17,1706,2584,56216,10833,44148,111193
LGA36950,0,4,123,125,0,15,107,122,36,64,138,232,62,53,52,168,56,38,62,163,65,24,51,139,21,3,26,48,5,0,10,18,0,0,3,3,247,204,573,1019,0,3,88,90,0,21,90,115,44,76,131,250,78,66,87,235,52,33,73,164,55,18,64,135,19,3,31,48,3,0,12,12,0,0,5,5,249,217,584,1048,0,3,215,221,0,34,198,233,77,137,268,483,134,124,140,401,111,73,138,321,125,40,115,274,38,4,52,94,11,0,15,28,0,0,4,11,497,425,1154,2072
LGA36960,0,0,109,109,0,36,127,156,18,130,137,286,48,72,101,224,76,53,79,210,70,29,52,158,35,3,30,66,6,0,16,25,0,0,3,0,261,321,655,1231,0,3,94,93,0,33,133,166,20,122,160,304,50,87,87,226,81,40,53,170,72,23,70,167,33,0,41,74,3,0,21,22,0,0,4,7,255,324,658,1236,0,3,203,207,0,65,257,326,30,256,302,589,103,158,186,451,156,98,126,382,148,56,128,322,65,8,69,140,14,0,33,46,3,0,7,10,515,644,1312,2472
LGA37010,3,104,5547,5659,208,1322,4512,6046,3629,2980,4420,11022,5561,1744,2858,10168,5943,1250,2928,10126,5415,809,2491,8717,4013,352,1664,6029,1668,81,782,2535,380,12,313,708,26816,8656,25517,60990,11,244,5042,5293,400,1779,4049,6232,4920,3184,4216,12319,6443,1810,3323,11576,6327,1329,3521,11169,5394,717,3008,9116,3365,249,2312,5921,1205,49,1726,2975,167,9,821,1000,28220,9374,28010,65606,12,347,10592,10948,601,3107,8564,12275,8546,6164,8628,23337,12003,3557,6180,21742,12266,2579,6451,21296,10809,1524,5499,17833,7378,596,3978,11952,2876,131,2506,5514,548,23,1134,1709,55036,18032,53528,126597
LGA37300,0,0,81,82,0,24,64,91,111,92,81,286,190,57,57,299,154,49,67,262,91,12,48,156,18,3,16,36,0,0,4,3,0,0,0,0,555,234,419,1207,0,7,85,95,3,40,31,69,145,101,54,302,181,51,35,261,147,43,37,223,59,9,11,86,13,3,6,24,0,0,0,0,0,0,0,0,554,248,262,1068,0,4,169,173,3,62,98,159,258,195,134,582,370,102,90,562,302,89,96,489,149,28,65,242,32,10,23,57,0,0,4,6,0,0,0,3,1113,482,676,2275
LGA37310,0,18,880,895,40,173,558,772,677,413,536,1623,1047,221,411,1679,1132,170,557,1859,1042,114,491,1644,859,61,387,1308,433,25,173,629,89,3,74,170,5317,1206,4057,10573,0,54,749,807,83,259,424,770,885,393,468,1751,1191,224,445,1855,1183,190,489,1860,1032,100,419,1548,739,50,386,1174,292,10,340,637,37,0,182,218,5449,1281,3892,10622,0,71,1625,1699,125,441,980,1541,1564,813,1000,3374,2233,442,857,3538,2314,358,1044,3715,2072,213,910,3198,1593,112,766,2481,729,30,508,1264,129,5,258,388,10762,2485,7951,21195
LGA37340,3,16,704,715,16,121,506,648,445,471,766,1679,836,323,468,1630,964,266,568,1801,1086,181,588,1850,848,88,447,1391,333,18,193,544,62,0,64,128,4588,1487,4310,10382,0,28,589,617,47,199,387,637,665,528,597,1789,1044,331,475,1847,1058,295,506,1859,1105,161,491,1759,708,57,378,1150,206,10,296,510,26,0,125,157,4863,1612,3853,10330,3,47,1293,1338,63,322,896,1285,1108,1001,1369,3475,1879,653,945,3476,2018,554,1081,3658,2198,340,1079,3610,1557,146,831,2541,535,34,488,1055,90,0,192,284,9450,3099,8162,20708
LGA37400,0,4,14,14,0,0,12,17,11,23,20,49,23,11,18,53,39,9,16,64,42,8,38,86,30,3,34,64,15,0,25,38,5,0,7,11,165,61,183,404,0,0,14,16,0,15,17,29,23,17,15,56,21,10,15,45,47,16,20,80,40,3,22,68,27,3,25,51,13,0,14,22,0,0,5,7,168,63,142,370,0,6,30,34,0,18,31,41,32,40,30,104,47,20,29,99,80,19,35,137,84,15,54,152,56,6,58,119,31,0,30,62,3,0,17,19,329,119,324,773
LGA37550,0,0,34,34,0,0,39,37,3,19,25,46,4,15,27,51,3,16,21,42,5,5,22,31,0,3,3,6,0,0,0,3,0,0,0,0,25,50,178,255,0,0,40,40,5,5,45,51,5,18,34,55,5,11,36,52,3,14,36,58,3,4,22,29,4,0,17,18,0,0,0,0,0,0,0,0,24,56,228,301,0,0,77,77,6,5,78,89,11,36,65,105,7,20,67,98,13,28,62,103,10,7,44,57,3,3,17,28,0,3,0,4,0,0,0,0,46,107,402,556
LGA37570,0,0,7,7,0,0,4,6,0,14,11,23,3,10,6,17,3,7,9,16,3,0,15,14,0,4,0,8,0,0,0,0,0,0,0,0,5,26,52,85,0,0,9,10,0,0,15,13,0,9,10,23,0,5,12,18,3,7,11,16,0,3,12,17,0,0,3,5,0,0,0,0,0,0,0,0,7,30,74,112,0,0,14,15,0,0,22,21,0,22,21,48,3,14,16,35,7,12,22,36,3,7,23,31,0,4,11,13,0,0,0,0,0,0,0,0,9,60,128,197
LGA37600,0,3,111,120,0,18,97,109,13,46,123,184,27,39,63,131,51,21,59,128,28,13,39,87,9,3,7,21,4,3,0,6,0,0,0,0,135,139,515,781,0,8,124,130,0,20,84,105,20,46,103,167,19,35,65,125,66,21,72,157,18,8,54,80,7,0,26,40,3,0,4,8,0,0,3,3,135,143,542,815,0,10,238,249,0,36,184,217,33,88,234,347,46,76,130,256,116,39,133,287,52,20,97,167,22,4,39,60,5,3,11,16,0,0,3,3,264,277,1059,1600
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
