LGA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
LGA36070,3,0,21,24,0,6,11,18,6,16,14,34,7,34,21,57,9,25,28,59,9,3,17,31,0,5,10,17,0,0,3,7,0,0,0,0,29,98,128,255,0,0,17,21,4,12,19,32,7,23,31,55,7,32,18,55,7,17,18,39,8,9,11,29,4,3,11,19,0,0,7,8,0,0,0,0,31,99,133,262,3,0,46,44,6,18,24,52,11,44,36,94,12,62,45,118,11,43,43,103,14,17,35,59,5,3,22,35,0,5,8,9,0,0,0,0,60,192,266,517
LGA36150,0,0,16,18,0,4,11,17,17,18,12,44,18,3,11,32,31,9,17,58,25,4,21,52,13,3,19,40,6,0,3,9,0,0,3,3,107,46,119,278,0,0,3,3,0,13,8,19,20,20,17,57,21,3,15,32,43,9,12,63,14,5,15,35,10,0,6,22,3,0,12,17,0,0,4,8,114,55,86,255,0,0,22,19,0,19,23,36,36,39,32,107,38,11,25,65,77,19,32,122,43,14,39,88,28,6,29,58,7,3,10,21,3,0,4,10,225,101,205,535
LGA36250,4,37,4764,4808,108,502,3278,3884,2540,1608,2898,7044,5102,1179,1837,8120,6221,1030,1953,9204,6183,664,1834,8679,4911,375,1362,6647,2239,100,740,3075,525,21,377,925,27831,5520,19033,52387,6,74,4323,4411,208,709,2732,3649,3396,1660,2362,7417,5671,1208,2167,9054,6772,1027,2654,10461,6146,634,2640,9418,4380,277,2523,7182,1514,67,1930,3509,258,10,984,1248,28345,5669,22328,56342,10,119,9093,9217,314,1212,6009,7532,5938,3267,5261,14467,10772,2390,4010,17174,12995,2058,4605,19658,12328,1301,4475,18100,9293,651,3885,13830,3747,164,2670,6582,785,32,1364,2170,56179,11191,41358,108734
LGA36300,0,0,15,15,0,5,15,22,24,12,22,58,19,3,9,31,28,3,13,47,34,4,19,49,17,3,10,36,7,0,5,14,0,0,0,3,118,35,112,266,0,0,8,8,3,8,14,29,30,16,13,53,14,6,12,29,32,5,12,51,29,0,8,43,9,0,7,19,5,0,16,21,0,0,3,3,124,35,86,243,0,0,20,20,3,19,23,46,53,30,34,110,28,9,20,62,56,11,28,95,62,9,24,94,30,6,19,50,14,0,18,33,0,0,8,6,246,73,195,515
LGA36370,3,63,2262,2326,94,518,1624,2236,1620,1085,1853,4554,2195,581,1159,3933,2402,472,1358,4226,2396,291,1199,3893,1787,139,815,2742,928,31,503,1459,221,7,187,414,11640,3180,10957,25782,4,131,2154,2289,202,686,1438,2325,2161,1129,1667,4957,2453,574,1389,4416,2665,499,1566,4731,2400,275,1344,4017,1567,104,1146,2816,687,28,1052,1765,100,3,536,638,12233,3426,12304,27959,10,188,4418,4620,295,1205,3062,4564,3775,2210,3526,9511,4653,1152,2550,8350,5064,965,2923,8956,4794,564,2546,7911,3358,238,1963,5557,1611,59,1555,3227,322,7,721,1050,23873,6607,23262,53741
LGA36510,0,11,1114,1125,22,105,611,736,487,320,551,1355,1191,330,470,1995,1591,360,591,2538,1675,224,611,2504,1518,111,515,2146,719,39,275,1031,151,3,104,261,7351,1513,4831,13693,0,25,1039,1070,54,168,514,734,686,352,534,1576,1425,351,593,2365,1711,354,713,2772,1672,210,677,2564,1388,73,700,2163,487,15,511,1016,69,0,225,290,7482,1563,5509,14553,0,42,2156,2197,76,274,1123,1473,1169,675,1081,2931,2615,683,1062,4360,3296,714,1303,5314,3347,428,1288,5067,2906,187,1213,4309,1203,56,786,2047,222,3,330,552,14836,3076,10342,28253
LGA36580,0,15,691,705,17,97,370,480,368,236,434,1032,650,193,343,1187,782,224,442,1452,949,155,480,1580,922,84,342,1350,378,14,186,576,54,3,58,119,4121,1013,3348,8484,0,22,567,589,49,143,308,501,497,260,365,1124,741,220,372,1337,892,213,424,1529,1015,134,450,1598,785,67,410,1262,230,12,258,498,18,0,102,124,4229,1065,3263,8558,0,38,1253,1293,67,236,679,980,865,495,806,2163,1391,408,716,2520,1677,436,869,2976,1958,283,928,3176,1712,148,753,2613,610,28,442,1075,72,3,166,240,8358,2080,6611,17043
LGA36630,0,26,822,846,37,163,464,659,459,294,461,1214,749,207,442,1400,995,213,561,1764,1197,136,614,1944,1337,113,587,2041,619,38,311,977,116,0,113,228,5519,1189,4374,11076,3,58,713,769,69,205,381,654,597,284,501,1377,909,233,501,1638,1130,204,609,1940,1335,144,653,2133,1152,94,655,1904,401,21,434,855,45,4,211,263,5635,1241,4649,11531,5,78,1537,1617,99,367,846,1318,1064,579,955,2599,1660,440,939,3037,2126,416,1164,3708,2534,285,1263,4077,2495,205,1244,3943,1019,62,747,1823,159,5,325,485,11153,2436,9023,22606
LGA36660,3,17,1005,1030,33,142,576,754,455,306,576,1337,856,220,424,1497,1207,219,531,1952,1420,178,583,2182,1441,121,508,2068,684,18,296,1007,153,5,85,255,6255,1232,4578,12070,4,34,846,882,65,193,444,701,628,315,530,1471,1024,245,527,1793,1318,231,602,2148,1551,160,670,2376,1230,91,702,2031,487,16,598,1098,74,0,306,388,6382,1296,5217,12898,8,56,1850,1911,100,336,1017,1458,1083,623,1099,2802,1879,464,944,3294,2519,457,1131,4105,2969,340,1249,4563,2673,209,1215,4097,1169,40,895,2101,231,11,395,640,12639,2529,9799,24966
LGA36720,0,84,8053,8135,208,911,5412,6532,4426,3101,5456,12984,9337,2522,3765,15624,10652,2172,4255,17083,10575,1629,3830,16032,10279,899,2936,14111,5629,266,1631,7528,1321,21,866,2208,52426,11614,36200,100237,6,158,7686,7855,404,1420,4768,6588,6175,3417,5008,14599,10687,2539,4726,17949,11621,2332,6089,20043,10857,1487,5954,18300,9531,671,5298,15496,4036,144,4153,8339,651,20,2384,3061,53965,12185,46071,112222,6,246,15740,15992,615,2332,10178,13122,10601,6520,10458,27578,20025,5054,8495,33574,22270,4508,10346,37118,21425,3115,9783,34330,19802,1574,8231,29606,9671,415,5790,15870,1974,46,3252,5266,106393,23802,82270,212461
