LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA33830,11,5,22,51,36,88,0,0,0,11,3,12,63,38,105,16,17,34,3,9,12,7,3,10,23,28,50,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,4,3,5,0,0,0,4,3,8,50,31,80,159,112,273
LGA33960,1467,1328,2794,7278,6813,14087,1469,1495,2959,1182,1235,2419,9928,9547,19475,4076,4028,8104,1563,1316,2874,1242,1261,2496,6880,6601,13479,318,440,753,211,557,769,354,417,774,485,1037,1526,7,15,28,1377,2471,3851,1187,1611,2801,486,842,1326,194,350,545,733,1270,2008,14,9,20,2611,4085,6696,242,354,593,349,764,1118,12,16,28,606,1135,1741,7220,7048,14270,30094,32212,62300
LGA33980,168,151,322,1075,1045,2120,43,38,79,12,16,26,1133,1096,2225,524,486,1009,16,11,29,15,30,47,549,529,1085,10,10,19,10,15,20,32,29,62,25,125,153,0,0,3,75,181,261,16,36,45,14,41,54,9,28,30,88,131,223,0,0,0,118,232,352,14,14,24,24,63,90,3,0,3,37,75,118,1949,1196,3147,4040,3467,7506
LGA34420,10,3,17,61,68,129,0,0,0,0,0,0,61,68,130,8,9,22,10,3,12,3,0,7,19,17,35,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,42,116,110,232
LGA34530,154,163,319,1031,938,1964,444,388,832,112,118,237,1586,1443,3035,575,520,1090,640,527,1164,148,129,282,1361,1179,2537,24,19,45,10,21,27,86,70,152,58,134,195,0,0,0,179,239,423,115,189,310,42,95,140,35,78,110,100,225,331,0,0,3,294,596,890,14,17,33,49,101,147,0,0,0,66,117,184,2331,1431,3761,5977,5171,11140
LGA34570,9,0,8,33,36,70,0,0,0,0,0,0,33,36,70,5,7,14,3,0,4,0,0,0,8,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,0,0,0,0,3,5,69,65,135,124,117,238
LGA34580,205,173,379,1252,1054,2303,319,294,614,212,191,405,1778,1540,3316,952,873,1824,95,113,214,272,259,538,1322,1250,2570,30,43,71,22,64,80,54,70,121,69,169,244,3,3,3,174,346,520,261,622,882,115,182,295,31,68,97,70,220,294,3,3,3,479,1091,1573,47,60,105,48,127,170,0,3,5,95,185,285,1996,1760,3762,6047,6348,12400
LGA34590,2128,2041,4166,11025,10386,21411,1956,1924,3881,1975,2000,3977,14957,14311,29272,7189,6930,14121,1755,1703,3453,1958,1922,3880,10902,10555,21452,564,749,1312,427,909,1338,648,552,1200,745,1340,2079,30,34,60,2410,3579,5986,1836,2476,4312,671,1029,1702,257,400,653,745,1424,2166,14,19,35,3519,5354,8870,369,576,941,471,1157,1631,20,25,38,861,1759,2618,10713,11011,21727,45485,48599,94085
LGA34710,19,27,42,105,93,199,42,35,83,6,3,9,148,136,287,77,94,169,3,0,7,0,6,9,81,99,184,11,10,23,0,3,6,11,6,13,8,16,22,3,3,3,33,38,75,7,4,14,3,10,9,0,12,14,13,26,38,0,0,0,22,52,71,5,3,9,8,10,16,0,0,0,13,14,24,186,199,387,510,560,1070
LGA34770,686,621,1307,3735,3415,7153,1237,1264,2500,395,361,754,5361,5045,10405,2450,2378,4821,1103,1083,2182,380,379,757,3927,3836,7758,72,80,145,55,107,164,228,211,445,208,517,725,11,5,17,574,921,1500,314,567,878,110,348,454,126,248,373,371,793,1164,3,5,12,927,1956,2886,53,75,130,163,390,552,4,12,14,223,472,693,5711,4222,9934,17405,17068,34478
LGA34800,4,10,9,25,32,51,3,0,3,0,0,0,23,32,58,3,5,11,0,3,3,0,0,0,4,10,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,4,0,0,0,8,3,9,0,0,0,9,8,14,0,0,3,0,0,0,0,0,0,0,3,3,33,29,65,77,91,171
LGA34830,6,3,6,16,23,38,0,0,0,0,0,0,16,23,38,3,9,10,0,0,5,0,0,0,8,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,13,36,45,76
LGA34860,92,74,165,395,332,729,190,181,372,13,7,13,597,520,1119,229,182,411,130,122,248,28,15,38,379,317,702,7,9,18,6,10,18,25,18,48,26,77,107,0,3,3,64,119,186,19,25,40,7,14,24,3,27,34,29,92,118,0,0,0,60,161,219,9,12,19,9,34,44,0,0,0,15,39,59,766,655,1420,1975,1887,3867
LGA34880,94,91,181,580,533,1112,206,199,411,66,75,141,857,812,1671,456,440,893,166,181,342,34,22,51,649,644,1291,3,15,16,12,26,37,9,24,36,32,63,100,0,0,3,61,128,188,30,75,104,11,47,60,8,13,24,37,110,140,0,0,0,87,240,328,12,27,44,20,54,73,0,4,4,29,85,116,2167,1187,3354,3949,3189,7129
LGA35010,2907,2631,5535,15095,13829,28925,2921,2932,5846,2811,2808,5621,20827,19570,40394,9504,9076,18579,2578,2448,5026,2597,2644,5243,14673,14172,28846,564,751,1311,320,933,1254,842,692,1535,889,1948,2841,23,37,61,2641,4357,7000,2620,3776,6397,732,1499,2232,374,613,987,1326,2489,3815,14,31,44,5064,8408,13475,426,611,1034,710,1581,2289,25,28,52,1164,2209,3371,13785,13754,27538,61055,65111,126162
LGA35250,15,12,31,94,71,162,0,0,0,3,3,4,92,70,165,13,25,38,0,3,3,3,6,8,18,35,52,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,6,6,0,0,0,3,0,3,0,0,3,4,3,4,63,62,125,200,187,392
LGA35300,138,128,269,651,622,1274,185,221,403,18,14,31,859,859,1711,306,316,624,232,211,438,8,14,25,551,537,1081,10,9,21,13,11,28,36,37,69,61,132,197,0,0,0,128,188,316,16,40,52,15,37,49,4,30,35,102,177,278,0,0,0,132,277,412,12,14,23,25,71,94,0,0,0,37,80,117,1237,1070,2306,3080,3138,6218
LGA35600,26,11,37,129,128,253,59,45,100,3,8,11,188,174,366,115,100,216,3,0,3,15,6,20,125,112,241,0,0,0,0,0,0,8,10,12,9,14,26,0,0,0,13,28,43,3,10,15,8,6,11,3,0,6,4,36,36,0,0,0,23,45,68,0,3,3,3,10,13,0,0,0,3,14,19,185,196,385,560,589,1156
LGA35670,15,17,34,50,45,89,0,0,0,0,0,0,50,45,89,44,40,83,0,0,0,0,4,4,44,40,88,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,3,30,12,37,143,126,264
LGA35740,263,245,503,1407,1218,2628,261,298,559,391,383,772,2058,1908,3959,933,891,1825,315,294,610,447,406,853,1701,1597,3298,34,30,64,34,67,102,84,64,145,90,190,283,3,3,6,252,357,606,195,248,443,85,193,277,36,61,91,118,307,419,0,0,0,430,802,1234,30,74,106,71,182,249,6,0,5,111,257,361,1887,1973,3858,6697,7134,13825
LGA35760,36,31,66,331,304,632,84,83,170,10,10,20,422,397,826,254,270,520,0,3,3,15,27,47,265,301,569,7,7,11,4,6,8,6,20,26,9,25,34,0,3,3,26,54,81,11,19,25,5,8,12,3,9,14,17,37,55,0,0,0,30,80,106,5,5,13,11,20,32,0,0,0,22,20,39,709,652,1361,1510,1539,3048
LGA35780,33,31,62,237,230,460,0,0,0,0,0,0,237,230,460,107,106,213,10,0,11,4,0,4,117,107,223,0,4,4,4,11,11,0,6,6,4,13,16,0,0,3,10,33,38,0,3,3,4,3,4,0,0,0,3,11,13,0,0,0,4,21,26,3,11,15,6,15,16,0,0,0,4,22,31,73,77,156,475,513,990
LGA35790,14,15,33,111,102,219,67,57,118,4,0,4,184,157,345,44,44,91,12,15,30,4,4,6,60,68,128,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,4,3,11,0,3,3,0,0,4,0,0,0,0,5,5,0,0,0,0,7,12,0,3,3,0,3,3,0,0,0,0,7,8,58,46,102,328,305,632
