LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA36720,1756,1543,3298,8968,8331,17302,1394,1418,2807,2338,2237,4572,12694,11983,24681,5903,5730,11635,1308,1351,2664,2280,2248,4525,9489,9336,18828,279,367,648,240,530,770,523,435,960,628,1314,1935,9,12,26,1677,2663,4344,1915,2987,4898,895,1634,2521,304,480,781,950,2077,3026,18,22,47,4084,7190,11273,230,355,588,434,943,1378,17,26,39,684,1314,1997,9391,9680,19076,39778,43721,83499
LGA36820,109,92,205,853,724,1579,162,184,347,49,51,103,1063,967,2030,592,578,1168,113,145,254,31,23,57,735,745,1486,13,16,32,3,31,37,24,44,72,30,79,106,0,3,4,69,178,245,26,56,80,10,43,59,8,23,28,36,126,162,0,0,0,86,247,327,18,17,38,24,76,104,0,0,0,45,95,135,1170,1204,2373,3285,3523,6804
LGA36910,959,926,1889,4738,4590,9327,1442,1535,2972,1031,1152,2185,7202,7277,14485,2972,2817,5790,1356,1328,2688,1306,1447,2749,5629,5592,11225,172,274,440,116,309,430,326,309,639,395,723,1113,8,15,22,1014,1626,2643,994,1191,2185,605,671,1274,256,413,665,729,1285,2016,11,8,22,2591,3572,6162,153,185,336,305,570,877,4,11,21,464,770,1233,6030,6269,12301,23896,26032,49931
LGA36950,29,51,85,183,142,323,31,23,52,0,4,3,210,162,381,141,131,277,3,9,12,16,15,29,161,159,316,8,0,8,0,6,10,3,0,3,9,19,29,0,3,4,27,29,59,4,3,10,0,11,14,0,0,0,9,35,45,0,0,0,13,54,74,3,0,6,3,3,9,0,0,0,3,6,8,296,304,594,745,771,1516
LGA36960,41,44,89,349,363,711,11,15,25,23,24,47,383,406,785,72,70,144,45,21,64,11,3,13,127,92,219,3,12,15,6,11,16,5,12,17,4,19,21,0,4,4,15,58,72,3,3,7,0,3,3,0,0,0,0,3,7,0,0,0,3,10,20,5,3,7,3,3,9,0,0,0,7,4,17,210,201,412,795,822,1608
LGA37010,1166,1027,2193,5049,4846,9893,2313,2363,4673,895,922,1822,8258,8133,16391,3301,3109,6410,1852,1896,3748,1157,976,2135,6311,5979,12295,275,254,530,164,439,599,333,325,657,426,892,1322,20,13,29,1218,1921,3138,2060,3279,5341,777,1203,1982,223,382,611,894,1635,2529,11,24,36,3970,6526,10492,187,243,436,294,607,902,10,14,30,502,870,1369,8492,6943,15433,29906,31398,61310
LGA37300,25,29,55,167,158,323,42,37,79,4,8,8,214,201,413,110,133,244,5,4,10,10,10,22,126,147,269,0,0,3,0,5,5,11,3,10,9,19,24,0,0,0,17,27,46,3,0,5,3,15,19,0,6,6,16,28,46,0,0,0,23,53,78,4,3,4,5,7,6,0,0,0,9,7,11,225,190,412,634,653,1290
LGA37310,207,194,406,1195,1114,2308,290,279,566,165,137,307,1648,1532,3183,881,805,1684,121,102,226,142,143,281,1142,1050,2192,22,20,45,13,31,38,67,76,138,76,152,225,3,0,6,185,273,456,26,82,109,20,39,61,20,37,60,65,146,215,0,0,0,134,314,445,20,31,50,29,92,126,3,3,12,53,134,189,2094,1917,4010,5473,5410,10885
LGA37340,189,165,345,979,902,1886,242,259,504,105,84,189,1325,1252,2574,705,650,1348,130,114,244,48,68,114,877,828,1709,17,30,47,24,29,55,61,44,98,69,186,256,3,0,3,170,293,463,30,55,83,12,51,68,12,33,45,50,140,189,0,4,4,100,287,388,17,17,31,42,118,161,0,0,4,56,140,193,2525,2089,4619,5241,5046,10289
LGA37400,5,0,5,28,26,56,13,12,23,0,0,0,40,35,75,19,22,40,3,0,3,0,0,3,20,25,43,0,0,0,0,3,6,0,3,3,0,3,3,0,0,0,3,10,14,0,5,4,0,5,5,0,4,4,3,6,9,0,0,0,4,19,22,0,0,0,0,0,4,0,0,0,0,3,7,63,52,119,135,150,289
LGA37550,9,3,14,60,64,119,0,0,0,0,0,0,60,61,123,35,30,65,6,7,9,6,3,12,48,32,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,3,6,5,0,3,3,0,0,0,3,8,15,42,33,80,171,150,323
LGA37570,0,0,3,11,13,24,0,0,0,0,0,0,11,13,24,0,3,3,4,0,4,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,8,13,24,25,52
LGA37600,24,19,47,218,175,390,7,8,13,5,15,14,229,190,423,89,117,204,4,0,7,8,6,17,104,122,229,0,0,4,0,7,6,0,3,3,3,3,3,0,0,0,3,13,21,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,10,10,3,0,3,4,3,6,0,0,0,7,3,10,68,79,144,432,442,874
LGA39499,19,15,31,91,93,182,8,10,21,34,29,66,129,133,264,54,47,97,6,0,4,12,12,21,70,59,128,12,10,22,11,17,24,8,19,33,17,25,41,3,7,9,53,80,136,53,75,127,40,63,100,12,10,19,26,22,52,3,5,9,126,171,301,20,29,51,18,39,57,0,3,5,41,71,112,1598,1045,2650,2039,1581,3621
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,21,14,18,33
