LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA36720,694,150,2184,995,646,741,220,554,42,6223,16,7,11,9,18,37,9,25,3,131,121,165,145,129,122,74,86,83,37,955,181,159,364,222,168,233,145,287,294,2060,10521,22811,16420,11032,9821,6156,3035,5596,1178,86574
LGA36820,56,3,115,50,47,42,21,47,7,387,0,3,0,0,0,0,0,4,0,8,8,14,10,12,7,4,7,5,0,74,46,24,31,35,14,24,23,44,24,267,903,1383,1052,809,610,333,303,504,80,5983
LGA36910,301,73,920,445,329,289,117,317,21,2820,6,8,8,13,8,9,3,25,3,81,79,85,50,72,69,28,66,48,17,512,139,80,181,149,121,114,108,223,129,1246,5519,12358,8286,5534,5338,2435,2046,3251,489,45253
LGA36950,7,0,7,8,5,3,0,8,0,37,0,0,0,0,0,0,0,0,0,3,3,0,0,4,4,0,0,0,0,13,7,11,9,19,16,3,7,16,15,97,121,274,130,164,133,27,23,60,34,962
LGA36960,0,0,0,7,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,17,3,10,7,11,8,6,0,19,6,74,59,165,89,119,103,36,12,88,26,694
LGA37010,348,80,1132,650,353,320,172,308,26,3382,4,8,11,9,4,19,4,13,3,83,129,141,82,142,98,34,96,57,32,808,90,110,187,158,125,105,138,191,190,1290,5752,15044,10423,7769,6166,2741,2762,3009,682,54344
LGA37300,3,0,16,5,5,3,21,3,3,61,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,4,0,0,14,0,3,16,7,0,0,14,3,0,51,114,283,459,108,109,30,275,51,12,1442
LGA37310,65,13,179,55,57,51,33,60,4,511,3,0,5,0,0,0,0,3,0,14,17,10,17,6,14,8,18,14,4,102,59,20,47,22,31,36,51,84,38,392,1404,1517,1790,808,842,390,632,724,127,8235
LGA37340,136,25,363,161,75,62,57,119,8,1009,3,0,0,3,0,4,0,16,0,31,19,15,8,12,14,4,23,13,3,111,39,28,60,31,22,46,49,116,45,435,1290,1598,2166,1190,841,523,748,1017,135,9511
LGA37400,9,0,13,0,3,0,3,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,13,79,39,52,35,19,8,17,24,5,279
LGA37550,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,6,0,23,16,15,6,25,11,5,0,6,4,102
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,11,5,0,4,4,0,35
LGA37600,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7,6,0,0,3,3,25,19,50,30,61,31,3,3,20,9,228
LGA39499,10,4,46,22,16,11,3,34,0,143,0,0,0,0,0,0,0,3,0,4,3,6,7,3,0,0,4,0,3,31,4,11,11,9,0,7,7,19,21,81,163,407,308,245,129,83,129,441,58,1957
LGA39799,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
