LGA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA34880,4,21,3,25,444,154,628,39,18,4,67,355,252,668,264,35,16,306,555,438,1301,513,36,24,569,462,341,1376,363,50,21,431,886,270,1584,69,109,7,189,1174,244,1609,15,92,0,113,980,199,1297,7,23,0,32,508,142,678,0,0,0,0,150,35,179,1274,391,72,1736,5514,2072,9321,10,55,0,64,428,106,593,86,34,6,125,269,62,454,435,53,40,528,402,107,1037,669,56,50,776,349,131,1257,291,141,21,462,878,179,1515,32,222,0,249,1085,171,1507,9,146,3,149,885,160,1197,3,27,0,32,459,102,595,0,6,0,9,167,24,202,1529,730,130,2390,4929,1045,8358,11,78,4,90,875,257,1228,126,55,11,191,624,311,1128,696,87,54,833,959,547,2339,1179,85,78,1345,815,475,2635,658,193,45,894,1765,446,3100,101,329,9,441,2262,415,3117,24,236,7,264,1864,364,2489,3,53,0,62,970,240,1267,0,3,0,6
LGA35010,81,719,9,810,12260,1029,14105,893,531,28,1453,10519,984,12953,8693,815,318,9823,13257,2001,25082,14693,688,511,15893,9925,1924,27744,7828,1126,241,9198,17024,1834,28053,1183,2430,31,3652,18315,1568,23530,206,2537,15,2760,15100,1640,19491,24,386,0,415,7109,1152,8676,3,23,0,26,2038,715,2783,33619,9255,1158,44035,105545,12841,162425,194,1237,20,1460,11124,920,13497,1937,970,123,3033,8961,762,12746,13003,1373,841,15211,10137,1571,26921,18073,1111,1045,20229,8094,1546,29875,7261,2860,399,10512,17692,1569,29770,522,5821,41,6385,17608,1557,25551,118,3805,35,3962,15245,1728,20933,31,469,3,506,7819,1545,9865,10,27,0,40,3208,1338,4580,41149,17677,2513,61342,99873,12537,173755,278,1962,32,2272,23383,1950,27602,2827,1499,152,4483,19478,1740,25704,21696,2190,1159,25037,23392,3575,52002,32772,1798,1560,36125,18019,3472,57623,15091,3985,637,19714,34713,3394,57823,1713,8255,80,10041,35920,3123,49090,327,6342,52,6720,30339,3370,40430,57,860,3,919,14927,2700,18548,15,53,0,62
LGA35250,3,9,8,16,28,11,54,3,5,0,12,21,4,36,10,8,13,35,43,5,84,14,5,14,34,28,7,67,7,8,6,23,39,9,64,3,4,3,14,26,4,41,0,3,0,9,10,8,21,0,0,0,0,9,3,12,0,0,0,0,0,0,0,40,49,51,138,196,50,378,3,7,6,11,25,15,54,9,3,5,21,23,5,45,22,6,26,53,28,19,95,19,10,16,49,21,8,79,0,17,12,32,32,9,70,0,13,3,15,20,8,45,0,8,0,7,13,3,28,0,0,0,0,8,0,8,0,0,0,0,0,0,0,60,68,66,199,165,54,418,4,12,7,30,51,24,105,14,12,9,29,38,9,83,36,17,42,94,65,25,182,32,18,30,79,49,14,146,9,24,25,52,68,14,134,10,17,3,29,41,12,77,0,11,3,16,28,5,47,0,0,0,0,16,3,17,0,0,0,0
LGA35300,5,30,0,42,455,88,581,49,32,4,83,523,96,703,512,43,13,566,958,268,1798,597,50,11,660,510,155,1326,257,47,4,316,804,185,1305,47,63,0,112,694,147,950,9,38,0,47,379,79,508,0,14,0,13,133,30,175,0,0,0,0,18,3,30,1486,324,31,1841,4470,1066,7372,14,57,0,74,381,84,536,121,49,10,175,440,82,699,708,110,48,872,656,205,1732,641,74,43,757,362,155,1268,224,123,15,359,696,172,1229,18,120,5,139,505,103,750,0,63,0,71,260,65,397,0,14,0,16,116,32,160,0,0,0,0,39,11,53,1732,614,113,2456,3457,903,6820,23,87,0,109,835,176,1118,166,77,12,253,968,179,1398,1221,153,60,1435,1611,473,3526,1247,121,48,1415,869,313,2596,480,176,16,674,1499,358,2532,68,189,5,256,1194,249,1708,8,105,0,116,643,141,902,3,30,0,30,247,61,335,0,0,0,0
LGA35600,0,7,0,7,116,13,133,20,4,0,23,89,19,131,78,13,0,93,130,25,245,122,7,3,129,100,19,240,53,8,0,64,187,32,276,8,24,0,40,245,21,304,3,3,0,5,157,27,193,0,3,0,3,77,22,105,0,0,0,0,29,9,35,283,73,3,358,1127,177,1659,0,5,0,10,73,9,91,37,3,0,41,93,7,139,131,11,12,152,105,31,289,146,13,4,159,77,18,252,49,37,3,83,207,29,319,6,58,0,61,201,27,295,0,16,0,11,144,19,175,4,8,0,10,83,28,117,0,0,0,0,51,15,65,371,148,20,534,1030,182,1744,0,14,0,19,183,25,224,51,7,4,59,182,26,267,216,21,12,243,238,51,533,262,18,3,287,175,33,496,95,47,4,151,388,58,598,20,83,0,105,449,47,601,4,20,0,24,296,50,364,4,6,0,8,155,49,221,0,0,0,0
LGA35670,0,0,0,5,45,0,43,10,4,0,10,24,8,39,27,7,0,35,38,0,68,24,3,0,28,37,0,63,3,3,3,12,55,0,67,0,0,0,0,32,0,36,3,0,0,3,11,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,69,22,3,94,237,8,343,3,3,0,4,29,0,39,26,5,0,30,24,0,54,36,9,0,46,22,0,69,26,15,3,42,12,0,57,8,12,0,24,35,0,55,0,3,0,6,27,0,30,0,3,0,3,12,0,14,0,0,0,0,4,0,4,0,0,0,0,0,0,0,101,50,6,152,167,0,324,3,5,0,9,74,0,84,34,5,0,39,53,8,99,65,13,0,80,53,0,136,45,16,5,63,51,0,120,19,14,4,36,87,3,124,0,3,0,4,60,0,70,3,4,0,4,23,0,28,0,0,0,0,10,0,10,0,0,0,0
LGA35740,4,52,0,59,1307,106,1470,22,27,0,49,837,71,959,460,67,13,531,1197,132,1870,1533,59,47,1642,1047,247,2939,1114,101,35,1257,2051,297,3602,254,258,4,520,3194,299,4007,36,358,4,399,3121,337,3851,4,73,0,75,1457,212,1751,4,3,0,6,428,102,539,3435,989,105,4535,14643,1806,20978,9,85,0,98,1153,125,1371,52,50,3,112,705,69,886,846,81,41,968,941,107,2015,1962,95,112,2170,831,209,3210,1258,243,54,1549,2545,258,4359,91,643,4,740,3393,297,4439,15,562,0,580,2924,292,3797,6,74,0,80,1461,273,1810,0,7,0,7,601,228,837,4232,1838,221,6297,14564,1870,22723,17,142,0,153,2457,224,2838,80,78,3,160,1543,140,1846,1299,147,57,1504,2144,242,3887,3494,151,159,3804,1886,452,6144,2370,348,90,2808,4599,563,7959,350,897,11,1262,6585,593,8442,52,917,5,974,6045,628,7647,8,147,0,154,2920,484,3565,4,4,0,8
LGA35760,0,5,0,5,222,51,277,16,6,0,25,164,30,218,164,14,7,182,273,91,549,249,12,8,261,180,78,520,163,28,4,198,460,108,766,29,50,0,81,601,106,785,6,36,0,42,605,108,762,0,9,0,7,315,84,416,0,0,0,0,97,29,124,627,158,18,804,2927,677,4408,8,30,0,36,191,36,261,38,17,3,64,133,33,228,240,32,9,284,164,53,508,304,28,15,348,159,70,574,138,59,0,201,425,79,700,9,101,0,116,548,80,740,0,66,0,64,502,116,685,0,13,0,13,254,90,359,0,0,0,0,131,38,162,738,354,32,1118,2504,593,4213,8,35,0,40,415,83,538,54,29,3,89,299,59,444,403,44,19,463,438,143,1051,549,41,24,614,336,146,1091,302,88,3,396,885,186,1467,40,151,0,199,1149,184,1525,6,99,0,109,1105,225,1442,0,25,0,22,571,177,772,0,0,0,0
LGA35780,0,26,3,28,78,14,129,24,3,0,31,74,4,112,69,7,7,82,90,12,180,46,9,3,65,56,17,138,32,15,0,48,68,19,134,5,7,0,15,78,4,96,0,9,0,10,34,3,42,0,0,0,0,5,0,8,0,0,0,0,6,0,6,184,79,10,279,493,76,844,9,31,4,38,68,17,122,50,28,7,84,48,0,136,126,26,8,156,60,3,223,69,21,8,100,66,7,170,34,27,4,65,69,9,145,19,15,0,35,50,5,96,0,10,0,8,24,0,38,0,0,0,3,5,0,10,0,0,0,0,0,0,0,313,154,29,495,384,52,926,10,50,3,68,145,31,246,77,27,5,116,125,4,241,195,37,11,243,147,17,401,119,32,7,161,124,28,307,65,37,4,112,138,28,277,24,29,0,51,131,13,190,0,14,0,22,53,5,82,0,3,0,3,12,0,13,0,0,0,0
LGA35790,0,15,0,16,90,8,114,31,10,3,40,72,6,116,64,6,4,80,78,3,163,41,10,0,53,77,7,142,22,22,3,42,121,7,171,5,18,0,27,61,0,82,0,9,0,10,27,0,38,0,0,0,0,3,0,5,0,0,0,0,0,0,0,163,93,15,267,528,36,825,7,22,0,34,66,3,108,49,15,4,69,40,3,111,94,15,7,117,61,6,188,56,18,7,79,45,3,131,26,34,0,58,83,7,150,3,46,0,45,66,0,115,0,4,0,3,31,0,31,0,0,0,0,4,0,4,0,0,0,0,0,0,0,249,144,15,413,397,24,833,13,39,0,49,157,11,223,79,23,6,113,112,11,232,161,24,15,194,140,13,347,104,30,10,139,124,7,268,46,50,4,105,203,14,325,10,61,0,69,123,0,199,3,7,0,11,57,0,69,0,0,0,0,6,0,8,0,0,0,0
LGA35800,0,0,0,0,29,4,30,9,0,0,4,25,0,32,21,3,0,29,48,3,84,34,0,0,40,39,8,88,13,3,0,13,75,4,103,0,12,0,14,131,17,160,0,8,0,9,81,16,105,0,3,0,4,43,10,61,0,0,0,0,5,3,11,77,36,3,113,477,74,668,3,3,0,4,23,5,33,8,4,0,13,32,9,54,49,4,0,50,44,4,97,35,0,6,36,32,5,79,16,14,0,36,93,4,129,3,15,0,20,100,20,134,3,6,0,9,71,11,89,0,3,0,3,23,8,28,0,0,0,0,10,6,18,114,49,3,172,421,67,661,0,3,0,8,48,11,67,17,7,0,17,57,9,83,70,10,0,74,91,10,176,71,0,3,78,76,19,164,27,23,0,46,168,11,234,3,31,0,30,230,30,294,3,18,0,16,153,23,198,0,5,0,8,70,15,89,0,0,0,0
LGA36070,0,3,0,4,23,3,28,4,3,0,8,12,0,20,10,0,0,14,18,3,36,13,3,0,19,39,5,60,4,13,0,17,46,3,63,4,0,0,3,27,0,33,0,5,0,6,10,0,16,0,0,0,0,7,0,7,0,0,0,0,0,0,0,40,26,3,71,194,14,273,3,6,0,8,11,7,22,11,3,3,22,15,0,39,23,7,0,31,26,3,63,17,3,0,24,36,0,56,5,10,0,11,26,0,45,3,3,0,7,23,0,27,0,3,0,3,14,0,19,0,0,0,0,6,0,8,0,0,0,0,0,0,0,68,42,4,111,155,11,275,0,8,0,12,37,5,50,21,9,3,26,25,0,53,38,8,0,49,45,5,100,33,8,3,40,71,6,122,10,18,0,32,76,5,109,3,7,0,11,52,0,64,0,11,0,9,24,0,41,0,0,0,0,14,0,9,0,0,0,0
LGA36150,0,0,0,0,19,3,20,0,0,0,0,24,0,23,18,3,0,19,29,6,58,23,0,0,24,10,3,37,13,3,0,16,50,6,71,3,3,0,3,52,6,62,0,5,0,3,37,9,46,0,0,0,0,3,0,9,0,0,0,0,3,0,3,60,10,3,72,236,32,340,0,0,0,0,5,0,4,4,3,0,12,14,0,20,29,9,0,34,28,3,65,30,0,0,30,11,0,45,13,3,0,13,57,4,76,0,4,0,4,41,8,51,0,6,0,6,21,0,25,3,0,0,5,9,0,17,0,0,0,0,9,0,9,73,21,3,103,189,23,307,0,3,0,0,25,4,33,4,5,0,13,34,0,48,48,8,0,57,54,10,122,46,0,0,48,25,0,78,29,5,0,35,107,5,143,3,3,0,8,88,18,112,0,6,0,12,55,14,73,3,0,0,5,19,3,26,0,0,0,0
LGA36250,22,237,3,261,4557,264,5083,195,157,7,358,3690,174,4228,2528,245,89,2862,4497,387,7745,4895,228,172,5298,3113,443,8854,2981,369,69,3420,6127,528,10070,476,1043,13,1531,7518,539,9594,88,1039,4,1129,5775,500,7403,10,191,0,203,2885,391,3477,0,4,0,4,960,264,1233,11202,3521,359,15071,39122,3497,57691,36,421,6,464,3975,217,4648,419,291,22,736,3077,159,3965,3801,411,206,4423,3231,362,8020,6017,331,355,6706,2511,385,9606,2913,961,121,3992,6671,460,11122,204,2426,26,2655,7118,508,10278,50,1584,7,1640,5770,538,7954,12,222,5,238,3300,539,4079,0,6,0,9,1573,467,2044,13462,6664,736,20860,37216,3636,61715,59,657,4,722,8533,479,9730,619,446,30,1096,6764,333,8191,6334,658,294,7285,7732,751,15769,10916,561,523,12000,5625,829,18459,5894,1333,192,7413,12795,982,21188,681,3472,42,4194,14631,1048,19872,140,2624,9,2771,11544,1043,15357,15,416,6,437,6184,930,7557,3,13,0,17
LGA36300,0,0,0,0,21,4,23,0,0,0,0,28,7,33,23,7,0,24,36,9,73,17,0,0,17,19,6,38,4,0,0,10,36,4,48,3,8,0,13,44,4,61,0,0,0,0,28,3,35,0,0,0,0,13,3,14,0,0,0,0,4,0,8,48,16,0,58,238,36,336,0,0,0,0,5,5,14,8,3,0,9,21,0,32,35,3,0,41,28,0,70,19,0,0,23,14,5,40,9,3,0,13,36,7,55,0,9,0,11,35,3,44,0,0,0,0,18,5,22,0,0,0,0,21,7,20,0,0,0,0,4,0,4,70,24,0,97,179,28,302,0,0,0,0,31,6,34,9,3,0,10,46,4,63,58,7,0,65,67,10,140,32,0,0,35,33,13,81,16,3,0,17,79,14,110,3,20,0,23,77,5,107,0,0,0,3,47,14,63,0,0,0,0,26,6,36,0,0,0,0
LGA36370,28,173,0,195,2302,249,2745,241,100,7,350,2089,230,2672,1840,186,65,2089,2921,539,5555,2193,128,91,2407,1838,436,4686,1155,239,43,1432,3096,563,5093,212,517,7,732,3483,467,4686,23,327,0,345,2488,351,3182,3,61,0,69,1383,276,1727,0,4,0,4,449,127,582,5690,1733,214,7633,20049,3233,30920,67,287,3,357,2160,288,2805,466,206,24,697,1808,226,2737,2690,286,156,3135,2038,366,5538,2675,192,146,3019,1496,339,4859,1101,650,60,1814,3049,387,5253,80,1026,16,1122,3108,364,4597,23,480,3,505,2376,364,3249,7,93,0,95,1713,356,2161,0,5,0,5,783,248,1032,7110,3226,413,10749,18529,2943,32228,92,460,4,550,4460,538,5548,705,302,33,1046,3900,460,5408,4530,477,223,5229,4958,903,11087,4861,318,238,5426,3343,780,9543,2257,887,101,3248,6151,949,10348,295,1545,22,1860,6591,834,9284,47,803,7,853,4863,713,6434,6,154,0,160,3094,629,3889,0,13,0,13
LGA36510,7,61,0,69,1008,188,1264,48,26,0,79,720,89,883,524,48,16,592,874,231,1700,1178,58,46,1280,803,228,2318,757,114,26,897,1712,281,2886,129,247,4,385,2193,283,2856,38,236,3,274,1929,281,2483,5,52,0,55,967,150,1175,0,4,0,5,284,54,342,2693,848,94,3640,10494,1788,15914,18,93,0,107,932,145,1184,128,59,14,206,591,82,879,844,87,57,989,659,154,1802,1526,102,100,1724,679,180,2590,732,250,44,1027,1821,235,3079,50,600,3,649,2009,278,2936,16,385,3,406,1801,243,2451,5,62,0,71,941,174,1187,0,4,0,4,405,58,463,3320,1643,214,5179,9837,1562,16577,21,148,0,178,1933,341,2446,180,90,14,280,1309,174,1760,1369,136,74,1581,1540,390,3505,2708,158,140,3008,1486,414,4909,1486,365,69,1926,3529,517,5967,182,843,9,1032,4200,558,5791,53,624,5,682,3736,520,4940,8,117,0,131,1909,324,2359,3,7,0,9
LGA36580,13,38,0,54,621,123,794,56,32,0,86,419,52,551,437,31,15,485,595,99,1173,670,38,28,734,498,133,1365,354,73,12,438,1083,163,1685,71,176,0,254,1414,211,1869,15,123,0,139,1257,182,1578,3,16,0,20,541,100,664,0,0,0,3,122,23,149,1609,532,63,2205,6550,1075,9833,12,60,0,74,504,96,677,132,50,5,191,345,65,607,686,60,41,782,374,108,1264,816,51,52,919,423,134,1476,352,181,10,548,1006,137,1692,34,368,3,407,1262,172,1841,3,177,0,181,1101,153,1432,0,10,0,16,460,87,558,0,0,0,0,157,32,197,2043,964,114,3123,5634,979,9739,23,101,3,131,1127,216,1472,188,82,5,275,763,111,1153,1120,94,49,1266,965,205,2439,1483,88,79,1652,915,269,2836,699,255,30,987,2087,302,3375,108,544,3,657,2676,382,3711,15,299,3,321,2358,334,3015,5,33,0,35,1005,186,1221,4,0,0,3
LGA36630,15,43,0,55,764,139,960,76,52,3,126,573,81,784,541,42,20,601,696,135,1433,754,50,33,845,615,195,1650,455,100,18,577,1294,213,2081,79,155,0,234,1815,187,2236,28,109,0,134,1953,271,2364,5,21,0,29,927,176,1130,0,0,0,0,252,48,307,1953,571,73,2604,8897,1444,12944,26,84,0,110,645,99,854,171,57,10,235,444,59,737,818,72,40,930,484,114,1529,1029,79,54,1164,512,125,1800,386,227,27,637,1366,166,2170,49,367,3,424,1796,201,2421,10,150,0,162,1799,226,2187,0,36,0,35,798,167,995,0,0,0,4,346,57,407,2492,1074,137,3700,8181,1223,13109,37,129,0,169,1408,238,1816,243,111,11,365,1016,139,1523,1361,107,60,1530,1177,251,2962,1790,132,86,2009,1126,323,3454,840,327,41,1212,2660,380,4249,130,519,7,661,3610,393,4663,33,258,0,297,3753,502,4548,8,53,0,60,1726,342,2129,0,4,0,6
LGA36660,18,43,0,63,952,151,1168,96,32,0,130,685,66,881,561,46,18,626,791,144,1563,839,46,23,908,670,119,1697,548,87,17,649,1372,166,2192,110,164,0,276,2015,204,2494,17,170,0,195,1969,234,2397,7,26,0,37,957,155,1149,3,3,0,3,274,56,336,2202,627,64,2890,9682,1296,13866,28,90,0,121,760,102,993,173,63,5,244,510,54,807,877,66,56,991,536,88,1617,1148,77,61,1283,564,119,1962,493,243,21,763,1459,154,2374,50,429,3,484,1998,205,2688,11,258,0,270,1823,247,2339,4,42,0,50,1052,190,1292,0,9,0,13,479,78,574,2791,1280,149,4217,9187,1229,14637,50,133,3,186,1710,250,2156,265,99,5,375,1196,120,1685,1437,112,75,1621,1324,230,3175,1986,123,80,2191,1227,237,3657,1044,331,36,1415,2825,324,4560,161,592,4,762,4012,411,5186,32,435,0,467,3793,482,4735,8,73,0,82,2014,343,2441,3,9,0,17
LGA36720,39,394,8,436,7762,715,8919,282,254,11,546,6508,574,7636,4508,424,118,5054,8821,1131,15006,9555,415,282,10253,6218,1280,17752,6050,610,167,6828,11122,1318,19269,1022,1545,30,2593,14383,1224,18202,173,1705,10,1880,13096,1243,16222,23,344,0,368,7396,874,8634,4,19,0,28,2471,461,2964,21653,5712,634,27990,77779,8832,114603,60,660,11,724,7436,624,8786,669,513,31,1216,5919,552,7683,7121,756,355,8230,6935,1025,16190,12027,672,644,13347,4950,1034,19329,5933,1570,258,7762,12837,1256,21851,411,3912,44,4361,14860,1252,20471,91,2867,8,2967,13302,1373,17643,27,390,3,418,8071,1202,9692,13,29,0,43,3858,842,4749,26346,11370,1352,39072,78160,9159,126390,98,1057,15,1166,15202,1336,17698,953,761,44,1762,12425,1128,15316,11624,1179,477,13280,15757,2156,31195,21581,1082,930,23601,11166,2315,37079,11982,2181,422,14592,23954,2576,41119,1432,5457,73,6959,29239,2477,38678,258,4573,20,4852,26402,2617,33866,53,729,0,785,15465,2071,18330,16,54,0,71
LGA36820,5,38,0,44,583,107,735,48,14,0,60,394,71,525,306,39,21,363,512,104,974,569,32,20,621,429,118,1165,403,64,18,480,951,179,1613,78,146,6,225,1521,203,1947,23,139,0,156,1418,211,1791,4,20,0,25,719,130,872,0,0,0,0,207,42,259,1436,481,56,1979,6733,1169,9881,9,46,0,58,528,95,682,105,39,7,147,308,45,501,553,55,36,647,367,92,1100,761,46,43,854,379,113,1345,395,166,20,577,1058,169,1807,45,317,3,359,1479,192,2033,11,199,3,209,1288,217,1715,3,29,0,30,708,142,876,0,3,0,8,294,66,366,1878,900,117,2893,6422,1128,10442,12,83,0,96,1115,203,1413,154,52,7,211,702,113,1025,860,90,54,1005,877,191,2076,1330,79,68,1472,807,229,2513,800,229,37,1063,2009,351,3422,116,467,6,591,3003,400,3989,29,337,3,370,2708,430,3505,7,44,0,50,1427,271,1755,3,3,0,4
LGA36910,47,267,0,320,4590,538,5445,325,204,12,538,4272,422,5232,3248,331,118,3703,5304,745,9752,4817,214,127,5157,3329,699,9185,2567,379,58,3009,6102,753,9859,402,871,18,1294,7286,795,9373,66,733,13,810,5953,731,7493,14,144,3,163,3291,612,4069,3,5,0,15,1039,302,1351,11495,3165,345,15004,41161,5584,61751,71,505,3,582,4163,485,5225,696,368,45,1109,3520,322,4947,4716,493,305,5512,3897,632,10046,5805,376,327,6505,2706,632,9848,2439,1050,140,3630,6292,688,10611,196,2118,19,2332,7083,700,10111,49,1248,13,1300,6175,832,8313,16,220,3,238,3857,787,4876,8,13,0,25,1735,694,2456,13992,6388,845,21229,39441,5767,66435,117,774,3,893,8750,1020,10668,1021,572,53,1649,7791,742,10175,7962,824,427,9216,9200,1384,19795,10620,593,452,11664,6042,1328,19030,5008,1432,197,6641,12389,1442,20471,605,2992,33,3626,14368,1492,19490,110,1982,22,2112,12132,1562,15810,27,365,3,400,7151,1393,8947,9,20,0,34
LGA36950,0,11,0,9,111,33,158,20,12,0,26,87,33,147,55,8,8,67,148,82,295,77,8,3,87,82,41,208,30,6,0,38,123,37,198,10,11,0,25,133,23,178,0,3,0,8,50,14,71,0,0,0,0,23,3,24,0,3,0,3,0,0,8,198,61,13,264,755,262,1280,3,14,0,18,80,34,135,32,13,0,44,68,32,142,92,15,12,115,127,84,322,111,10,10,127,111,38,281,34,14,0,51,110,40,200,11,24,0,27,124,20,174,0,15,0,15,43,10,63,0,0,0,0,15,5,23,0,0,0,0,11,0,12,280,102,22,399,691,264,1348,3,27,0,29,194,62,289,45,24,0,68,159,63,289,145,15,18,178,273,165,621,188,19,15,217,188,81,485,64,23,4,87,231,75,396,18,36,0,52,260,45,356,0,15,0,19,95,23,132,0,0,0,0,36,4,46,0,3,0,3
