LGA_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
LGA36510,0,12,50,65,79,70,27,0,312,0,11,23,37,45,26,5,0,158,34,115,204,218,219,162,64,18,1049,42,96,211,238,217,159,61,16,1042,277,598,770,912,814,571,219,34,4196,40,21,21,21,16,11,3,0,142,21,25,49,59,49,60,23,7,289,337,642,839,990,881,642,246,44,4624,6,5,15,9,20,26,20,0,100,282,261,267,314,330,319,193,67,2032,702,1149,1608,1886,1788,1410,606,149,9311,7,35,79,99,81,45,10,0,349,3,35,65,63,86,44,12,4,306,72,299,447,378,329,226,70,14,1831,87,210,344,423,342,223,87,20,1740,253,384,411,472,314,151,25,8,2004,79,51,58,55,37,21,8,0,303,29,59,96,91,92,63,19,7,445,360,490,557,625,434,237,47,8,2750,10,4,13,12,18,27,9,4,106,241,179,216,298,319,315,232,88,1899,772,1248,1720,1898,1620,1119,466,136,8981,3,48
LGA36580,0,3,11,16,20,16,8,3,83,0,5,7,13,17,10,3,0,55,19,70,101,73,82,63,24,5,432,17,46,70,136,135,90,35,6,536,186,424,440,503,529,400,112,26,2619,41,26,19,19,10,7,0,0,120,17,27,28,24,26,29,13,0,163,240,482,483,548,563,430,126,26,2902,3,11,11,3,8,8,3,0,46,178,107,175,214,243,215,120,27,1271,460,729,863,1004,1066,833,320,56,5318,0,15,20,35,34,16,3,0,117,0,14,29,50,33,17,9,0,153,49,153,201,126,144,92,24,0,792,46,134,182,210,182,96,31,8,878,196,274,274,251,215,73,13,5,1304,55,42,26,32,26,11,0,0,190,28,38,53,51,58,32,12,0,269,275,357,347,339,296,118,29,4,1767,4,7,7,4,10,13,0,0,51,156,118,146,168,210,196,109,36,1133,535,793,935,940,902,546,199,51,4896,0,20
LGA36630,0,10,15,25,27,25,5,0,107,3,14,14,19,23,12,0,0,80,19,103,112,112,125,70,20,3,561,11,49,129,131,149,109,43,3,622,243,469,522,576,613,559,216,36,3232,57,37,21,14,12,16,0,0,157,16,23,26,38,37,41,13,3,205,324,529,567,629,663,609,229,42,3597,3,0,7,5,11,13,14,0,58,237,162,225,253,253,319,239,71,1758,591,869,1070,1167,1252,1152,556,119,6773,0,28,38,30,31,24,0,0,146,3,27,41,45,39,16,3,0,170,67,263,245,199,202,122,42,10,1151,49,136,212,261,256,158,49,14,1130,195,332,356,332,309,130,20,7,1675,81,50,41,55,44,14,0,0,290,28,31,79,69,78,40,13,3,335,310,413,474,454,432,182,38,7,2303,5,7,3,15,22,23,3,3,84,174,122,155,204,280,285,215,114,1544,612,993,1164,1203,1259,802,351,146,6530,0,31
LGA36660,4,18,21,43,38,56,11,3,188,4,5,19,23,32,26,3,0,111,19,105,141,145,169,144,54,6,780,19,63,122,156,178,123,53,10,725,346,524,549,579,631,533,197,40,3394,51,41,20,23,13,4,3,0,153,23,31,26,43,48,43,20,10,245,415,599,591,646,695,586,215,50,3796,4,7,9,12,12,16,11,0,68,220,169,153,201,234,286,193,84,1548,696,963,1055,1219,1360,1227,548,162,7222,0,33,53,51,41,27,5,0,200,5,23,41,53,54,27,12,0,215,69,251,278,274,256,196,70,8,1400,51,157,201,273,288,183,62,22,1242,230,350,362,401,317,135,21,6,1819,65,58,53,31,33,18,5,0,264,37,35,73,87,63,62,18,8,377,326,445,492,517,413,206,42,12,2452,0,3,6,8,19,15,13,3,65,155,104,156,182,255,308,275,156,1583,608,1019,1221,1358,1323,960,468,204,7159,4,49
LGA36720,16,321,615,672,667,579,240,44,3142,19,128,250,402,412,285,69,5,1569,478,2018,2600,2236,1909,1568,624,164,11595,405,1100,1864,2111,1878,1473,663,199,9702,2497,5429,6075,6384,5694,4315,2197,621,33210,422,168,117,116,92,77,42,3,1029,166,255,289,329,380,383,202,51,2060,3087,5849,6491,6827,6165,4778,2437,670,36297,45,83,118,116,141,160,128,39,826,1301,1257,1442,1515,1462,1562,1115,622,10275,5344,10756,13371,13874,12633,10406,5278,1746,73415,31,574,815,822,675,366,73,12,3380,55,429,649,779,659,355,90,11,3034,974,3818,4572,3604,2589,1699,585,196,18030,795,2194,3047,3323,2740,1746,709,201,14760,2279,3120,3159,3381,2544,1115,286,101,15991,526,295,281,251,289,160,39,17,1853,269,369,511,680,691,583,226,72,3403,3071,3782,3946,4314,3523,1857,551,189,21237,47,98,119,190,197,265,168,51,1126,1247,1104,1199,1521,1641,1913,1664,1263,11554,6225,12000,14356,14554,12032,8199,3845,1925,73128,43,896
LGA36820,0,6,24,39,44,51,15,4,184,0,3,10,21,27,21,3,0,92,12,81,111,123,132,112,35,5,607,13,41,77,118,135,130,42,7,552,187,362,436,502,602,466,205,42,2807,29,18,18,13,11,10,0,0,101,8,13,21,27,30,26,12,0,144,233,392,472,543,644,507,219,42,3052,4,3,6,13,14,18,7,3,65,177,111,133,201,243,238,165,63,1331,438,642,828,1044,1241,1073,491,127,5874,0,18,26,56,51,23,3,3,188,4,12,28,54,46,24,3,0,167,31,189,245,221,236,153,63,15,1145,37,107,157,241,248,153,58,20,1019,159,210,240,244,223,105,19,0,1203,36,30,22,35,18,19,7,0,171,14,32,39,56,51,35,15,0,247,216,273,297,332,300,158,36,6,1612,0,7,4,9,9,12,19,10,73,139,96,144,204,233,260,186,85,1351,425,710,912,1111,1119,776,363,129,5552,0,22
LGA36910,24,331,418,414,368,254,86,8,1910,6,95,142,193,165,87,24,3,720,409,1337,1247,1018,913,507,211,55,5696,155,605,811,946,819,514,178,53,4078,1843,3438,2899,2690,2401,1571,687,175,15706,311,181,90,56,39,20,6,0,713,100,118,133,184,176,127,74,16,930,2252,3737,3121,2928,2618,1720,775,197,17354,29,52,42,47,47,47,38,21,324,1016,815,780,863,892,864,693,340,6264,3885,6974,6565,6414,5826,4002,2007,671,36345,24,384,501,459,326,142,24,6,1859,36,220,309,351,319,130,44,9,1412,610,2392,2113,1586,1276,710,286,67,9039,400,1115,1154,1356,1107,681,280,62,6147,1651,2008,1565,1555,1129,369,87,19,8370,373,225,146,152,114,58,9,3,1076,174,187,247,269,268,179,67,25,1422,2196,2420,1957,1976,1513,603,166,48,10875,32,44,51,64,60,67,49,23,387,883,701,702,812,902,1060,962,830,6847,4171,7267,6783,6599,5497,3398,1803,1043,36559,46,717
LGA36950,0,3,3,8,3,0,0,0,14,0,3,4,3,3,0,0,0,18,0,20,16,22,16,5,0,0,79,3,14,19,21,8,0,0,0,65,34,64,55,47,52,11,3,0,266,8,5,6,3,3,0,0,0,25,11,7,3,3,3,3,0,0,28,58,72,65,55,54,16,3,0,318,0,0,0,0,0,0,0,0,4,82,102,51,44,31,17,5,0,330,140,221,156,152,117,35,9,4,832,0,4,18,10,12,0,0,0,44,0,6,8,5,7,0,0,0,28,4,51,40,20,18,3,0,0,147,0,22,30,23,25,7,0,0,109,16,46,38,16,13,3,0,0,142,20,15,12,7,4,0,0,0,52,8,3,3,0,3,0,0,0,14,45,64,56,27,21,6,0,0,207,3,0,3,0,0,0,0,0,6,82,102,54,45,25,20,3,0,326,138,251,201,133,108,34,3,0,871,0,6
LGA36960,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,6,0,3,3,0,0,0,12,5,0,9,9,9,0,0,0,37,49,85,81,68,39,4,0,0,329,28,34,20,11,5,3,0,0,96,3,9,6,9,0,0,0,0,25,79,126,107,87,41,10,3,0,454,0,0,0,0,0,0,0,0,3,104,92,45,31,22,18,6,0,315,188,225,167,140,88,26,6,0,834,0,0,3,0,0,0,0,0,6,0,3,3,7,0,0,0,0,18,10,10,11,16,15,3,0,0,56,4,12,26,26,19,0,4,0,93,49,80,62,37,12,5,0,0,246,22,25,19,17,7,4,0,0,101,9,6,0,6,3,4,0,0,20,79,107,77,58,30,10,0,0,364,4,0,0,0,0,0,0,0,6,106,54,30,24,32,13,0,0,257,206,186,147,124,94,28,10,0,799,0,0
LGA37010,9,352,495,448,352,193,64,11,1920,15,141,174,175,127,68,16,0,717,469,1705,1419,1117,790,463,147,31,6142,229,708,1049,1248,960,495,143,35,4870,2247,4752,3914,3755,3209,1925,727,188,20722,362,156,100,44,50,16,8,0,735,96,167,155,144,167,126,54,15,921,2702,5075,4169,3947,3427,2063,790,204,22375,32,82,75,72,59,52,29,8,413,1726,1691,1329,1295,1086,837,496,185,8643,5187,9753,8708,8295,6802,4176,1685,475,45097,25,501,577,505,364,124,29,5,2125,74,377,395,362,235,94,19,3,1561,947,3396,2700,1859,1262,559,192,36,10951,551,1467,1558,1477,1042,491,172,53,6801,1727,2645,2071,1786,1144,343,78,24,9814,432,244,192,164,115,44,11,4,1199,152,250,258,288,230,132,45,14,1373,2305,3140,2518,2241,1493,524,135,39,12393,40,65,69,76,82,67,27,4,430,1237,1111,978,1065,937,860,607,304,7097,5177,10060,8790,7577,5416,2724,1172,444,41358,31,851
LGA37300,0,4,12,5,4,0,0,0,27,0,3,3,0,0,0,0,0,14,4,37,31,16,8,0,0,0,93,0,11,27,24,13,3,0,0,81,63,187,177,136,76,16,0,0,652,3,7,0,0,0,0,0,0,11,0,3,9,7,3,3,0,0,27,64,191,191,143,79,16,0,0,688,0,0,0,0,3,0,0,0,6,36,37,52,38,33,8,0,0,202,107,285,311,235,135,28,3,0,1107,0,14,7,13,0,0,0,0,35,0,12,12,8,4,0,0,0,35,15,83,62,34,6,0,0,0,195,3,23,28,34,8,3,0,0,107,25,82,49,32,8,0,0,0,206,3,5,5,3,3,0,0,0,16,6,7,7,3,0,0,0,0,25,32,90,64,42,17,0,0,0,248,0,3,0,0,3,0,0,0,5,39,35,40,43,17,5,0,0,173,91,249,216,172,55,14,0,0,800,0,20
LGA37310,0,26,32,13,11,5,0,0,91,0,11,16,14,14,0,0,0,60,41,190,189,124,71,33,13,0,659,27,119,173,146,115,59,15,3,664,382,816,689,605,437,252,101,20,3295,60,23,24,35,12,0,3,0,153,19,30,32,44,32,19,11,0,178,454,873,738,673,480,270,112,22,3623,4,5,13,9,17,9,4,0,61,308,300,328,359,315,282,166,54,2128,834,1519,1489,1354,1026,665,312,87,7285,3,37,39,17,19,6,0,0,114,3,40,36,41,31,12,0,0,160,97,409,374,199,131,71,27,8,1307,40,176,243,268,160,96,25,5,1020,276,383,303,287,197,65,13,3,1524,73,76,39,33,26,13,0,0,259,29,48,70,74,39,24,11,3,285,383,505,413,391,260,98,21,6,2074,3,12,6,6,10,12,4,0,54,250,221,256,306,304,250,179,100,1866,779,1394,1364,1224,915,535,265,119,6590,3,60
LGA37340,0,19,29,25,29,14,3,0,138,3,12,20,16,21,6,3,0,79,48,224,143,103,106,78,19,0,724,49,192,165,173,162,102,25,0,872,324,908,803,827,735,456,158,22,4240,39,34,30,31,26,12,3,0,170,32,33,37,36,49,36,12,0,223,396,975,864,890,806,502,172,27,4629,0,20,15,9,11,16,3,0,77,388,546,386,382,342,302,137,48,2541,900,1982,1628,1599,1472,1024,362,84,9058,4,54,32,29,26,18,0,0,158,0,35,53,25,38,20,4,0,178,118,424,316,190,159,62,21,4,1303,93,297,264,233,211,101,39,0,1245,238,416,398,319,243,90,16,9,1718,78,52,51,28,42,19,0,0,270,36,52,57,66,51,42,7,0,315,349,526,495,408,333,146,24,12,2301,6,18,10,17,16,16,8,3,91,347,441,286,301,319,236,131,81,2133,925,1789,1459,1199,1092,601,236,100,7401,7,73
LGA37400,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,3,6,4,0,8,5,0,0,20,0,4,0,3,0,0,0,0,10,6,21,16,23,20,13,10,0,107,3,0,4,0,3,0,0,0,12,0,0,0,0,4,0,0,0,4,9,22,13,24,26,15,10,0,123,0,0,0,0,0,0,0,0,3,6,11,4,4,11,19,12,6,69,16,42,30,38,42,43,19,6,232,0,3,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,8,14,6,6,4,8,0,0,46,3,9,8,11,8,3,0,0,38,11,17,13,11,3,3,0,0,52,0,0,0,3,0,0,0,0,3,0,3,0,4,0,3,0,0,10,15,16,10,16,3,5,0,0,71,0,0,0,0,0,0,0,0,0,5,5,7,12,14,12,3,3,58,33,48,32,43,29,27,7,3,227,0,3
LGA37550,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,4,0,0,0,5,0,3,0,0,4,0,0,0,9,3,6,6,7,10,0,0,0,27,0,3,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,10,9,3,11,0,0,0,37,0,0,0,0,0,0,0,0,0,34,5,15,9,7,0,0,0,71,39,18,26,16,18,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,12,3,3,3,5,3,0,0,0,17,3,7,5,6,3,0,0,0,27,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,4,12,3,10,5,0,0,0,39,0,0,0,0,0,0,0,0,0,22,9,8,8,6,5,0,0,53,27,24,20,21,18,9,0,0,120,0,0
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,6,3,8,4,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,6,6,8,7,7,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,3,0,0,0,0,0,5,0,8,0,7,0,0,0,0,14,3,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,5,3,7,4,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,3,3,5,0,0,0,17,5,12,13,11,6,0,0,0,52,0,0
LGA37600,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,4,3,0,0,0,15,0,5,8,7,3,0,0,0,15,16,30,25,29,9,0,0,0,107,7,3,0,6,3,0,0,0,20,3,8,0,0,3,0,0,0,10,26,42,27,30,8,0,0,0,135,0,0,0,0,0,0,0,0,0,42,17,22,10,17,0,3,0,117,65,73,53,60,33,3,5,0,290,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,7,3,10,3,10,0,0,0,0,24,0,0,10,17,5,0,0,0,39,16,24,20,20,10,0,0,0,80,8,12,8,3,4,0,0,0,33,0,0,3,3,0,0,0,0,8,28,35,29,25,12,0,0,0,121,0,0,0,0,0,0,0,0,0,37,23,13,14,11,9,0,0,115,73,70,57,68,32,16,0,0,317,0,0
LGA39499,5,54,23,20,23,17,4,0,143,3,12,4,4,14,6,0,0,48,66,172,46,49,47,56,8,0,448,30,48,49,45,80,61,8,0,327,91,244,189,212,292,299,53,3,1395,11,11,12,4,5,3,0,0,48,14,16,11,5,27,21,3,0,95,114,271,207,226,324,320,58,3,1534,8,7,11,8,9,8,3,0,55,165,357,337,292,269,194,52,9,1669,391,925,669,647,771,673,135,14,4223,7,54,18,23,18,10,0,0,123,3,10,9,10,21,12,0,0,71,126,283,80,55,79,58,9,3,701,64,72,48,64,133,64,7,0,452,62,94,71,100,120,58,3,0,508,13,8,10,8,19,11,0,0,67,9,24,14,14,30,19,3,0,112,82,127,86,124,175,84,7,0,683,12,14,4,6,9,13,3,0,58,164,230,136,153,214,145,46,9,1099,452,785,391,435,655,377,77,11,3183,10,106
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,6,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,4,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,9,3,3,8,3,3,10,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,16,5,6,3,8,9,3,4,3,41,0,0
