LGA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA34860,..,48,34,3,10,15,11,3,0,131,..,44,69,43,64,103,115,115,47,594,22,36,27,8,17,11,17,18,7,167,1164,586,799,736,715,619,415,263,83,5387,..,39,684,896,867,797,546,235,37,4103,..,228,357,183,177,109,34,14,3,1105,..,25,73,102,94,44,18,18,14,384,2433,..,..,..,..,..,..,..,..,2433,..,283,..,..,..,..,..,..,..,283,..,279,92,47,42,16,0,0,0,476,..,37,16,5,19,14,18,18,3,125,..,41,34,15,14,11,4,0,0,112,..,84,78,18,25,30,26,4,3,277,..,104,158,100,165,228,228,184,66,1240,58,83,68,32,42,33,36,17,12,378,2489,1210,1568,1390,1447,1277,906,492,141,10922
LGA34880,..,37,61,15,46,55,12,9,0,243,..,16,39,47,117,213,256,161,83,918,39,37,27,21,26,38,30,15,9,240,1717,920,922,1124,1333,1321,1062,518,157,9070,..,33,549,1040,1405,1432,1269,615,113,6469,..,183,435,434,378,296,112,21,3,1865,..,49,125,239,205,115,74,66,27,890,3455,..,..,..,..,..,..,..,..,3455,..,650,..,..,..,..,..,..,..,650,..,548,226,103,115,42,12,0,0,1031,..,116,60,39,41,89,76,59,28,500,..,89,53,25,31,24,17,6,0,251,..,81,132,54,91,117,49,22,3,551,..,49,114,151,267,475,507,295,122,1990,85,84,80,58,71,76,60,31,9,548,3545,1868,1780,2144,2612,2675,2170,1110,306,18206
LGA35010,..,966,1002,420,700,708,480,159,36,4475,..,421,958,1131,1955,3268,4415,3223,1644,17018,736,966,586,356,391,518,424,215,99,4284,41472,24959,25287,28327,28149,23713,19277,8779,3033,202999,..,1352,19379,32146,33181,29387,24121,9259,1662,150485,..,5030,10690,7461,5713,3003,1426,306,39,33666,..,967,3434,5472,5382,2452,1193,766,421,20088,83714,..,..,..,..,..,..,..,..,83714,..,19276,..,..,..,..,..,..,..,19276,..,15054,6032,2406,1359,615,114,7,0,25586,..,2075,1199,603,900,1328,1397,848,515,8864,..,1986,1279,638,614,398,162,53,16,5140,..,1973,2379,1136,1520,1420,958,324,77,9782,..,912,2423,3058,4475,5820,6861,4638,2311,30495,1508,1811,1376,941,822,866,737,356,126,8535,85220,50428,48199,53854,53966,45284,36971,16552,5158,395635
LGA35250,..,0,8,0,0,0,0,0,0,11,..,0,6,4,0,0,4,0,0,18,8,3,0,3,3,3,0,0,0,19,154,96,83,66,63,35,15,6,0,521,..,3,11,13,23,18,8,0,0,77,..,22,61,63,48,9,5,0,0,215,..,17,30,15,18,10,3,0,0,89,330,..,..,..,..,..,..,..,..,330,..,17,..,..,..,..,..,..,..,17,..,71,14,3,0,0,0,0,0,89,..,37,17,14,18,16,10,8,0,122,..,0,4,0,4,0,0,0,0,8,..,0,11,0,3,0,0,0,0,18,..,3,11,12,9,5,11,4,0,51,8,11,4,3,4,3,0,0,0,39,339,183,163,129,128,67,35,14,0,1052
LGA35300,..,71,94,14,32,17,10,4,0,239,..,56,112,69,87,86,81,45,27,553,49,57,59,34,44,36,18,9,3,311,1951,1069,1513,1130,1039,645,338,144,41,7877,..,74,1081,1214,1150,778,393,134,13,4838,..,408,853,409,259,140,32,3,4,2098,..,68,155,196,198,84,45,23,14,785,3859,..,..,..,..,..,..,..,..,3859,..,475,..,..,..,..,..,..,..,475,..,547,172,63,53,22,3,0,0,857,..,122,54,41,36,52,36,18,5,372,..,67,55,26,17,7,3,0,0,173,..,169,204,72,69,37,20,11,0,579,..,129,321,207,274,250,202,85,30,1504,104,115,131,72,82,73,38,19,3,643,3966,2169,3034,2301,2151,1446,768,296,64,16201
LGA35600,..,15,4,0,10,3,0,0,0,35,..,16,23,9,31,40,60,61,22,272,16,26,13,9,6,14,7,5,3,96,407,206,258,242,283,252,166,104,38,1958,..,28,189,270,295,336,169,86,16,1379,..,70,124,76,80,30,13,0,0,389,..,18,30,35,45,19,15,3,0,165,814,..,..,..,..,..,..,..,..,814,..,94,..,..,..,..,..,..,..,94,..,102,28,20,9,4,0,0,0,174,..,25,8,0,14,10,9,5,6,71,..,8,9,3,4,0,0,0,0,29,..,22,17,3,9,10,6,0,0,69,..,27,45,35,60,96,111,93,37,497,39,44,22,17,20,23,18,7,3,188,850,430,471,461,535,529,334,193,59,3871
LGA35670,..,3,0,0,0,0,0,0,0,3,..,0,0,3,3,3,0,0,0,18,3,4,0,0,0,0,0,0,0,6,130,91,62,51,49,28,12,5,0,437,..,3,8,14,9,7,4,0,0,45,..,34,63,62,46,13,9,0,0,220,..,7,18,8,16,6,4,3,0,65,274,..,..,..,..,..,..,..,..,274,..,15,..,..,..,..,..,..,..,15,..,68,14,9,10,0,0,0,0,100,..,36,12,15,18,17,6,5,0,103,..,0,3,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,6,..,0,9,8,18,9,3,0,0,44,12,4,0,3,5,0,0,0,0,23,285,174,131,112,120,66,22,8,0,905
LGA35740,..,126,101,59,146,163,106,30,8,737,..,44,94,128,373,653,749,595,300,2933,60,83,59,44,85,95,112,40,13,589,3894,2087,1876,2973,4047,4052,3430,1602,572,24529,..,51,1179,3073,3990,4535,4458,1870,372,19526,..,252,842,878,1039,754,422,74,11,4272,..,30,205,576,748,380,138,114,83,2272,7905,..,..,..,..,..,..,..,..,7905,..,1878,..,..,..,..,..,..,..,1878,..,1406,511,269,172,108,28,0,0,2492,..,117,98,43,58,132,114,107,80,746,..,154,107,64,85,81,36,11,0,537,..,217,263,190,276,308,250,82,11,1590,..,89,192,354,720,1134,1197,829,427,4949,126,161,150,128,156,199,183,66,18,1196,8030,4348,3545,5573,7251,7633,6831,3151,1007,47364
LGA35760,..,30,53,17,16,18,10,6,0,147,..,25,23,32,55,94,132,124,57,544,16,26,13,15,4,16,25,12,7,133,814,429,457,515,612,648,580,293,97,4448,..,21,360,537,774,807,765,347,58,3658,..,121,158,112,133,109,58,11,0,699,..,17,60,97,72,30,19,19,10,323,1636,..,..,..,..,..,..,..,..,1636,..,251,..,..,..,..,..,..,..,251,..,203,49,50,44,18,3,0,0,370,..,44,13,9,17,32,28,7,19,172,..,25,15,3,0,9,10,0,0,70,..,71,142,41,39,46,25,6,0,367,..,49,78,94,155,251,276,208,93,1204,35,43,28,22,24,30,41,37,6,277,1672,849,916,965,1257,1333,1222,644,186,9040
LGA35780,..,0,0,8,0,0,0,0,0,9,..,7,9,8,12,16,4,3,0,53,23,10,3,0,8,0,3,0,0,50,496,238,209,158,136,84,38,10,0,1362,..,0,51,77,88,66,22,7,0,306,..,65,156,98,72,35,6,0,0,425,..,39,48,51,38,21,7,3,0,203,956,..,..,..,..,..,..,..,..,956,..,81,..,..,..,..,..,..,..,81,..,153,43,7,0,0,0,0,0,204,..,86,43,10,13,18,17,8,0,199,..,0,5,0,0,0,0,0,0,7,..,3,4,5,3,0,0,0,0,15,..,6,25,28,30,32,14,5,0,132,39,24,10,5,12,5,3,3,0,102,995,458,377,281,253,174,78,13,6,2637
