LGA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA31900,295,329,621,747,899,699,156,26,0,3773,181,68,164,162,179,445,726,506,231,2650,23,36,40,50,71,81,97,77,60,532,501,428,824,958,1149,1220,979,603,293,6960,181,463,852,1010,1267,1033,223,34,3,5072,296,164,324,442,453,425,169,35,0,2312,25,18,56,32,43,60,18,6,5,256,20,18,25,36,41,29,22,8,0,197,522,669,1258,1521,1801,1547,421,86,10,7841,41,47,61,51,73,52,0,0,0,335,27,19,25,20,29,24,3,0,0,143,67,68,89,71,104,75,7,0,0,480,588,740,1350,1593,1908,1620,425,86,10,8320,389,106,219,225,295,699,1399,923,370,4620,49,66,106,126,155,173,193,136,89,1092,1031,915,1673,1946,2349,2493,2023,1153,463,14039
LGA31950,4,5,21,11,10,16,4,0,0,68,0,3,5,3,11,3,3,0,0,27,4,3,3,7,4,6,6,0,0,26,7,12,24,19,20,27,11,0,0,120,8,18,16,21,21,28,11,0,0,113,0,0,6,10,0,0,0,0,0,19,0,0,4,0,0,3,0,0,0,6,0,0,3,0,0,3,0,0,0,6,8,20,29,30,22,35,9,0,0,147,0,0,7,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,14,10,17,33,34,23,35,9,0,0,160,5,3,6,8,16,8,5,3,0,51,4,6,13,10,3,15,6,0,0,56,15,29,52,46,47,60,22,3,0,274
LGA32080,2626,3248,7900,9016,8848,5762,1168,105,15,38694,1771,907,2241,2069,1890,2939,4279,2206,1060,19357,359,462,1064,1013,956,832,570,377,203,5844,4762,4618,11202,12096,11700,9542,6026,2682,1284,63897,881,3418,9881,10995,11474,7177,1235,106,19,45184,2992,2124,3909,4837,4407,3557,1298,140,18,23276,127,170,702,541,461,433,125,22,3,2588,90,143,309,288,274,148,71,23,8,1362,4088,5861,14803,16664,16617,11314,2727,289,46,72405,354,509,794,679,777,573,54,3,0,3748,646,291,398,352,282,246,87,8,0,2307,1001,801,1189,1034,1063,824,137,7,3,6056,5087,6662,15989,17698,17678,12135,2869,302,52,78467,3953,1546,3171,2981,3135,5173,8551,4306,1627,34437,765,939,2164,2013,2070,1719,1204,708,302,11891,9803,9148,21325,22691,22880,19022,12624,5312,1981,124795
LGA32250,16,35,85,82,101,73,19,0,0,412,25,24,31,27,39,33,57,23,0,260,0,12,18,14,17,10,10,3,0,72,46,68,132,120,151,120,81,23,0,743,29,51,115,116,135,122,32,0,0,595,13,11,25,27,41,32,12,0,0,152,0,0,10,4,3,7,0,0,0,27,3,6,10,7,5,7,0,0,0,35,42,72,153,153,180,166,47,3,0,813,3,6,19,10,10,10,3,0,0,57,3,3,8,3,3,3,0,0,0,15,5,5,22,11,12,9,3,0,0,77,47,76,179,166,194,174,47,3,0,885,45,39,48,47,68,59,126,56,6,496,8,19,31,29,28,25,16,12,0,169,97,135,259,240,295,260,193,64,10,1548
LGA32260,413,464,1021,1115,1446,1253,259,29,5,6008,291,142,389,376,365,708,1114,682,348,4415,57,64,156,147,159,190,154,89,35,1048,752,666,1571,1630,1971,2149,1530,799,392,11469,207,615,1340,1384,1852,1525,342,55,10,7328,451,301,634,649,815,850,267,57,0,4013,17,22,83,81,89,108,31,4,0,439,37,27,60,59,65,34,12,12,0,305,710,963,2119,2170,2817,2515,647,130,15,12084,62,95,116,120,167,151,7,3,0,720,64,34,41,37,53,64,14,0,0,303,120,126,158,154,221,217,20,3,0,1021,827,1089,2281,2324,3041,2729,674,129,16,13103,616,214,522,521,651,1346,2248,1392,563,8079,109,134,361,305,362,406,345,191,68,2283,1562,1435,3164,3148,4050,4483,3266,1712,647,23462
LGA32270,410,598,1474,1394,1317,767,169,19,4,6153,239,126,573,325,276,404,385,192,47,2569,85,114,255,210,222,152,65,40,18,1159,726,842,2297,1924,1815,1328,620,256,67,9878,244,851,2297,2113,2127,1276,270,40,7,9231,438,289,688,741,600,445,139,26,5,3374,25,53,184,124,86,78,23,3,0,580,20,20,55,73,51,40,17,3,3,280,725,1214,3232,3064,2861,1832,448,71,16,13460,73,71,99,81,120,76,8,3,0,528,60,29,61,40,30,23,3,0,0,241,134,100,160,124,150,102,7,3,0,776,858,1314,3389,3184,3013,1935,457,77,16,14235,530,185,644,405,399,645,797,395,92,4092,182,222,603,543,554,362,167,89,22,2748,1571,1720,4634,4135,3964,2939,1424,558,133,21073
LGA32310,194,199,418,541,570,408,98,14,4,2448,209,43,151,123,162,282,472,274,110,1825,38,25,65,70,90,72,66,49,17,487,433,273,629,736,820,764,638,335,133,4761,86,237,528,647,713,541,136,16,3,2911,204,94,200,264,248,226,82,22,3,1342,24,17,28,44,46,37,11,0,0,203,17,10,20,13,25,22,9,3,0,118,336,358,783,964,1030,827,235,38,8,4579,37,46,59,69,57,58,3,0,0,323,29,8,31,18,12,24,3,0,0,120,64,57,92,83,63,77,10,0,0,442,401,411,872,1052,1093,905,244,38,8,5025,433,74,194,212,251,513,931,546,180,3336,57,68,128,156,170,141,139,91,25,966,893,553,1187,1420,1513,1563,1313,675,211,9327
LGA32330,9,11,28,28,23,17,0,0,0,118,46,42,57,36,40,24,23,5,5,283,5,13,0,4,0,0,0,0,0,31,60,65,83,80,66,44,27,5,5,433,3,6,12,27,18,17,0,0,0,77,4,3,6,9,7,11,0,0,0,46,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,10,26,35,27,30,0,0,0,127,11,19,30,22,18,3,0,0,0,104,5,3,8,3,7,3,0,0,0,27,21,24,33,27,19,5,0,0,0,129,21,28,59,65,44,33,4,0,0,258,101,65,83,74,75,46,30,10,5,489,5,24,8,4,3,0,0,0,0,56,134,122,148,146,121,82,37,10,5,807
LGA32450,33,66,173,112,114,93,23,4,0,613,19,13,39,31,43,37,43,16,3,254,11,20,31,19,17,31,15,9,3,158,64,100,245,167,168,159,77,30,7,1016,36,111,331,250,245,189,39,7,0,1200,21,18,60,36,36,40,18,3,0,227,4,3,11,8,7,10,0,3,0,51,4,6,8,3,3,8,7,0,0,41,68,136,401,303,294,241,68,7,0,1520,6,10,12,8,18,11,0,0,0,61,5,3,3,0,0,3,0,0,0,14,14,12,17,9,17,10,0,0,0,75,78,152,417,311,313,255,68,7,0,1594,53,20,57,49,58,70,106,34,13,450,24,33,77,64,46,61,38,13,8,370,145,202,551,422,416,385,206,64,20,2416
LGA32500,38,72,158,171,171,194,31,4,0,843,31,25,64,45,52,100,110,33,18,469,18,28,42,15,27,57,25,6,4,219,84,127,270,232,249,348,166,50,18,1534,28,116,238,215,235,217,47,4,0,1110,38,33,58,103,99,110,34,3,0,476,0,0,7,13,15,25,3,0,0,66,3,0,14,9,10,3,4,3,0,54,76,156,325,338,361,350,94,15,0,1707,11,17,15,17,16,23,0,0,0,95,0,4,5,10,11,8,0,0,0,36,14,20,21,29,19,30,6,0,0,133,90,177,346,366,382,376,94,15,0,1838,67,43,92,66,102,201,322,104,23,1026,35,71,95,72,78,109,87,16,7,576,194,291,528,507,563,686,506,136,31,3439
LGA32600,0,5,10,14,15,11,4,0,0,59,0,0,3,3,3,4,6,0,0,21,0,0,6,4,9,5,3,0,0,26,0,8,18,23,26,20,10,3,0,108,0,12,18,18,19,16,3,0,0,81,0,0,3,4,8,10,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,23,18,29,20,3,3,0,110,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,3,0,0,0,11,0,17,25,22,28,26,3,3,0,121,0,0,6,3,3,9,15,0,3,42,0,4,15,16,13,12,3,0,0,59,4,24,37,45,49,49,20,4,4,229
LGA32750,4,12,21,17,17,11,3,0,0,85,0,0,6,0,4,0,0,0,0,12,5,8,3,0,0,6,3,0,0,24,14,13,26,17,23,14,5,0,0,114,13,13,26,27,25,21,7,0,0,120,4,9,10,5,5,3,0,0,0,35,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,19,38,32,33,28,11,0,0,164,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,6,19,17,38,29,32,28,11,0,0,173,8,7,6,0,4,3,5,0,0,30,10,9,6,0,6,8,3,0,0,37,32,38,43,33,42,36,17,0,0,239
LGA32770,10,14,51,44,29,22,0,0,0,172,63,40,71,45,27,17,15,7,0,273,0,3,3,0,4,6,0,0,0,20,75,54,127,85,59,39,15,3,0,466,0,14,42,44,24,15,0,0,0,130,12,19,29,39,16,13,0,0,0,124,0,0,4,0,0,4,0,0,0,13,0,0,3,0,5,0,0,0,0,10,12,31,71,87,47,31,0,0,0,279,3,10,16,12,4,0,0,0,0,44,3,5,7,7,4,0,0,0,0,23,9,13,23,15,3,0,0,0,0,68,16,40,94,104,56,30,5,0,0,344,101,77,115,71,40,43,20,8,0,477,0,4,12,3,3,3,0,3,0,36,119,126,222,177,102,80,24,12,0,862
LGA32810,123,189,554,588,678,524,137,22,0,2814,107,35,120,110,129,263,368,179,49,1344,32,40,139,103,108,115,94,40,36,706,257,268,810,800,915,904,595,237,86,4867,82,238,748,718,784,619,146,24,5,3350,146,86,274,349,413,372,145,30,0,1818,4,11,28,41,53,46,15,3,0,202,9,13,24,38,34,9,4,5,0,140,242,344,1074,1140,1288,1044,311,55,5,5509,10,22,37,33,48,50,3,0,0,187,13,11,11,19,15,29,3,0,0,108,23,35,49,50,58,78,5,0,0,298,271,378,1122,1186,1344,1118,316,55,5,5799,207,56,159,176,250,518,771,386,86,2614,52,77,234,211,213,254,168,94,62,1363,529,511,1520,1573,1810,1893,1259,535,159,9783
LGA33100,7,7,38,26,46,25,10,3,0,163,0,0,12,12,9,25,26,9,4,91,0,0,6,5,6,3,3,0,0,29,13,10,56,40,56,54,42,15,4,288,12,18,45,39,74,52,16,3,0,265,5,4,22,14,15,14,5,3,0,75,0,0,3,0,4,3,3,0,0,18,0,0,0,0,3,0,0,0,0,11,20,22,67,57,95,66,24,4,0,360,0,0,5,0,3,4,0,0,0,10,0,0,0,0,3,3,4,0,0,12,0,0,8,3,4,5,4,0,0,20,21,22,76,56,96,75,28,4,0,388,3,3,19,9,13,43,72,28,3,199,0,0,14,9,10,9,13,3,0,72,32,27,112,74,126,127,108,41,3,651
LGA33200,15,34,57,62,81,68,43,10,0,370,9,5,26,20,18,28,57,25,19,201,0,5,13,3,9,8,8,7,0,54,29,46,93,79,112,98,110,41,21,625,21,46,98,89,131,107,56,14,0,570,15,20,23,22,39,26,25,7,0,172,0,5,3,3,3,5,3,0,0,18,0,3,5,0,5,7,4,4,0,29,42,74,130,118,182,145,87,21,5,795,0,6,3,0,4,9,0,0,0,25,0,0,0,3,0,0,0,0,0,7,0,6,3,7,4,8,0,0,0,28,41,79,129,122,186,154,88,21,5,817,32,9,28,24,26,43,100,47,26,337,4,17,17,10,13,15,18,10,0,110,70,103,179,156,223,215,206,78,28,1269
LGA33220,1518,1354,2836,3804,4601,3377,552,48,9,18107,1055,554,1314,1415,1797,4224,6842,3574,1266,22028,164,166,320,360,456,564,644,385,238,3295,2734,2069,4469,5584,6851,8170,8031,4009,1513,43429,430,1305,3130,4162,4949,3465,495,56,11,18000,1587,941,1736,2283,2626,2380,675,76,14,12327,58,66,237,228,283,324,75,5,3,1284,49,72,101,123,149,110,44,22,3,666,2126,2380,5201,6796,8010,6277,1293,160,27,32271,366,459,541,518,562,508,11,3,0,2969,410,135,232,179,194,256,32,0,0,1442,771,594,776,694,760,761,48,8,0,4411,2902,2972,5974,7495,8770,7036,1338,170,28,36684,2332,967,2063,2410,3239,7370,13512,7102,2149,41142,335,332,651,795,932,1173,1287,751,380,6629,5564,4275,8687,10698,12938,15576,16133,8018,2553,84458
LGA33360,1007,1256,2859,3072,3145,1607,277,24,0,13243,618,349,1228,993,936,1441,1551,764,288,8168,136,135,326,305,305,227,155,82,29,1700,1760,1739,4414,4376,4380,3275,1980,873,325,23119,430,1571,4032,4332,4513,2488,341,25,4,17743,1138,683,1343,1607,1573,1087,308,33,0,7776,55,62,282,208,226,209,35,7,0,1085,50,45,102,117,105,43,14,3,0,476,1673,2359,5758,6267,6419,3823,701,73,9,27074,220,391,512,467,543,342,9,3,0,2482,219,104,156,170,117,88,22,0,0,877,436,494,669,637,662,429,31,3,0,3368,2109,2858,6429,6903,7077,4257,729,78,9,30441,1413,491,1477,1280,1409,2475,3131,1485,458,13615,270,285,651,663,727,541,294,157,44,3640,3803,3638,8552,8849,9209,7270,4150,1721,509,47696
LGA33430,9968,13973,28956,29552,29505,19697,4548,349,54,136598,5942,3488,7316,7499,6861,11762,20732,12266,5772,81632,996,1475,3065,2546,2600,2390,2036,1563,1473,18148,16903,18929,39337,39593,38965,33851,27312,14181,7302,236378,2809,12585,36868,38118,37956,23144,4408,272,26,156202,11511,11076,16238,17342,16155,13116,5680,698,51,91869,428,616,2132,1588,1270,1262,393,47,6,7748,385,610,1086,935,823,597,198,62,24,4727,15129,24893,56327,57982,56207,38119,10689,1082,114,260548,1170,1753,2292,1926,2063,1556,132,9,5,10911,2700,1326,1345,1175,959,923,266,32,5,8728,3868,3071,3639,3098,3024,2475,405,45,10,19635,18995,27967,59964,61084,59230,40598,11095,1123,121,280185,13016,6391,10274,10245,10472,18741,37770,22949,9289,139158,2132,2910,6179,5241,5265,4748,4053,2763,2232,35523,34146,37264,76418,76569,74972,64086,52921,26838,11643,454866
LGA33610,142,189,485,471,519,388,101,26,0,2325,124,58,142,109,99,195,378,229,116,1456,25,24,65,63,56,71,62,37,19,417,296,271,697,644,676,656,540,288,129,4201,96,274,662,623,761,596,152,24,9,3193,152,99,240,275,250,220,97,36,3,1369,12,12,32,27,28,48,19,0,0,180,5,11,14,21,23,24,5,3,3,109,268,391,942,938,1067,891,275,67,15,4855,16,18,31,14,24,22,0,0,0,117,17,10,11,8,6,7,0,0,0,66,28,25,44,26,29,28,0,0,0,187,299,425,984,965,1097,916,275,71,15,5043,244,76,173,157,168,352,668,446,170,2455,52,48,134,114,138,145,123,72,30,863,595,547,1292,1240,1403,1412,1069,591,216,8356
LGA33620,754,670,1421,1880,2368,1726,369,41,7,9227,535,320,753,700,994,1887,2757,1280,443,9677,78,72,160,178,270,295,289,210,163,1722,1367,1062,2334,2758,3630,3912,3420,1533,616,20624,284,745,1692,2070,2627,1898,359,64,8,9750,765,453,892,1206,1490,1313,430,53,10,6619,51,54,139,96,159,206,54,13,0,761,43,34,46,64,80,52,27,20,3,371,1141,1282,2771,3442,4360,3476,867,140,23,17499,147,179,235,208,223,195,9,0,0,1199,167,57,91,109,121,113,11,4,0,676,317,228,325,320,349,304,19,3,3,1871,1454,1512,3095,3759,4708,3780,888,145,22,19370,1193,512,1024,1087,1702,3320,5504,2552,766,17649,168,146,342,364,566,614,615,413,253,3485,2817,2171,4459,5210,6976,7719,7007,3108,1037,40504
LGA33800,168,135,283,403,594,435,119,27,3,2169,105,41,84,103,132,330,525,434,210,1965,14,21,37,40,48,62,65,57,38,372,283,192,403,539,773,826,707,520,253,4506,82,221,419,515,736,629,188,40,6,2841,187,67,168,239,348,279,115,36,3,1448,10,10,27,18,29,32,26,3,0,159,7,3,14,17,25,20,10,15,3,115,287,294,630,787,1143,965,348,92,12,4562,27,27,27,34,39,43,4,0,0,204,16,17,8,17,6,29,0,0,0,94,37,43,35,52,51,72,4,0,0,289,324,341,660,838,1188,1042,352,92,12,4853,288,72,114,144,226,561,1030,803,342,3578,30,40,65,71,109,130,137,104,60,743,647,449,842,1053,1521,1728,1518,994,414,9178
LGA33830,13,21,51,35,30,18,3,0,0,168,22,16,17,18,15,15,13,8,0,124,12,3,4,0,0,0,0,0,0,21,50,40,72,56,45,27,16,8,0,313,6,15,39,35,35,15,3,0,0,157,0,5,19,16,15,9,0,0,0,61,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,9,23,59,59,49,23,3,0,0,230,15,13,29,25,18,18,0,0,0,117,9,9,14,7,9,0,0,0,0,47,20,14,45,35,25,16,0,0,0,158,29,43,102,94,72,40,9,0,0,387,46,19,30,36,23,27,22,10,7,209,23,16,5,9,5,0,3,0,0,61,89,81,139,130,101,69,28,17,7,658
LGA33960,3615,4908,10752,9709,8963,5025,768,55,11,43806,2575,1594,3870,2841,2643,3984,5051,3016,1241,26801,377,487,986,775,765,612,480,328,163,4966,6562,6989,15608,13318,12371,9629,6298,3395,1409,75578,1167,5272,14670,13375,12577,6874,843,53,6,54830,3632,3198,5082,4868,4175,2963,879,94,10,24899,175,280,919,561,517,477,94,9,0,3026,135,201,390,357,254,130,46,13,4,1532,5104,8957,21053,19149,17523,10441,1856,174,18,84285,760,1053,1280,921,800,437,19,3,5,5276,1113,457,581,378,286,193,43,0,0,3044,1870,1505,1861,1302,1081,627,61,3,5,8316,6976,10466,22913,20449,18606,11069,1917,178,23,92597,5700,2477,5138,4161,4211,6737,9483,5429,1966,45301,787,990,1965,1605,1568,1256,931,558,250,9912,13460,13931,30018,26216,24379,19058,12336,6165,2246,147814
LGA33980,266,416,1187,1031,845,427,84,17,0,4260,179,110,462,280,184,239,208,97,42,1793,64,105,248,177,151,85,40,16,5,883,509,631,1895,1479,1177,751,325,128,49,6937,180,637,1961,1808,1524,881,152,16,3,7168,268,150,495,530,379,224,67,10,3,2119,15,23,154,111,89,61,14,4,0,479,20,25,39,53,35,33,3,0,0,206,482,833,2653,2507,2030,1196,233,40,8,9972,38,53,79,61,55,46,3,0,0,332,39,19,53,36,24,18,4,0,0,182,71,71,126,94,82,66,7,0,0,517,551,907,2785,2596,2107,1256,241,40,4,10490,361,127,496,334,233,396,448,188,62,2635,109,243,736,540,444,299,107,29,10,2515,1020,1273,4014,3470,2783,1948,797,255,72,15641
LGA34420,8,30,40,44,37,24,0,0,0,176,24,22,40,23,26,32,14,0,3,175,3,0,4,0,3,0,0,0,0,14,33,43,88,69,64,49,14,0,3,371,4,13,28,31,29,31,3,0,0,139,5,9,17,21,25,8,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,26,46,50,54,41,3,0,0,227,13,26,26,26,9,10,0,0,0,118,0,3,5,6,0,3,0,0,0,19,13,29,34,35,14,11,0,0,0,133,19,52,81,87,73,49,3,0,0,363,47,27,61,41,44,48,24,5,7,299,4,0,16,4,5,0,0,0,0,26,69,82,154,133,119,95,35,5,7,694
LGA34530,684,625,1282,1712,2047,1435,237,40,5,8055,387,135,410,334,432,962,1468,831,299,5249,64,56,116,138,190,184,158,117,102,1125,1137,813,1806,2184,2668,2584,1856,980,404,14434,241,759,1628,2126,2625,1840,275,25,6,9526,758,370,643,943,1036,870,254,53,0,4939,39,38,148,119,140,157,24,3,0,666,20,27,45,70,60,44,19,10,3,294,1059,1194,2468,3265,3862,2904,569,92,7,15425,97,146,164,159,179,137,7,0,0,883,137,42,55,58,54,87,15,0,0,442,234,182,225,208,232,221,18,3,0,1331,1290,1377,2692,3476,4094,3132,590,97,7,16755,924,328,747,612,796,1719,2903,1561,515,10099,129,125,279,395,462,450,337,211,173,2566,2345,1833,3717,4481,5354,5298,3828,1868,694,29418
LGA34570,8,10,29,18,16,15,5,0,0,103,12,16,21,11,17,13,11,3,0,114,5,10,10,6,9,0,0,0,0,36,27,35,66,31,45,25,13,3,0,252,9,6,22,21,19,14,0,0,0,88,9,7,23,9,9,3,0,0,0,66,0,0,0,0,0,0,0,0,0,3,0,0,13,4,0,5,3,0,0,25,18,13,51,37,36,23,7,0,0,189,5,3,8,8,9,3,0,0,0,31,3,0,3,0,0,0,0,0,0,6,7,3,6,8,5,3,0,0,0,33,22,19,58,43,40,29,7,0,0,224,21,29,42,27,35,20,11,6,0,194,10,14,13,14,13,3,3,0,0,73,62,62,110,87,85,54,26,10,0,493
LGA34580,683,860,1528,1593,1934,1241,260,31,3,8132,566,402,646,568,625,955,1500,711,312,6289,105,109,161,179,220,184,167,104,56,1283,1362,1379,2335,2337,2781,2374,1931,849,365,15710,288,851,1863,2056,2496,1627,290,54,8,9525,716,569,887,913,984,808,328,40,3,5253,27,50,157,90,122,122,30,7,0,612,37,47,55,66,74,58,23,6,5,371,1064,1516,2962,3129,3678,2615,678,105,11,15762,144,148,189,152,158,108,5,0,3,906,125,68,93,70,71,44,6,0,0,484,269,214,285,225,231,155,17,0,3,1393,1340,1727,3244,3350,3907,2769,692,104,17,17154,1189,660,1090,889,1110,1654,2908,1412,494,11398,197,211,316,359,422,386,344,195,78,2504,2721,2599,4650,4595,5435,4809,3945,1717,587,31063
LGA34590,5442,7209,14759,14852,14397,9230,1572,94,10,67565,4361,2426,5773,4975,4472,6750,9540,4573,1870,44744,614,677,1402,1240,1228,1049,798,439,217,7660,10416,10312,21942,21072,20095,17038,11915,5103,2089,119965,2123,7894,20145,20813,19825,12453,1818,74,10,85156,5412,4740,7421,7652,6971,5592,1798,153,12,39749,230,351,1202,844,723,686,151,10,0,4203,218,415,724,607,480,277,101,25,7,2851,7988,13396,29499,29919,27993,19010,3868,260,28,131955,1129,1655,1899,1414,1171,801,50,6,3,8122,1606,705,802,631,473,382,98,6,0,4705,2734,2355,2703,2042,1649,1187,142,14,3,12825,10722,15751,32202,31965,29642,20193,4014,271,31,144780,9502,3915,7757,6873,6845,10764,17847,8456,2982,74942,1221,1363,2760,2518,2496,2008,1600,816,347,15127,21444,21029,42713,41352,38980,32961,23460,9550,3357,234848
LGA34710,79,88,190,187,229,179,53,6,0,1011,42,17,39,23,34,45,72,76,42,401,11,6,20,23,18,23,19,9,3,130,128,113,248,228,285,240,145,97,47,1538,54,128,253,249,324,274,63,16,3,1363,80,38,57,68,60,91,29,10,0,424,5,7,21,14,13,18,7,3,0,97,11,4,7,7,10,3,9,0,0,54,149,168,344,338,411,385,109,25,3,1938,9,4,3,7,12,5,4,0,0,48,0,3,5,0,0,3,4,0,0,24,12,7,15,7,13,13,4,3,0,70,156,181,361,350,432,396,109,27,3,2012,69,28,47,33,52,90,163,139,64,686,19,18,36,36,41,47,38,17,11,270,247,223,445,420,520,527,317,182,76,2964
LGA34770,2057,2430,5532,5696,6215,3857,663,81,14,26546,1276,664,1767,1399,1476,2561,3344,2070,925,15480,189,234,524,476,559,442,349,216,90,3091,3531,3323,7821,7576,8256,6863,4356,2364,1027,45114,946,3044,7679,7650,8599,5503,813,97,6,34348,2114,1232,2569,3022,3134,2388,693,100,13,15255,91,122,559,349,412,364,99,7,3,2015,80,116,213,216,239,161,58,27,11,1117,3233,4512,11025,11233,12384,8410,1665,237,27,52732,367,542,673,580,632,473,31,0,0,3296,470,175,284,277,220,184,44,4,0,1667,835,721,959,859,859,655,76,4,0,4966,4073,5234,11976,12090,13242,9067,1738,238,27,57697,2786,941,2176,1855,2187,4150,6450,3839,1461,25859,411,521,1327,1331,1511,1198,757,434,156,7652,7264,6700,15483,15281,16946,14415,8952,4517,1645,91204
