LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA35800,4,38,15,837,15,910,0,3,0,46,0,48,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,4,0,10,33,25,18,530,11,609,0,0,0,0,0,0,3,0,0,3,0,7,7,6,0,63,0,76,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,4,5,149,0,167,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,9,4,0,0,0,0,5,3,0,0,5,0,9,3,0,0,0,0,3,10,12,5,116,0,136,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,12,0,31,0,0,0,29,104,133,72,49,24,1370,121,1640
LGA36070,0,5,9,65,0,85,0,0,0,575,0,578,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,3,25,0,39,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,26,0,41,0,0,0,9,15,23,34,4,8,688,17,749
LGA36150,3,14,27,353,9,397,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,13,21,262,8,329,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,51,4,58,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,3,0,3,4,4,9,125,3,146,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,15,0,3,0,0,0,3,0,0,0,0,0,0,10,3,3,71,0,86,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,5,0,26,0,0,0,13,36,48,56,20,35,646,51,813
LGA36250,904,6125,4618,40222,655,52524,4,23,14,407,12,463,1272,80,157,302,19,1837,314,61,30,131,7,548,1611,403,283,641,23,2959,18979,5819,4474,36669,778,66727,829,33,156,20,16,1055,503,86,58,325,8,984,1808,627,434,6299,102,9274,392,148,60,407,13,1016,263,61,24,77,7,427,1047,45,42,47,10,1201,3701,1233,960,12570,190,18660,1070,468,223,1736,29,3527,100,0,15,10,0,121,116,29,16,87,3,257,44,9,3,16,0,71,243,58,59,187,5,554,1505,207,149,54,28,1951,1672,554,405,175,19,2828,596,113,91,254,10,1058,296,51,51,170,15,586,4851,1515,1033,10330,193,17912,146,13,9,28,0,199,1327,109,78,27,3,1537,354,47,20,157,3,592,168,26,18,18,4,227,68,18,4,5,0,93,202,0,23,3,0,226,617,114,74,480,0,1293,5987,1059,856,1758,116,9774,338,78,63,757,6018,7254,39804,11190,8456,79836,7728,147010
LGA36300,3,12,18,350,14,385,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,4,0,0,6,0,8,24,11,5,256,11,300,0,0,0,0,0,0,3,0,0,6,0,6,4,0,0,27,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,94,0,97,0,3,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,0,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,68,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,6,0,24,0,0,0,11,54,69,53,22,24,620,75,791
LGA36370,266,1949,1465,31644,638,35962,0,16,5,766,22,809,427,32,37,373,12,886,23,8,3,39,0,67,288,113,77,301,3,779,2412,1744,1270,24713,493,30625,854,10,143,30,9,1044,84,25,16,175,4,296,371,264,184,4702,67,5591,44,20,5,119,0,186,32,15,0,24,0,74,646,20,14,32,4,714,483,402,276,8184,107,9454,124,108,44,767,18,1068,81,3,8,0,0,94,12,8,3,40,0,59,0,4,0,0,0,7,24,19,6,111,3,165,230,76,55,33,3,402,197,131,101,87,3,512,57,32,6,118,0,219,51,9,6,67,0,136,632,409,321,6206,87,7657,3,3,0,10,0,19,200,17,17,11,3,242,103,7,6,86,4,210,166,9,0,3,0,181,12,3,0,0,0,14,406,0,13,3,6,426,79,34,33,221,9,374,2154,345,281,1501,57,4344,108,27,26,850,5591,6604,8670,3432,2578,58262,6781,79726
LGA36510,235,1382,1048,13118,319,16111,0,5,7,147,4,159,93,10,16,79,0,204,44,3,3,9,0,59,385,109,65,186,10,748,3545,1275,1001,10424,324,16571,110,9,39,11,0,170,89,20,15,90,8,219,439,178,159,3146,79,4001,40,30,7,66,3,143,46,8,6,17,0,82,90,8,0,19,0,117,612,240,235,3671,80,4841,144,59,28,274,9,513,90,0,0,3,0,94,15,0,0,13,0,28,10,3,0,4,0,18,32,9,4,32,0,84,116,17,22,11,5,168,317,104,73,29,16,532,112,29,9,90,3,245,54,7,8,22,0,101,880,352,263,2865,69,4433,25,0,5,0,0,36,78,7,7,3,0,98,43,14,8,38,3,104,11,3,4,3,0,21,3,3,0,3,0,16,12,0,0,0,0,16,119,21,18,90,5,254,961,205,192,422,23,1801,67,24,24,396,2921,3423,6809,2458,1908,25273,3627,40072
LGA36580,106,759,592,9070,219,10739,0,0,3,63,3,77,106,0,0,42,4,155,18,6,0,13,0,32,187,48,27,124,3,391,1588,697,547,6564,211,9603,347,0,33,4,5,387,54,9,4,41,0,107,216,113,90,2157,43,2617,10,13,3,32,0,61,19,10,0,7,0,32,32,6,3,18,0,57,260,154,113,1849,51,2431,55,21,10,182,10,275,35,0,0,0,0,35,0,0,0,3,0,9,3,3,0,3,0,8,18,6,7,33,0,65,78,24,13,7,4,125,127,39,53,26,6,248,41,15,9,38,3,100,29,4,3,14,0,54,407,184,128,1849,54,2620,0,0,0,0,0,5,41,3,0,3,0,47,41,3,0,22,0,71,6,0,0,3,0,7,3,0,0,0,0,3,81,0,4,0,3,90,51,19,10,83,0,159,453,86,78,227,7,854,56,23,12,299,1791,2170,3552,1325,1014,16460,2241,24597
LGA36630,126,840,649,12199,265,14075,0,3,0,258,0,262,80,10,16,56,3,165,13,4,3,5,0,21,191,39,38,113,3,378,1605,904,601,9767,276,13157,257,0,32,3,10,299,52,5,11,59,3,131,294,147,101,3194,60,3794,11,7,5,27,0,55,27,5,7,10,0,54,51,10,3,14,0,79,269,184,123,2810,65,3449,78,53,24,201,4,362,5,0,0,0,0,4,10,6,3,13,0,29,4,0,0,0,0,4,23,0,0,23,0,51,85,22,15,14,5,136,108,49,35,35,5,225,46,16,3,62,5,126,8,3,4,12,0,37,370,229,131,2385,46,3160,8,0,0,0,0,6,35,5,0,4,0,52,38,5,6,31,0,76,29,0,0,5,0,35,0,3,0,0,0,3,18,0,5,0,0,24,42,16,7,66,8,132,430,113,80,399,27,1039,37,23,11,433,2146,2658,3468,1626,1149,23198,2742,32186
LGA36660,122,934,701,12811,270,14840,0,10,3,138,13,160,143,9,14,97,4,270,41,3,6,8,3,68,246,62,34,117,11,474,1631,930,691,10878,293,14426,176,0,31,9,3,220,54,9,4,58,0,127,256,102,70,2100,46,2577,19,20,9,38,0,84,31,4,3,9,0,51,101,0,12,12,0,130,319,200,123,4189,104,4939,589,142,44,686,22,1480,78,0,0,3,0,87,5,0,9,9,0,26,10,0,0,0,0,10,16,4,3,15,0,40,73,20,15,16,0,128,91,47,25,19,0,183,64,11,6,61,0,147,24,7,0,17,0,58,428,221,188,2927,63,3816,16,3,0,0,0,14,57,3,10,3,0,69,48,11,6,28,0,90,6,0,0,4,0,13,9,0,0,0,0,9,10,0,0,0,3,17,44,19,11,89,3,170,663,134,96,368,21,1282,50,14,13,390,1963,2424,4432,1755,1265,25040,2624,35110
