LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA33100,4,4,0,0,0,0,0,0,0,7,3,0,0,3,3,0,0,0,0,17,17,3,12,5,8,0,6,11,0,67,0,0,0,0,0,0,0,3,0,3,5,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,4,5,0,16,42,26,11,15,24,0,12,24,0,154
LGA33200,4,3,0,3,4,0,0,0,0,18,9,7,0,12,3,3,0,0,0,30,33,6,45,7,12,3,19,37,0,164,0,0,0,0,4,0,0,3,0,7,3,0,0,0,3,4,0,4,0,17,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,6,10,0,30,85,47,52,24,34,9,25,50,3,341
LGA33220,157,320,104,251,156,74,24,42,12,1146,281,324,177,673,379,130,58,117,23,2157,832,363,3143,1669,870,675,673,986,87,9292,37,27,41,118,128,142,33,121,6,646,66,60,62,218,117,103,53,112,7,804,11,46,22,38,27,27,14,16,8,203,69,80,101,133,76,79,74,145,70,832,1952,4802,3762,3511,2110,1335,945,1619,247,20272
LGA33360,115,227,131,114,93,30,28,39,11,802,218,222,219,303,233,80,84,84,27,1462,645,300,4021,738,742,363,1083,766,114,8765,44,34,39,47,63,81,42,110,7,463,48,36,64,88,71,46,80,67,8,490,15,35,23,19,16,9,34,48,0,191,47,45,81,53,49,55,97,110,64,590,1670,3401,4840,1637,1563,727,1539,1319,263,16965
LGA33430,2083,2741,1030,1740,1697,1005,242,484,151,11170,3159,3182,2162,5216,3719,2218,533,1137,269,21600,6682,2847,22486,7400,6265,4980,3482,5803,863,60812,245,178,258,490,574,591,169,445,39,2992,694,466,534,1194,1259,996,352,610,94,6196,275,440,228,240,384,231,99,209,55,2151,537,671,718,660,604,656,362,694,566,5468,22407,43013,29679,21573,20071,13988,5871,11085,2692,170374
LGA33610,60,31,11,34,15,4,3,11,0,173,82,43,18,73,41,16,9,25,0,303,169,38,377,117,94,49,102,122,4,1082,11,0,4,14,16,13,8,13,0,71,31,3,9,20,19,9,5,17,0,112,6,4,0,3,3,0,7,6,0,20,21,5,8,11,8,15,12,34,10,133,541,523,453,306,264,124,156,257,24,2653
LGA33620,120,169,60,109,85,33,15,33,8,629,162,152,82,325,190,63,32,74,13,1098,517,174,1784,654,442,357,448,611,73,5061,27,10,22,35,72,67,34,91,3,366,45,14,46,96,60,52,34,51,7,405,8,19,16,19,14,8,14,12,3,108,66,36,55,40,31,52,38,83,41,445,1257,1996,2126,1455,1080,683,640,1018,158,10417
LGA33800,14,25,10,16,21,10,3,0,0,107,25,30,8,58,32,12,5,10,3,199,176,51,506,161,95,49,204,146,15,1405,3,3,8,14,10,8,3,12,0,58,7,3,7,21,7,6,7,11,0,69,0,3,6,3,3,0,0,0,0,17,24,16,16,24,9,7,11,32,13,149,320,508,580,326,210,104,250,217,34,2545
LGA33830,0,3,0,3,0,0,0,0,0,5,4,0,0,3,0,0,0,0,0,13,4,9,12,16,15,3,18,17,3,96,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,3,19,13,21,19,26,18,3,23,19,8,151
LGA33960,395,627,280,455,413,124,90,109,30,2521,909,947,687,1755,1273,472,234,331,96,6702,1765,940,7812,3308,2624,1368,2055,2147,321,22329,87,44,105,201,274,239,147,239,16,1354,136,121,163,434,381,195,231,242,35,1934,50,78,65,64,71,42,60,50,10,494,104,124,212,207,170,118,241,317,202,1686,5122,11060,9896,7625,6734,3054,3267,3813,874,51446
LGA33980,45,39,38,23,22,4,19,7,0,213,83,48,58,77,63,22,48,26,8,434,226,98,1445,135,214,71,717,215,31,3136,18,0,15,12,25,12,38,41,0,166,25,7,24,23,29,10,55,17,4,197,4,7,3,5,5,3,13,8,0,53,28,10,49,16,14,18,81,43,14,272,695,994,1717,365,463,159,1014,395,71,5874
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,0,19,13,6,4,3,4,3,65,0,0,0,3,0,0,0,3,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,14,23,21,32,11,5,7,10,4,125
LGA34530,86,131,64,85,62,21,20,17,6,486,128,143,84,215,141,48,27,28,17,834,412,155,1889,488,410,206,498,309,49,4414,24,8,25,41,39,46,19,21,0,228,43,19,34,68,53,30,33,38,5,327,13,16,8,5,12,5,4,5,0,70,34,30,44,38,31,32,60,58,27,356,1123,2221,2240,1133,961,443,686,511,123,9442
LGA34570,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,0,0,0,0,8,3,0,9,0,0,0,0,12,0,29,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,0,3,3,5,27,9,29,10,17,8,0,5,13,7,101
LGA34580,67,101,43,95,56,16,13,25,8,422,173,135,104,260,164,54,26,79,10,1006,388,151,1437,520,377,205,399,473,43,3998,16,8,29,28,50,56,27,76,3,292,35,17,24,69,56,48,48,64,4,366,13,7,7,6,13,5,12,42,4,112,59,23,54,53,45,43,60,105,37,472,1033,1671,1792,1173,922,479,610,1069,126,8874
LGA34590,633,890,507,648,642,251,188,216,52,4021,1268,1264,934,2393,2024,753,447,572,102,9749,2865,1517,12576,4272,4009,2112,3419,3771,448,34984,122,76,187,277,384,342,198,363,17,1976,265,185,264,615,563,347,377,396,48,3052,79,166,142,100,166,73,113,130,23,979,201,205,409,323,304,237,397,444,321,2844,7887,15471,15919,10234,10485,5005,5589,6499,1246,78344
LGA34710,23,4,3,11,7,0,3,4,0,61,34,19,4,29,20,5,3,3,3,127,61,13,142,37,52,22,25,45,0,407,14,0,4,6,4,6,3,5,0,42,7,0,5,5,11,8,0,3,0,41,3,3,0,3,0,0,0,0,0,12,15,3,4,9,3,10,4,8,8,67,224,276,173,133,124,51,39,84,17,1120
LGA34770,234,425,181,203,170,67,75,46,14,1427,476,445,367,595,493,135,143,124,33,2821,1478,623,7352,1330,1431,769,2135,1201,242,16556,49,31,61,106,134,137,70,129,6,725,118,60,110,189,180,110,159,111,13,1049,27,47,44,28,39,19,36,38,3,295,128,81,207,137,86,111,203,196,113,1261,3432,6919,8655,3086,3114,1521,2956,2023,487,32196
LGA34800,3,3,0,0,0,0,0,0,0,6,10,0,0,3,6,0,0,0,0,19,31,3,34,15,3,0,13,15,0,112,0,0,0,0,3,0,0,3,0,12,3,3,0,0,0,3,3,0,0,13,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,3,3,18,74,33,43,20,16,6,21,30,3,252
LGA34830,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,3,4,4,5,7,3,3,4,3,0,31,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,9,10,4,3,3,0,58
LGA34860,71,49,13,30,27,11,5,11,5,221,97,52,43,88,65,23,18,32,4,414,250,54,495,136,174,59,155,172,19,1512,19,0,9,17,18,21,13,29,0,121,41,17,7,26,14,16,11,17,0,150,10,3,5,8,7,3,0,0,0,38,36,12,19,20,11,14,27,33,13,183,708,731,643,378,404,187,246,313,48,3650
LGA34880,57,92,21,52,54,19,9,15,5,323,75,73,33,142,96,30,11,41,4,499,299,83,717,288,190,87,156,209,27,2067,23,6,10,19,25,18,11,31,0,135,24,16,20,47,22,21,12,23,0,180,10,6,5,3,6,5,6,17,3,64,41,24,27,41,19,32,24,58,16,279,733,996,888,711,508,252,245,470,67,4875
LGA35010,1246,1880,748,1181,1185,451,194,261,94,7246,2266,2228,1436,3757,3002,1127,401,665,174,15047,4534,2353,17943,6686,5859,3357,3708,4639,652,49738,212,133,221,402,564,506,215,453,22,2718,421,282,329,884,815,482,338,473,68,4082,141,241,149,154,205,102,76,169,28,1264,273,376,479,439,431,366,385,547,372,3670,14164,28092,22615,16230,15888,7578,5663,8075,1784,120088
LGA35250,3,0,0,4,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,10,7,0,14,11,0,0,4,6,3,51,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,8,4,3,3,4,0,39,17,45,22,44,20,4,7,9,4,176
LGA35300,25,57,27,43,33,4,12,5,3,205,41,76,57,115,70,15,29,15,7,432,181,100,1395,198,222,101,457,140,47,2834,6,9,18,12,17,29,22,21,3,130,13,6,24,25,14,15,19,16,0,137,3,3,5,6,3,0,7,11,0,42,11,13,33,22,19,16,35,22,25,201,452,1285,1644,556,457,223,599,266,93,5579
LGA35600,22,17,7,7,3,0,3,3,0,61,29,12,7,24,24,5,0,4,0,101,71,17,129,50,38,24,23,69,4,428,8,0,3,4,3,0,3,15,0,33,4,7,0,9,7,4,0,3,0,30,4,3,3,0,0,0,0,0,0,12,13,7,13,10,4,7,3,17,4,75,205,243,161,125,98,36,44,129,17,1064
LGA35670,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,21,3,3,0,7,3,0,39,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,11,23,11,5,0,10,8,0,74
LGA35740,225,295,104,196,161,103,32,56,20,1187,221,264,145,415,245,133,36,96,17,1583,679,236,2060,680,487,410,310,521,71,5450,20,16,16,42,64,50,8,46,3,267,65,49,48,103,70,99,30,61,9,540,30,40,20,27,21,18,7,8,3,170,66,52,70,60,59,61,28,67,38,505,2079,3806,2638,1932,1485,1077,484,974,221,14699
LGA35760,46,32,0,15,15,4,6,7,0,120,58,20,16,49,21,7,4,29,3,210,152,32,238,132,74,45,105,145,5,934,8,6,4,11,18,16,5,25,0,89,28,3,8,22,15,7,7,21,3,114,8,3,0,0,3,3,0,14,0,24,36,8,11,8,10,10,14,48,13,158,461,342,281,269,185,105,147,345,29,2170
LGA35780,9,11,0,5,0,0,0,0,0,24,9,4,3,26,20,0,3,3,0,75,16,25,51,39,29,11,25,24,4,225,0,0,3,3,3,0,5,9,0,29,0,4,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,3,0,7,3,5,6,12,7,3,7,10,0,53,63,105,72,106,74,25,44,47,7,536
