LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA36660,109,120,29,82,48,23,15,21,4,446,138,91,75,204,111,49,31,58,12,763,470,129,1101,452,314,216,330,484,41,3528,27,6,19,29,46,22,29,75,3,252,42,14,24,64,44,51,38,54,3,333,14,5,4,7,12,3,3,14,0,56,60,27,57,49,38,47,45,79,38,433,1170,1595,1374,1016,752,451,494,865,114,7834
LGA36720,971,1612,544,920,847,406,135,237,69,5739,1444,1577,1033,2396,1784,872,225,509,114,9938,3540,1432,12896,4238,3335,2636,1969,3173,423,33651,129,96,155,279,327,359,93,259,18,1710,339,224,291,604,569,415,193,331,32,3004,120,164,124,102,142,104,41,99,25,916,247,298,352,324,232,294,179,310,242,2480,10521,22811,16420,11032,9821,6156,3035,5596,1178,86574
LGA36820,74,118,23,76,60,14,6,19,3,407,83,80,43,156,105,36,17,35,6,564,367,106,894,323,236,174,226,257,25,2608,19,6,14,24,22,19,8,33,0,147,37,15,14,54,30,15,12,38,3,217,3,8,9,9,4,4,3,13,0,47,51,33,22,46,23,27,23,55,23,310,903,1383,1052,809,610,333,303,504,80,5983
LGA36910,446,683,197,367,340,114,57,111,28,2337,748,715,543,1107,938,271,175,232,43,4770,1819,756,6615,2337,2032,1149,1348,1734,169,17966,89,39,94,131,211,203,78,235,11,1078,204,95,100,349,246,162,116,181,15,1462,38,90,34,50,53,16,20,30,5,343,143,106,172,183,148,137,139,246,110,1383,5519,12358,8286,5534,5338,2435,2046,3251,489,45253
LGA36950,9,21,3,15,3,0,0,3,0,59,15,19,6,31,20,0,5,0,0,87,43,20,95,54,45,9,11,29,11,325,4,3,0,14,9,3,0,8,0,47,9,3,7,8,4,0,3,0,0,29,0,3,0,0,0,0,0,0,0,11,5,6,11,23,17,4,8,16,11,103,121,274,130,164,133,27,23,60,34,962
LGA36960,3,14,0,13,3,0,0,0,0,36,10,13,0,14,11,0,0,0,4,50,26,64,68,48,55,15,3,32,11,332,3,5,3,15,9,9,0,20,5,72,0,8,4,0,0,0,0,3,0,20,3,0,0,0,0,0,0,0,0,6,3,10,6,18,13,7,4,23,3,90,59,165,89,119,103,36,12,88,26,694
LGA37010,413,704,304,496,357,105,85,73,17,2560,886,838,572,1702,1065,345,158,217,73,5868,1883,927,8441,3318,2500,1318,1953,1751,279,22371,69,59,110,245,243,210,89,165,7,1188,135,113,113,362,296,153,119,154,11,1459,60,114,53,71,78,41,34,39,21,505,87,176,182,191,133,134,143,222,129,1405,5752,15044,10423,7769,6166,2741,2762,3009,682,54344
LGA37300,12,13,6,17,3,0,6,7,0,61,15,10,21,16,15,6,17,4,0,111,32,15,395,40,57,10,193,24,12,771,3,3,3,3,3,0,3,0,0,20,4,0,4,3,5,0,14,6,0,43,3,3,0,0,0,0,0,0,0,10,0,8,8,4,0,0,24,3,0,53,114,283,459,108,109,30,275,51,12,1442
LGA37310,142,110,37,59,48,19,17,25,3,459,191,86,90,155,157,40,36,56,5,822,523,116,1463,325,368,178,420,379,56,3830,33,9,21,47,46,34,20,45,3,265,56,11,24,56,52,24,37,50,7,314,14,8,5,8,8,3,9,4,3,67,82,31,55,34,34,45,62,82,41,466,1404,1517,1790,808,842,390,632,724,127,8235
LGA37340,118,140,43,100,56,35,15,41,5,555,205,113,127,257,151,57,32,76,8,1027,500,216,1768,438,339,215,538,470,56,4532,28,35,20,57,29,50,24,51,8,299,50,34,33,56,48,41,41,65,3,375,12,16,12,12,10,9,7,34,0,108,55,30,61,38,36,52,54,137,35,503,1290,1598,2166,1190,841,523,748,1017,135,9511
LGA37400,4,0,3,0,0,0,0,0,0,8,5,0,0,7,6,3,0,0,0,28,29,0,45,18,13,4,9,18,0,135,3,0,0,0,3,0,3,3,0,14,3,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,3,0,12,79,39,52,35,19,8,17,24,5,279
LGA37550,0,0,0,3,0,0,0,0,0,6,4,0,0,3,0,0,0,0,0,9,0,0,6,8,7,3,0,0,4,30,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,4,0,0,0,6,0,18,16,15,6,25,11,5,0,6,4,102
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,11,5,0,4,4,0,35
LGA37600,6,0,0,6,0,0,0,0,0,8,6,7,0,6,10,0,0,3,0,28,3,6,18,26,13,0,3,9,3,90,0,3,3,3,4,0,0,4,0,17,0,3,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,0,3,8,3,0,0,8,4,30,19,50,30,61,31,3,3,20,9,228
LGA39499,13,22,11,8,3,5,6,14,3,93,15,29,13,42,20,7,8,41,0,171,49,38,242,68,52,28,72,132,14,696,0,0,7,7,0,0,0,10,0,30,6,7,4,7,3,7,5,13,0,43,3,3,0,4,3,0,5,15,5,39,3,13,17,15,4,4,11,25,22,105,163,407,308,245,129,83,129,441,58,1957
LGA39799,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
