LGA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
LGA34590,9,0,44,49,168,14,283,19,9,67,70,300,18,494,104,27,381,585,3840,239,5175,24,4,65,91,389,20,594,55,20,395,628,7534,367,8991,59,22,190,251,1200,66,1792,60,18,389,438,1615,111,2636,35,8,170,193,678,57,1137,101,27,349,503,2184,216,3380,25,7,124,113,234,25,523,57,22,229,193,208,20,731,23,7,112,92,368,39,638,231,76,895,445,576,75,2296,35,19,147,167,713,77,1164,162,97,543,589,1016,97,2499,313,174,725,255,456,48,1967,213,92,639,440,637,83,2100,16,4,87,67,218,23,415,51,18,164,201,1922,77,2427,64,17,248,242,1608,427,2604,1639,665,5951,5600,25855,2108,41831,6,4,39,33,59,12,159,5,3,43,22,32,4,108,42,15,239,355,700,81,1436,12,0,31,46,68,7,168,20,15,181,269,519,42,1049,17,13,143,163,361,40,732,64,37,488,695,1598,168,3050,29,15,230,341
LGA34710,0,0,10,28,34,11,80,0,0,0,0,11,0,9,0,0,0,3,10,0,14,0,0,0,0,9,0,11,0,0,0,3,65,3,64,0,0,0,3,8,3,10,0,0,4,7,32,3,40,0,0,3,3,8,3,15,0,0,0,0,11,0,15,0,0,5,0,4,0,5,0,0,4,0,0,0,5,0,0,0,0,7,0,10,3,0,6,0,0,0,13,0,0,3,3,4,0,14,4,0,10,20,33,8,68,3,0,12,4,12,0,39,6,3,9,13,5,0,38,0,0,3,4,5,0,15,0,0,3,0,34,3,38,0,0,0,0,13,4,27,18,9,74,90,301,42,534,0,3,20,18,15,3,54,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,12,0,0,3,0,0,0,8,0,0,4,3,23,3,32,0,0,7,4
LGA34770,7,3,40,66,399,52,567,37,33,228,295,3206,123,3925,37,17,126,141,1392,78,1781,7,0,20,36,194,7,263,14,11,95,124,1990,100,2337,3,10,54,78,777,29,947,16,0,78,64,536,28,725,12,0,42,66,300,28,452,31,22,106,204,964,90,1412,3,0,8,15,59,5,90,8,10,42,42,35,7,140,4,5,29,27,191,13,270,51,18,358,104,288,18,836,4,3,20,36,299,14,370,35,24,182,185,393,35,859,59,66,312,74,134,11,666,117,39,285,75,132,34,687,0,0,12,10,52,11,88,11,6,54,58,1057,37,1210,10,7,49,53,567,146,840,461,280,2144,1741,12961,874,18466,3,5,29,44,62,15,165,13,12,89,88,232,12,446,6,5,65,58,202,21,369,0,0,9,18,31,4,67,4,10,43,68,172,13,303,0,3,31,39,128,12,212,12,9,147,169,660,92,1094,11,3,116,116
LGA34800,0,0,7,3,26,4,38,0,0,12,0,22,0,37,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,18,3,22,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,6,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,9,4,20,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,3,0,25,13,94,19,145,0,0,15,11,14,3,39,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3
LGA34830,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34860,4,0,37,61,175,21,298,3,0,25,28,103,12,170,0,0,3,7,52,4,71,0,0,8,6,59,3,78,0,0,12,18,220,19,266,0,0,3,4,45,7,61,4,3,16,9,58,3,91,0,0,3,16,35,5,65,0,0,4,14,74,3,97,0,0,3,0,0,0,3,0,0,6,5,3,0,12,0,0,4,7,23,3,37,3,3,15,7,7,5,40,0,0,0,4,16,3,19,4,3,41,49,95,14,204,5,5,38,7,5,0,59,3,4,24,26,14,3,72,0,0,0,3,5,0,8,0,0,3,4,85,9,99,0,0,4,10,68,18,100,36,21,260,266,1156,114,1861,0,3,56,72,58,19,210,0,0,8,5,6,0,27,0,0,8,4,16,6,33,0,0,0,8,11,0,17,0,0,8,4,23,0,33,0,0,3,10,13,5,29,3,5,14,17,51,9,99,0,0,21,17
LGA34880,8,3,62,45,222,38,379,3,0,9,10,92,7,118,0,0,3,10,135,12,164,0,0,3,12,51,0,61,0,0,6,18,319,17,357,0,0,7,8,28,0,39,3,0,24,14,91,10,136,0,0,7,16,58,8,89,7,0,14,25,110,7,166,0,0,3,3,15,0,19,0,0,4,4,4,0,16,3,0,3,3,13,3,26,3,0,45,10,27,0,85,0,0,3,15,40,9,63,12,4,40,72,113,14,258,22,8,53,12,27,0,127,11,8,38,25,40,9,138,3,0,10,7,16,5,41,0,0,6,3,109,10,132,4,0,13,9,64,24,117,77,35,366,318,1566,181,2544,9,6,70,41,57,19,200,4,0,3,6,6,0,17,0,0,12,10,24,8,62,0,0,3,0,4,0,13,0,0,4,6,18,3,37,0,0,9,11,9,3,30,0,0,22,38,77,28,171,0,0,12,22
LGA35010,20,9,101,106,330,63,630,86,25,258,158,747,30,1315,118,53,511,683,4292,191,5853,59,28,207,259,746,43,1347,110,47,569,926,10304,430,12388,74,33,280,320,1154,88,1949,89,41,532,626,2657,171,4106,49,20,263,354,1193,93,1958,113,49,519,896,2791,247,4615,44,23,213,223,459,27,985,110,69,452,411,366,34,1435,34,24,157,166,521,47,944,509,177,1760,825,991,139,4398,37,23,211,284,1088,89,1731,306,262,1109,1535,2068,158,5436,447,289,1238,446,672,66,3157,399,174,1242,667,1017,119,3613,26,19,142,133,358,43,715,78,44,230,303,2539,97,3296,100,29,324,380,1884,464,3173,2789,1436,10317,9690,36179,2643,63057,23,19,143,105,159,60,507,21,10,70,48,75,3,234,36,18,288,338,655,92,1425,18,17,104,79,98,9,322,25,32,240,332,671,66,1361,19,22,182,203,384,49,862,74,54,759,1082,2425,247,4645,40,25,351,546
LGA35250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,9,3,0,3,3,16,7,32,0,0,8,0,0,0,15,0,0,6,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,3,0,14,12,42,12,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0
LGA35300,0,0,3,0,20,0,26,33,11,190,96,1177,41,1542,4,0,9,7,107,0,132,0,0,9,10,37,3,61,0,0,4,9,221,14,252,3,0,7,3,63,9,77,3,0,8,0,83,11,102,0,0,19,9,40,9,74,0,0,3,12,75,4,100,0,0,0,0,10,0,6,0,0,0,3,6,0,7,0,0,4,0,25,0,36,7,3,22,9,22,0,55,0,0,0,3,48,4,61,9,3,42,44,70,7,169,14,9,52,7,17,3,104,28,5,48,21,25,4,128,0,0,0,3,9,0,13,0,0,3,7,123,3,141,0,0,9,5,84,22,120,104,43,424,252,2260,136,3216,0,0,3,4,18,0,23,10,9,77,37,112,9,258,0,0,0,3,25,0,35,0,0,5,3,8,0,13,0,0,5,8,14,0,30,0,0,0,3,14,0,15,3,0,32,16,82,9,149,7,0,19,21
