LGA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
LGA35600,0,0,8,19,52,9,86,0,0,0,0,7,0,7,3,0,3,3,26,3,39,0,0,0,0,7,0,7,0,0,3,0,53,5,62,0,0,6,0,8,3,24,0,0,0,3,30,4,35,0,0,0,0,13,0,16,0,0,0,3,18,5,22,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,9,3,0,0,14,0,0,0,0,3,3,5,3,0,14,17,33,8,70,0,4,16,3,0,0,23,3,0,10,8,6,4,27,0,0,0,0,0,0,3,0,0,0,0,22,0,24,0,0,0,3,20,5,28,12,7,68,69,304,48,501,0,0,23,17,15,3,57,0,0,0,0,0,0,0,3,0,7,0,7,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,8,0,3,5,3,21,5,32,0,3,4,3
LGA35670,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,33,9,47,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35740,6,0,27,26,48,8,119,3,0,15,17,127,6,171,17,4,57,46,289,22,428,0,0,12,14,70,0,99,3,7,64,111,1307,67,1554,3,8,45,25,89,5,178,8,3,82,72,294,23,481,22,5,96,122,363,32,645,10,5,40,74,196,15,337,6,3,21,9,30,0,74,16,16,51,43,37,6,172,10,7,40,33,100,11,197,71,23,264,94,99,24,570,9,4,49,47,160,16,280,28,21,75,92,125,16,362,77,63,200,56,76,8,473,84,20,234,103,106,11,563,4,3,28,24,69,4,132,3,4,25,31,247,11,325,11,8,66,48,203,37,372,392,189,1476,1095,4033,339,7528,3,3,18,22,15,5,65,0,0,3,6,6,0,23,9,8,30,34,53,10,137,0,0,0,4,11,0,12,9,6,51,42,71,5,178,0,3,30,31,46,13,122,13,10,134,159,293,45,660,16,7,124,182
LGA35760,6,5,51,57,169,51,337,0,0,9,3,57,0,64,0,0,0,4,54,3,66,0,0,0,3,23,0,24,0,0,0,5,104,7,117,0,0,3,0,14,3,19,0,0,4,7,33,7,51,0,0,0,3,19,0,22,0,0,0,4,27,0,34,0,0,3,0,3,0,8,0,0,0,0,3,0,6,0,0,0,0,4,0,4,0,0,9,5,14,0,23,0,0,3,4,11,4,25,3,0,11,7,48,7,78,4,5,26,4,6,0,52,0,0,15,13,12,0,49,0,0,0,3,4,0,10,3,0,0,0,41,0,51,0,0,0,7,25,17,50,27,10,138,120,679,101,1081,0,4,54,43,51,26,190,0,0,4,0,6,0,16,0,0,3,3,14,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,3,3,5,0,14,0,0,5,13,49,9,77,0,0,4,9
LGA35780,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,40,0,41,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,3,6,0,9,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,4,10,41,3,59,0,8,9,5,10,3,27,3,0,14,4,18,5,36,0,0,0,0,0,0,0,0,0,0,0,25,7,32,0,0,0,0,0,3,3,5,5,24,29,152,32,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,3,0,5,0,11,0,0,0,0
LGA35790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,25,0,42,3,0,4,5,9,0,20,3,0,4,3,10,3,23,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,0,0,0,3,0,6,6,3,11,16,76,11,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35800,3,0,0,12,31,3,57,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,3,0,4,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,20,3,31,0,0,3,0,3,0,4,0,0,0,0,3,0,8,0,0,0,4,0,0,7,0,0,0,0,7,0,7,0,0,0,0,5,0,8,5,5,14,23,118,11,178,0,0,11,6,12,3,35,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,17,0,0,0,0
LGA36070,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,25,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,4,0,9,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,4,3,9,41,6,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36150,0,0,3,7,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,6,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,16,0,0,0,0,4,0,3,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,12,17,70,9,102,0,0,4,6,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,5
LGA36250,7,0,31,34,86,10,168,39,13,97,83,266,12,514,58,38,271,314,1746,59,2493,25,6,69,83,248,16,458,52,26,287,440,4204,154,5160,39,17,136,181,506,24,903,32,13,233,248,877,41,1449,16,7,94,100,420,42,676,64,28,209,300,964,87,1656,13,0,77,96,194,14,398,36,24,177,172,128,12,547,18,7,62,85,200,16,390,212,75,709,341,407,37,1780,17,5,89,93,394,36,629,106,82,376,418,529,40,1554,182,115,478,126,251,21,1181,144,55,407,217,321,30,1181,16,8,61,51,137,7,273,32,11,113,108,944,27,1229,37,13,143,166,665,152,1183,1145,539,4122,3673,13505,847,23829,7,4,21,24,35,3,89,13,3,21,14,24,0,75,30,13,147,173,325,51,733,5,4,33,39,34,3,114,11,5,117,199,282,32,655,17,6,86,118,176,26,431,35,25,295,345,827,84,1617,17,11,133,203
LGA36300,0,0,3,3,23,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,4,3,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,5,3,0,9,20,73,6,107,0,0,7,9,8,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,3,0
LGA36370,6,3,18,17,127,24,190,8,12,35,66,866,35,1024,9,5,59,53,584,38,745,34,13,96,109,243,14,511,9,0,41,68,1265,49,1420,0,0,26,29,322,15,395,14,3,52,42,412,21,554,9,3,43,46,264,25,388,22,17,81,93,649,51,909,3,0,14,13,59,4,99,8,5,48,36,24,3,123,0,0,25,3,100,3,132,32,28,218,63,101,11,453,6,0,21,30,147,11,223,38,34,186,179,393,31,871,129,69,280,64,129,17,684,141,35,321,116,194,25,832,3,0,13,8,42,5,77,14,6,45,40,532,29,660,6,0,23,25,241,57,354,493,234,1640,1095,6701,481,10645,3,3,19,23,38,8,101,3,0,11,15,44,3,75,0,3,27,19,78,14,146,5,3,48,47,102,4,217,0,0,22,35,78,14,143,0,0,18,9,58,3,87,4,8,87,91,381,49,622,6,3,56,67
LGA36510,4,0,44,60,220,28,360,0,0,6,13,76,12,106,10,0,33,49,380,19,492,4,0,9,16,98,6,138,3,3,39,76,854,54,1026,3,5,15,18,121,13,176,6,0,39,25,181,17,267,3,8,28,27,142,9,214,4,3,17,26,169,20,247,0,0,13,7,36,6,57,0,4,18,18,19,0,60,7,0,7,11,47,5,77,27,10,128,51,60,8,281,3,0,11,17,78,7,116,34,16,75,122,199,19,465,69,44,134,39,64,13,352,26,18,72,48,66,8,233,3,0,16,17,55,8,96,6,5,20,21,221,13,283,5,0,20,35,176,41,276,215,108,737,717,3252,304,5330,7,3,53,57,72,30,226,0,0,4,0,3,0,6,4,0,30,42,62,12,150,5,0,6,3,9,0,24,3,0,20,46,66,11,149,3,0,10,10,32,0,61,5,10,54,73,174,25,337,13,0,50,65
LGA36580,7,0,25,22,145,25,222,0,0,3,8,70,11,89,0,0,55,37,295,28,412,0,0,3,7,75,3,90,4,0,9,24,413,25,482,0,0,5,7,63,5,82,0,0,16,14,116,18,168,0,0,3,4,46,3,58,0,0,9,18,164,16,202,0,0,0,5,6,0,11,0,0,0,3,7,0,16,0,0,5,8,21,3,31,8,9,35,20,42,9,111,0,0,3,5,40,4,52,3,8,23,72,143,18,271,8,15,61,14,34,5,133,12,3,28,24,38,3,106,0,0,7,9,15,3,32,0,0,4,14,108,5,136,0,0,12,11,70,37,129,52,33,314,320,1901,216,2832,3,3,12,23,51,5,107,0,0,0,4,4,0,10,4,0,30,35,81,14,166,3,0,3,4,15,0,18,0,3,9,12,32,4,60,3,0,3,11,21,6,42,0,0,28,35,105,16,179,0,0,10,29
LGA36630,8,9,46,51,219,30,349,0,3,12,30,191,7,247,0,0,21,20,289,35,370,6,5,28,32,189,7,258,0,0,8,27,378,26,438,0,0,0,4,40,13,60,3,0,19,9,178,20,239,0,0,14,8,63,8,87,0,0,4,10,92,13,121,0,0,6,3,13,0,20,0,0,3,9,8,0,20,0,0,3,4,21,0,24,6,0,30,11,31,3,81,5,0,4,7,29,4,48,5,0,38,63,120,13,240,23,19,107,28,38,4,213,13,4,63,58,72,8,215,0,0,3,7,13,0,19,4,0,7,12,146,5,178,3,3,7,17,97,32,165,76,53,436,398,2220,234,3414,3,8,46,44,71,15,183,0,0,9,3,15,0,28,0,3,21,21,69,5,121,3,0,6,10,12,0,34,0,0,13,6,27,3,43,0,0,3,7,18,0,40,0,0,24,47,183,19,276,4,0,17,27
LGA36660,4,6,77,82,315,47,525,0,0,3,6,65,0,71,17,3,27,33,333,37,448,0,0,4,5,59,3,67,0,0,10,35,529,38,609,0,0,12,14,66,3,87,4,0,20,28,231,22,302,10,3,16,19,105,16,167,3,0,12,37,215,18,285,0,0,0,4,25,0,36,3,0,5,23,12,0,41,0,0,7,3,28,4,47,7,4,70,24,25,3,137,0,0,8,12,28,0,52,22,11,43,68,113,8,265,29,37,124,28,43,6,272,18,8,75,37,50,5,190,0,0,3,12,18,0,33,0,3,15,12,196,10,235,0,0,16,10,102,50,185,111,83,547,477,2551,276,4053,11,0,61,57,86,24,243,0,0,0,0,0,0,4,3,0,37,27,81,18,164,0,0,0,0,0,0,3,0,0,13,7,32,4,56,0,0,3,8,5,0,21,0,0,41,53,187,19,301,0,5,29,47
LGA36720,23,8,129,137,433,42,778,29,19,129,174,906,25,1278,51,25,231,302,2178,86,2871,18,11,102,102,483,15,729,55,38,499,757,8378,314,10041,33,10,157,161,599,39,1000,66,36,448,418,1725,115,2809,68,21,304,378,1328,81,2188,45,20,192,408,1044,115,1830,26,20,117,112,244,12,533,74,43,354,399,354,41,1261,30,24,185,164,453,47,901,327,125,1395,587,605,87,3131,20,25,174,213,814,73,1319,153,104,566,674,788,63,2350,458,326,1260,336,446,64,2889,524,178,1508,563,756,82,3616,32,8,134,145,329,32,677,43,11,160,184,1480,76,1954,91,25,298,276,1191,276,2147,2171,1072,8370,6490,24528,1675,44303,27,16,108,108,125,28,417,7,4,32,13,34,3,93,27,12,194,270,378,53,931,15,4,55,38,64,3,181,32,24,257,303,458,65,1129,18,11,129,116,207,19,499,71,48,619,774,1829,225,3558,67,43,478,589
LGA36820,13,3,59,59,240,26,399,0,0,14,4,121,12,154,0,0,4,18,162,8,200,0,0,6,5,51,3,70,0,0,13,14,446,17,490,0,0,0,6,40,3,49,8,0,19,14,163,18,224,3,0,14,8,64,10,100,3,3,11,18,87,3,122,0,0,0,3,15,0,17,3,0,7,12,6,0,27,0,0,4,5,10,3,21,26,8,43,21,27,11,132,3,0,4,10,48,7,69,13,11,39,59,100,16,237,26,21,97,25,44,8,220,8,5,83,33,59,15,212,3,0,4,8,24,3,39,9,0,0,7,128,3,148,5,0,7,7,90,32,143,119,58,427,346,1938,187,3067,3,7,45,42,59,21,179,0,0,0,9,9,0,12,0,3,5,15,31,3,54,0,0,3,3,0,0,6,0,0,11,15,27,3,56,0,0,3,6,22,0,33,0,0,38,43,130,17,227,3,4,17,32
LGA36910,63,22,306,219,705,83,1399,17,3,70,96,560,23,765,53,8,179,204,1634,97,2178,25,11,69,99,338,10,552,22,16,199,275,3048,108,3670,11,9,102,101,589,34,845,39,19,231,160,860,57,1364,20,10,87,138,466,36,758,17,12,102,144,751,79,1101,6,3,39,35,93,7,184,50,22,217,129,114,10,541,10,6,62,45,158,9,291,131,58,587,158,267,32,1239,24,8,68,58,258,18,431,169,71,485,515,842,55,2135,475,168,734,176,285,34,1875,253,89,735,275,430,45,1832,10,4,30,26,92,9,170,33,10,93,85,942,27,1193,24,9,100,88,576,134,933,1458,562,4483,3025,13021,909,23467,32,12,192,194,235,45,717,0,0,19,16,46,0,87,11,9,81,116,260,27,501,4,3,21,23,35,0,87,10,12,102,105,220,23,468,12,0,46,60,136,12,264,26,20,251,277,847,83,1502,24,3,122,173
LGA36950,0,0,0,0,7,4,12,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,3,0,70,7,73,0,0,0,0,0,0,0,0,0,3,3,12,0,16,0,0,0,11,10,0,17,0,0,3,10,34,7,54,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,10,0,0,0,0,6,0,10,6,3,21,23,30,13,90,7,6,22,6,14,0,49,3,3,24,8,22,8,62,0,0,0,0,3,0,3,0,0,0,0,14,0,17,0,0,0,7,11,10,27,14,18,75,60,247,50,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,7,6,18,3,29,0,0,3,3
LGA36960,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,31,0,0,0,0,0,0,0,0,0,0,0,9,5,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,131,28,169,0,0,4,3,7,3,23,0,3,0,7,27,4,42,0,0,0,0,4,0,8,0,0,0,0,44,6,55,0,0,0,0,12,3,14,4,4,12,23,263,57,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,18,3,31,0,0,0,0
LGA37010,10,0,44,28,113,13,212,36,18,140,121,954,27,1305,33,17,167,187,1551,74,2028,35,11,142,146,393,14,739,27,12,205,280,3677,131,4331,22,0,56,84,521,27,706,20,16,227,158,925,80,1419,30,9,165,161,672,50,1091,31,25,145,259,1131,90,1673,17,6,93,91,193,16,412,32,9,104,107,78,8,332,12,4,62,38,220,6,350,190,52,727,227,377,38,1616,13,8,76,98,491,38,725,223,111,772,1023,2529,97,4748,406,146,698,161,317,32,1753,327,108,902,271,428,66,2106,16,6,74,52,147,10,307,21,8,80,110,1030,42,1289,25,7,90,80,662,174,1044,1519,575,4974,3688,16412,1027,28193,3,4,30,19,29,0,76,5,6,44,15,38,0,113,18,7,106,78,212,19,441,14,13,79,47,101,6,273,9,12,101,117,253,13,500,9,8,36,48,117,14,227,21,21,352,329,940,78,1738,20,14,289,273
LGA37300,0,0,0,0,0,0,0,14,3,52,42,386,16,509,0,0,3,5,85,0,92,0,0,0,0,5,0,3,0,0,3,3,52,0,64,0,0,0,0,10,0,5,0,0,0,0,4,0,6,0,0,3,3,11,0,19,0,0,0,11,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,3,0,0,0,3,0,0,0,0,15,0,12,3,0,4,11,10,0,27,3,0,16,3,7,0,27,0,0,8,5,4,0,20,0,0,0,0,3,0,3,0,0,3,0,18,3,20,3,0,0,0,15,6,28,21,14,94,83,638,37,888,0,0,0,0,0,0,0,11,3,35,15,52,13,128,0,0,0,0,11,0,15,0,0,0,0,3,0,3,0,0,0,0,6,0,10,0,0,0,0,3,0,3,0,0,8,3,13,0,27,0,0,7,6
LGA37310,12,4,135,153,439,69,812,7,0,31,47,254,9,347,3,0,29,23,281,18,350,3,0,30,37,189,16,277,3,0,29,32,631,25,725,0,0,14,18,97,13,140,4,0,24,21,188,27,265,0,3,11,24,87,11,135,0,3,3,10,136,20,173,0,0,3,3,6,0,10,0,0,20,14,7,0,44,0,0,3,4,34,3,46,3,3,61,14,36,6,126,0,0,3,8,42,9,57,5,12,27,64,160,21,291,10,16,105,23,24,4,190,11,0,36,23,24,4,99,0,0,3,3,10,0,15,6,0,11,18,157,9,205,3,0,13,18,173,44,248,78,51,598,557,2972,308,4564,7,14,114,93,121,33,385,0,0,13,17,38,0,71,0,0,8,17,45,10,85,3,0,10,17,20,0,39,4,3,7,21,71,0,107,0,0,13,13,32,4,61,7,3,30,34,152,30,266,4,0,37,24
LGA37340,4,3,47,40,235,68,398,8,3,40,43,459,19,565,0,0,15,29,273,20,330,3,0,8,3,59,0,73,4,0,15,40,660,29,745,0,0,9,8,75,3,96,0,0,27,22,175,23,242,14,6,112,179,388,37,739,9,4,37,88,384,31,557,0,0,7,3,11,0,20,3,0,4,3,5,0,23,0,0,5,7,42,5,62,7,8,63,29,55,8,168,0,0,23,22,137,11,193,10,3,29,69,97,5,216,13,21,66,16,42,10,161,19,11,52,17,29,3,134,0,0,11,12,33,7,64,0,0,8,20,200,5,238,0,0,19,29,157,46,259,107,58,593,678,3524,326,5285,0,0,53,32,66,55,212,3,0,8,9,32,3,58,3,0,12,21,33,5,71,0,0,0,3,8,0,8,0,0,7,18,42,4,72,0,0,6,6,17,0,33,0,8,54,75,177,29,345,10,6,168,206
LGA37400,0,0,3,4,25,0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,0,7,0,0,0,0,10,0,16,0,0,0,0,3,0,5,0,0,0,0,6,0,10,0,0,0,0,4,0,8,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,3,0,18,3,26,0,3,0,0,0,0,7,0,0,3,0,0,0,8,0,0,3,0,0,0,4,0,0,0,0,8,0,11,0,0,0,0,4,0,3,0,6,12,12,101,9,139,0,0,9,3,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,9,0,0,3,4
LGA37550,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,5,14,0,0,3,0,3,3,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,4,5,5,19,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
