LGA_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
LGA34860,877,11,32,0,47,10,38,222,12,1239,27,27,100,3,25,0,69,23,8,275,29,8,59,0,20,14,34,48,0,216,11,3,46,0,29,0,38,11,3,150,73,9,162,0,49,3,95,71,3,464,25,5,21,0,25,62,17,15,0,178,82,6,55,8,27,237,14,42,3,476,94,0,42,65,14,33,3,74,0,320,32,4,26,3,64,9,136,9,4,293,4,5,3,0,3,10,0,0,0,32,4,22,0,0,34,4,0,0,0,67,13,4,10,0,7,33,4,9,0,85,13,60,22,3,44,4,0,3,0,143,3,7,7,8,18,3,0,71,0,115,51,92,59,89,140,3,74,60,4,566,21,253,13,99,34,0,0,28,0,463,35,247,25,217,113,3,5,42,3,690,10,8,4,14,3,0,0,9,0,40,10,8,116,21,32,3,12,20,0,224,43,11,47,21,37,19,40,64,45,317
LGA34880,675,15,53,8,40,7,60,524,8,1398,17,11,58,0,17,0,116,9,0,229,37,12,140,4,24,25,41,100,3,385,3,3,41,0,11,0,20,15,4,95,78,3,276,0,51,9,78,99,10,615,26,14,9,0,28,62,14,17,0,170,138,14,51,12,36,404,15,73,0,750,98,6,64,137,30,64,3,105,6,514,30,50,35,17,69,16,132,28,3,376,7,11,13,3,8,0,0,0,0,46,13,16,0,0,52,3,3,0,4,85,10,3,0,0,15,50,5,6,3,97,11,104,42,0,80,3,0,3,0,249,21,29,34,32,43,3,14,102,0,276,47,91,52,184,149,3,28,49,8,616,46,321,30,181,47,0,0,37,0,665,40,308,26,340,133,7,11,64,12,937,10,42,22,24,12,9,0,11,0,124,26,22,150,27,35,0,0,25,4,298,40,23,52,24,35,30,30,54,79,366
LGA35010,663,79,147,9,137,55,129,1275,29,2524,278,384,483,16,203,16,579,95,30,2082,1802,709,3720,90,1502,804,1761,2158,109,12650,281,374,567,5,415,37,439,177,28,2321,1931,515,9837,38,2082,329,1869,3615,207,20414,997,560,451,22,977,986,823,366,42,5223,3089,663,1414,195,1422,10928,960,1885,101,20655,1733,140,1161,2984,408,2015,372,2500,66,11380,1043,900,844,384,2524,532,4506,822,141,11695,310,569,476,12,400,288,35,65,37,2195,677,1228,102,21,2528,292,29,28,77,4980,407,186,127,43,682,1501,134,202,42,3325,1203,4366,1448,53,2676,214,97,230,91,10370,521,553,591,625,1099,157,233,2655,46,6476,1333,2483,929,3427,3834,79,289,600,241,13217,1123,7759,497,3493,1639,84,67,677,81,15419,1233,8027,910,9431,4151,187,182,1124,149,25400,337,457,281,713,354,143,34,198,38,2556,640,582,3831,1123,877,145,146,648,53,8046,919,645,1469,355,1039,612,900,1110,1523,8571
LGA35250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,4,0,5,13,6,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,10,0,0,5,7,0,41,12,0,21,20,10,0,5,28,3,95,3,20,4,28,0,0,0,0,0,63,4,12,4,16,3,0,0,0,0,37,0,3,0,0,0,0,0,0,0,3,0,3,4,15,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,8
LGA35300,49,6,3,0,5,4,7,57,0,130,106,323,1034,10,101,5,1025,138,35,2783,30,12,106,0,38,14,40,16,3,259,7,13,44,0,9,0,8,8,3,97,27,7,215,0,56,0,30,42,9,392,24,7,44,0,31,26,29,13,4,179,105,8,44,0,40,422,19,78,4,729,71,0,64,97,23,60,10,142,3,476,29,12,23,9,80,16,148,13,4,333,5,14,6,0,11,15,0,4,0,56,7,8,0,0,41,0,0,0,0,67,25,8,16,4,13,38,3,10,0,114,13,60,35,7,35,0,3,3,0,155,21,26,34,21,29,7,22,127,3,293,30,94,37,180,146,4,30,27,10,557,49,390,22,185,57,0,0,47,0,754,49,417,30,275,176,7,8,35,15,1008,13,3,7,12,4,5,0,3,0,47,27,20,182,47,42,4,3,28,3,354,23,12,70,23,31,12,38,38,65,321
LGA35600,217,11,6,3,9,0,12,95,8,367,0,0,4,0,0,0,5,0,0,11,15,0,11,0,4,7,5,88,0,132,0,0,8,0,0,0,0,0,0,17,11,0,51,0,8,0,16,23,0,106,7,0,5,0,14,13,8,26,0,70,36,4,28,3,11,98,4,17,0,194,33,0,15,27,3,10,0,22,0,108,8,0,9,0,28,3,34,15,0,95,3,7,0,0,0,0,0,0,0,12,3,4,0,0,9,0,0,0,0,12,3,0,4,0,0,4,0,0,0,9,0,23,7,0,16,0,0,0,0,45,3,8,0,6,3,0,3,23,0,44,17,24,22,52,35,3,33,21,0,200,17,101,4,42,14,0,0,14,0,188,28,101,11,76,35,0,0,14,0,264,0,3,5,0,0,0,0,0,0,6,3,3,40,4,7,0,0,7,0,60,9,3,12,6,10,4,12,25,21,94
LGA35670,0,0,0,0,0,0,0,3,0,5,0,3,8,0,0,0,24,3,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,3,19,4,4,0,0,7,0,48,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,4,0,14,0,0,0,0,0,0,0,0,0,8
LGA35740,143,17,38,0,18,9,8,107,0,347,24,15,73,7,15,0,128,13,3,283,185,64,300,19,82,81,60,90,0,877,15,22,44,0,17,4,40,20,0,156,358,50,1137,0,206,25,187,359,24,2354,131,48,28,10,72,122,46,25,0,483,424,105,170,34,120,1425,37,229,12,2552,561,25,449,739,168,187,21,519,16,2687,65,70,27,34,135,34,285,42,9,710,35,78,37,0,27,21,4,3,3,216,81,149,6,4,154,30,0,8,19,452,85,43,9,8,122,366,11,23,5,664,127,703,155,3,288,26,4,18,11,1335,92,37,143,87,132,25,15,464,5,1002,87,201,59,203,170,6,19,58,10,809,108,1094,52,353,133,13,9,69,11,1829,129,1130,53,962,398,19,17,138,18,2877,41,129,44,97,42,16,3,30,4,408,70,44,420,189,81,11,11,69,3,906,170,129,163,47,115,82,50,128,172,1053
LGA35760,783,8,30,5,46,5,42,457,8,1382,4,11,31,0,6,0,93,12,0,149,22,0,35,4,9,11,37,52,5,174,0,0,20,0,4,0,14,3,0,42,25,6,77,0,20,0,46,51,3,216,11,0,6,0,3,27,4,9,0,62,57,4,38,0,16,169,5,24,3,319,41,3,21,47,9,9,5,53,3,183,18,0,7,0,36,12,68,3,3,145,0,0,3,0,0,0,0,0,0,13,5,3,0,0,29,0,0,0,0,37,0,0,0,0,9,17,3,3,0,37,8,16,7,0,22,0,0,7,0,74,13,9,6,3,19,0,6,113,3,172,23,15,16,20,61,0,49,28,3,219,25,151,11,84,22,0,0,32,0,331,9,117,19,199,37,0,0,45,0,425,0,9,3,3,3,0,0,0,0,18,4,11,61,16,16,3,0,14,0,129,25,6,20,3,17,11,17,55,60,208
LGA35780,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,0,0,0,4,14,0,30,0,8,0,12,18,0,69,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,31,7,8,0,57,9,0,7,4,4,0,0,5,0,30,0,0,0,0,3,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,8,0,5,0,0,0,0,0,0,0,6,13,20,17,18,40,13,18,25,3,180,10,42,10,56,10,0,0,8,0,135,20,37,7,68,22,0,4,19,0,178,0,0,0,0,0,0,0,0,0,3,7,6,17,11,0,0,9,19,0,75,0,0,4,0,3,3,0,3,8,20
LGA35790,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,11,5,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,9,0,3,0,0,0,0,0,5,0,9,7,3,19,31,27,3,12,23,0,123,5,42,0,39,5,0,0,8,0,112,6,26,9,60,7,0,3,18,0,135,0,0,0,0,0,0,0,0,0,0,0,4,10,12,3,0,0,3,3,47,3,0,0,0,0,0,0,0,4,8
LGA35800,167,3,3,0,3,0,0,37,0,214,0,0,3,0,0,0,3,0,0,9,6,0,0,0,0,0,0,3,0,12,0,0,4,0,0,0,0,0,0,7,3,0,16,0,3,0,8,9,0,34,3,0,0,0,0,4,0,0,0,13,10,0,5,0,5,25,0,7,0,53,21,0,3,6,0,0,0,6,0,41,7,0,0,0,7,0,9,0,0,28,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,6,0,13,8,10,12,16,20,0,21,4,0,90,11,32,0,19,10,0,0,6,0,67,3,16,3,26,9,0,0,6,3,68,0,4,3,0,0,0,0,0,0,11,0,0,9,3,4,0,0,3,0,22,5,0,7,0,3,3,0,8,6,34
LGA36070,7,0,0,0,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,5,7,8,9,4,3,3,10,5,69,0,4,0,12,3,0,0,3,0,25,0,3,0,12,3,0,4,4,0,32,0,8,0,0,0,0,0,0,0,9,3,0,3,7,3,3,0,0,0,21,0,0,0,0,0,0,0,3,0,4
LGA36150,74,3,3,0,5,0,3,36,0,130,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,3,0,10,0,0,3,0,0,0,0,0,0,7,0,0,9,0,0,0,9,3,0,29,0,0,0,0,0,0,0,0,0,3,6,0,6,0,5,8,3,3,0,29,14,0,3,6,0,0,0,3,0,29,0,0,4,0,6,0,19,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,6,8,9,8,15,0,8,14,3,63,3,13,0,18,6,0,0,3,0,39,3,9,0,7,3,0,0,5,0,30,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,11,0,0,0,0,3,0,0,3,11,19
LGA36250,153,26,48,0,59,29,28,216,8,565,122,151,203,3,73,5,191,36,11,807,945,400,1463,54,663,323,568,900,48,5360,116,111,217,3,155,4,134,50,12,795,986,270,4024,12,958,149,607,1282,64,8345,555,263,214,8,486,416,353,146,21,2457,1155,234,420,56,515,3926,299,598,36,7241,603,48,388,1184,142,612,125,766,20,3893,504,338,249,118,925,167,1484,296,46,4130,165,215,210,9,130,118,17,34,9,909,286,487,31,3,917,115,7,8,27,1887,155,87,48,25,278,611,62,56,23,1342,557,1698,554,16,1022,98,30,89,31,4097,242,230,226,235,436,55,66,1002,25,2513,401,868,281,863,1341,28,63,188,63,4089,439,3037,192,1186,634,27,14,258,27,5802,492,2886,403,3085,1550,56,55,306,37,8872,161,159,102,271,118,32,17,65,10,930,253,228,1393,418,363,66,47,229,21,3019,430,306,502,115,440,220,256,350,502,3110
LGA36300,82,4,5,0,7,3,7,38,4,143,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,4,8,0,21,3,0,0,0,0,0,0,0,0,8,7,0,3,0,0,11,0,0,0,17,3,0,4,0,3,0,0,4,0,19,4,0,0,0,8,0,9,5,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,3,0,12,7,3,12,9,11,0,19,9,0,76,0,6,0,9,0,0,0,3,0,22,3,8,0,9,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,6,4,0,6,0,4,0,0,5,4,23
LGA36370,340,14,52,3,45,17,36,174,14,698,67,68,650,0,81,4,794,80,11,1750,169,58,477,22,125,93,207,868,16,2043,65,163,326,7,259,7,68,46,16,951,213,62,1180,6,275,25,276,419,21,2476,97,45,247,7,122,202,185,101,3,1012,482,63,258,34,199,2103,120,373,17,3642,391,12,267,616,100,422,45,608,8,2469,148,96,254,37,398,39,967,147,20,2121,27,62,75,0,20,40,6,23,0,252,56,119,5,0,253,22,3,0,3,466,60,27,41,11,74,203,31,29,6,480,83,557,213,0,312,11,10,32,11,1228,47,88,85,53,133,9,35,456,7,908,187,421,220,576,612,21,101,153,27,2303,222,1696,142,664,403,7,24,180,12,3352,210,1768,165,1864,777,28,46,288,39,5192,42,29,44,85,39,12,6,29,0,288,88,115,735,185,170,27,27,148,11,1505,110,54,223,74,113,100,103,173,215,1168
LGA36510,827,15,81,13,56,16,66,396,14,1488,4,10,48,0,16,0,88,5,0,174,183,49,316,23,101,67,124,281,16,1150,19,18,70,0,37,3,45,23,0,207,208,30,769,4,200,18,240,326,15,1817,92,28,51,0,74,94,57,51,3,448,261,43,112,10,70,757,49,139,5,1457,193,15,152,374,55,101,16,262,10,1164,81,24,41,17,160,25,397,37,5,779,15,37,44,3,30,4,4,11,0,154,31,57,4,0,121,13,5,3,0,237,24,16,20,4,52,131,10,18,3,280,71,346,125,4,196,15,3,9,4,774,35,21,64,37,93,12,13,272,7,555,125,160,107,232,241,6,63,78,20,1031,100,815,92,306,137,9,6,111,9,1586,98,569,68,678,242,8,9,95,7,1778,34,72,75,38,29,15,10,57,3,325,55,52,347,91,70,8,12,47,0,682,96,48,136,41,82,61,99,148,129,838
LGA36580,515,12,35,3,26,9,52,208,0,850,12,3,36,0,8,0,65,16,0,141,104,32,246,10,83,32,115,508,8,1145,12,11,32,0,26,5,53,18,4,169,77,18,343,0,70,9,157,173,6,853,48,14,36,0,33,44,33,41,0,254,110,16,76,3,45,441,25,108,6,836,77,0,38,114,14,49,4,95,0,401,53,23,31,7,98,19,310,33,10,580,0,13,8,0,13,6,0,3,0,50,12,16,3,0,60,3,0,0,0,100,13,10,7,3,17,58,12,8,3,127,29,109,50,3,65,4,5,5,5,278,10,17,27,17,43,5,15,118,0,261,51,71,63,200,145,3,40,55,13,638,46,332,41,171,63,3,8,68,5,733,29,280,36,411,115,11,9,49,8,939,15,15,22,29,15,7,0,20,0,122,21,21,171,34,34,7,12,31,5,343,61,25,67,24,32,14,60,83,85,441
LGA36630,827,16,37,0,43,9,81,322,6,1356,22,15,125,3,18,0,225,27,3,440,113,23,183,7,83,35,138,486,14,1075,22,51,177,3,29,3,41,49,0,376,58,7,323,3,64,11,135,137,3,734,35,12,17,0,30,62,28,13,0,206,180,32,126,5,69,670,37,119,4,1241,148,0,63,151,23,82,8,172,6,654,43,0,9,0,77,14,200,18,4,373,3,21,17,0,6,15,0,3,0,74,12,17,3,0,64,10,3,7,0,111,13,4,0,0,21,68,6,0,0,122,6,114,55,4,117,4,9,9,0,325,9,14,24,19,35,3,4,132,3,248,47,92,63,129,124,3,68,82,15,607,77,607,32,280,89,3,4,69,4,1169,60,422,47,678,190,8,12,102,12,1534,11,18,11,19,4,3,0,4,0,66,21,28,221,48,41,15,6,53,3,438,71,14,81,24,46,21,44,94,124,519
LGA36660,1018,33,75,0,77,19,101,604,15,1941,10,4,35,0,10,0,72,10,0,143,142,53,242,10,82,43,99,547,12,1232,6,3,35,0,8,3,34,18,0,115,115,7,433,3,86,18,133,189,12,1009,38,16,25,0,37,48,34,50,4,251,219,31,133,15,81,817,125,163,6,1586,226,0,129,267,40,127,17,246,6,1070,79,15,63,5,144,21,418,56,8,799,8,18,31,0,11,19,0,12,0,104,15,30,0,0,99,10,0,0,3,157,14,11,3,0,32,92,6,3,0,159,26,170,73,0,162,4,4,11,3,454,24,36,21,23,54,3,6,153,0,314,56,84,60,118,168,4,59,78,4,638,72,679,43,276,107,0,3,87,0,1275,68,460,60,673,170,14,17,100,11,1573,10,20,19,27,21,6,0,12,3,124,26,42,300,53,67,12,5,52,3,559,63,24,85,17,61,42,45,111,141,595
LGA36720,889,125,200,15,131,48,94,770,24,2299,160,184,560,18,70,3,755,99,28,1884,1088,348,2042,105,674,547,541,872,49,6267,154,155,313,5,186,30,275,97,23,1241,1825,406,7870,18,1574,235,1173,2507,153,15766,608,257,212,22,386,687,370,162,21,2731,2352,455,949,116,749,8002,300,1199,47,14176,1847,139,1499,3157,512,1355,212,2143,59,10923,416,460,259,184,846,164,1810,224,43,4402,214,414,291,10,201,186,24,54,21,1399,389,1023,76,7,1415,499,45,38,78,3568,342,199,119,19,548,1460,70,120,47,2932,725,3415,989,28,1761,146,32,119,52,7280,382,360,508,441,938,109,73,2148,40,4998,496,1185,420,1316,1455,49,98,384,75,5477,844,6744,339,2102,1020,39,56,436,56,11634,900,7569,611,6410,2843,135,105,733,96,19408,320,523,356,579,229,126,62,166,26,2405,382,305,2437,872,501,100,68,435,28,5132,761,558,925,251,692,502,380,680,986,5735
LGA36820,631,24,57,5,56,15,81,409,10,1281,13,19,87,0,5,0,124,9,3,257,41,16,160,3,36,31,54,74,0,411,7,3,50,0,7,0,26,3,0,103,95,7,332,0,78,14,135,111,5,783,30,3,18,0,18,53,19,15,0,155,161,20,86,5,65,577,30,117,0,1058,146,4,70,150,29,59,9,144,0,608,33,15,13,5,74,7,161,8,0,324,5,10,24,0,21,5,0,0,0,67,23,24,3,0,68,3,0,3,0,121,19,3,4,0,22,76,8,9,3,130,18,164,39,0,128,5,3,10,0,374,19,7,30,29,46,11,13,111,4,269,47,105,38,190,114,3,24,49,9,573,66,509,33,200,77,3,3,66,0,965,57,437,38,473,152,9,3,84,10,1263,21,43,17,19,8,3,3,10,0,127,27,32,189,36,42,4,3,37,0,358,53,33,57,20,42,28,36,63,87,415
LGA36910,2389,189,256,8,260,53,294,1054,40,4533,108,102,315,7,93,6,546,93,16,1285,564,205,1408,42,402,271,476,1430,42,4840,66,97,334,0,119,10,140,63,4,835,653,199,2854,23,651,76,649,905,42,6056,301,148,271,0,306,452,325,307,11,2137,998,187,500,48,389,3770,206,632,23,6756,720,18,531,1093,129,695,68,962,12,4226,290,97,258,35,585,75,1444,172,38,3002,55,124,115,3,68,86,28,12,4,494,215,477,25,11,1023,87,11,7,26,1876,118,66,59,26,213,431,46,63,9,1033,220,1504,429,18,865,42,19,65,16,3165,103,129,178,140,274,24,25,848,6,1734,492,981,582,886,1217,24,224,275,47,4734,527,4268,313,1375,859,25,14,388,32,7806,431,3979,334,3570,1402,62,59,599,52,10501,94,97,81,180,74,27,9,97,9,667,194,230,1433,350,304,55,45,288,12,2911,306,175,487,90,254,169,251,391,467,2593
LGA36950,3,4,3,0,0,0,0,13,0,28,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,9,20,0,64,0,7,0,0,15,3,112,0,0,0,0,0,0,0,0,0,3,22,3,5,4,8,52,0,4,4,97,20,0,8,16,5,0,0,18,3,71,6,26,8,7,13,4,26,10,4,105,0,3,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,5,3,0,0,0,4,0,0,0,0,5,3,6,0,0,8,0,0,0,0,16,4,10,3,0,3,0,0,14,0,35,28,31,13,52,90,0,5,27,7,259,22,84,10,43,21,0,0,9,0,185,22,109,15,86,37,0,0,19,3,298,0,5,0,3,3,0,0,0,0,9,0,4,13,11,3,0,3,8,3,48,3,5,8,10,8,5,0,10,21,67
LGA36960,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,15,0,0,0,3,22,0,42,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,45,0,9,3,73,0,0,0,4,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,6,18,69,43,48,75,3,12,55,7,339,10,66,11,58,15,0,0,13,0,176,9,23,9,45,18,6,0,9,5,131,3,10,0,3,5,0,0,3,0,16,3,18,24,5,10,7,4,35,10,121,0,0,3,3,7,3,0,0,16,33
