LGA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
LGA35010,182301,..,..,..,..,182301,..,841,14,854,0,857,..,228,53,281,5,283,..,64,3,66,0,65,..,209,73,285,0,286,..,522,264,783,0,787,..,50,15,64,0,64,..,779,358,1136,3,1139,..,96,3,101,0,101,..,293,7,298,0,299,..,387,12,394,4,400,..,566,17,577,3,580,..,158,6,162,0,162,..,57,4,63,0,60,..,660,13,674,8,683,..,388,33,421,10,426,..,101,0,101,3,109,..,71,5,74,0,74,..,284,12,294,6,297,..,1557,64,1625,23,1651,..,532,34,563,16,576,..,191,44,230,3,233,..,148,165,321,0,323,..,25,3,28,0,28,..,46,4,50,0,51,..,105,19,125,0,125,..,174,11,191,0,187,..,149,29,184,0,184,..,851,97,950,16,967,..,71,7,80,0,80,..,314,9,318,0,318,..,75,4,83,3,84,..,530,20,555,3,557,..,61
LGA35250,454,..,..,..,..,454,..,0,0,0,0,0,..,0,0,0,0,0,..,38,0,41,23,59,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0
LGA35300,7708,..,..,..,..,7708,..,42,3,42,0,42,..,3,0,3,0,3,..,20,4,19,4,28,..,3,0,5,0,5,..,13,4,20,0,20,..,0,0,0,0,0,..,16,8,28,0,29,..,3,0,3,0,3,..,0,0,0,0,0,..,16,0,16,0,16,..,15,3,19,0,20,..,10,4,12,0,14,..,3,0,3,0,3,..,33,3,33,0,33,..,13,3,17,0,17,..,14,0,14,0,14,..,4,3,9,0,5,..,15,0,15,0,15,..,75,7,87,0,88,..,27,3,26,0,25,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,21,0,21,0,21,..,3,0,3,0,3,..,58,4,62,0,62,..,10,0,10,0,10,..,56,0,58,0,58,..,4
LGA35600,1902,..,..,..,..,1902,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA35670,319,..,..,..,..,319,..,0,0,0,0,0,..,0,0,0,0,0,..,85,11,94,0,95,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA35740,22499,..,..,..,..,22499,..,47,0,47,0,47,..,11,4,8,0,8,..,8,0,8,0,8,..,16,3,16,0,16,..,27,9,36,0,36,..,0,0,0,0,0,..,37,10,48,0,52,..,8,3,10,0,10,..,67,0,71,3,69,..,100,3,103,0,107,..,192,8,201,0,206,..,23,3,27,0,27,..,3,0,3,0,3,..,13,0,16,0,16,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,19,0,19,..,39,4,43,0,43,..,88,3,92,0,92,..,32,3,36,0,36,..,11,4,16,0,16,..,3,0,7,0,7,..,4,0,6,0,6,..,0,0,0,0,0,..,14,0,14,0,14,..,9,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,22,3,25,0,25,..,3,0,3,0,3,..,4
LGA35760,4439,..,..,..,..,4439,..,11,0,11,0,11,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,15,9,22,0,22,..,0,3,3,0,3,..,16,10,25,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,16,0,16,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,17,0,17,3,22,..,32,0,32,3,36,..,8,3,13,0,13,..,4,3,5,0,5,..,15,20,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,3,13,..,3,0,3,0,3,..,10,0,13,0,13,..,0
LGA35780,208,..,..,..,..,208,..,0,0,0,0,0,..,0,0,0,0,0,..,344,83,428,4,430,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA35790,1100,..,..,..,..,1100,..,0,0,0,0,0,..,0,0,0,0,0,..,21,3,23,8,35,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA35800,746,..,..,..,..,746,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA36070,136,..,..,..,..,136,..,0,0,0,0,0,..,0,0,0,0,0,..,206,0,209,3,215,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA36150,410,..,..,..,..,410,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA36250,64379,..,..,..,..,64379,..,352,9,361,0,365,..,84,10,92,0,91,..,20,4,25,0,25,..,91,28,116,0,116,..,229,49,285,11,289,..,13,0,13,0,13,..,334,76,406,6,421,..,89,14,104,0,101,..,126,3,132,0,133,..,130,8,138,3,137,..,250,5,257,0,253,..,158,13,173,0,173,..,10,0,10,0,10,..,135,4,142,3,140,..,136,14,147,3,153,..,52,3,51,0,51,..,15,0,19,0,19,..,69,9,73,0,73,..,417,22,442,6,444,..,204,18,222,3,224,..,82,8,94,0,90,..,28,6,34,3,40,..,8,0,11,0,11,..,15,4,21,0,21,..,43,10,50,0,50,..,77,8,85,0,85,..,76,9,82,0,85,..,48,4,54,0,54,..,42,5,45,0,45,..,68,0,74,0,74,..,34,0,35,0,40,..,91,0,96,0,96,..,19
LGA36300,365,..,..,..,..,365,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA36370,34060,..,..,..,..,34060,..,92,0,92,0,90,..,15,0,13,0,13,..,33,3,36,3,41,..,37,11,50,0,47,..,77,27,105,0,103,..,10,3,13,0,13,..,125,43,162,3,167,..,3,0,3,0,3,..,23,0,23,0,23,..,17,0,18,0,18,..,56,0,57,0,57,..,12,0,19,0,19,..,56,6,60,0,60,..,68,3,75,0,76,..,77,3,84,0,86,..,45,4,48,0,48,..,29,0,26,0,31,..,93,15,109,0,109,..,358,32,391,3,401,..,18,0,17,0,23,..,18,0,14,0,16,..,27,10,39,0,39,..,0,0,0,0,0,..,0,0,0,0,0,..,16,4,16,0,16,..,12,0,13,0,13,..,14,0,11,0,11,..,9,0,9,0,9,..,0,0,0,0,0,..,99,3,98,0,103,..,13,4,12,0,12,..,153,8,159,0,160,..,26
LGA36510,17496,..,..,..,..,17496,..,25,0,25,0,25,..,14,0,11,0,11,..,18,0,18,0,18,..,10,0,7,0,7,..,18,5,24,0,24,..,0,0,0,0,0,..,28,8,31,0,31,..,4,0,4,0,4,..,26,0,26,0,26,..,22,0,27,0,27,..,77,3,78,0,80,..,7,0,7,0,7,..,0,0,0,0,0,..,10,0,9,0,9,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,3,..,24,0,28,0,28,..,21,0,19,0,19,..,23,4,24,0,24,..,20,27,49,0,49,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,15,4,13,0,13,..,11,6,15,0,13,..,0,0,0,0,0,..,4,0,10,0,10,..,0,0,0,0,0,..,7,0,7,0,7,..,12,0,12,0,12,..,4
LGA36580,10881,..,..,..,..,10881,..,14,0,9,0,9,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,12,13,24,0,28,..,0,0,0,0,0,..,11,13,28,0,26,..,3,0,3,0,3,..,12,0,12,0,12,..,14,0,14,0,14,..,40,3,37,0,41,..,5,0,5,0,5,..,10,8,14,0,14,..,6,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,9,29,0,29,..,6,0,6,0,6,..,3,0,5,0,5,..,11,10,25,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,5,0,5,..,11,0,11,0,11,..,0,0,0,0,0,..,49,6,58,0,57,..,4,0,4,0,4,..,75,7,82,3,84,..,21
LGA36630,14452,..,..,..,..,14452,..,26,0,26,0,26,..,9,0,9,0,9,..,3,0,3,0,5,..,6,0,5,0,5,..,8,6,12,0,12,..,0,0,0,0,0,..,12,6,19,0,19,..,0,0,0,0,0,..,8,0,8,0,8,..,10,0,8,0,8,..,31,0,37,0,37,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,5,0,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,10,0,10,0,10,..,34,0,34,0,34,..,21,0,21,0,21,..,3,3,4,0,4,..,6,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,8,..,5,0,5,0,5,..,3,0,4,0,4,..,0,0,0,0,0,..,28,0,30,0,30,..,0,0,0,0,0,..,27,0,27,0,27,..,3
LGA36660,15473,..,..,..,..,15473,..,25,0,25,0,25,..,10,0,8,0,8,..,0,0,0,0,0,..,4,5,7,0,7,..,34,20,55,0,60,..,0,0,0,0,0,..,44,27,73,0,68,..,14,3,16,0,22,..,23,0,23,0,23,..,16,0,16,0,16,..,40,3,46,0,46,..,5,0,5,0,5,..,0,0,0,0,0,..,13,0,11,0,11,..,7,0,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,8,0,8,..,34,5,35,0,35,..,143,22,166,3,165,..,9,0,8,0,8,..,16,24,41,0,44,..,3,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,12,0,12,0,12,..,0,0,0,0,0,..,15,0,15,0,13,..,6
LGA36720,126940,..,..,..,..,126940,..,401,0,405,0,405,..,106,17,119,0,119,..,18,0,20,0,20,..,100,32,129,3,137,..,210,84,296,4,296,..,6,0,7,0,7,..,313,121,433,5,446,..,44,4,41,0,41,..,310,0,318,3,315,..,336,17,357,0,360,..,696,22,714,4,721,..,103,4,109,0,109,..,22,0,22,0,25,..,143,12,152,0,151,..,215,14,232,0,230,..,43,3,47,0,47,..,50,0,56,0,56,..,228,20,250,5,257,..,705,45,754,7,760,..,354,18,375,11,385,..,138,22,168,0,168,..,116,52,165,0,170,..,11,0,11,0,11,..,22,0,28,0,28,..,47,3,49,0,49,..,92,7,103,0,105,..,65,8,70,0,70,..,14,0,16,0,16,..,40,0,36,0,38,..,71,3,71,0,75,..,73,8,82,3,86,..,107,3,109,0,109,..,27
LGA36820,10688,..,..,..,..,10688,..,9,0,9,0,9,..,6,0,6,0,6,..,25,0,25,3,25,..,0,0,0,0,0,..,11,0,12,0,12,..,0,0,0,0,0,..,15,0,10,0,10,..,3,0,4,0,4,..,23,0,23,0,23,..,21,0,20,0,20,..,74,0,76,0,76,..,7,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,6,0,6,..,17,0,13,0,18,..,92,11,110,3,111,..,15,3,14,0,14,..,0,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0
LGA36910,67638,..,..,..,..,67638,..,205,3,206,5,208,..,405,63,475,0,471,..,21,0,21,0,21,..,67,20,86,0,87,..,314,137,446,9,455,..,20,4,21,0,21,..,400,154,554,11,566,..,13,0,13,0,13,..,61,0,64,0,64,..,85,6,94,0,94,..,124,12,137,0,140,..,23,0,24,0,24,..,68,6,77,0,77,..,139,6,145,0,145,..,164,16,178,0,184,..,114,4,119,0,119,..,53,3,53,0,53,..,250,16,259,3,265,..,784,51,836,3,842,..,81,10,86,3,91,..,62,0,62,0,66,..,65,36,103,0,103,..,0,0,0,0,0,..,4,0,4,0,3,..,59,8,68,0,64,..,13,0,13,0,13,..,32,0,36,0,35,..,10,3,8,0,8,..,9,0,9,0,9,..,151,4,157,5,161,..,18,0,17,0,17,..,193,3,193,0,193,..,39
LGA36950,682,..,..,..,..,682,..,0,0,0,0,0,..,0,0,0,0,0,..,595,108,709,36,742,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA36960,126,..,..,..,..,126,..,0,0,0,0,0,..,0,0,0,0,0,..,1508,284,1791,93,1883,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA37010,79112,..,..,..,..,79112,..,213,4,218,3,218,..,133,9,145,4,146,..,195,8,205,5,213,..,146,37,179,0,180,..,215,49,267,4,268,..,10,5,18,0,18,..,377,90,461,3,471,..,18,3,20,0,23,..,81,0,82,0,82,..,134,9,144,5,143,..,247,4,256,0,260,..,168,9,182,0,182,..,38,0,38,0,38,..,157,4,158,0,162,..,134,8,146,5,148,..,66,0,68,0,69,..,43,3,49,0,49,..,132,12,144,0,144,..,574,28,606,3,612,..,373,33,406,7,411,..,74,12,92,0,92,..,96,44,140,0,143,..,3,0,3,0,3,..,12,0,11,0,17,..,39,3,46,0,46,..,46,3,49,0,48,..,33,5,33,0,33,..,30,8,39,0,39,..,14,3,12,0,12,..,181,4,184,0,188,..,60,8,69,0,69,..,270,13,281,0,282,..,39
