LGA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
LGA31900,0,0,0,0,0,180,0,0,0,0,0,0,0,0,10,197,28,0,0,0,0,0,0,0,0,3,27,31,0,0,0,0,0,0,0,0,3,39,36,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,8,75,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,4,105,505,36,34,17,27,7,5,29,13,39,717,263,27,58,10,19,6,17,39,19,45,507,89,10,6,3,0,0,6,22,9,35,172,0,0,3,0,0,0,0,0,0,0,3,354,37,70,15,19,7,21,61,22,80,681,3,0,0,0,0,0,0,0,6,4,18,868,75,107,26,44,13,30,88,41,128,1418
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,3,0,0,0,0,23
LGA32080,0,0,0,0,9,1382,46,42,10,3,3,3,8,3,59,1559,265,14,4,0,0,3,0,0,0,31,313,96,0,3,0,0,0,0,0,0,9,106,44,5,0,3,0,4,0,0,0,4,57,0,0,0,0,0,0,0,0,0,3,4,133,3,7,3,0,4,0,0,0,14,165,3,0,0,0,0,0,0,0,0,0,4,405,16,6,3,0,3,0,0,0,45,483,11757,2182,2452,517,467,427,339,333,267,655,19386,3817,1536,2977,550,632,593,535,558,333,387,11923,457,180,360,139,113,179,176,158,204,221,2183,47,7,21,4,4,3,7,3,3,6,109,4325,1725,3364,690,749,777,721,719,534,614,14221,38,0,3,3,3,0,7,3,4,32,93,16117,3904,5820,1207,1218,1209,1059,1054,811,1303,33699
LGA32250,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5,7,0,0,0,0,5,3,3,89,17,0,15,0,3,3,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,15,0,3,5,3,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,81,6,21,0,3,7,7,7,3,3,143
LGA32260,0,0,0,0,0,362,4,4,0,0,0,0,0,0,14,385,46,0,0,0,0,0,0,0,0,3,52,55,0,0,0,0,0,0,0,0,0,60,36,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,8,100,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,7,157,1515,136,162,24,38,29,39,58,32,88,2109,528,81,384,39,63,74,95,115,49,63,1483,131,10,28,6,12,17,24,59,27,42,357,11,0,5,0,0,3,0,0,3,3,27,672,87,418,42,71,87,118,169,79,114,1872,8,0,0,0,0,0,0,0,0,4,10,2197,219,579,71,110,114,153,228,117,198,3998
LGA32270,0,0,0,0,0,67,0,4,0,0,0,0,0,0,8,71,5,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,11,954,215,357,132,95,49,36,28,23,77,1968,122,128,377,51,87,73,62,32,18,30,982,4,6,4,3,0,3,20,6,4,25,68,0,0,0,0,0,0,0,0,0,0,6,129,136,381,56,92,75,79,40,24,50,1061,3,0,0,0,0,0,0,0,0,5,10,1086,347,738,187,189,127,122,64,44,131,3039
LGA32310,0,0,0,0,0,43,0,0,0,0,0,0,0,0,3,44,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,363,37,40,5,8,6,7,7,4,22,504,33,20,33,8,13,7,17,11,5,8,151,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,37,19,38,8,13,7,14,11,5,8,154,3,0,0,0,0,0,0,0,0,0,4,405,61,79,12,18,13,23,14,10,34,664
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5
LGA32450,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,19,27,6,4,8,4,3,0,11,163,17,5,37,3,9,9,5,8,3,0,91,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,3,37,3,9,9,5,6,3,0,96,0,0,0,0,0,0,0,0,0,0,0,102,23,65,13,17,18,9,13,5,11,265
LGA32500,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,26,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,283,29,27,9,7,6,0,12,6,29,399,36,9,35,4,3,0,8,13,7,21,139,3,0,0,0,0,0,0,3,0,24,32,0,0,0,0,0,0,0,0,0,0,0,35,9,35,4,3,0,12,19,12,38,175,0,0,0,0,0,0,0,0,0,0,0,319,40,55,17,11,7,9,29,14,68,575
