LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA33200,418,374,790,93,103,197,4,4,10,0,3,8,122,130,253,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,0,0,135,145,280,3,9,16,3,3,6,238,259,495,71,67,138,725,696,1425
LGA33220,23806,24482,48283,3306,3654,6960,1261,1353,2613,694,689,1387,11578,12897,24481,183,193,374,250,275,526,127,170,301,235,211,449,64,71,129,0,0,0,14392,15857,30252,594,733,1327,383,351,732,18673,20594,39274,4800,4216,9018,47283,49295,96570
LGA33360,13821,12597,26417,2327,2242,4570,664,582,1244,366,331,690,7507,7456,14960,162,151,311,335,324,656,105,95,207,206,199,408,23,22,42,0,0,0,9360,9167,18525,1070,1205,2274,260,260,523,13017,12875,25892,2483,2244,4729,29324,27713,57039
LGA33430,109926,115114,225038,15668,16436,32108,12053,13276,25330,3974,4246,8219,67037,72709,139753,1057,1160,2217,1354,1382,2737,785,938,1719,488,525,1017,674,741,1414,12,16,28,87435,95006,182438,16283,18117,34406,2727,2574,5298,122110,132133,254248,21298,22158,43457,253337,269412,522744
LGA33610,2705,2620,5334,676,693,1369,213,206,426,26,19,45,646,704,1347,10,9,20,12,17,30,0,3,3,10,9,13,0,0,0,0,0,0,926,963,1884,63,98,157,22,18,41,1687,1766,3454,574,535,1112,4972,4931,9895
LGA33620,12365,12250,24615,1893,2068,3961,374,359,729,144,166,310,5509,5894,11406,51,55,109,95,109,209,37,40,72,78,89,171,16,18,35,0,0,0,6302,6731,13035,227,310,537,187,167,351,8606,9276,17884,2233,2195,4426,23200,23723,46923
LGA33800,3498,3354,6852,432,445,880,40,35,79,15,22,32,729,704,1436,9,8,19,12,15,29,3,0,0,16,9,31,0,0,5,0,0,0,836,788,1621,34,46,83,21,14,28,1323,1294,2617,497,450,944,5316,5095,10412
LGA33830,322,304,626,22,16,39,4,0,4,0,0,0,36,28,62,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,45,28,73,0,0,3,4,5,11,77,48,120,40,24,69,439,377,821
LGA33960,41432,41742,83168,5109,5519,10624,2085,2173,4263,656,676,1330,25661,27533,53192,356,358,714,315,352,660,134,165,303,384,311,693,178,173,348,0,0,0,29772,31742,61508,3457,3769,7224,920,856,1772,39262,41882,81141,6715,6502,13222,87408,90123,177528
LGA33980,3777,2939,6717,1485,1378,2861,199,190,385,63,58,122,2518,2381,4897,42,34,70,67,59,117,14,15,28,45,34,81,6,7,12,0,0,0,2950,2772,5727,211,279,486,48,59,105,4692,4490,9182,1911,1102,3011,10382,8523,18907
LGA34420,342,391,741,4,8,5,0,0,3,0,0,0,31,46,74,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,40,46,84,0,0,3,7,0,3,48,53,102,9,7,19,405,455,862
LGA34530,8648,8352,16996,1724,1830,3549,293,284,572,118,140,262,3936,4082,8016,60,65,123,61,61,123,32,41,77,29,33,65,15,16,27,0,0,0,4541,4726,9266,257,300,557,103,95,196,6627,6949,13574,2265,1392,3660,17544,16695,34236
LGA34570,238,259,494,6,0,8,5,3,11,3,0,3,22,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,46,71,0,0,0,5,7,11,44,54,97,22,20,40,306,325,627
LGA34580,9355,9186,18544,1643,1621,3267,277,323,606,101,105,207,3847,4251,8093,31,28,54,48,53,98,23,30,51,35,42,76,3,4,11,0,0,0,4365,4835,9191,636,686,1320,111,116,231,6751,7260,14008,1971,1759,3733,18081,18205,36284
LGA34590,71648,72270,143922,6436,7004,13440,2156,2307,4466,916,896,1814,37692,39854,77547,346,352,702,425,423,850,180,189,375,203,206,411,114,115,228,3,0,3,42045,44351,86398,6667,7071,13732,1421,1243,2662,56564,59671,116235,9947,10178,20118,138159,142118,280272
LGA34710,888,881,1765,234,255,491,29,28,58,3,4,12,284,360,641,9,4,14,7,5,13,3,4,3,11,11,25,3,0,3,0,0,0,343,426,768,20,32,51,13,11,23,612,718,1328,174,168,338,1675,1766,3434
LGA34770,28008,26676,54684,3777,3846,7627,838,866,1704,412,470,877,13509,14484,27989,137,141,274,294,287,585,125,131,253,118,113,234,29,35,65,0,6,5,15467,16525,31992,1092,1424,2519,385,343,721,20719,22137,42855,5576,4104,9675,54300,52913,107215
LGA34800,228,192,417,26,30,54,14,9,18,0,3,5,86,57,141,0,0,0,5,0,3,3,0,3,3,3,5,0,0,0,0,0,0,110,77,185,9,9,16,0,0,0,141,115,254,37,31,63,400,337,739
LGA34830,89,83,180,13,12,18,0,0,0,0,0,3,23,22,48,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,30,33,61,0,0,0,0,0,0,40,44,83,3,8,10,139,138,270
LGA34860,3055,2785,5839,745,762,1500,100,61,157,40,34,74,1149,1266,2416,18,15,32,17,14,38,3,4,4,14,17,39,0,0,0,0,0,0,1347,1414,2758,103,127,231,33,19,50,2220,2325,4550,698,587,1280,5973,5693,11669
LGA34880,5507,5346,10852,954,1037,1992,100,92,194,76,65,143,1529,1497,3023,31,34,63,71,66,136,7,11,21,83,76,158,3,9,10,0,3,3,1902,1850,3752,279,296,573,56,58,113,3196,3244,6439,2068,1137,3203,10769,9720,20497
LGA35010,97754,100793,198553,12273,13899,26176,3945,4266,8205,1750,1922,3671,53874,57878,111750,603,614,1222,699,774,1475,387,420,806,531,538,1067,391,417,807,10,9,21,62196,66833,129028,6326,7168,13496,1834,1739,3575,82627,89640,172274,13174,12894,26068,193561,203335,396894
