LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA35300,13,3,12,0,29,8,3,6,0,19,3,4,28,3,43,0,3,46,0,48,24,7,49,6,89,27,14,69,0,98,68,27,64,8,164,47,30,54,3,135,67,50,65,5,182,76,68,62,3,220,62,82,46,7,195,89,110,43,4,248,230,318,79,8,631,211,294,30,13,544,180,244,9,3,443,123,157,10,0,293,182,337,11,3,530,121,220,75,0,413,29,28,26,5,90,1558,1999,789,67,4413
LGA35600,9,0,3,0,13,7,3,0,0,12,0,6,4,0,7,0,4,7,0,10,19,12,15,0,44,12,3,25,0,38,46,16,22,3,85,37,27,20,0,79,33,35,11,0,81,36,40,14,0,93,25,28,3,0,55,38,32,9,0,70,70,59,6,0,140,35,46,0,0,81,28,17,0,0,43,9,13,0,0,21,20,19,3,0,44,41,62,11,0,121,22,11,12,0,45,492,432,164,10,1100
LGA35670,0,0,0,0,0,0,0,0,0,4,0,5,7,3,12,0,0,6,0,10,8,13,12,0,29,3,13,4,0,22,8,12,8,3,28,3,15,4,0,23,3,9,3,0,15,3,11,7,0,18,0,3,0,0,11,0,3,0,0,4,0,9,0,7,14,0,5,0,0,7,0,0,0,0,4,0,3,0,0,4,0,6,0,0,6,0,4,3,0,9,0,0,0,0,0,31,104,64,14,215
LGA35740,94,18,31,6,151,62,3,12,3,79,51,15,70,6,142,35,6,87,0,129,337,43,144,6,521,205,60,244,0,509,1011,113,272,12,1406,656,224,303,14,1201,780,407,284,15,1488,716,439,200,15,1364,439,436,139,15,1025,439,388,83,11,917,654,706,106,12,1483,392,475,24,4,899,216,318,7,0,546,124,190,17,0,333,351,381,12,3,747,548,800,204,5,1562,132,50,38,0,213,7243,5079,2267,118,14712
LGA35760,39,15,3,0,61,20,3,5,0,24,12,10,13,0,31,5,3,17,0,31,90,22,35,6,148,42,19,40,6,110,238,40,47,3,329,123,64,41,6,233,117,90,25,4,240,115,89,13,3,225,59,72,11,3,154,76,72,7,0,155,103,119,7,3,221,53,58,3,0,106,19,35,3,0,62,21,12,3,4,36,36,37,0,0,70,94,139,34,3,270,56,18,16,5,91,1314,919,327,39,2599
LGA35780,0,0,0,0,5,0,0,0,0,3,0,0,16,0,18,0,5,18,3,29,4,13,21,3,45,4,17,24,4,50,7,29,26,0,59,9,33,21,3,66,6,38,17,3,61,9,34,19,3,69,4,17,6,0,29,6,14,3,0,27,9,34,7,0,48,5,9,8,0,23,4,9,0,0,13,3,7,0,0,11,8,3,0,0,11,7,16,16,0,37,0,0,0,0,0,89,281,204,23,598
LGA35790,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,26,0,27,15,15,23,8,59,3,20,21,3,44,8,17,14,4,43,14,34,24,4,72,4,21,21,4,52,4,15,15,0,41,4,21,11,0,33,3,12,8,0,22,8,19,6,3,38,3,7,5,0,12,0,3,0,0,10,0,3,0,0,4,0,3,0,0,3,3,11,10,0,23,0,3,0,0,4,69,206,200,27,496
LGA35800,10,0,3,0,10,0,0,0,0,7,0,3,0,0,4,0,0,8,0,8,4,0,4,3,16,7,0,13,0,19,35,0,5,0,41,9,3,13,3,28,18,11,8,0,37,26,15,4,0,48,8,8,6,0,20,12,10,0,0,23,18,10,0,0,28,10,5,0,0,21,6,8,0,0,9,8,6,0,0,9,6,5,0,0,14,13,20,9,0,48,3,0,7,0,8,183,110,88,6,395
LGA36070,0,0,0,0,3,0,0,3,0,4,4,4,6,0,8,0,0,10,0,12,11,9,7,7,27,0,4,15,0,18,11,8,3,3,25,3,4,6,0,21,3,9,3,3,22,0,4,0,0,9,3,4,0,0,6,3,4,0,0,5,7,5,0,0,9,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,8,0,12,0,0,0,0,0,58,72,55,12,196
LGA36150,0,4,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,0,3,7,6,4,0,20,8,3,3,0,12,5,0,0,0,12,17,9,4,0,25,7,4,0,0,6,6,8,0,0,17,13,14,0,0,21,3,4,0,0,12,4,6,0,0,11,0,0,0,0,4,0,3,0,0,3,8,19,4,0,32,4,0,0,0,3,94,77,29,0,201
LGA36250,213,26,69,5,311,111,19,39,4,177,86,28,128,9,247,74,15,177,3,266,599,61,331,21,1011,474,116,583,12,1180,2238,215,628,47,3124,1308,398,699,53,2461,1583,844,775,50,3263,1399,1116,582,51,3154,921,1216,459,39,2633,992,1382,336,42,2745,1960,3038,448,45,5496,1215,2472,208,27,3927,701,1611,80,10,2404,404,1181,84,4,1670,742,2188,71,12,3012,1002,2160,499,20,3671,285,165,107,9,568,16302,18243,6310,463,41327
LGA36300,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,3,0,3,7,0,0,0,9,8,3,4,0,17,12,12,3,0,27,9,11,0,0,21,11,6,3,0,16,10,0,0,0,7,8,5,3,0,17,11,5,3,0,14,0,3,0,0,3,0,3,0,0,3,7,3,0,0,4,4,19,5,0,30,0,0,0,0,9,93,69,33,3,202
LGA36370,70,26,50,3,145,62,10,30,6,112,59,23,111,8,202,27,13,165,3,213,321,55,336,16,737,176,87,483,10,767,1078,187,494,44,1812,534,336,486,55,1414,663,541,396,28,1635,699,574,314,36,1625,453,653,238,27,1370,485,672,180,24,1357,879,1352,184,29,2440,500,984,73,14,1574,277,595,19,8,901,161,318,31,5,516,314,569,35,7,923,673,1211,324,16,2229,166,68,79,9,321,7593,8283,4032,368,20277
LGA36510,67,9,23,0,100,41,6,7,0,61,37,12,37,0,82,21,14,55,0,84,217,41,130,5,393,137,67,227,6,431,816,84,200,20,1114,423,195,179,22,818,508,320,192,14,1034,496,405,132,14,1043,271,361,81,3,718,316,335,61,7,721,466,673,66,4,1213,240,427,19,3,691,161,308,11,3,479,76,182,9,3,273,138,232,17,3,387,342,566,145,3,1057,105,58,29,3,202,4873,4296,1614,119,10901
LGA36580,35,8,17,0,63,28,8,11,0,51,24,12,26,0,59,9,3,53,3,73,186,24,79,6,302,102,29,134,0,269,547,106,140,8,805,266,155,151,13,575,302,235,121,10,660,258,230,78,4,573,134,230,55,3,425,141,222,31,3,402,289,380,23,9,695,134,220,11,0,365,71,103,3,3,183,34,59,10,4,97,52,85,12,0,147,186,346,102,3,632,57,42,24,3,132,2853,2500,1069,81,6508
LGA36630,48,7,12,0,71,38,12,9,0,58,33,13,44,0,98,22,8,62,0,91,292,38,127,5,463,137,66,212,8,424,931,145,184,20,1286,394,173,201,22,792,403,290,152,23,868,407,299,108,13,820,179,268,53,3,500,206,184,33,0,432,277,377,48,6,709,146,232,9,3,393,75,143,4,0,228,42,77,12,0,130,86,116,4,0,206,251,381,112,10,749,114,45,42,3,201,4080,2879,1436,118,8511
LGA36660,56,9,20,0,93,49,8,13,3,66,36,12,45,3,100,24,8,59,3,89,263,49,106,10,425,131,51,228,8,416,911,132,218,10,1269,427,204,175,27,832,515,360,168,24,1072,463,400,101,13,980,218,310,65,3,597,220,327,46,14,608,359,473,35,11,884,158,254,18,0,430,66,144,5,0,215,32,63,7,0,108,61,104,5,0,174,267,469,119,7,860,114,41,44,7,204,4375,3415,1486,139,9420
LGA36720,415,104,173,19,710,252,52,103,10,415,238,73,284,19,613,146,50,395,11,597,1453,175,752,39,2419,995,321,1347,44,2707,5138,587,1542,75,7341,3238,1162,1527,115,6043,3971,2106,1580,139,7800,3508,2728,1118,108,7463,2030,2600,771,74,5479,2130,2584,503,60,5280,3683,5040,648,76,9444,2143,3498,207,35,5877,1073,2195,84,16,3370,709,1373,90,9,2175,1369,2561,72,12,4012,2367,4170,1014,42,7597,583,292,230,22,1121,35444,31668,12447,915,80469
LGA36820,38,7,20,3,64,42,8,15,4,75,29,12,34,0,77,18,0,45,3,67,171,23,88,7,292,87,24,145,0,261,583,72,146,5,812,304,123,124,13,566,408,182,126,8,733,284,198,64,7,548,153,177,36,9,375,158,181,32,8,374,246,307,48,3,605,150,192,11,0,356,70,109,5,0,189,37,55,3,0,99,85,128,10,0,217,274,350,108,5,741,82,33,38,5,160,3216,2192,1092,97,6594
LGA36910,189,60,89,3,342,138,32,48,5,230,98,34,177,10,319,55,22,234,6,322,683,128,407,25,1241,415,182,785,16,1403,2573,378,828,44,3819,1459,653,802,75,2990,1679,1141,799,84,3712,1638,1434,595,83,3747,980,1412,417,42,2849,1101,1451,264,41,2855,2069,2730,288,64,5151,1210,1976,120,25,3329,679,1144,42,8,1870,349,722,50,4,1124,644,1327,36,5,2006,1205,2043,512,25,3779,319,132,108,18,579,17479,16993,6589,595,41659
LGA36950,0,0,5,0,4,0,0,3,0,3,0,0,8,0,12,0,0,5,0,12,3,3,5,0,11,3,0,16,0,18,7,8,10,0,29,5,7,17,4,32,5,13,12,0,34,9,19,17,3,42,0,15,10,0,31,3,22,4,0,35,28,44,5,3,82,20,37,0,0,57,10,21,3,0,34,11,15,0,0,23,8,25,3,0,43,15,52,26,4,100,15,25,16,7,60,152,325,175,32,678
LGA36960,3,0,3,0,7,0,3,10,0,13,0,6,32,0,34,0,4,33,0,41,21,28,38,7,94,7,34,61,5,105,13,36,47,0,98,11,67,39,7,120,12,57,27,0,98,9,44,17,7,75,4,42,3,0,51,3,15,5,0,29,12,32,12,8,56,5,15,0,0,16,0,5,0,0,5,3,0,0,0,3,0,7,0,0,3,3,58,19,3,78,7,5,12,0,31,124,450,356,32,967
LGA37010,190,64,129,24,405,107,31,77,15,236,104,43,233,18,402,67,17,340,9,437,616,115,519,38,1291,383,185,989,41,1594,1872,356,980,74,3278,1256,599,995,93,2949,1625,1048,1004,96,3765,1606,1386,717,96,3797,1123,1488,535,69,3209,1223,1523,387,45,3178,2479,3123,510,85,6192,1578,2556,189,50,4379,872,1602,64,14,2551,460,1010,68,8,1539,694,1647,51,3,2393,1792,2908,664,27,5397,286,196,160,11,651,18327,19900,8609,809,47645
LGA37300,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,3,0,6,5,0,5,0,13,3,0,0,0,8,6,3,8,0,17,10,9,5,0,30,8,21,11,4,41,16,34,8,0,58,44,81,14,0,143,44,86,5,0,137,46,59,3,0,116,26,43,3,0,74,55,87,3,0,149,21,75,5,0,100,0,7,3,0,14,307,518,79,3,907
LGA37310,64,16,19,0,96,35,9,8,3,59,22,13,35,0,74,15,8,60,0,92,170,30,99,6,312,96,51,161,3,312,471,87,169,6,739,264,130,156,17,562,309,283,125,16,733,290,294,88,10,690,181,277,41,7,511,227,247,39,4,518,382,547,44,4,979,217,352,15,5,592,119,180,9,0,305,63,120,10,0,191,148,216,9,3,380,264,516,111,6,894,76,41,36,0,160,3420,3429,1243,103,8188
LGA37340,50,10,13,3,85,33,8,3,0,44,28,18,34,3,86,12,0,55,3,73,145,21,85,7,265,82,30,166,3,279,431,71,135,4,646,257,121,152,5,533,344,207,130,4,685,373,236,87,11,708,213,217,45,9,480,249,265,24,14,554,389,438,52,5,881,208,313,18,6,539,123,193,6,4,330,63,108,10,0,182,124,191,7,0,327,315,534,96,3,952,98,31,18,4,157,3547,3016,1142,88,7798
LGA37400,9,0,0,0,6,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,9,3,3,0,17,0,0,5,0,3,11,3,4,0,20,8,6,3,0,14,11,3,0,0,15,22,10,3,0,35,4,5,0,0,15,11,12,0,0,21,14,12,0,0,33,6,5,0,0,15,0,3,0,0,4,5,3,0,0,5,4,3,0,0,8,12,23,9,0,42,8,0,3,0,7,139,94,33,3,280
LGA37550,0,0,0,0,0,0,0,3,0,3,0,0,20,0,20,0,0,11,0,11,8,7,13,3,28,0,6,10,0,18,3,4,11,8,27,0,6,5,0,23,0,10,4,0,12,0,3,9,0,20,0,0,6,0,7,0,0,0,0,4,0,3,4,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,0,19,0,5,4,0,8,21,57,110,17,206
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,3,4,4,3,0,12,3,0,3,3,15,0,0,3,0,5,0,4,4,0,8,0,7,0,3,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,8,29,27,10,72
LGA37600,0,0,0,0,0,0,4,0,3,8,0,0,20,0,21,0,0,20,0,20,4,5,31,8,54,0,12,48,0,59,8,23,22,6,55,7,37,31,8,80,3,37,19,0,64,3,28,8,3,42,0,23,11,0,31,4,6,6,0,22,7,16,3,0,24,0,4,0,0,7,0,8,0,0,10,0,0,0,0,3,0,3,0,0,3,4,22,23,0,50,0,0,4,0,3,47,223,254,34,558
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
