LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA33430,850,295,529,72,1743,389,111,203,24,725,366,151,482,44,1038,266,121,670,16,1076,2125,397,1314,90,3917,1393,653,2552,78,4665,6904,1129,2772,177,10977,4200,2067,2994,216,9466,5510,3824,3118,274,12728,5349,4752,2314,278,12697,3450,4648,1658,166,9930,3979,4969,1199,130,10273,7237,9633,1550,232,18654,4213,7181,533,107,12035,2324,4507,222,43,7089,1331,2992,254,21,4596,2762,5944,221,32,8960,3738,6968,2016,78,12806,1001,563,429,39,2020,57379,60903,25027,2103,145416
LGA33610,21,11,7,0,36,8,6,0,0,23,7,3,5,0,23,4,0,15,0,20,62,6,27,0,96,29,14,44,0,88,157,25,53,8,240,89,42,49,3,182,117,99,37,8,263,116,107,21,6,244,59,99,13,4,171,103,89,18,0,212,147,175,15,3,339,68,107,3,0,177,35,45,3,0,84,24,30,3,0,58,44,60,0,0,104,83,141,37,4,266,35,10,19,0,64,1197,1081,366,41,2692
LGA33620,96,16,29,0,145,60,15,12,4,93,53,14,72,3,142,48,15,125,0,184,389,52,214,8,662,253,91,372,4,719,1387,207,325,22,1941,659,291,286,26,1258,688,444,293,22,1449,588,514,142,11,1257,293,385,95,7,783,299,404,62,7,768,438,563,53,6,1071,207,379,14,3,608,132,174,13,0,316,43,101,11,0,159,92,170,14,0,278,388,618,173,3,1190,163,56,57,4,278,6273,4514,2363,137,13290
LGA33800,20,6,6,0,32,14,0,3,0,20,8,7,11,0,25,13,3,23,0,36,93,14,24,0,131,47,17,33,3,94,258,17,50,7,331,147,45,37,3,229,156,80,35,3,272,150,103,32,4,288,66,84,20,5,172,77,92,8,0,185,135,173,19,3,324,73,111,8,0,192,34,57,3,0,92,12,38,0,0,49,34,61,0,0,96,109,141,47,0,300,55,18,9,4,90,1496,1061,369,31,2959
LGA33830,0,0,0,0,3,0,0,0,0,0,0,0,9,0,14,0,0,9,0,9,6,7,11,0,26,3,6,11,3,21,5,18,3,3,30,0,10,3,0,13,3,10,3,0,17,4,14,3,0,22,0,5,0,0,8,3,5,0,0,3,3,6,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,16,0,0,0,0,0,35,90,57,15,198
LGA33960,168,64,160,17,406,90,27,68,13,199,91,50,250,15,404,63,47,401,3,520,523,162,668,28,1391,402,260,1287,29,1976,1978,482,1283,83,3826,1199,929,1225,101,3456,1470,1697,1244,97,4512,1477,2122,904,94,4602,1077,1958,642,63,3741,1140,1984,433,63,3625,2247,3892,552,103,6796,1250,2617,221,41,4131,677,1649,66,13,2407,298,905,60,6,1268,388,1289,58,16,1748,1084,2514,743,28,4381,241,219,199,22,676,15875,22872,10474,842,50060
LGA33980,27,13,6,0,43,21,3,0,0,22,8,0,12,0,20,5,6,15,0,26,41,11,35,0,85,18,9,49,0,71,82,18,45,0,152,41,26,43,0,117,93,83,33,3,207,96,108,38,7,243,67,99,29,0,201,99,156,22,0,274,236,449,48,4,730,168,312,13,4,494,120,156,9,5,288,90,218,19,0,327,215,461,10,4,692,153,314,44,6,519,40,31,17,3,89,1622,2468,492,28,4610
LGA34420,0,0,0,0,3,0,0,0,0,0,0,6,9,0,16,0,0,11,0,14,9,8,12,0,24,8,5,15,5,32,3,8,7,3,23,10,14,11,7,39,6,12,5,3,21,3,6,0,0,17,4,3,3,0,14,0,8,0,0,5,7,0,3,0,14,7,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,0,0,59,79,78,17,240
LGA34530,70,17,19,0,102,37,5,11,0,55,30,8,35,0,80,21,9,63,0,92,196,20,90,3,309,119,34,166,3,325,598,70,152,12,828,325,107,143,12,583,396,183,163,4,744,331,260,93,9,691,190,251,62,6,513,255,282,46,3,583,446,539,70,9,1070,272,417,30,9,725,172,302,5,0,486,95,213,11,0,320,179,334,13,0,525,433,783,98,3,1313,91,32,39,0,164,4255,3871,1303,93,9516
LGA34570,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,4,6,0,16,0,3,5,0,6,0,3,0,0,6,0,3,4,0,7,0,9,5,0,9,0,3,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,4,14,12,3,36,3,12,6,0,21,23,58,48,7,135
