LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,20,0,39
LGA30300,0,0,0,22,3,0,0,0,0,0,0,0,0,8,25,36,0,0,0,3,0,0,0,0,0,0,4,14,149,33,3,83,8,41,5,17,8,96,39,480
LGA30370,0,3,0,119,8,0,0,8,0,6,0,3,0,9,81,111,10,0,3,4,0,0,0,0,0,17,11,43,486,51,24,268,28,163,10,67,17,318,104,1543
LGA30410,0,3,0,20,0,0,0,0,0,3,0,0,0,0,27,32,3,0,0,0,0,0,0,0,0,4,3,9,100,7,5,56,3,33,0,9,7,86,32,339
LGA30450,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,3,0,0,0,0,3,3,30
LGA30760,0,0,0,5,0,0,0,0,0,3,0,0,0,0,11,15,4,0,4,0,0,0,0,0,0,8,3,14,74,4,7,36,9,20,3,15,4,77,14,271
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,3,18,3,3,5,0,4,0,0,0,8,3,40
LGA31000,51,695,21,10004,324,37,25,147,46,162,21,99,34,497,6061,7458,111,11,51,60,9,40,9,32,15,460,396,1191,31030,4734,736,15270,1582,11606,647,6887,975,27840,6815,108119
LGA31750,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,8,0,4,0,0,0,6,3,43
LGA31820,3,28,4,242,18,3,0,15,0,22,3,11,3,106,604,790,16,6,3,8,4,9,0,3,0,148,114,317,1593,383,80,1245,122,1035,65,819,137,5714,818,12008
LGA31900,3,0,0,70,3,0,0,3,3,10,0,3,0,23,80,134,3,4,0,3,4,7,4,3,0,23,15,64,389,57,22,311,30,225,16,129,30,726,119,2050
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,9,3,31
LGA32080,8,46,0,678,41,9,3,25,4,49,6,20,12,71,1113,1348,28,4,14,17,0,16,4,9,11,88,84,258,3839,675,105,2347,272,1600,154,1060,168,3641,1271,15135
LGA32250,0,0,0,9,0,0,0,0,0,0,0,0,0,0,24,26,0,0,0,0,0,0,0,0,0,7,0,7,73,4,6,24,0,14,0,6,0,52,28,215
LGA32260,0,17,0,93,3,6,0,8,3,10,3,6,0,22,158,216,5,3,0,4,3,3,0,4,0,34,24,85,665,169,26,507,59,289,25,280,39,1189,210,3450
LGA32270,3,0,0,228,14,0,0,3,3,14,0,5,0,16,169,221,10,0,0,4,0,0,0,3,4,16,14,60,783,98,29,470,49,324,23,85,32,326,196,2408
LGA32310,0,4,0,29,5,0,3,0,0,4,0,3,0,13,90,120,3,0,0,4,3,3,0,0,0,13,17,42,231,45,0,120,19,137,14,81,20,422,121,1206
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,22,0,35
LGA32450,0,0,0,25,0,0,0,0,0,0,0,0,0,0,20,28,3,0,0,0,0,0,0,0,0,0,0,5,97,7,4,25,6,32,0,9,0,27,28,229
LGA32500,0,0,0,10,5,0,0,0,0,0,0,0,0,5,28,44,4,0,0,3,0,0,0,0,0,9,4,18,100,18,4,55,7,36,0,26,4,106,37,387
LGA32600,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,0,0,3,0,0,3,8,9,31
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,0,0,0,0,0,0,3,20
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,7,0,5,0,18,3,40
LGA32810,0,10,0,50,3,3,0,3,3,4,0,0,0,8,80,102,0,3,0,0,0,3,0,0,0,3,7,23,351,100,24,217,25,91,9,99,18,358,97,1387
LGA33100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,4,4,26,0,0,7,0,5,0,4,0,18,13,83
LGA33200,0,0,0,12,3,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0,3,10,78,8,0,31,0,11,0,7,3,34,19,208
LGA33220,4,36,0,249,14,6,0,8,3,22,0,15,3,162,610,850,9,3,3,6,0,14,3,5,4,229,127,412,1316,458,67,1111,98,1011,81,977,139,7838,844,13944
LGA33360,9,16,0,451,19,0,0,13,3,21,0,6,3,39,464,567,9,4,0,10,0,9,0,0,4,39,39,111,1398,203,56,865,93,938,36,405,94,1742,522,6351
LGA33430,21,389,9,2762,129,33,23,87,30,93,13,71,13,368,2878,3738,72,17,45,37,18,23,11,26,15,418,313,1001,12235,2955,392,8291,751,5427,393,4116,492,18859,3459,57379
LGA33610,0,7,0,44,3,0,0,3,0,7,0,0,3,9,57,83,3,0,0,3,0,0,0,0,0,14,8,35,311,43,9,186,22,110,21,65,9,345,69,1197
LGA33620,0,19,0,92,15,0,5,3,0,10,0,6,6,56,293,388,9,0,8,4,0,0,0,6,0,72,51,163,744,264,50,642,65,498,51,456,84,3016,405,6273
LGA33800,0,3,0,34,3,0,0,7,0,3,0,5,0,15,64,109,5,0,0,0,0,11,0,3,0,30,8,55,228,41,16,184,22,165,9,98,23,610,98,1496
LGA33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,6,0,3,0,14,0,35
LGA33960,3,11,3,388,64,13,5,33,3,34,5,20,11,93,806,1084,18,8,12,9,0,11,0,9,3,106,77,241,4125,547,126,2182,254,1880,108,960,188,4528,965,15875
LGA33980,0,0,0,215,9,0,0,8,0,4,0,0,0,8,122,153,5,0,0,3,0,0,0,3,0,11,13,40,589,45,19,239,26,259,11,63,28,193,138,1622
