LGA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
LGA31900,6,7,92,8,3,52,15,69,5,258,32,9,151,13,0,17,51,88,5,364,92,52,218,21,9,13,128,137,6,680,166,52,189,28,14,29,187,143,10,814,264,63,157,26,28,22,212,176,12,962,225,60,144,28,28,18,197,178,13,880,102,16,39,3,7,13,34,39,3,263,46,3,0,0,0,0,0,4,3,58,0,0,0,0,0,0,0,0,4,6,930,267,989,135,82,159,825,826,69,4283,3,9,19,58,17,132,4,22,6,268,19,46,28,64,46,40,5,49,4,301,53,143,31,89,126,66,13,61,4,579,76,144,33,108,174,71,24,71,15,711,99,128,31,132,212,82,21,128,10,843,83,88,32,115,155,57,17,115,3,667,41,17,6,23,37,8,3,21,0,156,7,3,0,0,5,0,0,3,4,26,0,0,0,0,0,0,0,0,0,0,382,579,177,586,772,450,81,477,48,3556
LGA31950,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,5,0,9,3,0,0,0,8,0,3,3,3,15,4,3,4,0,3,0,0,5,0,23,0,0,3,0,0,0,0,5,0,14,8,3,0,0,3,0,0,0,0,15,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,15,3,15,0,4,21,3,85,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,5,7,0,0,3,0,0,3,0,17,3,0,0,0,0,0,0,4,0,7,4,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,3,3,12,0,3,15,0,64
LGA32080,39,33,386,207,31,582,78,522,37,1905,109,240,994,372,94,327,200,550,65,2948,712,1189,2376,789,321,449,670,802,136,7450,1167,1417,2149,787,438,447,800,811,168,8185,1355,1411,1854,679,461,486,963,846,178,8243,1062,999,1225,367,352,350,767,635,103,5854,267,307,237,77,112,130,236,187,35,1592,67,29,15,4,12,10,12,20,14,188,19,9,3,0,0,3,0,0,3,32,4808,5630,9226,3294,1827,2785,3733,4362,736,36397,28,48,80,527,170,1095,5,202,29,2189,152,472,211,746,513,591,33,170,31,2909,641,2084,416,1490,1417,754,61,397,96,7352,783,2267,381,1536,1927,818,76,585,108,8474,880,2006,307,1382,1980,908,100,706,108,8370,512,1212,158,840,1400,630,59,580,64,5454,111,207,43,143,290,171,19,124,36,1135,19,16,0,10,19,20,3,10,14,106,4,0,0,0,0,4,0,0,5,15,3120,8302,1600,6658,7721,4984,353,2777,491,36009
LGA32250,0,0,4,3,0,0,0,12,0,23,4,0,6,3,0,0,0,14,3,38,9,7,23,10,5,0,3,22,3,81,18,11,12,3,3,0,8,12,3,78,17,7,19,8,3,0,13,18,0,87,14,9,21,3,8,3,17,14,3,97,10,0,4,0,0,0,4,8,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,80,36,90,41,17,4,49,105,16,440,0,0,0,11,0,0,0,0,0,15,0,3,0,6,3,3,0,9,0,25,5,21,5,15,16,0,0,11,4,74,7,15,4,18,10,10,0,10,0,73,15,16,5,17,28,3,0,9,0,96,6,8,5,7,16,3,0,20,3,71,3,0,0,4,3,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,61,23,73,80,22,0,57,10,371
LGA32260,14,0,111,12,3,72,18,114,8,349,44,25,160,27,14,11,60,199,13,550,160,73,296,49,23,36,165,344,28,1170,224,72,259,65,18,38,171,245,16,1122,315,115,281,65,39,39,270,286,38,1458,284,124,254,35,47,51,289,237,24,1338,139,40,45,5,9,29,63,49,15,396,51,11,10,3,4,3,7,6,8,96,6,0,0,0,0,0,0,0,0,5,1233,463,1411,267,152,285,1043,1485,145,6486,9,8,22,59,27,152,9,73,7,363,30,49,22,72,64,67,7,93,8,417,86,184,54,138,159,90,7,205,18,952,124,185,44,178,215,106,19,159,6,1043,169,213,72,231,297,126,33,215,11,1363,125,186,45,200,238,130,20,222,6,1169,49,31,8,34,52,26,3,40,16,257,15,3,0,3,3,3,0,0,3,29,0,0,0,0,3,0,0,0,0,5,613,858,270,913,1061,706,97,1016,69,5595
LGA32270,9,0,100,15,6,83,26,125,8,378,39,30,250,18,5,41,108,153,6,653,178,173,632,48,37,39,514,211,24,1856,303,127,502,33,34,25,573,114,34,1748,327,115,345,35,52,43,535,126,37,1614,244,68,215,13,27,19,384,104,20,1097,113,15,45,3,8,10,65,30,9,282,38,0,4,0,3,3,3,3,0,57,8,0,0,0,0,0,0,3,0,5,1255,531,2090,162,176,259,2220,867,140,7689,9,9,27,75,35,129,7,51,0,352,24,102,37,86,105,88,27,84,3,560,139,336,87,165,300,142,52,142,10,1373,147,238,65,173,298,146,63,165,22,1316,223,171,44,152,300,131,73,151,13,1250,139,84,32,75,185,80,30,116,8,739,76,11,4,9,24,8,3,23,3,167,7,0,0,0,4,0,0,0,0,18,0,0,0,0,3,0,0,0,0,4,759,953,290,728,1256,730,250,738,65,5772
LGA32310,5,0,29,9,0,40,7,68,6,172,5,11,72,10,8,18,7,45,3,174,39,50,115,12,3,20,82,81,4,411,98,38,117,20,9,18,108,50,9,470,104,42,101,29,14,3,129,54,4,491,97,37,73,19,20,11,102,66,12,438,44,10,12,7,10,6,16,20,3,140,14,0,0,0,0,0,0,3,0,25,3,0,0,0,0,0,0,0,0,3,405,197,524,117,59,116,457,392,46,2319,0,7,11,31,5,68,0,24,3,165,7,36,7,43,22,34,0,23,0,185,35,107,27,61,67,34,3,42,3,373,68,107,30,80,99,48,14,49,6,492,93,108,26,94,99,38,16,74,4,546,67,61,18,68,61,29,14,65,7,393,26,11,4,12,17,5,0,18,0,97,7,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,298,439,125,389,378,262,45,304,29,2264
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,3,4,0,8,0,0,3,6,0,0,3,6,0,11,0,3,4,4,3,0,0,5,0,19,5,6,0,4,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,15,3,0,6,20,0,64,0,0,0,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,5,0,3,0,10,0,0,0,0,0,13,0,0,4,6,3,0,0,0,0,20,0,0,0,6,0,0,0,0,0,7,0,0,0,0,3,0,0,3,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,31,15,0,0,6,3,67
LGA32450,0,0,5,0,0,5,0,18,0,33,6,16,20,0,3,3,11,30,0,78,23,31,59,12,4,4,64,35,4,239,26,23,54,6,3,3,58,19,3,196,26,8,43,5,11,6,63,19,6,185,30,17,28,3,9,0,55,23,3,161,18,0,6,7,3,0,7,6,3,48,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,124,91,202,26,37,24,258,147,17,936,0,0,0,6,3,11,0,9,0,29,0,11,4,8,17,7,3,10,0,55,13,43,4,21,44,10,7,9,0,165,23,11,6,16,25,6,3,13,0,106,14,28,4,6,28,6,6,9,0,107,5,16,7,8,22,5,3,12,3,82,10,3,0,3,8,3,0,3,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,71,111,26,74,150,51,28,71,11,584
LGA32500,0,3,13,5,0,8,3,10,0,39,4,8,23,11,8,7,5,29,3,86,21,27,40,18,3,6,30,35,0,178,28,36,42,5,4,3,23,33,3,187,44,25,34,14,5,3,31,44,0,198,32,29,36,10,5,9,20,25,3,160,19,0,4,0,3,3,9,5,3,58,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,154,129,188,60,38,37,124,174,18,917,0,0,0,11,3,9,0,6,0,36,3,8,0,14,12,3,3,15,0,64,16,41,10,30,17,8,3,31,0,146,24,44,6,25,29,4,3,9,3,158,17,29,5,24,40,18,3,21,4,157,27,46,9,32,25,11,0,30,3,189,7,4,0,3,4,0,0,3,3,31,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,97,180,29,145,135,60,18,118,18,790
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,4,0,0,0,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,10,5,0,0,0,0,0,3,3,3,14,7,0,6,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,5,5,3,0,0,11,13,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,5,0,0,0,0,0,10,4,0,0,0,3,0,0,0,0,14,4,0,0,0,0,0,0,3,0,15,3,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,15,10,3,0,6,0,51
LGA32750,0,0,3,0,0,3,0,7,0,11,0,0,0,0,0,0,0,5,0,7,8,0,0,3,0,0,0,3,0,16,5,0,6,0,0,0,0,4,0,19,8,0,3,3,3,0,3,0,0,17,6,0,3,0,0,0,3,0,0,14,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,14,10,6,0,6,24,0,85,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,3,7,3,0,6,0,21,3,0,0,3,4,0,0,3,0,11,0,0,0,0,3,0,0,4,0,13,3,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,5,10,14,4,0,13,0,76
LGA32770,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,3,0,17,0,3,3,3,0,0,0,11,0,24,7,3,11,10,4,0,3,5,0,49,0,3,3,3,0,0,0,8,5,23,0,0,0,3,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,19,29,12,4,10,32,6,135,0,0,0,0,0,3,3,0,0,9,0,3,0,0,5,0,0,0,0,9,0,11,5,21,0,3,0,3,0,42,4,0,0,11,11,3,0,5,3,42,3,5,0,12,7,0,0,3,0,22,0,3,3,10,3,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,8,54,25,12,3,13,6,144
LGA32810,7,0,28,15,0,18,3,52,0,134,3,3,73,32,4,3,9,32,3,163,72,56,185,71,18,19,23,97,9,546,91,63,170,64,18,18,42,85,16,571,114,78,157,52,22,33,70,92,22,634,127,48,100,39,21,30,73,102,10,548,49,19,16,9,10,8,30,21,4,170,11,5,0,0,4,3,4,3,0,38,7,0,0,0,0,0,0,0,0,8,474,280,738,281,99,138,253,483,63,2806,3,3,9,30,8,48,0,14,3,111,8,21,10,66,17,23,0,20,8,176,70,88,35,143,69,61,3,51,6,529,85,92,38,117,112,76,3,49,8,574,82,95,35,109,128,93,10,92,9,653,69,76,22,83,89,73,3,78,4,495,42,21,3,12,31,24,0,18,0,136,4,5,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,357,394,149,555,457,401,18,323,41,2698
LGA33100,0,0,3,0,0,0,0,8,0,14,0,0,0,0,0,0,4,10,0,11,8,4,9,0,0,0,0,9,0,28,9,3,5,3,0,0,8,8,0,30,24,0,4,4,0,0,9,8,3,53,25,0,3,3,3,0,3,3,0,47,7,0,0,0,3,0,0,4,0,16,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,69,13,25,12,6,0,29,53,4,204,3,0,0,0,0,0,0,3,0,7,0,3,0,3,3,0,0,3,0,7,4,10,3,6,9,0,0,8,0,37,11,3,4,3,5,0,0,0,0,26,20,0,4,4,10,0,0,6,0,46,7,3,0,0,3,0,0,10,0,21,3,3,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,20,10,15,29,6,0,38,0,158
LGA33200,4,0,3,0,0,4,3,11,0,19,0,3,9,3,0,0,5,20,0,39,15,4,17,0,0,0,12,20,0,71,19,4,12,0,0,0,11,11,0,64,39,5,3,4,7,0,25,13,5,93,36,4,16,0,0,0,16,9,0,86,25,0,3,0,0,0,3,5,3,43,11,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,149,19,62,14,12,14,70,90,4,434,0,0,0,8,3,0,0,3,0,15,0,3,3,5,4,5,0,7,0,31,9,7,3,8,9,5,3,9,0,53,20,9,0,3,9,3,3,5,0,59,25,11,4,14,9,6,3,12,0,86,23,4,3,6,15,0,0,12,0,64,26,0,0,0,3,3,0,3,0,45,5,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,107,39,10,41,57,32,8,58,5,353
LGA33220,12,10,195,80,16,265,47,328,20,968,42,57,409,111,36,133,125,301,27,1247,250,331,827,242,99,179,294,420,47,2694,433,452,863,310,148,207,424,416,52,3312,531,467,876,304,168,196,608,540,68,3753,469,411,700,253,149,188,561,448,46,3222,163,116,112,34,38,70,103,88,25,753,47,14,13,3,6,3,12,7,14,112,8,3,3,0,0,3,0,3,0,22,1967,1854,3989,1338,667,1246,2177,2561,285,16078,11,21,44,253,90,612,7,104,22,1166,55,173,72,311,144,274,9,84,10,1129,197,628,136,531,487,308,22,170,26,2504,282,854,192,726,740,356,37,267,43,3489,336,922,176,894,986,459,37,403,45,4258,240,599,114,652,732,295,30,356,37,3055,78,99,12,75,127,56,5,76,25,539,15,4,0,4,4,3,0,4,9,47,5,0,0,0,0,0,0,0,0,6,1213,3308,743,3449,3300,2354,146,1469,210,16192
LGA33360,12,4,225,49,7,235,37,264,20,854,31,82,552,66,25,85,167,256,14,1275,220,309,1222,130,91,97,515,537,74,3200,379,397,1268,102,119,64,709,386,78,3519,450,364,1104,88,151,64,856,388,93,3568,319,224,620,45,92,48,662,288,40,2353,116,55,75,14,15,16,87,51,7,432,27,4,0,0,0,3,0,4,3,53,0,0,3,0,0,0,0,0,0,3,1557,1442,5075,505,508,612,3035,2180,342,15253,16,8,50,166,60,385,9,126,8,821,56,162,102,237,209,190,13,91,13,1082,227,623,198,422,502,300,78,192,25,2562,248,629,178,464,575,272,85,271,27,2747,263,528,128,450,638,333,97,375,27,2844,150,234,51,221,351,173,41,242,8,1474,64,48,7,16,60,24,4,29,9,265,4,5,0,0,5,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,1026,2239,721,1975,2403,1676,332,1320,127,11829
LGA33430,116,139,1330,793,190,1803,344,2119,140,6964,602,1144,3439,1343,597,1744,843,2337,239,12295,3402,4737,8661,2226,1417,2175,2298,3735,510,29165,5289,5424,7822,1853,1528,2072,2485,3010,651,30132,5468,4538,6751,1742,1563,2003,2808,2812,586,28279,3599,3212,4165,1059,1198,1600,2212,2173,343,19558,1210,1166,932,256,409,763,686,678,174,6271,167,143,61,29,52,98,43,83,52,741,18,11,6,0,3,3,3,7,11,64,19869,20512,33172,9307,6966,12263,11727,16947,2715,133473,123,182,246,2022,632,3974,84,776,126,8166,751,1807,644,3355,2142,2903,145,681,169,12604,2939,7272,1499,4889,5389,3104,251,1425,391,27160,3261,7417,1334,4387,6561,2706,267,1526,391,27848,3077,5872,1147,4369,7317,3329,379,2075,352,27925,1794,3707,643,2669,5052,2517,295,1645,249,18563,436,826,148,471,1252,736,75,379,93,4421,41,60,7,25,89,44,3,29,37,339,3,8,3,3,3,3,3,0,19,50,12435,27157,5670,22184,28431,19321,1517,8535,1822,127077
LGA33610,3,0,43,4,0,18,12,47,5,134,27,8,72,8,4,10,30,55,0,215,90,30,134,16,15,22,72,91,5,483,139,47,97,13,7,19,85,71,7,477,179,40,88,14,11,32,100,90,11,562,159,39,61,13,14,20,102,91,7,510,75,10,17,0,4,6,37,20,5,176,27,0,4,0,4,0,3,4,0,42,4,0,3,0,0,0,0,3,0,10,698,170,512,67,60,142,438,476,39,2606,3,3,3,34,10,53,3,21,0,129,3,33,9,51,22,26,7,27,0,181,44,119,27,70,101,32,11,65,3,462,62,94,11,82,114,45,11,40,4,463,88,83,25,77,135,40,13,49,5,504,72,63,10,60,78,33,5,54,5,380,34,4,3,11,16,8,4,19,3,101,14,0,0,0,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,315,396,95,385,479,249,43,262,26,2250
LGA33620,14,3,123,29,18,108,24,197,17,527,31,19,232,31,11,66,80,213,12,700,128,104,481,78,33,87,229,328,25,1499,216,184,490,95,60,79,283,296,23,1720,348,210,490,127,81,119,420,350,37,2175,369,195,405,92,76,98,326,273,38,1870,183,55,63,16,12,28,77,53,11,504,52,12,3,0,4,3,3,8,15,106,12,0,4,0,0,0,0,0,0,17,1358,783,2298,460,295,578,1444,1717,175,9115,8,11,32,125,43,273,11,87,21,609,24,62,41,145,100,131,7,74,4,588,128,230,100,233,259,177,22,98,17,1269,175,319,116,310,377,203,26,171,17,1719,231,414,100,421,439,241,43,267,33,2185,213,306,52,274,351,137,23,226,24,1607,96,48,14,39,81,32,4,37,16,363,14,6,0,0,7,0,0,0,8,39,0,0,0,0,0,0,0,0,0,3,886,1407,461,1544,1668,1199,131,953,130,8385
LGA33800,0,3,53,8,0,31,8,35,0,139,3,16,93,9,3,4,24,32,0,185,29,34,119,10,5,7,73,67,4,358,52,50,100,18,8,21,92,66,3,410,117,41,120,24,11,14,154,73,11,569,142,37,112,12,13,20,132,87,10,556,105,11,23,7,5,9,35,24,5,224,46,0,3,0,4,0,3,4,5,68,9,0,0,0,0,0,0,0,0,6,495,202,620,89,53,98,520,391,44,2518,0,4,8,35,8,69,0,20,4,148,7,20,10,27,27,20,0,6,0,114,21,70,22,53,53,33,3,15,0,270,37,83,17,68,96,51,12,25,0,374,59,89,39,109,159,47,13,63,0,569,50,76,13,97,75,46,9,49,4,412,29,8,6,20,29,12,0,9,0,119,13,0,3,3,3,3,0,5,5,27,3,0,0,0,0,0,0,0,0,3,206,355,118,398,444,272,33,193,22,2037
LGA33830,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,10,0,15,0,4,6,3,0,0,6,5,3,30,3,3,3,3,0,0,14,3,3,41,3,3,6,4,0,0,7,11,0,30,0,0,0,4,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,19,14,7,0,32,29,9,136,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,0,0,0,13,3,3,0,13,8,0,0,0,0,30,3,3,0,3,8,0,0,0,0,16,0,3,0,9,0,0,0,4,3,17,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,28,18,3,0,15,4,96
LGA33960,35,28,500,178,61,583,150,786,48,2368,178,280,1389,359,228,483,639,1041,107,4706,874,1260,3222,832,696,627,1786,1718,259,11272,1247,1427,2352,697,719,463,1704,1301,223,10135,1271,1057,2043,566,640,419,1808,1118,188,9106,697,698,1174,395,422,248,1162,776,108,5677,145,154,214,71,67,72,230,130,27,1104,24,20,17,4,3,13,18,17,8,123,5,0,4,0,0,0,0,0,0,16,4477,4926,10920,3104,2827,2907,7503,6882,968,44507,62,37,97,587,233,1311,34,343,36,2740,236,454,274,1034,897,876,105,330,50,4251,820,2293,526,1763,2434,1012,199,577,154,9788,836,2056,393,1647,2218,797,187,756,131,9010,755,1480,323,1581,2233,726,220,995,111,8415,356,845,154,892,1272,421,115,658,51,4766,54,156,22,143,168,61,24,101,24,755,7,6,5,6,13,8,0,7,0,49,0,0,0,0,3,0,0,0,4,5,3124,7331,1789,7644,9464,5206,882,3769,564,39773
LGA33980,3,0,65,9,6,41,23,99,0,247,17,36,167,18,3,21,82,104,4,448,142,164,576,26,22,9,474,113,22,1550,184,119,487,26,33,4,594,73,21,1539,189,62,314,13,20,6,516,86,16,1238,168,37,164,4,20,5,310,69,12,797,60,7,19,0,5,4,40,17,0,156,14,0,3,0,0,0,3,4,0,23,7,0,0,0,0,0,0,0,0,8,790,421,1796,96,105,91,2051,559,86,6000,3,3,25,57,23,77,9,37,3,234,22,75,30,54,72,45,27,65,7,388,101,276,93,134,213,75,104,94,14,1105,130,161,55,142,199,77,79,117,11,968,113,96,46,88,165,73,77,134,8,793,85,24,20,31,77,34,27,93,3,398,35,3,4,3,12,3,0,14,4,82,8,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,505,638,273,509,757,376,314,556,51,3977
LGA34420,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,4,0,9,0,3,4,3,0,0,0,4,3,27,0,0,6,6,0,0,4,4,0,26,4,0,8,3,0,0,6,7,0,26,4,5,4,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,35,23,7,0,10,14,5,118,0,0,0,4,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,16,0,4,0,9,4,5,0,3,0,26,0,6,0,11,0,0,0,7,0,28,0,0,0,9,3,3,0,6,0,30,6,4,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,49,15,7,3,16,0,113
LGA34530,3,4,131,57,6,106,20,142,8,476,25,21,283,47,9,49,65,123,10,629,115,126,515,70,26,47,218,143,24,1279,242,185,542,80,62,58,317,147,29,1658,305,203,517,98,99,59,432,178,36,1928,279,220,359,67,65,66,337,142,33,1566,92,74,53,12,12,20,49,36,5,341,20,5,3,0,3,0,7,8,4,61,3,0,0,0,0,0,0,0,0,6,1091,835,2397,436,287,409,1440,913,148,7950,7,3,26,129,37,291,7,69,5,579,30,65,49,156,101,110,10,32,7,567,107,312,83,204,262,114,30,59,9,1186,157,389,100,283,365,142,23,118,21,1606,223,443,76,311,481,189,35,156,19,1930,140,288,63,209,341,126,21,135,25,1345,44,45,7,27,56,20,4,28,3,228,13,4,0,0,7,3,0,5,3,33,0,0,0,0,3,0,0,0,0,5,720,1548,410,1319,1654,990,129,609,97,7475
