LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA32500,1901,1534,3439,656,456,1110,189,287,476,74,47,119,75,61,133,993,843,1838,554,469,1026,7.6,7.2,7.2,52.2,55,53.4,48.3,51.5,49.6,17,32,44,11,41,51,100,175,271,99,151,249,480,203,680,27,30,61,39,32,79,547,271,820,1504,1279,2777,351,347,692,1017,836,1856,733,701,1441
LGA32600,126,108,229,45,36,81,13,16,27,6,0,7,6,5,11,67,59,121,22,21,42,9,8.5,9.1,53.2,54.6,52.8,50.8,48.1,50.2,0,0,0,0,0,0,4,3,12,4,10,14,19,6,32,0,4,3,0,3,0,26,10,35,81,84,161,17,22,42,55,60,113,38,41,79
LGA32750,118,114,239,71,48,120,11,20,35,3,3,9,0,6,6,91,85,173,20,12,30,0,7.1,3.5,77.1,74.6,72.4,72,62.3,68.6,5,4,11,0,0,0,5,16,22,9,4,15,30,19,49,0,4,8,0,0,0,33,25,51,99,91,190,24,25,56,64,55,118,52,53,106
LGA32770,399,466,862,65,68,130,63,67,124,5,10,24,36,31,68,173,172,344,207,273,477,20.8,18,19.8,43.4,36.9,39.9,33.3,31.1,32.3,3,0,10,3,8,4,14,13,23,7,11,23,29,21,50,11,14,27,8,3,13,50,36,83,621,611,1233,57,53,108,499,514,1011,101,86,192
LGA32810,4911,4867,9783,2001,1351,3350,630,1189,1818,181,160,336,178,114,298,2985,2814,5799,1269,1344,2614,6,4.1,5.1,60.8,57.8,59.3,57.3,55.5,56.3,93,99,193,40,103,137,371,607,980,364,479,845,1413,570,1977,63,77,136,108,131,234,1575,771,2348,4031,3781,7816,1013,1065,2080,2540,2295,4834,2295,2347,4647
LGA33100,362,288,651,153,108,265,29,44,75,17,9,29,15,6,20,220,163,388,102,91,199,6.8,3.7,5.2,60.8,56.6,59.6,55,55.9,56.7,3,3,7,0,0,0,8,27,32,17,24,37,71,27,102,5,3,4,9,10,17,82,36,119,336,282,619,48,40,87,245,191,437,116,107,222
LGA33200,643,625,1269,356,216,570,57,122,172,28,20,47,14,16,28,452,370,817,137,201,337,3.1,4.3,3.4,70.3,59.2,64.4,68.6,57.3,62.2,3,0,3,0,7,7,14,59,76,27,39,61,148,46,194,5,11,16,6,17,20,160,71,237,588,570,1159,104,104,211,418,374,790,238,259,495
LGA33220,41025,43429,84458,11035,6961,18000,4083,8244,12327,961,992,1950,2504,1911,4411,18583,18107,36684,19109,22028,41142,13.5,10.6,12,45.3,41.7,43.4,39.2,37.3,38.2,459,536,990,313,684,998,1958,3720,5677,2443,3618,6058,11729,5667,17397,498,804,1296,741,1093,1834,12965,7565,20530,36520,38286,74806,7459,8311,15767,23806,24482,48283,18673,20594,39274
LGA33360,24583,23119,47696,12208,5532,17743,2176,5598,7776,873,693,1564,1944,1422,3368,17197,13243,30441,5447,8168,13615,11.3,10.7,11.1,70,57.3,63.8,62.1,51.1,56.8,335,340,676,208,349,552,1495,2602,4103,1395,1753,3147,8705,3374,12085,280,487,771,353,442,802,9342,4309,13652,22924,21347,44274,5431,5658,11093,13821,12597,26417,13017,12875,25892
LGA33430,218486,236378,454866,96847,59354,156202,30906,60959,91869,5720,6757,12482,10110,9523,19635,143588,136598,280185,57523,81632,139158,7,7,7,65.7,57.8,61.6,61.1,53.8,57.3,7057,7553,14603,2301,4396,6696,23682,33433,57113,18376,28419,46798,56839,27637,84477,1679,3063,4737,3824,6334,10151,62341,37029,99366,190720,200906,391626,50308,54804,105110,109926,115114,225038,122110,132133,254248
