LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA35600,1659,1744,3411,833,569,1401,143,368,514,54,76,130,65,43,113,1099,1057,2161,417,541,958,5.9,4.1,5.2,66.2,60.6,63.4,62.1,58.1,60,12,18,31,6,36,42,74,214,291,77,128,200,337,186,522,12,34,43,18,33,45,367,244,614,1650,1634,3279,286,341,626,1122,1083,2202,670,755,1424
LGA35670,343,324,665,71,27,104,23,20,40,6,3,5,39,29,70,143,78,217,192,245,434,27.3,37.2,32.3,41.7,24.1,32.6,29.2,15.4,22.4,0,0,0,0,3,3,3,3,9,3,13,11,52,30,76,7,12,15,0,3,3,60,38,104,469,429,893,10,20,26,369,335,704,62,65,128
LGA35740,20978,22723,43702,7276,4340,11620,3230,6013,9252,561,577,1141,862,715,1577,11939,11646,23585,7543,9545,17088,7.2,6.1,6.7,56.9,51.3,54,52.8,48.1,50.4,659,674,1336,301,571,875,2339,3262,5606,1852,2936,4789,5816,2578,8387,152,332,484,432,679,1112,6397,3586,9985,18927,20061,38989,4062,4476,8532,11773,12378,24143,10721,11670,22394
LGA35760,4408,4213,8625,1792,957,2756,393,909,1298,147,136,286,133,104,241,2471,2105,4574,1370,1619,2984,5.4,4.9,5.3,56.1,50,53,52.9,47.5,50.3,27,31,63,14,59,71,169,335,498,166,311,474,853,472,1321,48,86,136,75,91,166,976,652,1624,3963,3836,7800,639,640,1280,2851,2777,5626,1522,1506,3028
LGA35780,844,926,1768,276,275,546,73,125,200,26,28,55,119,86,201,488,512,1005,303,377,677,24.4,16.8,20,57.8,55.3,56.8,44.4,46.2,45.3,4,13,17,6,7,14,27,60,89,35,97,129,195,157,348,39,44,86,9,13,23,241,220,460,1167,1253,2416,107,109,213,876,941,1816,245,261,499
LGA35790,825,833,1662,124,135,262,102,99,199,10,12,25,118,90,204,350,343,694,453,478,929,33.7,26.2,29.4,42.4,41.2,41.8,28.6,29.5,29.2,6,6,12,3,9,9,16,39,49,20,25,37,86,81,170,44,43,82,3,3,11,137,123,262,1075,1094,2167,84,90,172,930,890,1819,127,148,266
LGA35800,668,661,1325,299,208,507,48,123,172,20,28,47,27,13,42,396,371,766,214,241,456,6.8,3.5,5.5,59.3,56.1,57.8,54.9,54.3,54.8,5,9,13,3,16,21,17,50,64,29,57,90,140,69,210,4,16,23,11,13,24,155,95,257,646,648,1300,83,93,177,461,436,894,228,264,490
LGA36070,273,275,553,68,45,118,45,49,90,4,0,4,29,23,47,141,120,257,128,153,280,20.6,19.2,18.3,51.6,43.6,46.5,42.9,34.2,38.3,0,3,4,4,0,0,3,9,9,7,10,17,52,26,76,9,8,11,3,4,9,63,31,96,333,340,679,18,28,52,279,286,567,48,56,103
LGA36150,340,307,648,203,130,340,25,60,78,18,12,37,13,3,14,259,209,471,58,81,136,5,1.4,3,76.2,68.1,72.7,72.4,65.8,70.2,0,5,4,0,4,4,15,38,49,17,27,40,73,49,123,4,4,5,0,5,11,76,59,138,342,302,643,52,44,104,220,176,393,154,164,314
LGA36250,57691,61715,119405,27607,16330,43931,6942,15948,22890,1536,1813,3347,2477,2087,4563,38563,36166,74727,16379,22637,39014,6.4,5.8,6.1,66.8,58.6,62.6,62.5,55.2,58.8,1556,1550,3106,720,1306,2026,5442,7939,13385,5059,7280,12332,17387,8005,25390,509,968,1475,967,1660,2630,18859,10625,29490,55901,58192,114090,10562,11216,21779,36534,37845,74377,27716,29660,57378
LGA36300,336,302,638,195,124,321,22,60,82,12,14,28,6,7,13,238,204,443,61,70,139,2.5,3.4,2.9,70.8,67.5,69.4,68.2,65.6,67.6,3,4,6,0,9,8,9,37,42,20,24,44,73,34,101,3,8,7,8,9,15,84,50,129,292,269,558,77,69,144,182,159,341,169,156,319
LGA36370,30920,32228,63147,13608,8223,21831,3201,7335,10532,927,1029,1957,2052,1417,3475,19785,18004,37790,8415,11802,20213,10.4,7.9,9.2,64,55.9,59.8,57.4,51.5,54.3,602,512,1116,291,557,846,1976,3551,5526,1456,2353,3807,8402,3978,12379,408,614,1019,430,562,996,9242,5147,14396,29381,29988,59371,5789,6489,12280,18687,18673,37361,14646,15998,30648
LGA36510,15914,16577,32494,6546,3485,10032,1792,4097,5891,500,510,1007,564,513,1074,9403,8601,18008,5209,6706,11917,6,6,6,59.1,51.9,55.4,55.5,48.8,52.1,312,349,667,158,306,456,1049,1831,2881,1042,1740,2782,4196,2004,6201,142,303,445,289,445,734,4624,2750,7374,14991,15553,30542,2706,2957,5661,10155,10338,20488,6756,7412,14159
LGA36580,9833,9739,19567,3714,1963,5675,966,2039,3007,302,278,584,441,378,818,5427,4659,10087,3558,4302,7860,8.1,8.1,8.1,55.2,47.8,51.6,50.7,43.9,47.4,83,117,197,55,153,209,432,792,1226,536,878,1413,2619,1304,3924,120,190,313,163,269,434,2902,1767,4669,9384,9231,18621,1664,1735,3402,6264,5978,12248,4151,4386,8534
LGA36630,12944,13109,26054,4428,2450,6876,1320,2734,4060,376,349,720,520,421,936,6637,5954,12593,5279,6200,11478,7.8,7.1,7.4,51.3,45.4,48.3,47.3,42.2,44.7,107,146,252,80,170,251,561,1151,1717,622,1130,1756,3232,1675,4910,157,290,443,205,335,539,3597,2303,5898,12181,12174,24352,2270,2459,4723,8417,8171,16584,5266,5697,10965
LGA36660,13866,14637,28501,5375,2849,8225,1612,3370,4983,420,462,886,512,434,948,7919,7114,15041,5017,6607,11621,6.5,6.1,6.3,57.1,48.6,52.8,53.4,45.6,49.5,188,200,393,111,215,323,780,1400,2182,725,1242,1963,3394,1819,5213,153,264,415,245,377,622,3796,2452,6252,13461,13794,27256,2311,2523,4842,9337,9518,18854,5676,6091,11766
LGA36720,114603,126390,240989,46762,26520,73284,15612,34049,49661,3257,3438,6693,5167,4815,9984,70793,68828,139619,36456,50106,86559,7.3,7,7.2,61.8,54.5,57.9,57.3,50.6,53.8,3142,3380,6520,1569,3034,4602,11595,18030,29627,9702,14760,24459,33210,15991,49198,1029,1853,2878,2060,3403,5461,36297,21237,57542,103243,111063,214305,25753,28216,53972,62090,65943,128038,62615,69158,131777
LGA36820,9881,10442,20319,3418,2038,5454,1171,2382,3553,327,319,646,451,354,803,5367,5094,10458,3598,4467,8067,8.4,6.9,7.7,54.3,48.8,51.5,49.8,45.4,47.5,184,188,369,92,167,261,607,1145,1750,552,1019,1570,2807,1203,4004,101,171,272,144,247,387,3052,1612,4664,9289,9537,18830,1634,1799,3435,6441,6526,12971,3951,4302,8256
LGA36910,61751,66435,128188,28525,16158,44680,6840,15931,22769,1759,1981,3740,2762,2387,5149,39882,36457,76338,17271,25216,42492,6.9,6.5,6.7,64.6,54.9,59.6,60.1,51.3,55.5,1910,1859,3767,720,1412,2128,5696,9039,14738,4078,6147,10221,15706,8370,24081,713,1076,1787,930,1422,2355,17354,10875,28224,57670,61210,118876,12847,13759,26607,35962,37980,73937,31179,33626,64804
LGA36950,1280,1348,2627,469,462,928,129,184,309,76,67,145,62,53,116,738,763,1501,316,344,668,8.4,6.9,7.7,57.7,56.6,57.1,52.7,52.9,52.6,14,44,56,18,28,42,79,147,229,65,109,179,266,142,403,25,52,80,28,14,49,318,207,531,1246,1256,2503,283,301,587,841,824,1663,555,604,1162
LGA36960,1503,1450,2954,318,223,537,172,195,364,44,26,69,115,64,183,646,506,1153,682,814,1499,17.8,12.6,15.9,43,34.9,39,35.5,30.6,32.8,3,6,10,3,18,24,12,56,74,37,93,132,329,246,576,96,101,199,25,20,45,454,364,818,1860,1806,3664,274,283,556,1551,1484,3035,376,393,769
LGA37010,74006,75042,149046,33906,21837,55741,8195,17689,25880,2269,2565,4830,4692,3748,8438,49060,45834,94891,18725,24064,42793,9.6,8.2,8.9,66.3,61.1,63.7,60,56.1,58,1920,2125,4051,717,1561,2275,6142,10951,17093,4870,6801,11677,20722,9814,30530,735,1199,1940,921,1373,2296,22375,12393,34767,65589,66374,131963,16649,17623,34274,39360,39313,78670,39048,41413,80461
LGA37300,1550,1317,2866,1070,575,1644,104,256,358,71,72,151,26,25,57,1271,932,2205,113,250,365,2,2.7,2.6,82,70.8,76.9,80.3,68.6,75.1,27,35,57,14,35,50,93,195,292,81,107,195,652,206,857,11,16,28,27,25,48,688,248,930,1412,1226,2639,412,349,768,701,573,1271,970,896,1859
LGA37310,13292,12767,26057,6438,3041,9478,1156,2938,4098,427,418,846,524,443,971,8549,6841,15391,3144,4555,7699,6.1,6.5,6.3,64.3,53.6,59.1,60.3,50.1,55.3,91,114,209,60,160,220,659,1307,1966,664,1020,1680,3295,1524,4824,153,259,410,178,285,465,3623,2074,5700,12136,11597,23737,2653,2692,5351,7846,7355,15203,6007,6058,12068
LGA37340,14283,13380,27657,6513,3818,10331,1440,2978,4410,472,466,938,639,480,1121,9067,7735,16800,3176,3956,7138,7,6.2,6.7,63.5,57.8,60.7,59,54.3,56.7,138,158,298,79,178,252,724,1303,2029,872,1245,2115,4240,1718,5957,170,270,437,223,315,535,4629,2301,6930,11792,10890,22686,2949,3088,6032,7321,6557,13878,6625,6723,13350
LGA37400,494,455,949,236,177,412,33,69,106,26,19,49,19,9,24,318,274,591,122,135,264,6,3.3,4.1,64.4,60.2,62.3,59.7,58.2,59.7,0,7,12,6,3,13,20,46,67,10,38,49,107,52,159,12,3,14,4,10,16,123,71,193,441,409,851,85,62,151,330,292,617,162,170,326
LGA37550,300,339,637,63,54,122,22,34,55,11,3,17,21,20,43,122,113,237,157,198,351,17.2,17.7,18.1,40.7,33.3,37.2,32,26.8,30.5,0,0,4,4,0,3,5,12,19,9,17,21,27,27,52,13,10,18,0,3,3,37,39,72,385,417,805,53,57,114,302,331,632,89,94,187
LGA37570,100,118,217,20,13,36,12,16,22,0,3,7,11,9,27,48,41,92,49,74,124,22.9,22,29.3,48,34.7,42.4,32,27.1,30,0,0,0,0,0,0,4,6,10,6,5,9,23,14,33,0,5,6,0,5,8,21,27,45,120,142,260,3,4,7,80,116,198,24,25,50
LGA37600,835,851,1687,92,105,197,40,54,100,22,20,46,175,112,285,335,292,626,481,530,1008,52.2,38.4,45.5,40.1,34.3,37.1,18.4,21,20.3,0,0,3,3,7,13,15,24,38,15,39,62,107,80,187,20,33,54,10,8,24,135,121,263,1169,1170,2342,55,61,113,1001,991,1993,140,138,280
LGA39499,6509,5179,11693,1106,640,1749,428,552,978,205,149,354,612,375,986,2360,1712,4074,2632,2514,5145,25.9,21.9,24.2,36.3,33.1,34.8,26.7,25.9,26.3,143,123,266,48,71,118,448,701,1147,327,452,779,1395,508,1898,48,67,113,95,112,202,1534,683,2221,1610,1127,2737,3598,3312,6907,1044,637,1684,4011,3681,7693
LGA39799,65,81,144,23,11,32,7,11,16,4,13,10,0,0,4,30,35,68,27,32,57,0,0,5.9,46.2,43.2,47.2,52.3,43.2,40.3,0,0,3,0,0,0,0,3,5,3,7,12,11,6,18,0,3,3,0,0,0,13,12,26,52,57,102,6,17,22,33,49,84,25,21,45
