LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA36250,697,756,1447,579,686,1265,41,45,87,3,3,8,40,34,74,25416,22288,47700,1366,1697,3063,763,16,770,535,35,572,192,55,251,310,119,433,507,563,1066,30443,26292,56736,71,63,132,3,7,9,0,0,0,213,252,465,30,45,76,25,4,34,338,371,713,16,33,52,0,0,0,127,200,328,28,72,98,12,10,19,186,305,491,618,390,1005,1143,1070,2217,83,71,157,42,56,94,58,33,91,186,156,342,1337,2165,3504,2724,4183,6909,239,215,455,36082,34082,70168
LGA36300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,111,93,208,9,7,19,9,0,9,3,0,4,0,0,0,12,3,19,23,30,53,171,136,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41,79,14,9,22,4,3,6,232,197,434
LGA36370,3,9,13,367,104,468,4,0,9,0,0,0,52,51,101,12272,11549,23821,1099,1266,2360,349,10,362,292,22,312,229,48,274,110,42,154,519,493,1018,15300,13596,28897,0,0,0,0,0,0,0,0,0,5,5,13,0,4,4,0,0,0,8,10,14,0,0,0,0,0,0,40,3,40,10,11,22,3,3,5,52,20,69,153,73,222,210,98,309,0,0,0,7,0,5,3,0,3,14,0,12,432,661,1093,1622,2094,3718,156,131,286,17735,16582,34314
LGA36510,11,9,22,37,11,55,3,0,3,0,0,0,4,7,3,5869,5164,11028,349,401,750,329,10,337,105,10,116,29,6,39,92,41,127,316,266,584,7130,5933,13060,0,0,0,0,0,0,0,0,0,40,36,72,0,5,10,0,0,0,40,47,90,0,0,0,0,0,0,16,16,27,0,3,9,0,0,0,14,20,34,62,25,92,120,91,217,9,4,11,0,0,0,0,3,5,16,6,21,728,866,1600,727,1092,1822,109,94,210,8838,8090,16926
LGA36580,6,7,14,28,12,33,0,0,0,0,0,0,5,0,5,3269,2712,5989,202,271,470,182,12,197,60,10,70,18,6,23,45,25,65,148,148,299,3969,3198,7162,3,0,5,0,0,0,0,0,0,35,33,70,0,3,5,0,0,0,36,40,77,0,0,0,0,0,0,0,0,0,4,4,3,0,3,3,3,5,8,40,11,53,81,60,140,5,6,12,0,0,0,0,0,0,7,6,16,386,377,767,470,567,1034,77,71,149,4987,4282,9270
LGA36630,0,3,4,95,15,105,0,0,0,0,0,0,3,3,9,3890,3589,7481,332,303,632,163,6,173,70,14,82,45,14,63,47,37,83,307,281,579,4949,4265,9217,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,4,7,0,0,4,3,0,3,7,5,14,35,10,51,47,18,68,0,0,0,0,0,0,6,0,6,7,0,7,485,472,963,532,695,1223,98,78,175,6123,5535,11656
LGA36660,3,0,8,18,13,34,0,0,0,0,0,0,15,14,26,4784,4279,9063,440,433,872,251,18,272,79,6,85,66,12,77,82,37,121,359,307,660,6106,5118,11229,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,6,66,25,85,74,24,92,0,0,0,0,0,3,4,0,4,10,0,8,602,602,1207,516,846,1360,114,82,200,7409,6684,14094
LGA36720,281,205,478,879,703,1586,21,4,27,6,9,16,56,50,107,45489,42691,88186,2694,3284,5982,1334,34,1366,790,52,846,698,280,973,804,304,1112,1576,1664,3242,54632,49282,103920,34,44,73,0,0,0,0,0,3,230,133,358,9,15,27,12,7,20,290,198,487,3,0,3,0,0,0,32,20,56,42,70,111,41,9,49,116,100,217,590,229,821,1001,529,1533,58,47,106,65,31,94,44,15,58,169,91,260,3789,5563,9352,5389,7989,13383,646,558,1202,65631,64007,129641
LGA36820,0,0,0,69,27,100,3,0,3,0,0,3,4,4,7,3047,3027,6077,269,268,535,126,8,137,54,11,67,26,16,39,84,35,117,266,199,467,3945,3597,7536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,3,5,3,8,35,14,47,40,18,57,0,0,0,3,0,8,3,0,5,8,0,10,415,442,857,444,625,1075,58,57,117,4913,4738,9654
LGA36910,15,15,28,198,114,313,14,4,13,0,0,8,74,83,160,26231,23223,49452,1992,2270,4262,771,21,792,515,33,552,432,89,521,319,124,446,1315,1099,2413,31881,27072,58950,5,0,8,0,0,0,0,0,0,15,9,24,0,0,0,0,0,0,18,9,28,0,0,3,0,0,0,8,13,24,4,17,23,10,12,15,23,38,62,318,184,501,365,233,597,0,3,3,7,8,20,16,7,23,25,13,37,1849,2216,4059,2664,4232,6901,334,302,642,37117,34072,71188
LGA36950,0,0,0,3,3,3,13,8,23,0,0,0,9,11,24,277,207,487,60,110,175,4,0,4,0,4,8,11,10,18,50,33,80,137,197,340,572,587,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,10,8,18,19,39,21,28,51,0,0,0,3,3,3,3,0,9,12,3,12,8,14,26,37,51,89,20,24,51,671,713,1379
LGA36960,0,0,0,0,3,6,0,0,3,0,0,0,0,0,0,166,61,225,43,42,87,6,0,6,0,0,0,5,3,13,37,20,53,222,286,511,489,416,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,13,7,7,17,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,11,5,14,18,9,29,528,438,974
LGA37010,14,8,18,656,377,1029,38,27,63,3,8,8,69,73,141,31285,30154,61439,2364,2746,5106,610,26,640,946,125,1072,979,314,1295,584,156,741,1407,960,2366,38950,34968,73915,3,7,4,0,0,0,0,0,0,4,6,11,3,3,3,0,3,3,13,13,25,7,3,9,0,0,0,30,15,49,28,46,72,26,12,37,92,78,167,447,274,726,549,363,918,3,0,3,32,19,50,43,30,73,79,50,127,847,1530,2376,3574,4897,8473,369,277,642,44362,42090,86449
LGA37300,0,0,0,11,3,8,4,0,4,0,0,0,3,0,3,870,597,1474,58,53,108,7,0,11,20,0,20,45,14,55,9,3,15,47,67,112,1064,734,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,10,8,16,3,0,3,0,0,0,3,0,3,6,0,6,4,31,34,157,122,278,12,12,19,1248,901,2152
LGA37310,0,0,3,94,19,113,0,0,0,0,0,0,6,10,13,4865,3844,8709,445,375,815,237,4,243,80,9,96,89,26,116,127,35,163,506,382,884,6439,4712,11156,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,6,3,3,3,5,0,5,14,6,17,57,18,82,73,29,102,4,0,3,4,0,4,13,3,14,21,3,19,834,768,1603,553,816,1373,100,66,171,8027,6400,14418
LGA37340,6,5,10,232,124,355,66,21,86,0,0,3,25,15,43,4776,4080,8856,535,556,1092,126,5,130,109,18,133,88,35,122,228,143,368,803,738,1540,6997,5750,12744,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,10,4,15,0,0,0,27,9,31,7,6,20,3,6,4,50,23,69,137,47,182,184,70,253,0,0,3,12,5,20,4,8,13,19,11,31,336,500,837,781,836,1618,100,98,195,8425,7258,15681
LGA37400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,131,280,7,7,14,0,0,0,0,3,3,7,7,11,11,7,23,37,32,75,213,194,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,53,49,96,23,24,50,4,3,10,299,271,572
LGA37550,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,34,28,61,4,4,8,3,0,3,0,0,0,0,0,0,0,0,0,47,60,103,92,88,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,100,95,193
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,15,18,39,35,33,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,64
LGA37600,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,97,91,188,19,29,49,0,0,0,0,0,0,0,0,0,3,0,3,21,40,57,138,165,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,8,7,21,161,184,343
LGA39499,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
