LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA34580,9,9,18,43,25,65,3,0,3,3,0,3,0,5,5,5739,4877,10615,482,616,1097,301,5,305,113,13,122,14,4,15,61,28,92,221,181,403,6989,5758,12745,3,0,3,0,0,0,0,0,0,22,22,43,0,6,5,0,0,0,26,26,56,0,0,0,0,0,0,9,3,8,0,7,5,0,0,0,9,10,14,54,30,87,86,71,152,7,6,9,3,5,6,7,0,7,11,12,23,415,490,907,696,1033,1735,107,90,199,8312,7456,15762
LGA34590,698,798,1491,1486,2158,3639,10,3,13,7,0,6,104,61,163,51146,40856,91998,3606,3908,7514,2094,48,2137,1105,77,1183,266,50,313,473,240,712,700,755,1458,61691,48952,110647,156,179,332,0,0,0,0,0,0,250,297,550,57,81,140,44,9,51,499,571,1068,8,5,13,0,0,0,329,521,853,88,225,311,29,15,43,458,769,1221,597,249,843,1553,1582,3133,110,142,253,37,37,74,22,4,29,174,186,356,1766,3180,4949,4753,6835,11593,712,573,1287,70645,61309,131955
LGA34710,0,0,0,3,0,3,0,0,0,0,0,0,3,3,8,564,572,1136,33,73,102,15,0,15,7,0,9,22,14,36,18,3,24,95,97,188,760,764,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,7,6,15,0,0,0,0,0,0,3,0,4,3,0,4,97,89,183,68,102,169,20,21,40,961,980,1938
LGA34770,14,3,13,853,181,1035,5,0,6,0,0,3,44,42,81,19787,17078,36868,1520,1385,2904,450,21,467,351,33,383,309,103,413,201,102,301,723,586,1306,24256,19529,43789,0,3,3,0,0,0,0,0,0,3,5,7,0,0,4,0,0,0,6,11,14,3,0,3,0,0,0,74,12,83,23,9,30,4,4,10,104,24,129,233,92,321,345,123,465,4,0,4,5,7,10,17,0,15,25,4,30,819,1405,2222,2762,2898,5662,312,251,566,28518,24213,52732
LGA34800,0,0,0,26,0,31,0,0,0,0,0,0,0,0,0,95,54,151,7,4,11,13,0,14,0,0,0,0,5,3,17,4,19,58,61,122,214,131,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,60,106,12,10,22,5,0,5,285,204,490
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,39,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,10,12,19,39,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,35,82
LGA34860,0,0,0,18,10,31,0,0,0,0,0,0,4,3,8,1993,1774,3772,180,158,336,125,3,130,33,12,47,39,11,51,54,33,87,221,216,437,2675,2230,4907,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,14,41,36,13,50,0,0,0,0,0,0,6,0,5,6,0,5,436,396,832,205,269,466,44,54,92,3398,2955,6356
LGA34880,0,0,0,84,45,129,0,0,5,0,0,0,3,3,12,2564,2490,5048,225,283,508,116,5,121,49,5,55,46,15,52,100,33,129,253,203,450,3438,3078,6513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,3,6,8,40,15,54,47,16,67,0,0,0,3,0,4,0,0,0,5,0,8,407,392,800,319,442,762,78,57,138,4296,3988,8284
LGA35010,2937,3449,6383,1007,921,1925,15,3,20,14,3,17,102,81,188,66660,57785,124445,4393,5318,9717,2260,36,2295,1863,166,2033,631,158,794,813,318,1134,1400,1449,2856,82104,69692,151797,541,472,1013,0,0,0,0,0,0,1658,1760,3414,245,336,582,178,18,203,2621,2592,5214,3,3,4,0,0,0,101,142,249,48,120,169,28,14,40,178,278,458,826,393,1214,3627,3266,6885,338,372,714,40,23,60,32,16,51,409,414,820,3384,5355,8741,7961,11751,19703,848,682,1535,98334,91156,189495
LGA35250,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,34,18,60,37,40,80,0,0,0,0,0,0,0,3,3,3,0,8,66,66,139,145,148,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,0,3,4,155,157,314
