LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA34570,0,0,4,0,3,0,0,0,0,12,0,0,4,0,3,3,0,0,0,9,0,0,0,0,3,3,0,0,0,9,0,0,0,3,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,35,41,24,27,8,12,3,0,191,62,62,110,87,85,54,26,10,0,493
LGA34580,10,158,451,506,612,447,107,25,7,2325,3,62,276,321,359,264,56,14,0,1363,0,20,183,313,310,229,39,7,3,1118,0,10,101,170,217,103,20,0,0,619,0,8,111,198,214,125,22,6,0,691,4,6,32,76,75,54,17,5,3,279,373,280,544,509,573,503,456,253,125,3622,2721,2599,4650,4595,5435,4809,3945,1717,587,31063
LGA34590,106,1460,5687,5348,4992,3324,959,173,56,22106,22,601,3463,3703,3336,2121,479,58,14,13791,12,254,2312,2927,2612,1673,264,22,11,10099,13,95,1201,1809,1605,978,169,19,8,5906,4,63,1141,2078,1981,1124,157,29,12,6589,15,37,345,689,716,461,131,39,11,2451,2053,1713,3344,3149,3088,2611,2108,1160,604,19833,21444,21029,42713,41352,38980,32961,23460,9550,3357,234848
LGA34710,3,21,68,45,64,51,18,4,6,287,0,15,50,41,33,45,13,3,3,196,0,10,30,33,41,29,3,0,0,145,0,4,13,20,20,20,3,0,0,92,0,3,24,32,35,14,5,0,0,121,0,0,11,13,18,10,0,4,0,53,32,21,45,48,55,61,50,26,13,346,247,223,445,420,520,527,317,182,76,2964
LGA34770,42,582,1659,1460,1659,1261,402,85,30,7168,12,339,1286,1099,1236,841,191,51,14,5063,4,180,1106,1169,1270,883,151,26,12,4793,3,124,787,859,914,626,92,11,4,3425,3,118,1359,1669,1592,925,127,33,8,5823,4,23,384,732,859,499,108,39,13,2667,759,661,1584,1582,1874,1568,1036,767,356,10181,7264,6700,15483,15281,16946,14415,8952,4517,1645,91204
LGA34800,0,6,13,12,11,7,4,0,0,58,0,3,8,4,15,5,0,0,0,41,0,3,4,9,4,3,0,0,0,28,0,0,9,5,3,0,3,0,0,21,0,0,10,18,13,9,0,0,0,55,0,0,4,8,9,5,0,0,0,30,3,4,10,11,17,17,10,5,0,81,21,50,124,130,118,123,72,25,9,665
LGA34830,0,3,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,6,0,0,0,11,22,33,43,28,33,44,12,5,0,224
LGA34860,11,105,250,173,176,152,40,25,7,945,3,51,193,156,138,82,29,9,8,657,0,28,143,118,123,80,25,5,6,523,0,13,78,76,76,51,18,3,7,319,0,14,133,110,110,88,24,9,6,486,0,0,44,44,60,32,29,10,0,223,100,71,233,185,196,179,142,103,52,1274,693,729,1858,1614,1683,1492,1027,589,225,9908
LGA34880,0,55,199,237,314,251,93,21,9,1182,0,20,135,162,213,144,40,15,0,734,0,3,77,144,202,110,24,10,0,570,0,3,25,89,100,61,24,3,0,303,0,3,54,102,125,83,10,5,0,393,0,5,27,38,42,43,27,3,0,185,259,300,556,479,464,436,343,213,50,3100,1228,1128,2339,2635,3100,3117,2489,1267,379,17681
LGA35010,116,2000,6832,6899,6956,4907,1747,411,150,30018,33,830,4854,5163,4842,3054,847,162,54,19836,14,311,3300,4834,4593,2738,577,80,29,16463,3,124,1786,3144,2985,1619,320,59,18,10056,3,84,1956,4507,4325,2224,409,77,12,13599,24,50,547,1868,2173,1040,334,103,36,6176,2116,1933,3879,3818,3756,3370,3505,2511,2113,27008,27602,25704,52002,57623,57823,49090,40430,18548,7364,336175
