LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA30250,0,5,3,3,10,3,0,0,0,23,0,0,3,3,6,3,0,0,0,17,0,3,3,0,3,5,0,0,0,15,0,0,3,0,0,4,0,0,0,10,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,12,6,11,9,9,7,0,0,0,45,84,114,201,174,169,101,44,9,0,901
LGA30300,4,21,64,67,68,51,31,6,3,314,0,13,37,45,51,47,10,3,0,209,0,12,31,34,52,26,5,0,0,160,0,3,18,19,20,24,0,3,0,87,0,0,15,26,22,19,7,0,0,84,0,0,6,14,17,15,10,0,0,68,55,15,40,51,80,59,71,29,12,404,266,205,517,545,639,582,415,202,64,3437
LGA30370,11,85,203,190,165,136,61,28,8,887,3,52,135,126,107,96,32,15,0,563,0,26,116,105,120,91,29,19,4,509,0,23,90,103,100,72,19,5,0,412,0,31,199,241,227,144,33,8,0,874,0,0,60,89,105,80,20,8,0,377,92,68,209,212,219,189,162,92,32,1272,776,779,1926,1935,1976,1749,1133,661,211,11152
LGA30410,3,18,39,26,48,35,17,0,0,192,0,8,32,29,37,22,5,0,0,140,0,3,20,27,34,21,4,0,0,104,0,0,8,17,16,19,3,0,0,65,0,4,17,21,19,15,7,3,0,81,0,0,8,7,21,13,9,3,0,57,14,13,38,27,35,39,34,29,6,237,122,158,337,327,431,382,304,172,51,2279
LGA30450,0,3,9,8,8,3,5,0,0,33,0,0,7,0,11,4,3,0,0,26,0,0,0,0,6,0,0,0,0,10,0,0,0,3,0,3,3,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,3,3,0,0,0,0,5,0,16,16,19,26,23,56,40,33,5,3,232
LGA30760,0,6,31,34,28,30,16,3,0,150,0,0,16,19,9,14,4,0,0,59,0,3,14,11,6,9,5,0,3,58,0,0,7,3,4,7,3,0,0,31,0,0,8,3,3,5,0,3,0,30,0,0,0,4,10,5,0,0,0,18,10,6,19,10,23,25,21,28,3,155,83,67,200,220,257,321,258,126,42,1572
LGA30900,0,0,11,8,3,8,4,0,0,34,0,0,3,5,6,0,0,0,0,17,0,0,3,0,0,7,0,0,0,12,0,0,0,3,0,3,0,0,0,5,0,0,6,0,3,3,0,0,0,13,0,0,3,0,4,0,0,0,0,8,3,10,17,11,8,23,0,0,0,68,22,37,81,50,55,70,25,9,0,351
LGA31000,294,7676,25521,16805,14630,10889,4636,1423,597,82474,115,3449,19701,14152,11959,7842,2750,700,256,60917,71,1301,16094,15267,12620,7854,2086,527,206,56034,19,506,9653,11357,9481,5525,1402,359,130,38426,22,439,12950,20002,16723,8720,2068,564,224,61722,45,196,4129,13479,13947,7364,2193,699,266,42320,4792,7476,15608,11322,9959,7694,6211,5094,4994,73148,69948,98289,195695,165961,146777,113996,78318,41994,20904,931879
LGA31750,0,3,9,3,9,8,0,0,0,28,0,3,5,7,3,0,0,0,0,19,0,0,3,3,3,3,0,0,0,20,0,0,0,3,0,4,0,0,0,14,0,0,0,7,3,6,0,0,0,20,0,0,3,3,0,0,0,0,0,4,3,3,3,3,8,15,9,3,0,40,18,19,48,46,49,69,29,12,7,289
LGA31820,20,287,974,1057,1213,998,421,157,48,5172,3,105,565,677,725,581,164,56,10,2887,0,59,398,618,725,538,99,22,7,2462,0,24,204,363,404,306,60,26,9,1409,0,17,261,429,497,339,94,21,7,1660,14,9,97,217,270,177,80,35,13,904,557,447,810,785,1102,1225,1289,923,518,7661,5624,4663,9253,9864,12237,13336,12504,6662,2348,76488
LGA31900,6,81,202,234,272,242,75,37,9,1154,0,31,151,181,220,175,32,8,4,813,0,15,116,134,186,130,25,10,4,619,0,6,56,99,76,73,15,4,3,342,0,4,75,92,105,68,24,3,3,371,4,5,27,37,52,55,26,10,3,212,114,91,119,154,213,234,270,184,106,1479,1031,915,1673,1946,2349,2493,2023,1153,463,14039
LGA31950,0,3,12,6,3,10,0,0,0,25,0,0,6,0,4,3,0,0,0,13,0,0,0,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,6,0,0,0,0,5,0,0,0,0,3,4,6,17,11,12,14,0,0,0,68,15,29,52,46,47,60,22,3,0,274
LGA32080,42,604,2535,2707,2629,1924,582,144,51,11231,15,313,1662,1852,1789,1172,347,48,15,7216,3,139,1262,1619,1747,1071,234,35,21,6123,3,64,677,1024,1144,706,156,24,19,3810,7,31,803,1320,1458,877,176,36,10,4721,12,17,248,629,728,519,161,41,16,2377,1213,1129,2467,2335,2432,2042,1500,869,431,14420,9803,9148,21325,22691,22880,19022,12624,5312,1981,124795
LGA32250,5,16,28,26,34,19,11,5,0,151,0,6,18,13,21,26,3,0,0,95,0,0,16,14,14,11,3,0,0,67,0,0,10,14,11,9,3,0,0,47,0,0,11,17,12,16,0,0,0,60,0,3,7,7,5,6,4,0,0,32,26,22,42,35,38,31,29,12,3,232,97,135,259,240,295,260,193,64,10,1548
LGA32260,3,110,311,309,424,384,116,49,20,1736,5,36,192,201,230,224,65,15,3,974,0,14,137,165,207,159,50,10,4,749,0,9,55,102,114,96,27,6,3,422,0,4,58,118,184,137,31,16,4,544,0,0,33,44,59,69,33,14,0,253,230,145,406,364,431,512,431,215,78,2814,1562,1435,3164,3148,4050,4483,3266,1712,647,23462
LGA32270,16,214,412,307,316,251,88,20,3,1633,9,97,382,251,326,191,51,12,3,1318,3,85,301,243,257,148,26,3,0,1068,3,50,252,263,191,120,25,8,0,906,0,52,505,538,445,230,38,11,0,1820,0,11,231,336,272,164,49,3,3,1064,269,247,659,607,624,439,222,130,33,3237,1571,1720,4634,4135,3964,2939,1424,558,133,21073
LGA32310,8,50,120,108,144,108,56,10,4,606,5,22,98,98,85,80,9,4,0,404,0,9,73,101,109,67,21,3,0,379,0,6,42,47,68,43,10,3,0,227,0,10,66,109,86,64,15,3,0,350,0,0,17,36,33,33,8,7,3,143,101,78,148,173,198,194,174,112,32,1225,893,553,1187,1420,1513,1563,1313,675,211,9327
LGA32330,0,0,4,8,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,6,9,22,5,7,3,3,0,0,0,54,134,122,148,146,121,82,37,10,5,807
LGA32450,7,14,59,38,28,36,6,0,0,186,3,12,46,21,29,26,5,0,0,153,0,7,46,40,48,20,3,0,0,167,0,7,42,32,29,23,3,0,0,144,0,14,81,78,58,41,8,0,0,268,0,0,20,30,15,19,12,4,0,94,32,36,88,68,60,69,39,27,8,426,145,202,551,422,416,385,206,64,20,2416
LGA32500,0,21,52,53,55,47,20,0,0,259,0,9,38,35,30,36,9,0,0,151,0,3,20,36,29,26,9,3,0,121,0,0,11,19,22,21,0,0,0,71,0,3,27,18,15,26,0,0,0,88,0,0,6,0,5,11,3,3,0,29,53,79,104,90,84,127,112,28,9,683,194,291,528,507,563,686,506,136,31,3439
LGA32600,0,3,8,0,7,6,0,0,0,17,0,0,0,3,0,0,0,0,0,7,0,0,3,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,5,0,5,15,16,14,13,4,0,0,65,4,24,37,45,49,49,20,4,4,229
LGA32750,0,3,4,6,4,3,0,0,0,26,0,0,3,3,0,0,0,0,0,9,0,0,3,3,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,9,0,0,0,3,3,0,0,0,0,8,10,9,9,0,6,8,5,0,0,42,32,38,43,33,42,36,17,0,0,239
LGA32770,0,0,11,3,8,3,0,0,0,22,0,3,3,7,6,3,0,0,0,18,0,0,4,5,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,9,0,0,3,5,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,5,15,11,11,8,5,0,0,0,0,48,119,126,222,177,102,80,24,12,0,862
LGA32810,3,44,204,172,207,148,64,22,6,873,0,12,77,100,102,66,29,9,0,395,3,0,52,107,88,71,26,4,0,355,0,0,21,55,50,39,8,3,0,188,0,4,23,53,61,58,10,3,0,215,4,0,13,30,36,44,18,11,0,163,106,82,244,230,245,295,196,114,66,1581,529,511,1520,1573,1810,1893,1259,535,159,9783
LGA33100,0,3,13,3,7,10,0,0,0,39,0,3,12,0,4,7,3,0,0,30,0,0,8,3,3,0,0,0,0,12,0,0,0,3,3,3,0,0,0,12,0,0,0,0,3,4,0,4,0,17,0,0,3,4,3,3,3,0,0,22,6,3,18,11,18,12,19,4,0,88,32,27,112,74,126,127,108,41,3,651
LGA33200,3,6,20,25,19,19,10,0,3,112,4,0,7,10,16,13,5,0,0,56,0,0,9,3,14,5,3,0,0,37,0,3,9,7,3,3,5,0,0,28,0,0,10,12,11,14,3,3,0,50,0,0,0,3,8,3,5,0,0,24,5,15,26,10,23,31,29,11,0,153,70,103,179,156,223,215,206,78,28,1269
LGA33220,25,249,861,1003,1216,1021,513,163,64,5096,9,101,466,653,730,613,201,61,13,2846,3,41,350,648,700,493,91,32,9,2368,0,16,196,361,453,296,62,20,8,1405,0,19,211,384,458,321,65,29,4,1499,11,20,106,195,211,169,80,37,13,849,587,490,939,1096,1175,1533,1768,1039,492,9108,5564,4275,8687,10698,12938,15576,16133,8018,2553,84458
