LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA36630,11,12,55,70,161,291,997,678,302,2568,0,5,5,4,16,32,17,20,4,112,139,149,257,337,428,468,501,406,184,2873,917,1522,2960,3447,4251,4662,4548,2122,713,25138
LGA36660,9,7,51,66,150,314,836,644,314,2394,0,3,5,11,15,12,30,23,9,108,112,107,234,258,344,412,513,407,228,2618,964,1685,3175,3657,4560,5183,4736,2441,902,27301
LGA36720,36,56,207,275,497,921,2947,2857,1710,9504,19,27,55,46,95,88,74,62,43,497,856,1089,2087,2299,2689,2609,2813,2384,1742,18563,8611,15299,31173,37071,41108,38660,33855,18319,7700,231785
LGA36820,4,7,26,33,84,181,492,465,177,1468,0,5,5,13,8,21,11,22,12,88,98,104,184,240,384,420,431,301,146,2317,693,1025,2077,2509,3420,3984,3502,1755,622,19581
LGA36910,62,91,209,273,483,829,2869,2547,1144,8507,9,13,68,94,119,109,78,55,43,585,683,736,1402,1349,1534,1616,1679,1487,1101,11597,5143,10164,19781,19015,20458,19485,15804,8942,3800,122598
LGA36950,3,0,3,3,12,37,42,25,8,135,0,0,3,0,0,0,3,4,0,17,43,69,184,83,80,53,30,8,6,558,156,289,621,485,396,356,132,46,14,2499
LGA36960,10,8,6,18,36,98,98,45,3,323,3,0,0,4,3,11,3,0,3,26,86,51,95,33,26,25,14,4,0,339,267,406,699,492,422,355,165,51,6,2865
LGA37010,66,66,201,296,477,887,1990,1638,721,6345,6,25,68,93,100,85,72,70,31,557,915,1654,2634,2121,2137,1821,1502,971,462,14210,7320,15712,27709,24821,24465,20502,13760,6414,2308,143006
LGA37300,0,3,7,4,14,8,15,0,0,53,0,0,3,0,0,3,0,5,0,17,22,30,63,99,85,46,15,0,0,362,106,221,710,695,608,316,84,9,3,2753
LGA37310,9,20,45,77,147,253,728,535,255,2076,0,0,0,7,10,19,28,18,7,97,194,222,495,538,605,549,505,315,147,3570,1049,1898,4132,4247,4511,3926,3055,1577,599,24989
LGA37340,5,10,34,67,114,204,453,336,145,1374,3,6,16,6,9,14,22,14,0,88,205,401,931,641,620,608,474,241,116,4242,879,2138,5204,4499,4617,4598,3177,1305,440,26856
LGA37400,0,0,0,0,9,17,22,16,9,74,0,0,3,0,0,0,0,3,4,10,3,3,17,9,13,18,32,13,12,125,31,55,130,112,160,175,155,73,32,927
LGA37550,3,0,3,10,8,16,17,4,0,59,0,0,0,0,0,0,0,0,0,3,7,21,3,5,9,12,3,0,0,55,54,113,120,104,105,72,29,4,0,608
LGA37570,0,0,0,0,3,15,12,0,0,27,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,15,12,28,52,33,39,35,10,0,0,215
LGA37600,9,4,7,3,17,11,42,16,3,116,0,0,0,0,0,0,6,0,0,17,6,5,12,6,11,4,3,7,0,54,160,227,368,270,296,176,67,23,5,1586
LGA39499,5,13,31,28,49,88,229,59,8,512,4,5,10,14,19,11,13,0,4,70,71,242,556,449,431,467,311,92,15,2629,348,1131,2286,1485,1663,2373,1916,381,44,11623
LGA39799,0,0,0,0,0,0,11,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,22,3,11,11,14,24,30,33,16,4,143
