LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA31900,24,21,20,3,3,0,86,4,20,26,18,32,3,6,0,109,65,236,211,151,127,71,14,3,879,28,93,128,182,149,74,36,9,698,341,522,529,540,490,314,129,27,2893,55,35,18,30,16,10,3,0,163,16,31,39,49,52,30,8,0,222,419,587,583,617,561,346,136,27,3278,8,9,10,15,18,10,6,0,70,183,136,175,212,232,290,192,109,1532,707,1094,1149,1217,1135,806,395,147,6658
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,5,0,0,0,13,0,0,3,5,7,0,0,0,18,5,9,4,6,5,3,0,0,42,4,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,14,8,5,5,3,0,0,51,0,0,0,0,0,0,0,0,0,11,15,11,10,16,11,0,0,78,28,38,26,25,37,14,0,0,164
LGA32080,885,853,593,269,69,16,3309,40,397,500,549,412,164,36,3,2108,839,3972,3756,2925,2005,982,272,67,14825,487,2104,2820,2766,1995,1003,284,78,11536,2521,5038,5120,4908,3962,2153,732,149,24586,524,381,319,246,163,72,18,7,1728,213,386,491,505,450,262,91,23,2427,3250,5803,5935,5664,4577,2490,847,180,28745,59,132,172,194,172,140,60,28,956,2249,2524,2470,2619,2295,1724,1029,443,15352,6963,15520,16536,15572,12046,6783,2599,815,76829
LGA32250,3,7,0,0,0,0,19,0,3,3,0,3,0,0,0,12,3,24,21,13,17,5,0,0,84,6,14,21,14,19,9,0,0,83,29,56,46,46,40,31,12,0,252,3,3,0,5,3,3,0,0,17,3,5,3,3,8,7,0,0,24,33,65,47,55,44,38,12,0,295,3,0,0,3,0,3,3,0,10,43,41,42,41,43,32,11,0,252,91,151,135,134,126,82,26,3,748
LGA32260,46,41,57,26,5,0,242,14,25,41,56,59,23,11,0,221,95,376,316,286,275,158,60,15,1581,47,248,238,309,333,192,70,12,1451,408,778,787,969,1029,525,219,40,4753,89,57,50,61,40,16,3,4,326,37,47,71,99,81,43,22,3,402,530,881,907,1132,1139,586,246,55,5476,9,15,20,23,31,30,17,0,148,406,451,388,492,587,505,315,103,3247,1104,2049,1959,2343,2472,1529,717,191,12362
LGA32270,60,59,25,3,0,0,232,7,59,54,51,33,6,3,0,214,126,638,481,268,166,30,10,4,1731,73,279,337,280,192,65,12,3,1247,493,1330,1062,877,576,195,43,10,4584,90,93,67,34,27,15,0,0,317,40,67,89,75,55,21,6,0,348,613,1494,1213,983,657,236,58,10,5256,7,13,18,17,14,5,4,0,89,538,654,631,645,444,230,124,34,3293,1374,3218,2794,2300,1540,583,211,48,12060
LGA32310,11,19,22,10,3,0,87,4,21,22,21,18,12,4,0,104,46,151,140,112,80,63,14,8,609,23,58,97,101,101,56,26,6,470,160,305,330,278,261,174,55,9,1578,53,17,19,12,14,4,0,0,125,18,24,25,25,27,19,9,0,151,233,348,378,322,307,197,65,13,1856,4,7,0,14,10,10,7,0,50,194,146,176,195,205,201,139,38,1289,507,738,828,782,741,544,260,66,4469
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,7,11,9,3,0,0,0,37,15,16,20,16,7,3,0,0,75,9,3,4,0,0,0,0,0,18,4,0,3,0,0,0,0,0,4,26,17,23,16,7,5,0,0,97,0,0,0,0,0,0,0,0,0,41,20,15,10,4,0,0,0,85,65,46,44,37,26,3,0,0,229
LGA32450,9,6,9,3,0,0,44,0,8,9,3,3,0,0,0,24,16,81,40,24,18,8,0,0,201,7,28,23,25,29,14,0,0,126,36,127,108,96,62,18,3,3,455,18,3,3,6,0,0,0,0,29,7,0,4,4,3,3,0,0,26,54,133,121,108,70,23,3,3,513,0,7,3,0,0,0,0,0,7,66,91,74,55,73,47,23,8,433,150,372,280,231,193,87,29,12,1350
LGA32500,6,6,12,0,0,0,44,0,7,12,6,14,4,0,0,51,17,80,54,32,52,24,8,0,271,14,42,45,52,63,26,9,4,249,71,114,135,136,120,84,19,4,680,20,8,12,7,9,5,3,0,61,6,11,10,18,13,13,0,0,79,97,130,159,164,140,106,25,6,820,3,3,5,7,6,3,0,3,25,124,113,98,100,135,125,41,14,749,254,389,378,370,437,286,79,20,2209
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,0,0,6,4,4,0,0,0,14,5,8,3,6,10,0,0,0,32,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,12,3,6,7,0,0,0,35,0,0,0,0,0,0,0,0,0,9,11,16,13,16,3,0,0,68,14,29,29,20,32,9,0,0,130
LGA32750,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,0,22,0,5,0,4,0,0,0,0,15,6,16,14,5,5,0,0,0,49,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,16,9,12,5,0,0,0,51,0,0,0,0,0,0,0,0,0,12,6,0,9,8,3,0,0,43,32,29,20,24,22,5,0,0,138
LGA32770,6,0,0,0,0,0,10,0,0,3,4,0,0,0,0,4,5,13,8,3,0,0,0,0,23,0,5,6,5,4,0,0,0,23,9,16,14,5,6,0,0,0,50,3,3,13,3,3,0,0,0,27,0,0,3,0,0,0,0,0,13,14,19,24,14,14,0,0,0,83,0,0,0,0,0,0,0,0,0,21,12,12,10,6,3,3,0,69,38,55,54,33,26,3,3,0,213
LGA32810,45,42,34,29,11,0,193,0,13,32,34,37,19,4,0,137,53,240,190,169,163,118,48,7,980,40,157,159,185,174,92,37,4,845,124,360,395,432,398,175,75,15,1977,32,29,20,33,12,13,3,0,136,16,21,49,55,50,32,9,0,234,171,414,459,518,460,222,84,15,2348,0,17,6,8,14,14,8,0,61,191,264,248,266,319,223,126,68,1709,450,1142,1139,1212,1206,720,317,94,6277
LGA33100,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,14,6,3,3,4,0,0,32,3,8,3,4,9,4,0,0,37,10,16,16,10,24,19,4,0,102,4,4,0,0,0,0,0,0,4,0,0,0,4,7,0,0,0,17,13,28,16,19,30,18,4,0,119,0,0,0,0,0,0,0,0,4,9,22,13,18,15,22,7,0,97,29,67,36,42,55,47,9,0,290
LGA33200,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,7,4,19,18,16,12,5,0,0,76,3,9,8,12,17,7,0,0,61,34,50,30,30,34,17,4,0,194,7,0,0,3,0,4,0,0,16,3,0,0,4,8,3,0,0,20,50,52,29,42,34,21,6,0,237,0,0,0,0,0,0,0,0,5,28,30,13,21,23,30,15,4,150,86,121,71,89,82,61,21,10,542
LGA33220,230,210,219,166,41,6,990,27,81,191,259,251,140,47,4,998,220,1017,1239,1082,1034,766,281,51,5677,190,628,1019,1317,1457,1015,351,88,6058,1376,2397,2794,3143,3449,2845,1157,232,17397,416,247,186,173,136,116,15,6,1296,109,196,274,301,405,366,149,36,1834,1906,2846,3259,3613,3988,3327,1325,263,20530,34,40,50,87,129,154,84,16,596,1082,984,1204,1320,1727,2136,1511,621,10574,3461,5698,7192,7881,8803,7702,3636,1050,45433
LGA33360,220,160,97,33,3,0,676,14,108,140,157,94,29,7,0,552,230,1209,1144,768,464,217,54,13,4103,101,545,763,867,576,217,62,13,3147,1303,2803,2642,2512,1762,764,251,39,12085,274,180,113,120,54,31,3,0,771,88,122,173,161,144,76,32,0,802,1664,3104,2929,2792,1967,871,286,42,13652,29,53,68,63,57,36,7,8,312,740,793,811,933,759,485,304,112,4925,2785,5965,6075,5745,4011,1893,714,194,27378
LGA33430,3865,2949,2141,1193,332,62,14603,240,1332,1554,1473,1286,618,160,33,6696,4933,15644,13953,9429,6879,4338,1537,414,57113,4131,9034,10248,9818,7171,4402,1552,442,46798,9183,16441,16728,16327,12397,8643,3721,1035,84477,1387,848,805,640,598,335,98,24,4737,874,1377,1867,1902,1760,1529,651,193,10151,11444,18666,19404,18874,14753,10507,4471,1250,99366,253,517,627,653,715,733,406,155,4065,6440,7314,6521,6780,6456,6294,4728,3242,47781,27763,56258,56171,49967,39409,28086,13185,5597,276431
LGA33610,15,10,6,8,0,0,70,3,11,20,13,16,5,3,0,74,29,229,192,127,85,51,14,3,733,27,108,137,143,98,57,22,3,589,169,326,246,256,223,94,43,9,1361,38,18,10,19,4,0,0,0,99,15,20,29,36,29,15,7,0,152,215,364,286,310,258,115,53,9,1611,0,8,3,6,3,3,6,0,26,145,160,149,154,192,187,111,51,1155,429,901,806,767,664,420,211,64,4262
LGA33620,77,103,112,66,18,0,412,3,44,82,109,115,67,13,0,429,85,395,504,516,584,387,109,19,2592,120,335,514,720,702,462,140,24,3011,748,1348,1444,1593,1633,1135,394,65,8368,231,131,105,98,102,40,5,0,709,60,90,138,179,176,137,44,8,831,1035,1565,1686,1867,1914,1314,440,81,9905,13,17,24,48,50,79,29,5,262,495,421,485,755,867,981,650,309,4962,1758,2824,3370,4113,4331,3343,1392,440,21579
LGA33800,12,19,10,11,3,0,66,3,6,12,10,15,8,0,0,58,37,118,119,109,97,53,17,3,557,27,41,79,113,105,61,26,4,455,172,313,284,375,437,244,109,29,1971,34,24,15,7,10,9,3,0,106,15,9,22,24,32,13,3,0,126,221,342,324,414,487,265,116,31,2195,0,6,3,6,3,11,10,0,42,121,79,104,162,195,207,179,80,1112,405,593,647,837,909,615,358,117,4486
LGA33830,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,12,0,3,8,6,3,3,0,0,19,17,42,42,22,11,10,0,0,154,10,3,4,0,0,3,0,0,25,3,0,3,0,0,0,0,0,4,34,48,51,30,17,7,3,0,185,0,3,3,0,0,0,0,0,9,49,16,8,12,9,5,0,0,96,80,79,68,45,34,20,8,0,330
LGA33960,939,604,397,189,33,3,2902,53,388,481,443,301,128,38,6,1837,978,4146,3469,2059,1359,699,224,56,12989,1096,2908,3064,2693,1885,799,279,67,12790,4212,7993,6086,5415,3864,2046,860,201,30674,883,587,377,273,154,79,19,3,2367,372,592,642,569,464,249,94,30,3010,5463,9174,7099,6258,4477,2377,971,233,36052,86,160,172,147,126,102,47,18,854,2479,2482,2114,2149,1793,1499,1065,408,13998,10176,19972,17343,14349,10348,5788,2655,799,81434
LGA33980,52,26,16,3,0,0,167,9,52,60,16,11,4,0,0,147,123,553,362,138,97,22,12,3,1307,30,200,233,195,102,30,4,0,800,362,1172,924,665,373,117,11,9,3633,73,81,36,25,12,3,0,0,238,30,69,67,39,33,15,0,0,254,465,1325,1026,731,423,137,13,8,4123,3,15,20,18,4,6,0,0,66,422,785,607,517,371,150,56,8,2919,1059,3003,2349,1636,1021,348,83,24,9523
LGA34420,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,3,9,0,0,3,0,0,0,17,0,0,0,4,4,0,0,0,12,12,23,19,20,12,0,0,0,82,6,7,3,5,7,0,0,0,23,0,0,3,3,0,0,0,0,4,21,30,21,28,15,0,0,0,112,0,0,0,0,0,0,0,0,0,15,31,10,11,4,3,0,0,75,41,68,36,42,33,6,0,0,226
LGA34530,113,128,135,66,24,0,514,10,57,99,103,119,51,15,3,452,107,485,617,561,484,260,90,23,2624,67,235,387,496,440,264,86,28,2011,546,1128,1187,1325,1146,651,231,67,6283,117,74,40,65,59,24,6,4,384,43,56,90,114,105,66,37,10,514,705,1263,1319,1506,1307,745,263,79,7184,6,14,25,24,33,30,19,3,162,504,527,610,667,596,524,333,202,3960,1406,2626,3175,3476,3119,1938,843,335,16916
LGA34570,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,9,0,4,5,0,0,0,15,0,3,3,0,4,0,0,0,10,11,11,13,11,3,0,0,0,45,0,3,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,10,11,16,9,14,10,0,0,0,64,0,0,4,0,0,0,0,0,3,36,25,24,14,12,10,0,0,125,45,58,43,38,21,11,0,0,225
LGA34580,126,99,93,50,13,4,467,6,48,62,70,59,41,8,3,294,187,600,478,377,302,172,60,13,2185,139,365,443,521,383,208,69,15,2141,673,1082,1095,1160,946,570,165,34,5714,185,90,81,68,38,24,4,0,484,74,92,97,127,103,72,20,7,582,928,1264,1265,1355,1086,665,186,42,6779,31,45,21,27,23,26,14,3,196,655,567,537,622,563,583,339,150,4018,1960,2977,2934,3065,2506,1741,691,219,16094
LGA34590,1246,875,589,308,73,17,4274,86,544,668,584,470,187,42,9,2584,1506,5744,5122,3253,2300,1299,361,71,19656,1869,4223,4466,3936,2906,1503,383,106,19389,6249,10810,9834,8882,6897,4044,1287,300,48308,1221,747,583,446,297,164,24,5,3487,546,845,1035,899,805,511,176,53,4878,8022,12409,11449,10230,8000,4726,1480,355,56672,133,279,274,300,304,246,104,33,1675,3645,3433,3276,3325,3000,2557,1575,632,21438,15331,27744,26495,22506,17574,10813,4009,1207,125686
LGA34710,3,20,14,3,0,0,47,0,8,12,17,16,0,0,0,52,32,83,86,36,43,12,3,6,303,11,30,44,67,50,21,7,0,235,76,120,92,73,86,35,10,3,498,25,12,11,9,3,3,0,0,58,11,9,3,8,11,0,0,0,48,108,137,104,96,105,39,13,3,608,0,0,3,3,3,0,0,0,16,55,43,48,61,68,62,42,26,408,209,313,301,298,302,142,74,36,1665
LGA34770,285,300,210,84,19,4,1140,31,211,254,275,192,66,20,0,1047,485,2213,1876,1387,992,380,123,41,7500,240,953,1342,1458,1109,462,165,40,5765,2325,5048,4482,4334,3302,1553,536,120,21690,333,273,211,186,101,48,12,0,1160,143,257,319,368,254,148,48,8,1543,2800,5576,5008,4883,3652,1743,604,121,24391,27,58,77,109,89,76,44,15,495,1339,1513,1636,1922,1651,1221,894,401,10570,4934,10750,10481,10339,7897,4034,1856,627,50912
LGA34800,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,7,3,28,8,5,9,3,0,0,59,4,4,9,3,7,3,0,0,33,10,37,33,25,17,3,0,0,128,7,3,0,0,0,0,0,0,12,3,4,6,0,0,0,0,0,14,17,42,40,26,20,9,0,0,150,0,0,3,0,7,3,0,0,10,8,6,16,15,20,7,7,3,80,35,94,73,56,54,21,10,3,350
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,11,7,10,15,9,7,0,0,0,48,6,3,3,6,3,0,0,0,17,0,0,0,0,0,0,0,0,0,14,11,18,12,9,0,0,0,67,0,0,0,0,0,0,0,0,0,3,3,3,3,5,0,3,0,14,21,17,23,18,21,4,3,0,104
LGA34860,38,20,9,4,0,0,112,4,30,22,24,20,4,0,0,97,61,351,213,134,92,36,11,5,902,41,176,171,174,130,63,12,10,772,263,500,353,314,245,96,38,6,1815,47,29,33,24,15,0,0,0,149,19,39,37,37,33,13,8,0,178,328,564,424,380,292,112,48,6,2148,5,11,14,4,9,5,0,0,48,160,254,196,190,191,143,112,54,1293,598,1407,1079,930,737,365,180,66,5365
LGA34880,50,59,57,45,12,0,263,0,25,32,41,37,16,11,0,165,52,285,298,280,245,170,45,15,1388,37,149,245,283,258,153,49,8,1176,227,473,584,678,570,365,130,23,3062,59,40,42,32,28,19,0,0,221,14,34,50,70,68,45,22,9,317,304,543,685,775,666,436,156,29,3599,8,13,16,21,15,25,9,3,116,581,594,515,501,494,438,231,68,3411,979,1647,1840,1963,1777,1278,508,125,10117
LGA35010,1999,1872,1316,748,162,37,7301,124,795,1445,1320,1068,510,120,16,5393,1987,7763,9476,6671,4431,2828,856,190,34207,2159,5598,7223,7335,5314,3272,1044,254,32192,8150,14319,14149,13228,10295,6663,2559,594,69956,1543,926,733,583,436,282,56,17,4584,711,960,1300,1335,1253,972,338,87,6953,10409,16206,16185,15144,11975,7916,2952,704,81492,159,312,344,411,379,433,242,67,2345,3817,3978,4025,4071,3955,4308,3246,2293,29697,18721,35772,40690,36828,28434,20010,8624,3558,192629
LGA35250,0,0,0,0,0,0,6,0,8,0,0,3,0,0,0,11,4,19,8,0,3,3,0,0,45,0,3,8,3,10,0,0,0,25,9,22,21,20,3,9,0,0,81,5,3,0,5,0,0,0,0,12,0,0,3,0,0,0,0,0,9,19,22,25,23,9,9,0,0,100,0,0,0,0,0,0,0,0,0,49,58,36,24,18,13,3,0,206,73,110,70,60,50,23,3,0,382
LGA35300,73,57,36,10,0,0,263,10,61,55,35,18,3,0,0,179,157,571,296,175,93,33,8,0,1333,45,189,187,206,95,29,19,3,765,377,950,725,671,387,139,27,4,3285,84,55,21,16,11,5,3,0,194,20,54,43,36,22,7,3,0,191,476,1066,789,722,425,150,35,5,3667,3,13,12,14,4,8,5,0,62,367,480,317,386,284,159,54,21,2070,1057,2459,1727,1599,944,393,125,28,8343
LGA35600,10,3,3,3,0,0,31,3,4,8,8,11,0,0,0,42,26,91,71,44,43,16,3,0,291,4,28,43,58,45,7,4,3,200,69,125,100,101,95,25,13,0,522,12,11,8,13,4,0,0,0,43,10,10,3,8,7,4,0,3,45,87,141,108,119,109,28,13,3,614,3,3,0,6,5,0,0,0,17,57,57,50,63,64,52,48,29,414,183,337,293,300,279,108,74,30,1606
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,9,0,0,3,5,0,0,0,0,11,12,23,19,21,3,8,0,0,76,6,6,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,3,19,29,19,23,9,6,0,0,104,0,0,3,0,3,0,0,0,7,14,11,3,3,8,0,0,0,41,36,36,30,36,15,5,0,0,165
LGA35740,220,289,345,277,90,10,1336,3,59,131,221,248,154,41,4,875,159,682,1216,1201,1088,884,297,72,5606,148,438,798,1094,1064,837,330,80,4789,582,1061,1427,1876,1652,1200,455,139,8387,110,61,73,79,71,66,22,4,484,63,76,126,220,255,244,99,25,1112,756,1198,1628,2181,1979,1505,575,167,9985,9,26,47,56,85,82,67,13,392,383,301,537,620,747,823,578,399,4383,1464,2802,4575,5666,5556,4566,1981,749,27364
LGA35760,19,12,3,14,0,0,63,0,12,19,13,14,3,3,0,71,25,132,121,84,75,41,20,0,498,19,70,66,126,99,62,29,3,474,145,218,219,262,250,152,53,12,1321,42,31,25,16,12,5,0,0,136,10,22,23,31,38,26,8,5,166,197,273,269,312,302,191,67,14,1624,4,14,7,5,4,11,6,0,53,143,174,157,216,218,241,194,75,1420,394,685,655,776,728,556,310,96,4201
LGA35780,3,3,6,0,0,0,17,0,3,7,6,0,0,0,0,14,9,24,12,25,15,3,0,0,89,10,32,18,35,27,8,0,0,129,66,95,88,57,36,3,3,0,348,30,23,16,12,8,0,0,0,86,7,5,3,6,3,0,0,0,23,97,121,105,69,46,7,3,0,460,0,0,3,3,0,0,0,0,10,61,39,37,33,22,8,5,0,196,181,225,188,171,115,28,9,0,919
