LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA36660,75,94,81,78,17,5,393,11,30,57,77,79,50,16,0,323,91,357,421,422,427,335,121,19,2182,76,215,320,431,468,304,118,36,1963,572,875,911,985,947,666,210,43,5213,119,101,73,51,47,21,9,0,415,54,66,101,127,116,107,30,13,622,747,1045,1082,1166,1110,789,251,63,6252,11,16,11,17,29,31,20,4,135,379,268,311,382,488,598,472,242,3130,1305,1981,2277,2582,2679,2184,1014,362,14389
LGA36720,1430,1500,1342,948,313,57,6520,72,556,897,1179,1074,638,160,18,4602,1455,5840,7171,5836,4496,3264,1207,361,29627,1205,3294,4908,5439,4621,3223,1379,401,24459,4776,8546,9238,9764,8235,5430,2487,718,49198,947,458,401,365,376,236,74,18,2878,434,628,806,1007,1076,970,427,122,5461,6156,9634,10436,11137,9691,6635,2986,859,57542,93,176,237,307,337,424,288,89,1958,2545,2357,2634,3038,3107,3475,2783,1890,21833,11569,22754,27718,28432,24662,18607,9116,3671,146541
LGA36820,57,86,98,73,17,5,369,5,19,39,72,73,47,5,0,261,42,272,355,345,363,258,97,23,1750,51,144,228,356,382,280,103,27,1570,347,577,669,745,827,570,229,42,4004,68,50,39,46,29,26,6,0,272,24,46,64,83,84,65,24,0,387,444,666,774,876,944,662,259,43,4664,9,10,10,16,24,33,24,12,137,314,215,280,411,475,495,348,147,2677,863,1353,1739,2162,2356,1843,852,255,11433
LGA36910,920,874,692,399,110,10,3767,44,316,449,542,487,217,63,10,2128,1019,3726,3361,2604,2188,1216,498,126,14738,553,1718,1963,2301,1924,1196,455,112,10221,3494,5447,4464,4240,3527,1942,774,196,24081,679,402,240,212,155,78,24,3,1787,275,307,378,454,452,308,138,48,2355,4445,6153,5083,4904,4129,2326,938,246,28224,53,101,92,114,106,117,94,35,712,1897,1510,1477,1674,1790,1932,1655,1169,13111,8059,14240,13349,13007,11327,7401,3811,1722,72904
LGA36950,20,19,11,0,0,0,56,0,9,11,8,11,0,0,0,42,4,76,59,39,30,4,0,0,229,6,37,48,46,30,7,0,0,179,50,113,91,65,64,14,3,0,403,29,23,16,10,7,0,0,0,80,19,10,10,4,8,3,0,0,49,94,135,118,81,78,21,3,0,531,3,3,3,0,0,0,0,0,12,165,205,104,89,62,29,8,3,661,278,476,363,281,224,69,10,3,1703
LGA36960,6,0,3,0,0,0,10,0,3,7,8,0,0,0,0,24,10,18,13,18,20,3,0,0,74,6,16,36,35,28,4,4,0,132,102,169,138,106,55,13,0,0,576,54,64,33,29,16,6,3,0,199,11,10,11,15,3,3,0,0,45,156,235,180,143,67,21,3,0,818,4,0,3,3,3,0,0,0,12,212,141,74,54,56,32,4,0,574,392,419,312,265,178,61,11,0,1642
LGA37010,1071,949,716,322,92,13,4051,87,518,568,538,366,163,33,6,2275,1419,5104,4118,2978,2053,1021,337,68,17093,782,2171,2609,2722,2005,988,315,90,11677,3971,7397,5988,5542,4355,2274,804,210,30530,785,400,285,206,167,65,17,5,1940,250,418,414,434,400,258,98,27,2296,5009,8211,6683,6179,4922,2590,919,242,34767,71,150,144,152,144,119,58,10,847,2961,2809,2305,2361,2024,1704,1100,489,15743,10371,19809,17498,15876,12222,6899,2858,919,86453
LGA37300,18,18,4,0,0,0,57,0,15,17,11,3,4,0,0,50,17,114,90,49,18,3,0,0,292,5,37,61,60,23,5,0,0,195,92,267,225,176,82,15,3,0,857,4,11,10,3,6,0,0,0,28,9,6,15,8,3,3,0,0,48,99,285,252,190,95,15,3,0,930,0,3,0,0,4,0,0,0,12,72,68,89,86,47,16,0,0,375,197,540,529,410,193,46,4,0,1914
LGA37310,65,31,26,11,4,0,209,3,53,46,56,46,12,0,0,220,134,598,563,327,205,105,33,6,1966,67,294,419,418,276,160,42,9,1680,658,1196,999,886,638,316,112,25,4824,132,101,60,67,33,13,0,0,410,42,80,101,115,72,41,20,3,465,835,1373,1152,1065,736,367,134,26,5700,11,16,17,12,27,17,6,4,110,562,524,585,666,617,537,349,158,3993,1619,2910,2848,2582,1941,1205,569,202,13872
LGA37340,63,58,57,31,3,0,298,6,44,68,41,58,28,6,0,252,169,647,462,292,264,146,47,6,2029,139,493,433,405,372,206,60,5,2115,565,1322,1197,1140,982,550,175,37,5957,121,89,75,53,65,23,5,0,437,66,83,91,107,93,71,20,0,535,751,1497,1362,1300,1140,651,192,37,6930,13,35,27,26,20,34,6,4,160,739,983,669,682,653,537,273,127,4673,1826,3780,3085,2799,2562,1624,592,185,16453
LGA37400,3,3,4,0,0,0,12,0,0,3,3,0,3,3,0,13,8,17,11,6,11,13,0,0,67,8,10,9,10,8,7,0,0,49,19,37,23,32,19,19,10,0,159,4,0,3,4,3,0,0,0,14,0,3,0,4,4,0,0,0,16,23,44,26,38,25,25,10,0,193,0,0,0,0,0,0,4,0,5,8,14,10,12,20,35,14,9,127,53,87,65,75,69,75,32,9,458
LGA37550,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,5,0,0,5,3,0,0,19,3,7,3,7,10,0,0,0,21,9,11,13,15,11,0,0,0,52,3,3,9,0,3,0,0,0,18,0,0,0,0,0,0,0,0,3,7,19,16,14,16,0,0,0,72,0,0,0,3,0,0,0,0,3,54,12,20,16,13,9,0,0,121,70,42,44,40,38,9,0,0,246
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,0,3,0,0,0,0,0,9,3,9,8,9,3,0,0,0,33,3,3,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,8,4,11,15,9,3,0,0,0,45,0,0,0,0,0,0,0,0,0,5,3,4,7,5,0,0,0,22,15,22,21,19,12,0,0,0,86
LGA37600,0,0,0,0,0,0,3,0,10,3,3,0,0,0,0,13,3,11,7,13,4,0,0,0,38,0,3,14,23,6,0,3,0,62,28,57,43,43,17,0,0,0,187,18,14,11,6,4,0,0,0,54,3,5,3,5,3,0,0,0,24,48,76,52,55,24,0,0,0,263,0,3,0,0,0,0,0,0,7,83,46,32,29,23,12,3,0,228,135,148,110,128,60,18,3,0,605
LGA39499,41,38,38,25,3,0,266,7,23,12,19,36,19,0,0,118,200,451,125,104,130,115,21,3,1147,88,128,95,109,218,128,18,0,779,151,340,256,316,418,356,61,8,1898,27,17,16,13,24,16,0,0,113,19,42,19,24,60,37,4,0,202,197,398,300,349,497,411,64,9,2221,16,24,9,18,19,20,7,0,113,331,585,474,448,481,334,102,17,2765,839,1709,1058,1085,1426,1050,215,24,7409
LGA39799,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,3,3,0,0,12,4,3,3,6,0,0,4,0,18,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,6,3,0,4,0,26,0,0,0,0,0,0,0,0,3,4,0,0,0,4,9,0,3,23,10,11,12,8,15,15,6,3,71
