LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA32600,0,3,17,35,7,3,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,9,15,36,10,3,5,8,85
LGA32750,0,5,11,39,14,3,3,7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,13,39,13,3,3,5,86
LGA32770,0,0,18,126,50,3,0,4,205,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,17,19,0,0,6,3,0,0,0,18,22,0,0,30,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,39,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,57,134,50,3,0,27,268
LGA32810,32,144,456,1434,789,70,28,73,3025,3,23,126,68,3,0,0,12,229,3,18,162,58,5,0,0,9,242,7,37,282,127,8,0,0,19,475,0,51,244,48,3,0,3,25,382,0,9,49,3,0,0,0,3,70,0,3,21,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,71,313,52,10,0,3,31,480,30,58,25,15,5,0,0,14,143,0,17,19,23,5,7,3,4,75,67,326,1094,1654,818,71,31,132,4197
LGA33100,10,23,55,86,41,9,6,6,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,3,0,0,0,0,37,51,3,3,0,7,4,0,0,0,16,16,34,65,94,46,10,13,48,319
LGA33200,0,9,81,156,86,23,17,20,387,0,4,41,58,51,11,3,11,171,0,0,0,0,0,0,0,0,0,0,4,41,58,51,11,3,11,171,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,0,27,0,17,137,221,139,34,19,24,586
LGA33220,87,461,4315,15432,10471,1490,330,780,33377,17,290,1034,520,34,3,0,85,1990,18,193,460,446,23,0,0,38,1183,38,481,1499,967,59,3,0,124,3173,3,103,497,143,17,0,0,56,822,0,21,113,32,0,0,0,4,175,0,20,126,72,0,0,0,10,224,0,0,0,0,0,0,0,0,3,8,152,734,244,19,0,0,68,1225,143,392,151,79,29,3,7,80,896,14,28,49,90,42,5,4,83,321,285,1517,6756,16812,10626,1507,343,1145,38988
LGA33360,63,278,1161,7689,7823,1049,226,332,18624,0,54,192,155,11,3,0,7,431,3,17,205,297,24,0,0,11,561,3,78,397,456,37,0,0,20,989,8,114,566,204,8,0,0,45,947,10,24,78,45,0,0,0,4,156,3,5,188,26,0,0,0,4,231,0,0,0,0,0,0,0,0,0,14,147,833,271,13,0,0,53,1340,45,162,67,40,14,3,3,27,357,3,14,18,13,13,0,0,4,69,126,681,2481,8464,7895,1056,234,433,21378
LGA33430,118,637,5503,42080,52495,10385,2313,2214,115758,79,498,6892,6652,362,36,25,555,15091,37,611,5762,16778,1974,151,46,577,25935,116,1111,12655,23423,2335,182,63,1135,41021,175,1559,4417,1349,179,30,21,352,8090,54,2402,8685,1548,66,10,11,459,13239,234,4064,9936,3145,192,17,19,511,18115,0,19,17,3,0,0,0,3,39,464,8044,23052,6049,436,56,52,1326,39485,166,602,423,128,38,14,5,100,1476,14,114,217,183,106,25,6,275,933,878,10506,41858,71866,55416,10661,2448,5043,198668
LGA33610,14,61,402,1476,1079,180,59,82,3357,0,3,26,12,0,0,0,3,47,0,0,21,4,0,0,0,3,34,0,3,50,19,0,0,0,3,81,0,37,152,27,6,0,0,14,230,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,155,27,6,0,0,13,241,8,19,17,5,3,0,0,9,66,0,0,6,31,8,3,0,4,55,21,123,627,1558,1102,183,60,117,3793
LGA33620,74,395,2052,8259,4804,733,177,414,16909,0,36,346,100,6,0,0,23,518,8,43,123,84,3,0,0,13,273,10,80,472,181,16,0,0,35,795,4,175,137,37,7,0,3,19,384,0,3,15,13,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,4,181,157,51,7,0,3,23,419,87,179,78,40,29,3,3,40,455,0,15,16,25,11,9,0,15,95,174,843,2779,8558,4865,750,184,526,18676
LGA33800,12,82,562,2156,822,127,25,116,3909,0,10,34,0,0,0,0,4,41,0,0,3,0,0,0,0,0,5,0,8,36,0,0,0,0,4,47,0,38,133,23,0,0,0,11,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,133,23,0,0,0,11,215,16,37,5,11,3,0,0,6,82,0,3,3,6,6,0,3,3,22,25,173,739,2189,835,127,25,144,4268
LGA33830,0,8,27,118,62,0,0,5,220,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,33,118,62,0,0,5,231
LGA33960,64,332,3613,25090,23239,2938,601,1091,56966,50,434,1452,974,92,0,3,155,3159,21,115,631,1071,190,13,0,61,2106,72,552,2085,2047,280,10,3,217,5262,5,246,372,94,16,0,3,40,783,3,34,68,11,3,0,0,0,113,4,12,12,7,0,0,0,0,39,0,7,0,3,0,0,0,0,10,14,289,448,120,22,3,3,47,948,29,116,63,52,16,5,0,40,321,0,27,27,55,33,0,3,23,163,174,1311,6231,27360,23590,2959,610,1414,63661
LGA33980,19,100,358,2577,1829,258,71,125,5339,0,13,73,54,0,0,0,3,146,0,0,69,128,7,0,0,3,212,0,14,140,184,10,3,0,7,353,0,29,133,95,15,0,0,13,276,0,9,0,3,0,0,0,0,14,0,4,3,0,0,0,0,0,8,0,9,0,0,0,0,0,0,7,3,44,137,98,15,0,0,9,312,26,58,13,17,6,0,3,9,128,0,0,11,14,6,6,0,12,52,47,212,658,2881,1868,265,85,164,6186
LGA34420,0,4,37,90,34,6,0,5,173,0,0,25,6,0,0,0,0,37,0,0,6,23,0,0,0,0,34,0,5,34,26,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,70,122,34,7,0,5,241
LGA34530,34,216,1013,4210,4341,725,143,248,10934,3,91,161,102,5,3,0,10,378,8,22,31,44,8,0,0,0,116,10,106,192,144,18,4,0,12,495,3,120,319,118,3,3,0,31,595,0,4,47,17,0,0,0,0,65,0,7,48,15,0,0,0,3,74,0,0,0,0,0,0,0,0,0,3,126,413,151,6,3,0,32,733,48,121,83,22,12,3,0,45,340,0,9,14,20,13,0,0,91,148,102,583,1719,4556,4388,741,150,420,12654
LGA34570,0,11,23,49,48,3,4,13,146,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,52,51,3,4,14,155
LGA34580,42,190,956,5003,4336,816,211,324,11865,4,8,149,97,10,0,0,14,286,0,0,17,15,0,0,0,3,36,4,14,169,110,9,0,0,20,323,0,32,122,46,7,0,0,21,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,27,122,46,7,3,6,21,233,5,39,33,115,54,13,4,88,352,0,5,23,26,31,4,5,13,102,52,272,1295,5296,4435,836,218,461,12872
LGA34590,84,473,3370,37254,32558,6409,1681,1708,83533,22,316,1682,954,108,16,11,119,3225,11,198,2756,3491,226,13,13,188,6897,38,512,4441,4447,334,33,19,308,10127,17,489,1099,580,55,5,5,107,2346,0,72,89,31,17,0,0,11,220,0,12,20,7,7,0,0,0,47,0,9,28,11,3,0,0,10,53,17,575,1226,622,74,5,5,129,2664,48,226,149,101,18,9,3,49,604,3,48,49,72,53,19,5,45,295,187,1839,9234,42498,33041,6476,1719,2237,97224
LGA34710,4,35,154,528,330,97,27,35,1207,0,10,27,3,0,0,0,0,36,0,0,0,4,0,0,0,0,4,0,10,27,4,0,0,0,0,41,0,3,47,3,0,0,0,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,3,0,0,0,4,61,8,18,4,3,3,0,4,4,42,0,0,3,8,4,0,0,0,12,11,64,231,543,344,96,28,39,1366
LGA34770,72,492,2930,15743,12630,1724,283,711,34580,12,302,1252,599,72,4,4,99,2350,9,169,441,362,50,7,0,39,1075,21,469,1700,962,127,11,3,134,3428,14,235,840,318,15,0,3,95,1528,0,3,29,14,6,0,0,7,51,0,48,62,163,17,3,0,8,295,0,3,0,3,0,0,0,0,4,17,283,926,493,40,3,3,104,1871,70,189,72,51,17,6,0,136,545,11,34,43,53,29,9,5,60,242,188,1474,5672,17301,12839,1748,294,1150,40669
LGA34800,3,7,43,97,50,14,18,8,242,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,0,0,3,3,0,0,0,3,15,3,18,50,110,50,18,18,15,270
LGA34830,0,0,21,27,25,5,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,23,31,5,0,0,84
LGA34860,8,74,511,1841,1268,268,64,116,4148,4,25,62,22,4,0,0,12,128,0,0,6,0,0,0,0,0,16,4,22,71,25,4,0,0,12,141,0,0,43,5,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,40,10,0,0,0,0,58,9,12,9,10,3,3,0,8,57,0,0,5,19,6,0,0,4,33,25,117,633,1909,1274,272,69,140,4439
LGA34880,67,364,1126,3095,1567,250,91,188,6748,3,10,66,16,4,0,0,6,100,0,5,4,0,0,0,0,0,13,3,13,72,14,4,0,0,6,115,0,46,110,19,3,0,0,15,199,0,0,3,0,0,0,0,0,3,0,30,17,7,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,72,130,27,3,0,0,15,252,52,89,38,20,9,3,9,25,242,0,5,4,13,11,0,0,17,58,130,554,1370,3172,1591,254,96,244,7408
LGA35010,159,795,6276,48743,53514,9039,1948,2012,122497,32,687,3716,3122,284,8,7,241,8107,21,414,2004,5068,331,19,3,209,8074,61,1100,5724,8188,618,31,11,455,16179,49,1124,2086,753,63,14,3,220,4316,33,184,625,291,17,0,0,40,1177,34,196,820,778,16,0,3,44,1884,0,5,14,11,3,0,0,0,35,114,1506,3535,1834,100,17,9,303,7409,161,585,252,81,40,11,9,78,1220,11,35,71,124,62,14,8,43,362,503,4016,15859,58968,54329,9108,1982,2898,147666
LGA35250,0,3,57,119,38,0,0,0,224,0,0,4,0,0,0,0,0,4,0,0,11,3,3,0,0,0,17,0,0,12,3,3,0,0,0,22,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,11,70,122,42,0,0,0,261
LGA35300,9,50,334,2739,1179,185,41,129,4668,8,188,402,142,15,6,0,26,785,0,16,64,33,5,0,0,3,124,8,211,468,176,21,6,0,25,907,0,91,185,35,6,0,0,18,338,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,196,35,6,0,0,21,349,5,31,6,15,8,3,0,13,82,3,12,12,17,6,3,0,17,68,22,389,1018,2989,1219,193,45,209,6078
LGA35600,6,39,229,723,342,82,16,52,1484,0,20,21,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,19,21,0,0,0,0,3,48,0,6,20,3,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,3,0,0,0,3,38,8,3,0,11,3,0,0,5,31,4,0,0,5,0,3,0,0,14,16,72,272,740,345,81,20,62,1611
LGA35670,0,0,27,98,51,11,3,0,189,0,10,25,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,14,26,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,20,52,98,51,11,6,0,235
LGA35740,35,262,1423,7228,5613,952,155,290,15965,4,94,454,336,29,3,0,58,981,7,94,718,547,39,0,0,38,1453,12,189,1174,887,68,7,3,93,2436,28,155,541,189,11,4,0,43,968,0,35,267,84,0,0,0,3,399,0,0,35,46,3,0,0,0,83,0,0,0,0,0,0,0,0,3,27,190,846,322,17,3,0,48,1452,24,55,21,12,6,4,0,18,145,11,16,40,35,11,5,3,26,146,114,718,3510,8484,5709,969,165,477,20143
LGA35760,15,105,590,1765,811,142,34,103,3569,0,7,10,7,0,0,0,4,27,0,0,3,0,0,0,0,0,3,0,7,14,7,0,0,0,4,31,0,17,53,3,0,0,0,16,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,53,3,0,0,0,11,96,46,78,19,21,3,0,3,24,191,0,4,4,12,7,3,0,3,30,65,213,686,1802,820,144,41,149,3916
LGA35780,0,21,100,253,142,15,7,16,567,0,9,35,3,0,3,0,3,50,0,0,4,0,0,0,0,0,4,0,9,34,3,0,3,0,3,47,0,8,9,0,0,0,0,3,17,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,3,21,3,15,7,0,0,0,0,8,32,0,0,0,0,0,0,0,4,4,3,52,148,264,146,20,7,38,676
LGA35790,0,7,81,186,106,14,4,4,397,0,0,11,0,0,0,0,0,13,0,5,12,0,0,0,0,0,21,0,5,19,0,0,0,0,3,34,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,7,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,29,132,189,109,12,4,3,483
LGA35800,7,49,137,224,100,38,19,27,598,0,10,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,15,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,9,5,5,0,0,0,0,16,0,4,5,8,0,0,0,0,15,8,64,143,232,101,39,21,30,647
LGA36070,3,0,40,88,34,6,3,3,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,36,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,70,94,40,6,9,3,218
LGA36150,0,13,44,140,62,19,8,7,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,25,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,51,139,63,19,13,21,319
LGA36250,45,369,2426,15941,19986,4372,653,760,44559,23,352,1195,699,90,9,4,99,2457,12,105,982,1231,89,7,3,50,2468,32,450,2173,1928,181,18,5,144,4931,47,392,938,406,32,3,0,64,1882,12,4,109,111,3,0,0,6,251,3,32,143,41,0,0,0,5,225,0,3,0,0,0,0,0,0,3,62,428,1190,562,41,4,0,82,2362,26,135,145,37,8,3,0,25,370,0,14,44,76,30,0,3,48,223,172,1400,5979,18538,20250,4401,662,1061,52446
LGA36300,0,13,45,131,58,15,9,10,271,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,4,26,45,134,60,15,7,7,295
LGA36370,59,320,3125,11840,7472,1236,259,549,24867,4,143,885,314,35,3,0,63,1446,6,145,205,121,14,3,0,35,522,11,285,1092,439,49,7,0,95,1968,13,188,592,196,15,0,0,38,1041,0,5,16,10,0,0,0,3,35,0,0,51,24,3,0,0,4,81,0,0,7,4,0,0,0,0,11,13,198,664,232,17,0,0,48,1177,38,86,35,34,12,3,3,20,228,0,8,27,28,15,4,4,39,131,114,894,4941,12574,7573,1254,267,750,28375
LGA36510,32,248,1440,5891,4163,817,233,266,13100,21,70,192,101,6,0,0,15,410,0,5,72,10,0,0,0,0,90,18,76,267,111,7,0,0,15,500,0,19,121,12,3,0,0,3,156,8,11,20,0,0,0,0,3,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,28,144,9,3,0,0,8,202,31,71,28,29,12,3,5,16,196,0,5,11,10,11,0,3,3,47,95,430,1887,6055,4195,821,237,311,14043
LGA36580,14,159,1057,3477,2792,445,125,204,8279,0,4,40,22,3,0,0,3,73,0,0,3,0,7,0,0,0,12,0,4,42,23,9,0,0,3,81,0,12,10,12,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,13,0,0,0,3,39,18,37,13,9,7,3,0,6,99,3,18,12,19,14,8,0,16,86,34,223,1132,3554,2816,455,129,234,8579
LGA36630,49,284,1634,5369,3052,470,117,312,11275,3,44,187,49,10,0,0,15,312,0,0,8,3,0,0,0,0,12,3,44,193,54,10,3,0,15,321,3,64,266,37,5,0,0,23,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,72,266,37,5,0,0,19,409,37,81,30,25,12,3,0,24,204,0,11,0,16,16,6,3,3,49,95,489,2126,5498,3094,477,122,375,12265
LGA36660,35,231,1551,5606,3585,642,128,283,12046,0,57,437,117,12,0,0,37,657,0,8,19,17,4,4,0,0,43,0,62,454,126,16,4,0,37,703,0,42,210,47,3,0,0,26,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,42,219,47,3,0,0,26,334,28,63,28,20,13,4,3,11,184,0,3,20,32,20,0,3,5,89,63,408,2278,5829,3628,654,136,355,13355
LGA36720,151,932,5470,33041,32144,5732,1140,1359,79971,20,338,4336,2849,86,11,5,278,7919,36,307,1866,2947,293,18,13,131,5609,59,640,6205,5796,377,31,13,405,13524,83,811,2556,1210,110,10,10,171,4956,14,240,1397,745,26,0,7,68,2492,17,557,2773,1744,131,5,7,183,5418,4,28,6,0,0,3,0,8,56,114,1642,6726,3700,264,22,18,425,12917,210,627,495,102,40,9,7,101,1586,11,135,103,159,76,15,15,71,590,549,3977,18999,42800,32903,5808,1195,2356,108589
LGA36820,73,340,1380,4048,1939,378,98,220,8462,3,47,132,23,4,0,0,11,220,0,6,27,0,0,0,0,3,37,3,55,158,24,4,3,0,12,258,3,57,241,67,13,0,0,23,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,245,67,13,0,0,23,412,37,105,33,13,7,0,0,14,221,4,3,11,14,8,0,0,5,46,120,569,1824,4159,1966,384,99,279,9397
