LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA34860,133,0,0,4,3,142,27,0,0,0,0,32,28,0,0,0,0,33,57,0,0,0,0,56,97,0,0,0,0,101,212,0,0,0,0,215,198,0,0,0,0,202,179,0,0,0,0,179,80,0,0,0,0,84,69,0,0,0,0,69,48,0,0,0,0,53,97,0,0,0,0,98,1235,5,3,9,8,1263
LGA34880,95,0,0,0,0,95,60,0,0,0,0,60,49,0,0,0,0,49,100,0,0,3,0,101,141,0,0,0,0,142,408,0,0,3,0,415,391,0,0,4,3,392,390,3,0,3,3,394,140,0,0,0,0,137,110,0,0,0,0,113,61,0,0,0,0,61,110,0,0,0,0,106,2060,3,0,18,8,2085
LGA35010,2241,92,40,0,7,2386,1034,69,14,0,0,1109,885,47,25,8,3,968,1616,88,38,0,3,1744,2235,135,57,5,3,2435,6844,447,180,7,13,7485,10216,418,137,15,9,10790,14292,265,123,13,18,14706,6031,55,53,9,0,6142,3936,31,30,0,3,3995,1737,8,15,7,3,1770,2118,49,27,11,3,2207,53176,1699,725,66,65,55732
LGA35250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA35300,50,3,0,0,0,58,21,0,0,0,0,20,29,3,0,0,0,33,37,0,0,0,0,35,86,3,0,0,0,87,211,9,0,12,6,237,375,11,5,3,0,395,614,7,3,4,0,630,223,4,0,0,0,226,121,4,0,0,0,122,79,0,0,0,0,80,77,0,0,0,0,84,1915,51,16,22,13,2014
LGA35600,53,0,0,0,0,51,29,0,0,0,0,30,22,0,0,0,0,22,50,0,0,0,0,52,52,0,0,0,0,52,86,0,0,0,0,86,44,0,0,0,0,44,43,0,0,0,0,47,10,0,0,0,0,10,8,0,0,0,0,8,11,0,0,0,0,10,25,0,0,0,0,30,435,0,0,9,3,445
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
LGA35740,343,31,13,0,0,387,147,16,6,0,0,178,128,15,10,0,0,146,214,27,8,3,0,257,296,23,12,0,3,329,818,70,42,3,3,940,921,76,41,0,4,1039,1230,61,34,0,7,1332,594,28,14,0,6,645,445,18,7,0,5,473,257,8,13,0,3,280,295,11,7,3,3,319,5682,374,210,20,39,6325
LGA35760,81,0,0,3,0,88,49,0,0,3,0,51,48,0,0,3,0,48,100,0,0,0,0,97,109,0,0,0,0,111,186,0,0,3,0,192,103,0,0,0,0,102,101,0,0,0,0,102,26,0,0,0,0,32,30,0,0,0,0,30,26,0,0,0,0,26,60,0,0,0,3,60,905,0,3,22,10,937
LGA35780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35800,36,0,0,0,0,36,16,0,0,0,0,16,5,0,0,0,0,5,12,0,0,0,0,12,7,0,0,0,0,7,9,0,0,0,0,9,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,10,0,0,0,0,11,111,0,0,0,3,117
LGA36070,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8
LGA36150,10,0,0,0,0,11,5,0,0,0,0,3,11,0,0,0,0,11,12,0,0,0,0,12,8,0,0,0,0,8,16,0,0,0,0,16,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,79,0,0,0,0,79
LGA36250,894,38,12,0,5,950,373,25,3,0,0,403,332,25,11,0,0,370,585,47,16,0,0,646,763,58,24,0,3,852,2104,174,44,0,11,2332,2817,246,54,0,4,3122,5343,146,35,0,3,5531,2934,25,13,0,6,2980,1911,22,11,0,0,1946,861,8,7,0,0,881,802,20,12,3,3,835,19723,831,242,13,39,20848
LGA36300,12,0,0,0,0,12,5,0,0,0,0,5,6,0,0,0,0,6,12,0,0,0,0,12,7,0,0,0,0,7,6,0,0,0,0,6,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,8,70,0,0,0,3,67
LGA36370,359,6,0,0,0,369,220,3,3,0,0,226,194,6,0,3,0,206,380,10,0,0,0,390,632,16,9,6,0,654,1934,32,14,4,3,1990,2115,24,23,9,0,2163,1937,22,18,3,6,1986,600,4,0,3,0,605,406,0,5,0,0,410,200,0,0,0,3,198,341,6,7,0,3,351,9310,120,80,32,18,9551
LGA36510,232,5,3,0,0,241,124,3,0,0,0,133,107,4,0,0,0,108,224,5,0,0,0,226,253,5,3,3,0,265,802,12,4,6,0,822,887,5,0,3,3,907,1064,0,0,3,0,1065,488,0,0,3,0,494,340,3,0,4,0,348,168,0,0,4,0,176,249,0,0,3,0,258,4944,44,12,31,10,5042
LGA36580,131,0,0,0,0,128,85,0,0,0,0,83,96,0,0,0,0,96,172,0,0,0,0,177,249,0,0,0,0,246,559,3,0,3,3,567,569,0,0,4,4,574,533,3,0,6,5,540,197,0,0,0,0,198,126,0,0,0,5,134,55,0,0,0,0,57,165,0,0,0,0,168,2935,10,0,17,19,2978
LGA36630,230,0,4,3,0,240,160,3,0,0,0,166,162,0,0,3,0,165,288,4,0,6,0,293,361,3,0,3,3,370,754,7,3,0,6,769,586,0,3,3,4,596,369,0,0,0,4,371,118,0,0,0,0,118,82,0,0,3,0,84,61,0,0,0,0,61,188,0,0,6,0,193,3350,21,9,31,14,3424
LGA36660,220,0,0,7,4,229,138,7,0,0,0,144,134,0,0,0,5,140,245,4,0,0,0,248,366,9,0,4,0,375,931,13,0,5,3,950,696,4,0,0,6,710,495,4,0,0,0,507,152,0,0,0,0,152,107,0,0,0,0,106,61,0,0,7,3,72,173,0,0,0,3,178,3712,39,7,23,22,3811
LGA36720,1511,117,105,6,7,1752,711,89,48,4,0,855,568,59,45,4,3,674,993,74,78,14,4,1156,1455,132,108,7,8,1711,4086,438,313,14,18,4868,5247,440,333,6,10,6035,8414,304,295,12,23,9038,3899,77,106,10,12,4098,2663,48,84,5,5,2809,1289,24,44,3,8,1371,1374,89,48,8,6,1523,32209,1882,1614,79,110,35902
LGA36820,144,0,0,0,0,144,98,0,3,0,0,103,74,0,0,0,0,76,145,0,0,0,0,146,194,0,3,0,0,196,498,3,7,4,4,512,419,0,0,3,0,419,395,0,0,4,3,405,140,0,0,0,0,138,83,0,3,0,4,87,72,0,0,0,0,76,123,0,0,0,0,120,2378,4,20,18,14,2439
LGA36910,825,21,14,7,8,875,470,23,11,3,0,510,396,20,9,0,4,435,790,33,15,5,0,849,1116,69,23,4,0,1207,3463,183,53,14,13,3728,3946,148,35,9,16,4158,3601,79,22,11,16,3727,1391,15,6,4,0,1415,854,14,4,0,4,881,435,4,3,4,3,451,616,21,0,4,0,643,17917,624,198,66,66,18869
LGA36950,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,3,27,3,0,0,0,35
LGA36960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA37010,798,32,25,0,3,858,370,15,13,0,0,403,328,13,9,0,0,348,726,43,28,4,0,807,1021,65,35,4,0,1121,3453,192,121,6,4,3787,4721,136,95,11,8,4968,5508,60,87,6,20,5683,2126,19,28,7,3,2191,1364,11,31,3,7,1424,629,11,27,4,4,676,785,26,14,3,7,830,21837,630,520,53,49,23085
LGA37300,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,7,22,5,3,0,0,31,32,7,0,0,0,42,59,21,0,0,0,84,66,3,0,0,0,68,44,3,0,0,0,47,17,4,0,0,0,19,18,0,0,0,0,15,271,53,5,4,0,334
LGA37310,258,0,0,0,3,259,83,0,0,0,0,80,79,0,0,0,0,84,175,3,0,0,7,187,270,3,0,0,0,274,554,7,0,4,3,560,542,3,0,0,0,551,491,7,0,0,4,496,212,0,0,0,0,215,114,0,0,0,0,118,83,0,0,0,0,83,156,0,0,0,0,164,3019,16,5,14,18,3069
LGA37340,150,4,10,0,4,162,60,0,3,0,0,61,57,0,3,0,0,60,109,7,10,0,0,123,204,4,14,3,0,224,489,21,22,7,4,538,531,24,16,3,4,578,681,20,19,4,5,731,366,9,0,3,3,379,224,6,0,6,3,243,96,3,4,0,4,110,164,3,7,3,0,178,3123,98,106,28,27,3386
LGA37400,8,0,0,0,0,8,3,0,0,0,0,3,5,0,0,0,0,5,9,0,0,0,0,9,8,0,0,0,0,8,16,0,0,0,0,16,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,7,88,0,0,3,3,88
LGA37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
