LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA33960,457,826,533,299,405,92,28,2643,84,65,26,30,20,5,6,230,25,31,13,20,21,3,0,112,970,1745,1247,817,1112,304,109,6300,144,284,148,90,93,18,11,793,175,217,82,52,48,3,4,585,318,506,233,142,138,23,12,1378,1288,2248,1473,957,1255,322,123,7679,1863,1682,798,455,495,115,44,5448,25,35,27,13,9,0,0,120,3181,3973,2300,1428,1754,439,166,13246
LGA33980,21,54,30,14,23,0,0,148,3,3,0,0,4,0,0,14,3,3,3,3,0,0,0,9,59,129,74,55,74,4,0,394,10,9,4,6,8,0,0,32,3,4,4,0,0,0,0,14,11,13,8,7,10,0,0,43,71,140,85,63,84,4,0,439,73,43,21,9,11,0,0,159,0,0,4,0,0,0,0,8,140,186,105,79,87,4,0,604
LGA34420,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,3,0,0,26,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,16,6,17,10,3,7,0,0,42,23,30,7,3,0,0,0,69,0,0,0,0,0,0,0,0,30,44,18,8,6,0,0,109
LGA34530,57,143,87,63,80,11,3,446,8,7,8,3,3,0,0,28,5,3,4,3,4,0,0,21,116,242,170,136,174,21,11,871,15,27,25,15,11,0,0,89,16,24,21,17,9,0,0,89,30,58,43,31,18,0,0,179,145,294,212,170,191,20,13,1046,173,128,76,32,51,5,4,473,3,3,3,0,0,0,0,12,313,429,295,199,244,23,17,1526
LGA34570,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,0,0,0,16,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,8,4,7,8,0,0,0,0,27,16,8,10,0,3,0,0,35,0,0,0,0,0,0,0,0,20,12,19,4,3,0,0,60
LGA34580,67,136,84,53,87,8,5,441,8,7,4,3,0,0,0,21,10,7,9,5,4,0,0,29,105,228,190,137,194,24,10,885,16,36,23,10,21,0,0,101,13,31,13,10,12,0,0,85,37,65,35,24,29,0,0,184,140,298,220,155,219,25,8,1072,253,273,147,86,92,6,3,855,12,6,4,4,7,0,0,30,403,574,372,244,312,35,13,1960
LGA34590,709,1203,739,494,602,139,54,3939,86,77,46,30,28,13,4,285,24,66,32,24,35,10,0,190,1401,2455,1687,1178,1593,438,205,8960,198,330,183,104,129,11,13,966,218,351,162,94,84,15,3,918,414,679,342,195,208,23,18,1888,1811,3136,2035,1374,1804,465,219,10847,2627,2413,1212,743,791,205,100,8088,51,51,27,22,19,10,4,177,4492,5596,3278,2139,2614,678,322,19113
LGA34710,0,12,7,7,7,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,12,31,18,12,13,3,0,90,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,5,0,3,0,0,0,0,10,18,36,16,17,11,3,0,99,21,11,7,7,0,0,0,41,0,0,0,0,0,0,0,3,34,48,25,21,14,3,0,140
LGA34770,204,368,268,178,204,20,4,1248,26,31,9,3,16,0,0,83,6,25,6,12,12,0,0,56,376,761,567,397,574,55,15,2743,58,114,74,48,36,3,0,334,69,132,63,35,22,3,0,331,135,246,131,85,59,11,0,662,509,1003,696,482,636,64,17,3400,776,611,293,157,135,12,0,1992,11,18,10,9,3,0,0,49,1295,1632,1002,650,772,76,17,5446
LGA34800,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,14
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,8,4,0,0,0,0,25,0,0,0,0,0,0,0,0,16,12,6,0,0,0,0,30
LGA34860,22,38,23,18,15,0,0,121,0,0,3,0,0,0,0,8,3,3,3,0,0,0,0,12,42,72,56,46,38,0,0,259,0,3,3,3,3,0,0,11,3,0,0,0,0,0,0,4,3,10,3,3,3,0,0,17,47,76,64,49,44,0,0,282,61,45,26,11,12,0,0,160,0,0,0,3,0,0,0,5,107,130,89,60,48,3,3,440
LGA34880,30,75,42,21,35,3,0,207,0,6,0,7,3,0,0,14,0,0,0,3,0,0,0,0,63,126,94,70,82,3,5,438,4,14,10,5,4,0,0,38,3,24,10,5,4,0,0,45,9,35,22,16,9,0,0,86,71,160,114,84,88,5,5,531,125,136,82,43,34,0,3,428,0,3,3,6,0,0,0,17,194,306,199,133,127,5,6,974
