LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA36070,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,7,4,0,0,0,0,18,17,13,12,4,0,0,0,58,0,0,0,0,0,0,0,0,22,24,20,4,0,0,0,76
LGA36150,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,14,8,7,4,0,0,0,0,18,0,0,0,0,0,0,0,0,13,14,5,0,3,0,0,31
LGA36250,253,494,388,258,318,89,30,1831,30,24,25,9,11,0,0,98,11,32,16,11,13,4,0,83,488,1023,814,584,826,266,113,4119,16,46,42,20,34,8,5,175,58,92,39,30,29,7,3,250,70,138,84,52,64,12,8,420,565,1159,896,634,891,280,114,4540,556,577,314,175,197,37,12,1871,8,10,10,3,0,0,0,29,1127,1742,1216,817,1091,319,133,6449
LGA36300,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,4,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,3,0,0,0,0,0,6,5,6,7,4,3,0,0,22,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,10,9,4,0,0,0,33
LGA36370,196,350,215,157,178,20,4,1119,29,22,8,9,13,0,0,75,6,3,5,3,9,3,0,36,345,632,460,316,428,70,24,2274,46,112,68,41,38,0,0,309,54,92,53,20,20,4,0,251,101,208,120,68,60,3,0,558,451,837,576,382,485,76,24,2827,704,599,285,163,171,16,5,1946,13,6,7,5,3,0,0,34,1168,1447,868,550,655,94,28,4806
LGA36510,68,138,102,74,80,17,4,494,3,7,3,3,5,3,0,30,0,4,4,3,0,0,0,14,119,250,201,127,170,37,14,925,16,22,11,10,11,0,0,72,16,24,10,10,13,0,0,71,28,47,24,21,23,3,0,143,150,302,221,149,195,39,14,1068,213,242,121,75,70,8,6,737,3,7,4,5,3,0,0,23,368,546,344,229,274,52,19,1829
LGA36580,35,84,63,37,36,5,0,259,6,3,4,3,3,0,0,26,0,3,3,0,4,0,0,13,66,131,128,78,95,19,7,519,15,28,17,5,7,0,0,74,12,22,3,8,7,0,0,55,28,47,17,17,15,0,0,126,90,178,143,99,109,21,3,649,241,206,125,66,58,7,0,697,0,0,3,0,3,0,0,13,334,389,273,164,172,31,3,1358
LGA36630,85,138,98,55,52,4,0,421,0,7,3,5,3,0,0,18,3,3,5,0,3,0,0,14,134,212,165,101,123,5,0,747,8,21,18,4,10,0,0,63,10,33,16,10,4,0,0,82,24,53,33,13,16,0,0,144,157,270,195,121,146,5,0,894,236,250,132,86,71,7,4,789,18,11,8,3,3,0,0,42,411,530,340,206,219,12,3,1721
LGA36660,81,157,64,79,86,6,0,472,11,5,6,3,3,0,0,27,3,7,4,0,10,0,0,26,131,248,147,124,154,16,3,828,18,34,23,6,10,0,0,92,20,33,17,9,9,0,0,86,37,67,37,18,21,0,0,175,166,313,187,144,178,16,7,1006,251,212,107,76,66,5,0,712,7,7,0,0,0,0,0,19,426,529,288,225,245,23,8,1737
LGA36720,541,1325,937,635,796,137,73,4444,42,63,39,30,34,12,10,240,17,24,30,22,28,3,4,134,858,2115,1647,1207,1664,336,165,7987,61,125,74,51,87,15,4,422,87,212,108,63,67,7,11,551,145,340,179,110,156,28,15,977,1006,2451,1828,1320,1819,362,178,8961,1056,1163,602,452,448,82,40,3843,7,21,15,10,17,3,0,74,2071,3635,2444,1786,2285,450,216,12882
LGA36820,54,82,68,40,61,3,0,309,8,6,4,0,0,0,0,26,3,0,0,7,0,0,0,9,81,141,126,79,119,13,3,567,8,28,12,9,11,0,0,72,15,36,9,7,13,0,0,77,22,59,27,16,26,0,0,148,107,201,148,100,144,13,7,720,168,173,90,53,52,0,0,547,6,7,3,0,0,0,0,12,276,380,242,152,198,16,7,1275
LGA36910,322,625,434,297,362,33,20,2081,34,38,20,13,18,3,0,128,8,13,18,10,12,6,3,70,531,1091,808,615,857,125,60,4091,60,115,66,43,48,13,3,347,53,141,62,43,29,8,0,328,112,258,124,83,71,22,3,673,641,1350,927,703,931,147,60,4766,993,897,437,277,312,63,30,3018,12,7,7,0,9,0,0,32,1643,2256,1376,980,1255,210,93,7817
LGA36950,4,15,7,4,8,0,0,40,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,7,24,38,21,11,21,0,0,117,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,27,40,23,16,20,0,0,132,42,38,15,10,12,3,0,124,0,0,3,0,0,0,0,12,74,87,38,26,30,3,0,265
LGA36960,20,42,22,9,5,0,0,89,0,3,0,0,0,0,0,7,0,3,0,0,0,0,0,6,42,75,42,12,3,0,0,165,0,3,7,0,0,0,0,11,6,3,3,0,0,0,0,9,9,4,5,0,0,0,0,20,44,79,45,10,7,0,0,192,138,109,45,8,3,0,0,313,7,10,3,4,0,0,0,16,189,198,92,26,6,0,0,518
LGA37010,336,642,423,276,366,80,44,2165,34,44,23,13,35,4,7,149,26,26,17,16,16,0,0,103,726,1423,993,768,1018,268,118,5319,94,189,110,74,83,8,0,560,104,186,96,55,45,11,0,492,202,371,205,130,128,18,4,1054,924,1798,1196,896,1149,291,122,6371,1284,1201,552,365,341,93,37,3871,22,23,10,11,7,0,0,71,2227,3020,1758,1275,1492,384,160,10316
LGA37300,0,3,0,0,3,0,0,8,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,9,27,14,11,11,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,27,14,11,11,0,0,79,0,4,0,0,0,0,0,6,3,0,0,0,0,0,0,5,16,34,20,8,11,0,0,93
LGA37310,46,94,70,51,48,3,0,315,7,3,0,0,0,0,0,15,0,8,6,3,3,3,0,16,88,189,153,98,119,10,6,660,9,26,8,15,8,0,0,60,16,24,12,8,3,0,0,66,28,52,21,21,5,0,0,123,116,241,173,116,128,10,6,784,301,229,122,64,57,0,0,771,8,5,4,0,0,0,0,19,419,470,296,179,182,12,8,1571
LGA37340,71,131,82,56,66,0,0,407,5,4,6,3,5,0,0,26,4,0,3,0,3,0,0,16,121,238,145,121,155,3,0,785,12,38,18,10,6,0,0,89,5,16,8,3,0,0,0,35,16,55,32,12,6,0,0,125,137,287,174,137,161,3,0,909,143,150,63,27,31,0,0,420,3,0,0,0,0,0,0,10,285,440,242,168,196,3,0,1338
LGA37400,0,8,0,0,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,4,0,3,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,9,0,3,0,0,24,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,10,9,6,3,0,0,30
LGA37550,4,3,7,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,13,8,3,0,0,43,0,3,0,0,0,0,0,5,4,3,0,0,0,0,0,7,4,3,3,0,0,0,0,8,16,16,11,8,3,0,0,51,40,42,24,9,5,0,0,126,4,0,3,0,0,0,0,8,57,59,44,20,10,0,0,192
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,12,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,24
LGA37600,3,5,10,5,3,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,14,25,22,12,10,0,0,86,15,21,13,3,4,0,0,48,4,0,3,0,0,0,0,12,15,21,13,3,5,0,0,63,29,45,36,15,14,0,0,143,74,67,38,29,18,5,0,230,0,3,3,3,0,0,0,14,105,117,77,50,38,5,0,389
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
