LGA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32810,0,0,0,8,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,4,0,7,19,83,81,62,56,23,3,336,0,0,0,3,0,0,0,0,0,6,0,0,8,19,0,0,0,3,0,34,0,0,3,22,13,13,15,4,0,71,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,0,0,11,0,0,0,8,0,5,0,0,0,16,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,22,0,0,0,4,0,0,7,0,0,15,0,0,0,12,4,3,0,0,0,25,0,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0
LGA33100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA33200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA33220,0,0,7,39,24,21,3,0,0,88,0,0,0,0,3,5,3,5,0,22,0,0,0,0,3,3,3,3,0,18,3,36,53,190,336,493,785,393,133,2433,0,3,5,19,13,12,4,0,0,61,0,0,3,7,4,9,4,5,0,31,0,7,0,23,28,61,115,68,21,330,0,0,0,0,3,0,0,0,0,5,0,0,4,3,0,8,3,0,0,18,5,10,8,66,6,5,14,3,0,121,0,0,0,20,6,13,11,12,7,60,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,4,9,9,11,21,12,3,63,0,0,0,11,10,11,15,12,3,58,0,0,0,12,10,0,3,0,0,25,0,0,0,7,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,18,16,19,9,3,0,71,0,0,0,0,0,10,16,6,0,33
LGA33360,0,9,0,38,16,9,0,3,0,77,0,3,0,0,3,5,0,0,0,11,3,11,0,10,0,0,0,0,0,32,4,32,23,140,164,136,110,67,17,699,0,3,7,23,11,3,4,0,0,60,0,0,0,7,0,0,5,0,0,13,0,3,3,16,14,12,20,14,0,85,0,0,0,4,0,0,3,3,0,12,0,3,0,0,0,0,0,0,0,4,11,35,13,141,12,11,3,3,0,223,0,3,7,18,3,3,0,0,0,27,0,0,0,10,0,3,0,0,0,18,0,0,0,8,0,0,0,0,0,12,0,8,0,25,7,5,3,3,0,61,0,3,0,10,0,0,3,0,3,26,0,0,0,8,4,0,0,0,0,15,0,5,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,22,10,6,0,4,0,49,0,0,0,0,0,0,0,0,0,3
LGA33430,37,147,858,1787,631,326,163,66,21,4028,0,0,12,67,67,99,104,81,22,452,3,6,13,42,30,52,67,35,28,282,77,756,1033,2648,2752,2325,2589,1531,727,14451,0,18,37,174,110,90,40,28,5,509,3,22,36,146,67,61,59,36,14,442,3,15,79,270,177,192,411,245,114,1509,0,3,12,24,25,29,92,54,14,256,13,38,168,228,140,144,51,14,0,797,31,105,213,1037,165,110,88,51,27,1820,4,23,66,241,98,82,41,19,20,596,0,22,22,190,49,57,23,16,10,387,3,8,20,51,19,18,3,3,0,122,11,42,44,191,104,92,92,54,20,647,0,10,29,86,71,117,190,123,69,698,20,153,240,1398,628,199,124,45,17,2831,10,93,288,792,317,102,52,21,3,1679,0,3,0,30,29,28,19,11,0,117,3,35,106,300,220,157,78,33,14,942,0,0,0,7,16,58,124,44,22,272
LGA33610,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,6,9,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA33620,0,0,0,8,3,3,5,0,0,20,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,5,0,3,3,16,16,82,162,215,244,126,28,891,0,0,0,0,5,3,0,0,0,17,0,0,3,4,3,0,7,0,0,23,0,3,3,12,15,29,39,35,9,147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,21,4,0,3,0,0,33,0,0,3,10,0,8,4,0,0,28,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,3,0,3,0,19,0,0,0,3,3,3,6,3,4,18,0,0,0,5,5,3,0,0,0,18,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,5,3,0,0,27,0,0,0,0,0,0,3,0,0,4
LGA33800,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,14,25,20,0,76,0,0,0,4,0,4,0,0,0,6,0,0,0,0,3,4,0,0,0,5,0,0,0,3,0,3,7,3,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,16,41,61,67,183,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,3,3,0,6
