LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA35740,22,164,3,37,29,7,0,4,3,265,3,34,0,3,8,3,0,0,0,50,241,1226,50,216,226,87,4,43,23,2119,5,3,0,10,3,3,0,0,0,26,94,168,20,148,137,54,3,27,10,664,128,158,46,315,215,94,4,45,18,1024,141,88,251,489,384,212,21,112,11,1708,13,10,8,32,57,31,0,18,0,178,35,33,18,74,64,74,3,33,3,343,10,21,8,15,17,12,0,4,4,93,23,31,9,49,54,42,3,23,12,239,780,2249,423,1413,1216,631,45,323,95,7173,5,22,0,3,0,0,0,0,0,27,17,124,3,3,8,3,0,0,0,155,146,386,14,26,33,14,3,12,8,645,7,22,0,4,3,3,0,3,0,44,51,248,10,48,31,13,3,7,3,416,12,49,3,5,8,3,0,0,0,72,536,1993,142,310,292,165,28,89,45,3592,4,6,0,10,3,4,0,3,0,28
LGA35760,10,21,0,3,0,0,0,3,0,38,0,8,0,0,0,0,0,0,0,9,53,135,3,20,25,9,0,35,4,267,3,0,0,0,0,0,0,0,0,3,20,23,0,11,15,4,0,0,0,70,31,20,3,43,18,6,0,16,0,139,28,21,35,112,61,32,6,42,0,339,4,3,0,13,15,12,0,7,0,54,6,0,0,21,10,8,0,10,0,61,3,0,0,0,3,0,0,4,0,19,9,7,0,6,10,8,0,15,9,67,182,252,42,227,157,71,10,130,15,1087,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,8,13,15,3,0,3,3,0,4,0,39,0,4,0,0,0,0,0,0,0,3,11,25,0,3,0,0,0,4,0,46,3,10,0,0,0,0,0,0,0,12,88,184,6,24,28,14,3,62,4,412,3,0,0,3,0,0,0,0,0,3
LGA35780,3,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,30,0,7,8,0,0,0,0,53,0,0,0,3,0,0,0,0,0,4,4,6,0,3,0,0,0,0,0,16,8,3,0,22,20,0,0,0,0,56,3,9,0,30,23,12,0,10,0,89,0,0,0,3,3,0,0,7,0,14,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,3,0,3,0,22,31,67,5,84,61,17,3,16,3,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,16,45,0,8,7,0,0,0,3,79,0,0,0,4,0,0,0,0,0,3
LGA35790,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,23,0,7,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,4,0,0,0,0,17,0,3,3,27,12,0,0,4,0,56,0,6,0,7,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,5,51,3,56,20,4,0,8,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,29,0,12,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
LGA35800,4,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,11,32,0,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,12,3,0,3,0,0,0,0,0,16,6,8,0,7,8,0,0,3,0,34,8,4,3,13,10,9,0,6,0,58,0,0,0,0,0,0,0,0,0,5,3,0,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,54,61,6,28,28,12,0,12,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,21,33,0,3,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
LGA36070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,9,0,3,3,5,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,11,10,0,16,5,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LGA36150,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,3,10,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,6,3,0,0,9,0,0,0,0,0,13,5,3,7,10,5,3,0,5,0,43,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,27,9,27,18,3,0,14,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,17,0,3,10,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
LGA36250,79,410,6,105,68,13,0,3,3,702,20,146,4,12,28,4,0,3,0,211,570,3584,110,505,785,253,11,85,55,5964,3,11,0,17,12,5,0,3,0,49,202,448,64,320,446,104,3,47,19,1657,373,464,156,965,996,245,16,105,38,3354,418,343,656,1670,1598,605,64,348,54,5752,47,30,23,90,194,125,7,72,0,581,76,56,41,252,318,143,14,60,10,964,21,42,11,37,84,29,3,17,3,256,47,82,21,113,136,80,11,68,55,601,2047,6463,1111,4132,4782,1617,132,827,234,21346,14,27,0,3,6,0,0,0,0,49,42,295,5,4,13,0,3,0,4,370,451,1120,45,63,157,43,15,24,15,1936,20,50,3,7,3,0,0,0,0,86,174,600,21,127,91,27,11,12,4,1055,67,214,10,21,41,6,0,4,0,359,1493,5580,369,747,1051,433,90,229,101,10084,4,8,13,19,10,4,0,8,4,74
LGA36300,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,9,0,3,8,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,4,8,0,0,4,0,15,0,3,3,6,5,0,0,4,0,25,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,23,25,9,17,22,5,3,14,3,112,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,7,12,0,3,4,0,0,4,0,42,0,0,0,0,0,0,0,0,0,0
LGA36370,27,226,7,41,34,3,0,0,0,337,12,83,3,9,13,0,0,0,3,118,198,1942,64,231,282,59,8,47,16,2843,0,3,0,6,0,3,0,0,0,20,61,165,15,124,101,25,3,17,3,510,115,157,35,428,305,67,8,40,9,1170,182,177,292,887,812,278,55,162,26,2879,23,23,14,75,90,72,5,42,0,342,19,23,8,103,94,49,8,25,3,337,0,23,5,22,12,3,3,11,0,86,27,39,7,68,52,43,4,51,27,325,718,3188,463,2024,1821,611,99,401,100,9418,0,18,0,0,3,0,0,0,0,25,15,189,3,0,6,0,0,0,3,217,107,431,20,40,37,6,13,10,3,671,13,31,3,3,3,0,4,0,0,50,51,321,12,50,34,3,5,6,3,485,27,100,12,13,21,3,0,3,3,175,409,2863,223,341,383,90,48,98,28,4486,0,3,0,14,0,3,0,0,0,24
LGA36510,19,96,4,13,10,3,0,0,3,153,9,28,3,3,3,0,0,0,0,53,155,771,29,86,161,42,7,38,4,1295,0,0,4,0,4,0,0,0,0,13,55,108,22,76,74,27,0,13,0,373,109,91,50,193,163,49,9,46,8,718,112,65,171,408,324,116,16,124,12,1364,26,13,15,42,43,21,0,30,3,191,23,22,17,68,69,36,0,27,3,260,3,8,4,7,11,0,0,6,0,37,27,28,18,39,52,31,3,27,19,231,597,1410,330,949,934,323,40,315,61,4959,0,12,0,0,0,0,0,0,0,13,12,60,0,4,3,0,0,3,0,85,89,231,8,18,20,6,3,5,5,386,3,13,0,0,0,0,0,0,0,20,34,149,7,23,10,3,3,5,3,232,13,40,3,3,9,0,0,0,0,73,327,1131,71,150,201,51,24,70,14,2034,0,0,4,0,3,0,0,0,0,18
LGA36580,3,51,0,12,6,0,0,6,0,80,0,20,0,0,0,0,0,0,0,21,52,346,14,39,50,11,0,32,0,547,0,3,0,0,0,0,0,0,0,3,28,54,5,38,35,5,0,4,0,172,38,43,17,120,81,26,0,28,4,355,63,41,83,279,173,70,23,91,11,833,7,3,8,17,25,20,3,26,0,105,11,11,15,31,35,22,0,24,5,142,0,4,0,3,5,0,0,5,0,23,10,15,11,18,18,12,0,29,10,124,226,643,159,553,442,173,34,234,38,2500,3,3,0,0,0,0,0,0,0,3,5,21,0,0,0,0,0,0,0,21,21,62,0,4,4,0,0,0,3,102,0,3,0,0,0,0,0,0,0,6,8,63,3,13,6,3,0,6,0,109,0,18,3,0,3,0,0,0,0,33,117,484,48,55,61,25,0,60,12,861,3,5,0,0,0,0,0,0,0,11
LGA36630,10,67,0,8,16,0,0,0,0,104,4,18,0,0,0,0,0,0,0,24,90,573,7,71,68,16,3,13,4,850,0,3,0,3,3,0,0,0,0,11,40,64,9,59,40,13,4,11,3,243,45,76,16,176,94,29,3,21,0,451,111,59,133,358,222,113,19,80,5,1086,17,3,9,36,39,33,4,23,0,162,23,12,6,61,40,25,0,19,0,180,3,7,4,3,8,3,0,3,0,25,19,16,3,24,21,16,0,26,16,138,366,990,189,802,539,240,32,198,37,3395,0,7,0,0,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,15,30,112,3,9,6,0,0,0,3,161,4,4,0,0,0,0,0,0,0,4,16,89,5,11,16,7,0,3,0,150,6,20,0,0,0,0,0,0,0,31,177,807,34,99,82,28,14,32,12,1283,4,8,0,3,3,0,0,3,0,15
LGA36660,7,88,4,12,4,0,0,0,0,111,3,13,0,5,4,0,0,0,0,27,101,605,20,62,94,25,5,50,4,963,0,0,3,0,3,0,0,0,0,12,64,83,12,60,38,15,0,14,0,286,63,40,24,166,93,26,4,24,6,451,93,80,150,387,243,111,22,133,5,1229,11,3,9,23,41,23,10,33,0,148,15,13,12,51,40,35,6,20,0,184,6,4,0,3,4,0,0,3,0,26,26,17,7,41,30,32,4,26,15,189,406,1053,239,820,607,266,46,312,37,3782,0,3,0,0,0,0,0,0,0,8,12,28,0,0,3,0,0,0,0,38,46,133,0,4,13,3,0,9,3,217,3,8,0,0,0,0,0,0,0,7,19,136,6,15,9,0,0,0,0,178,7,21,0,6,4,0,0,0,0,46,224,881,53,102,125,39,7,71,8,1506,0,0,3,0,3,0,0,3,0,10
LGA36720,138,980,28,188,142,30,0,8,4,1527,47,321,8,21,50,9,0,9,0,466,1129,7663,300,1184,1586,502,32,263,86,12738,8,14,7,43,17,10,0,4,3,123,428,898,125,650,716,245,19,120,32,3235,635,855,280,1847,1499,543,41,240,63,6006,769,619,1364,3264,2583,1450,119,674,76,10920,76,57,65,212,279,262,16,95,11,1075,167,129,94,476,516,283,11,141,20,1837,52,81,45,74,119,59,9,30,15,485,110,170,63,239,200,196,18,109,121,1233,3871,13632,2405,8312,7925,3662,275,1744,443,42270,25,109,0,10,13,8,0,0,0,161,72,702,8,10,28,12,0,3,4,847,656,2282,68,148,252,91,13,84,39,3637,36,162,4,11,17,8,0,3,3,244,259,1456,62,214,183,53,13,32,14,2287,98,424,18,33,60,21,5,12,3,677,2569,12234,852,1682,2012,871,168,529,190,21108,17,21,13,58,18,20,0,11,3,165
LGA36820,9,73,0,12,8,0,0,0,5,102,0,13,3,0,0,0,0,0,0,20,99,513,12,58,89,14,0,21,3,815,0,0,0,0,3,4,0,0,0,5,33,77,13,53,49,12,0,7,3,255,42,47,13,125,90,28,3,14,0,372,80,46,99,230,188,91,10,54,6,804,11,0,4,20,22,19,0,15,0,89,21,4,7,43,29,12,3,20,0,143,0,4,0,3,4,5,0,3,0,18,20,24,3,32,20,14,0,25,8,152,340,897,164,584,515,201,16,170,30,2914,0,5,0,0,0,0,0,0,0,10,16,41,4,0,7,0,0,0,0,66,36,118,0,10,10,5,0,0,0,177,0,6,0,0,0,0,0,0,0,6,17,93,0,12,11,0,0,3,3,142,4,19,3,3,4,0,0,0,0,37,184,736,27,95,102,26,7,47,10,1239,3,0,0,0,3,4,0,0,0,8
LGA36910,71,560,14,87,74,8,0,6,3,832,32,134,3,12,38,0,0,0,0,216,580,4368,139,505,796,168,8,127,34,6732,0,7,0,26,11,4,0,0,0,56,196,440,46,259,275,63,3,51,19,1354,312,359,140,848,759,180,24,105,17,2755,399,350,684,1776,1617,633,69,469,34,6021,36,25,30,90,187,130,12,79,4,592,83,58,31,282,212,109,6,81,7,865,14,50,4,34,47,5,0,11,0,170,54,74,33,144,115,89,9,86,45,648,1970,7550,1148,4119,4240,1412,130,1054,168,21788,11,42,0,3,4,0,0,0,0,58,78,579,8,9,14,0,0,7,4,706,384,1372,53,85,139,45,19,91,11,2191,13,66,0,3,3,0,0,0,0,88,151,784,27,109,99,22,6,14,3,1221,55,192,18,20,59,3,0,0,3,353,1331,6832,419,742,1046,311,91,353,84,11217,9,13,9,26,18,4,0,7,3,77
LGA36950,0,10,0,3,3,0,0,0,0,17,0,5,0,0,3,0,0,0,0,8,11,97,0,9,8,3,0,0,0,135,0,0,0,0,0,0,0,0,0,0,4,9,0,7,3,0,0,0,0,28,9,14,3,20,15,0,0,0,0,58,8,8,6,38,35,11,0,3,0,112,4,0,0,8,9,0,0,7,0,34,0,0,0,8,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,5,3,5,11,9,6,3,7,7,54,51,172,7,109,97,18,9,19,13,500,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,36,0,7,5,0,0,0,0,52,0,3,0,0,0,0,0,0,0,3,0,12,0,7,5,0,0,0,0,23,0,5,0,0,3,0,0,0,0,13,28,135,3,19,15,3,0,3,4,203,0,0,0,0,0,0,0,0,0,4
LGA36960,0,6,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,44,0,0,3,0,0,0,0,47,0,0,0,0,3,0,0,0,0,3,0,8,0,13,0,0,0,0,0,26,3,10,0,14,13,0,0,0,0,40,5,16,0,36,37,11,0,8,0,119,3,0,0,6,5,10,0,11,0,39,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,11,7,7,0,9,0,34,25,87,0,83,67,29,0,32,6,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,44,0,0,3,0,0,0,0,61,0,0,0,0,3,0,0,0,0,4
LGA37010,60,561,8,122,79,14,3,11,9,870,39,223,4,10,32,3,0,0,4,318,678,5951,172,706,896,228,27,158,54,8863,3,0,4,24,0,3,0,6,0,39,153,425,51,330,274,66,14,40,12,1352,374,438,115,1206,863,244,31,103,37,3412,462,401,831,2047,1927,711,134,423,71,7014,45,35,40,151,213,158,8,77,3,725,59,59,31,279,268,103,9,57,6,871,17,59,13,49,68,24,0,11,3,246,22,121,27,124,100,88,16,84,48,637,2142,9590,1324,5124,4845,1670,243,984,246,26152,9,76,0,0,5,0,0,0,0,91,88,753,12,8,18,0,3,5,4,885,471,1380,76,98,143,33,13,39,19,2267,19,96,7,8,13,4,0,0,0,141,127,797,27,155,94,26,4,14,8,1258,77,275,11,21,47,6,0,3,5,445,1425,8719,505,1068,1169,369,160,308,106,13838,9,4,7,24,4,3,0,3,0,59
LGA37300,0,12,0,3,0,0,3,0,0,22,0,10,0,0,0,0,0,0,0,12,11,118,3,9,11,4,3,5,3,170,0,0,0,0,0,0,0,0,0,0,4,7,0,8,0,0,3,7,0,34,6,7,3,14,13,5,3,3,0,59,3,6,26,26,46,11,32,13,3,163,0,3,0,3,3,0,0,0,0,14,0,3,0,3,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,8,3,4,0,0,9,0,3,24,47,195,39,75,88,22,54,30,3,558,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,9,28,3,5,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,3,0,21,0,3,0,0,3,0,0,33,0,10,0,0,0,0,0,0,0,12,34,167,13,12,16,4,10,5,3,261,0,0,0,0,0,0,0,0,0,0
LGA37310,15,70,0,7,3,0,0,0,0,103,5,15,0,0,0,0,0,0,0,23,145,649,27,76,96,26,4,45,0,1062,0,0,0,4,0,0,0,0,0,5,55,71,9,41,42,7,0,18,0,259,74,53,20,130,140,19,11,24,3,471,95,61,126,265,323,97,34,86,3,1090,15,6,6,37,45,27,5,18,0,158,26,9,11,54,51,13,3,24,0,183,9,5,3,5,4,0,0,3,0,27,33,16,13,29,27,24,4,30,16,200,479,1025,219,646,743,225,64,252,32,3672,0,3,0,0,0,0,0,0,0,3,6,9,0,4,0,0,0,0,0,17,28,92,10,3,10,0,3,4,0,143,3,3,0,0,0,0,0,0,0,9,22,96,0,7,3,0,0,0,0,134,9,22,0,0,5,0,0,0,0,40,308,930,81,100,107,33,20,73,10,1663,0,0,0,4,0,3,0,0,0,10
LGA37340,14,67,0,9,9,3,0,0,0,100,4,13,0,3,3,0,0,0,0,24,131,534,34,132,113,57,5,65,11,1078,0,0,0,10,0,0,0,0,0,12,56,69,13,64,52,25,4,20,7,297,104,63,32,185,135,47,9,44,6,624,98,73,201,340,282,133,35,122,7,1293,19,11,3,35,30,37,8,30,4,179,32,9,10,43,40,29,7,29,0,202,9,5,6,7,10,3,3,17,0,64,26,15,13,30,25,31,4,68,14,230,504,947,306,867,717,376,68,398,51,4226,0,7,0,0,0,0,0,0,0,9,0,19,0,0,3,0,0,0,0,20,37,98,6,13,11,8,3,12,0,196,3,11,0,0,0,0,0,0,0,14,18,99,5,16,11,3,0,3,0,149,3,19,0,6,3,0,0,0,0,32,244,763,89,191,140,67,27,133,15,1669,5,3,0,6,8,0,0,0,0,25
LGA37400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,3,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,6,0,0,7,6,3,0,0,0,19,7,0,9,11,13,3,0,9,0,48,3,0,0,0,3,0,0,0,0,3,3,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,32,29,11,29,15,9,0,11,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,18,21,3,4,0,0,0,0,0,54,3,0,0,0,0,0,0,0,0,3
