LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA36660,79,89,170,3504,3911,7424,0,0,0,283,349,632,85,81,170,4235,4542,8779,27,37,65,36,35,71,89,129,222,67,70,138,151,160,310,3,3,4,75,70,149,171,213,384,649,639,1285,67,80,150,112,107,218,1135,1313,2448,508,546,1057,31,30,60,11228,12332,23559,36,42,78,25,25,47,7,4,11,3,3,5,6,10,20,61,78,136,70,92,163,4166,3644,7812,38,30,67,26,37,62,4224,3714,7941,1613,1536,3144,17285,17831,35110
LGA36720,1370,2138,3515,22358,26678,49032,4,0,3,3120,3517,6634,101,94,194,25056,28805,53865,245,316,563,365,457,826,906,1203,2113,423,479,907,1626,2030,3660,35,33,72,511,589,1099,2257,2667,4925,4247,4838,9080,296,430,722,272,347,622,6788,8952,15738,4713,5468,10176,173,222,396,73496,87141,160638,567,539,1103,327,268,594,125,134,259,13,13,30,201,162,366,368,540,905,584,717,1301,51278,47213,98491,531,499,1033,345,646,990,52159,48358,100512,13341,13109,26446,141965,152403,294367
LGA36820,68,123,194,1830,2005,3834,0,0,0,214,223,440,0,0,7,2559,2871,5431,3,3,8,21,23,40,116,167,277,19,17,38,80,95,181,0,0,0,54,69,118,194,239,437,439,431,871,28,46,79,54,65,119,675,812,1483,329,401,734,14,14,26,6627,7496,14122,14,19,41,10,3,20,5,4,10,3,0,3,6,4,13,46,72,116,53,75,132,3939,3378,7312,33,25,55,23,39,63,3994,3439,7435,1432,1454,2882,12214,12617,24827
LGA36910,579,713,1293,14131,16479,30609,0,0,0,1126,1339,2469,143,120,260,17792,19591,37378,681,764,1450,128,134,264,399,530,929,203,228,430,2994,3386,6383,32,27,64,358,382,745,1318,1538,2858,2803,3131,5934,203,296,498,312,379,691,4269,5258,9523,3411,3984,7393,140,173,319,50443,57748,108187,736,485,1228,869,729,1595,34,22,59,13,18,33,159,114,267,220,304,526,390,438,824,17252,14923,32177,234,186,425,88,112,206,17578,15228,32807,7545,7247,14792,78166,82607,160779
LGA36950,5,13,12,498,525,1029,0,0,0,12,6,17,0,0,0,287,269,551,0,0,0,3,0,4,21,15,39,16,14,30,0,4,3,0,0,0,6,6,12,165,194,360,10,23,35,6,6,11,5,16,20,54,63,116,54,72,132,3,4,10,1144,1220,2363,4,4,10,3,7,11,0,0,0,0,3,3,0,0,3,14,13,27,12,17,35,269,256,520,3,3,3,0,0,0,268,257,526,346,305,648,1788,1826,3610
LGA36960,0,0,0,908,848,1763,0,0,0,0,0,0,0,0,0,178,205,384,0,0,0,0,0,3,10,12,20,11,7,18,3,0,3,0,0,0,27,35,62,279,290,573,3,5,10,0,0,0,21,18,38,36,23,58,272,282,558,0,0,0,1749,1739,3488,0,0,0,0,0,0,4,8,13,101,103,208,0,0,0,5,3,8,103,103,213,174,139,310,3,4,8,13,10,26,186,151,340,241,217,464,2295,2221,4514
LGA37010,670,911,1580,13410,15035,28442,0,0,0,1133,1254,2384,21,23,40,23749,25769,49517,53,56,110,506,562,1075,264,378,644,164,204,366,533,630,1167,70,53,120,380,442,820,1302,1605,2906,2838,3023,5861,358,420,782,282,380,659,4184,5329,9514,2092,2291,4379,115,119,234,51454,57571,109029,520,494,1015,501,463,963,46,37,79,32,31,66,138,122,255,231,323,561,400,474,882,28544,24510,53057,356,269,625,113,145,256,29011,24932,53935,10748,8519,19266,93352,93402,186757
LGA37300,23,23,48,318,287,606,0,0,0,25,22,50,0,0,0,466,482,949,0,0,0,0,0,3,15,13,24,0,3,3,9,10,19,0,0,0,0,0,3,38,39,78,54,49,102,0,3,3,13,12,27,124,95,223,53,37,87,0,3,3,1123,1067,2187,5,3,8,0,0,0,0,0,0,0,4,3,0,0,0,0,14,17,4,17,17,668,475,1144,10,3,7,3,0,3,678,483,1156,267,217,480,2097,1806,3905
LGA37310,48,77,131,3395,3543,6943,0,0,0,326,359,688,9,8,14,3814,3724,7534,91,102,196,16,15,30,87,115,206,25,29,55,545,578,1116,0,0,0,58,33,89,302,303,607,1170,1126,2293,43,44,86,46,47,92,916,1005,1924,526,504,1032,22,17,40,11391,11544,22935,66,58,123,32,30,60,7,5,9,6,0,3,36,27,66,23,50,72,66,77,142,3188,2541,5733,32,27,63,19,10,31,3242,2580,5824,2270,1942,4208,17128,16322,33444
LGA37340,162,260,420,2833,2796,5624,0,0,0,205,200,411,0,0,0,3433,3523,6957,9,9,15,34,46,80,122,145,270,32,31,60,99,100,201,4,0,3,38,34,75,164,190,359,547,453,996,39,47,87,30,51,80,1062,1256,2321,395,407,804,17,19,41,9065,9316,18379,48,37,83,40,24,68,12,10,22,3,0,4,21,15,37,19,29,53,44,46,87,5279,4257,9532,56,39,100,21,33,59,5362,4333,9692,2766,2265,5030,17495,16284,33778
LGA37400,0,0,0,130,129,268,0,0,0,0,0,0,0,0,0,182,158,341,0,0,0,3,3,4,0,0,0,0,3,5,0,5,9,0,0,0,0,0,0,0,0,0,21,23,47,0,3,3,0,0,0,39,32,74,11,9,14,0,0,0,399,373,769,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,4,9,4,5,12,117,100,218,0,0,0,0,0,0,117,100,218,73,61,131,590,538,1134
LGA37550,0,0,0,130,174,306,0,0,0,17,19,28,0,0,0,91,72,166,0,0,0,0,0,0,0,0,0,4,0,7,3,0,3,0,0,0,72,77,151,6,13,16,0,0,0,0,0,0,0,0,0,0,5,5,7,5,15,0,0,0,325,364,693,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,6,3,11,94,91,189,0,0,0,0,0,0,94,91,189,43,28,73,470,492,962
LGA37570,0,0,0,7,3,11,0,0,0,3,4,9,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,89,115,203,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,11,14,0,0,0,0,0,0,0,0,0,111,133,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,20,0,0,0,0,0,0,11,10,20,10,3,14,131,148,282
LGA37600,0,0,0,1075,1086,2155,0,0,0,3,0,3,0,0,0,12,14,29,0,0,0,0,0,0,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,8,8,15,3,3,3,7,3,15,0,0,0,1126,1130,2251,0,0,0,0,0,0,0,0,0,7,7,15,0,0,0,0,0,0,7,7,17,94,96,188,0,0,0,0,0,0,94,96,188,54,47,98,1278,1278,2559
LGA39499,93,82,179,854,785,1639,0,0,0,81,69,149,0,0,3,884,768,1651,7,12,19,17,18,37,31,30,61,22,17,41,48,44,86,0,0,0,29,28,61,57,65,118,177,150,329,23,18,41,21,20,44,229,232,462,183,197,380,6,9,15,2682,2458,5143,33,27,65,41,20,69,6,10,12,6,3,7,7,7,13,23,33,60,34,45,82,2148,1665,3817,21,19,39,28,25,44,2191,1707,3905,1846,1220,3063,6937,5572,12510
LGA39799,0,0,0,11,10,27,0,0,0,3,3,6,0,0,0,13,27,44,0,0,0,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,37,55,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,33,0,0,0,0,0,0,20,16,33,8,12,22,66,87,150
