LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA34860,7,20,22,1675,1651,3327,0,0,0,48,39,81,0,0,0,1590,1647,3241,22,33,52,3,10,12,17,24,42,3,6,6,62,62,126,0,0,0,24,11,36,82,78,162,238,257,491,25,45,70,17,15,28,427,428,856,139,141,275,8,0,8,4379,4438,8812,30,20,50,13,10,20,3,0,8,0,0,3,24,24,51,10,14,19,41,41,74,1201,940,2137,13,8,24,3,6,8,1216,957,2175,825,673,1503,6515,6150,12666
LGA34880,88,142,233,1255,1320,2577,0,0,0,128,138,269,0,0,3,2674,2801,5471,16,14,35,27,24,49,62,94,158,15,21,40,63,69,136,0,0,0,41,46,84,132,141,276,267,286,550,3,13,22,259,288,551,416,502,918,241,269,508,12,7,22,5613,6033,11644,24,23,42,77,72,147,12,6,10,10,11,15,21,18,35,38,55,94,68,81,143,3038,2512,5548,25,25,46,32,38,65,3088,2572,5666,2343,1321,3659,11310,10251,21557
LGA35010,1525,2271,3794,32051,36522,68567,0,3,5,5319,5822,11138,134,122,254,41316,46899,88216,267,332,602,700,791,1495,1182,1454,2634,937,1023,1960,2104,2514,4615,73,70,141,1323,1486,2808,3065,3438,6503,6238,6792,13029,576,814,1390,813,1027,1837,9614,12112,21723,7083,7907,14993,600,662,1262,113385,129777,243164,1408,1449,2856,538,501,1036,126,127,256,25,30,57,400,311,715,634,1008,1642,1067,1348,2413,69200,62039,131242,741,592,1329,352,499,851,70298,63129,133423,19824,18536,38361,208170,217136,425302
LGA35250,0,0,0,6,6,18,0,0,0,4,0,5,4,0,4,37,34,73,0,0,0,0,0,0,0,6,4,0,0,0,3,0,3,0,0,0,3,0,3,5,0,5,9,8,16,0,0,0,0,0,0,142,169,307,8,8,18,0,3,8,219,240,464,0,0,0,0,0,0,0,0,0,51,63,118,0,0,0,0,0,0,51,63,118,227,209,441,0,0,0,0,0,0,227,215,438,59,61,121,563,579,1143
LGA35300,46,57,103,1012,1035,2051,0,0,0,186,214,399,7,12,18,2543,2573,5111,6,0,6,37,33,63,31,53,87,59,38,104,87,92,176,0,0,0,53,40,94,205,232,440,223,186,413,13,27,42,44,55,98,376,406,783,210,209,414,5,7,9,5100,5211,10309,81,63,146,35,33,71,3,0,3,9,3,15,20,6,27,15,14,31,38,33,72,2875,2334,5206,32,17,49,16,15,31,2916,2360,5281,1432,1251,2680,9656,9012,18671
LGA35600,25,24,53,525,600,1117,0,0,0,15,19,39,0,0,0,722,735,1462,0,0,3,0,3,3,11,10,19,5,4,7,9,28,32,0,0,0,0,4,11,12,17,30,86,91,179,3,5,10,8,7,12,61,64,132,28,31,62,3,4,13,1502,1628,3135,0,0,8,10,3,11,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,385,309,692,4,3,7,0,0,0,389,311,700,196,207,402,2131,2180,4307
LGA35670,0,0,0,28,17,43,0,0,0,0,0,0,0,0,0,20,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,69,12,10,26,0,0,0,0,0,0,107,105,211,23,12,42,0,0,0,225,199,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,214,414,0,0,0,0,0,0,202,214,414,68,48,111,495,464,957
LGA35740,293,459,751,4182,4949,9130,0,0,0,233,278,506,3,0,3,4244,4907,9153,13,18,32,88,117,206,122,157,281,11,22,34,242,312,555,3,0,3,71,83,160,267,324,591,745,881,1622,46,47,97,71,78,142,1022,1258,2278,591,679,1272,16,25,43,11979,14142,26123,61,60,121,14,13,32,26,24,49,0,0,4,11,3,16,90,138,224,97,144,243,10055,9199,19245,121,89,211,80,138,217,10256,9421,19679,2619,2529,5151,25340,26810,52149
LGA35760,22,27,53,1289,1325,2613,0,0,0,93,96,190,12,7,14,806,807,1614,3,14,19,3,3,6,29,34,64,12,11,18,79,84,161,0,0,0,56,55,116,65,81,139,240,269,513,6,3,11,20,23,44,375,437,815,129,136,264,52,49,103,3256,3437,6699,29,9,37,16,7,22,0,0,0,0,5,8,0,3,3,12,21,28,15,21,35,1227,967,2197,4,4,8,8,9,12,1240,980,2221,780,636,1420,5353,5129,10478
LGA35780,0,0,0,475,532,1004,0,0,0,10,9,13,0,0,0,57,40,96,0,0,0,0,0,0,69,86,149,3,3,4,3,0,4,0,0,0,3,0,6,387,451,840,5,3,10,0,0,0,7,0,12,15,16,27,51,53,104,3,3,6,1089,1189,2282,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,3,9,9,7,15,148,139,288,0,0,0,0,3,7,147,141,294,114,92,208,1359,1434,2796
